"id","old_findID","fromdate","todate","fourFigureLat","fourFigureLon"
817282,"WMID-D9A2D5",-1150,-800,52.48806775,-1.33871949
816960,"WMID-C4624B",-1500,-1150,52.82252931,-1.97176268
816026,"GLO-56E43D",-2800,-1800,51.92281051,-2.40855925
814980,"LVPL-C78348",-1700,-1500,52.52177586,1.07920849
814686,"BERK-B1F4BB",-1500,-1300,51.4351403,-1.18139612
814632,"WAW-B06603",1500,900,52.30112117,-2.01608649
814440,"WMID-9C4EAC",-950,-750,52.54297762,-1.54432979
814120,"NMS-4BC5BC",-2350,-1501,52.73228139,0.54592338
813906,"GLO-33F97A",-1500,-1150,51.98598434,-1.66649381
813848,"LANCUM-31A16D",-1500,-1100,53.72921395,-2.5319753
813624,"WMID-1B203F",-1000,-800,52.66030943,-2.31191285
813174,"KENT-C91A27",-1000,-800,50.98100948,0.83361096
812931,"LEIC-B38883",-1000,-800,52.52900619,-0.82217049
812689,"LEIC-A02211",-1500,-1150,52.23964141,-0.02432465
812575,"LEIC-9D99FC",-2350,-1500,52.71197581,-1.2021189
812323,"LANCUM-8A5846",-1000,-800,52.99185416,-0.42225014
812149,"BH-763A4D",,,51.98948027,-0.12274292
811787,"CORN-24C7BA",-2300,500,50.1429742,-5.54236741
811362,"LEIC-0ABAE7",-1600,-1001,52.78325296,-1.11185616
811198,"BERK-07A804",-1150,-800,51.93045132,-1.30331237
811120,"BERK-F7C4D0",-2150,-1600,51.93045132,-1.30331237
810244,"KENT-894EAA",-2500,1500,51.30432312,0.85348882
809750,"LANCUM-60E45B",-1000,-800,54.22790089,-3.18263563
809500,"WILT-4C3892",-2500,-1500,51.38401386,-2.08760613
809078,"KENT-E6AF68",-1000,-1,51.36579224,0.52685767
809077,"KENT-E696C3",-1000,-1,51.36579224,0.52685767
808605,"GLO-B95E3B",-2200,-1500,51.46494791,-2.07336636
807646,"SOM-3BA068",-2350,-800,50.95869154,-2.79871333
807637,"SOM-3B6A7D",-2350,-800,50.95869154,-2.79871333
807494,"KENT-28E91A",-1000,-1,51.12505358,0.82812849
807003,"HAMP-D11447",-1100,-650,51.12326854,-2.05853319
806797,"GLO-BD4B4A",-220,-1500,51.97664897,-2.43816634
806575,"BERK-B6B90D",-1100,-800,51.55354532,-1.43889257
806570,"BERK-B649D8",-1500,-800,51.55354532,-1.43889257
806432,"LANCUM-A6E169",-2550,-1600,53.84663226,-2.38146836
806069,"WILT-90C8FE",1500,1200,51.01537053,-1.95860828
805698,"BERK-4D1172",-1800,-600,51.54448457,-1.42458361
805657,"NMGW-3F3BBC",-1750,-1500,51.74879092,-2.95743199
805624,"NMGW-3EA2A8",-1000,-800,51.72095241,-3.05818117
805577,"YORYM-3DA0E4",-1600,-800,53.80352209,-0.6349027
805402,"WILT-2B2AF1",1100,1500,51.01537053,-1.95860828
805235,"LEIC-287929",-1500,-800,52.56539019,-0.86545657
805249,"NARC-28DBD4",-2350,-1600,52.46666051,-0.88271676
805054,"WILT-15C64C",-1000,-650,50.97921639,-1.78770725
804929,"LIN-12E7A1",-1000,-700,53.4594918,-0.43509125
804927,"LIN-12DB24",-1000,-700,53.4594918,-0.43509125
804398,"CAM-BCD9FF",-4000,-300,52.50435385,-0.27769121
804331,"WILT-AC4FB1",-1600,-1150,51.35696753,-1.84341314
803892,"ESS-800C5F",-1500,-800,51.56845754,0.29276095
803473,"BERK-2CF06A",-1400,-400,51.66143571,-1.4375616
803455,"SUR-2C92AC",-900,-600,51.2592568,-0.63993175
803398,"CAM-2B0E61",-4000,-300,52.50435385,-0.27769121
803316,"CAM-28B4CD",-2400,-300,52.50435385,-0.27769121
803310,"CAM-2888F4",-2400,-300,52.50435385,-0.27769121
803243,"CORN-186CD3",-2150,-700,50.11169937,-5.67996024
803241,"CORN-186044",-2150,-700,50.06593604,-5.7044071
803236,"CORN-183F23",-2000,-1700,50.1429742,-5.54236741
803218,"YORYM-17D783",-1100,-800,54.36808581,-1.67828782
803057,"GLO-142A16",-2500,-1800,51.851462,-2.17562215
803045,"GLO-13F38B",-2500,-1800,51.851462,-2.17562215
802799,"DEV-FC253B",-1600,-800,50.40159139,-3.61950766
802796,"CORN-F588DE",-1150,-700,50.11475892,-5.58225589
802795,"CORN-F4B411",-1150,-700,50.12459427,-5.55500287
802516,"LANCUM-D8A073",-1000,100,54.02477268,-1.26880066
802501,"LANCUM-D86241",-1000,-800,54.02477268,-1.26880066
802377,"WMID-D5511E",-2500,-2050,52.66009167,-2.38583435
802317,"BERK-D3E079",-1150,-850,51.81303213,-1.21808761
802293,"CORN-B51CDB",-1300,-1150,50.11475892,-5.58225589
802275,"CORN-A863F7",-1150,-700,50.10621313,-5.56762893
802133,"BERK-913FEA",-1400,-800,51.58051811,-1.43856061
802106,"SUR-86E9DD",-1500,-700,50.97575296,-1.07554754
802105,"SUR-86E183",-900,-700,50.97575296,-1.07554754
801574,"SUR-5AE176",-1400,-1250,51.69789598,-1.55286221
