"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"61484","433","Cast Fragments and lumps","","Guille-Alles Museum, Guernsey, Gaudrion Collection","Channel Islands,Alderney,Longy Common,1832","Longis Common, Guernsey","-2.1701","49.7207","","None","None","1832","","","","","","","","","","","Weights only off odd fragments: Case I: 6 thin pieces of sword blade 73.5 gms; 1 piece of sword hilt 77.0 gms; Sword hilt 130.5 gms; 8 pieces of spearheads 118.0 gms; 12 pieces of socketed celts 279.0 gms; 1 pieces of pot 203.0 gms; 23 thin pieces of metal 154.5 gms; 4 conical lumps of metal 187.0 gms; 7 shapeless metal lumps (small) 85.0 gms; 15 fragments (unrecognizable) 661.6 gms; 3 odd metal lumps 489.0 gms; 7 pieces of amulets bits of wire etc. 160.5 gms; Case II: 41 sword blades (fragments) 1582.5 gms; Case III: 31 pieces of palstaves (edges) fragments of small spearheads 2222 gms; 1 small socketed celt (without loop) 72.5 gms","Journ. Brit. Arch. Assoc. III, 1848, 9, Trans. of Guiernisiase V 1906, 161","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26288953600","https://farm2.staticflickr.com/1460/26288953600_05f7e5a412_m.jpg","superuser","BitandBobsA15"
"61485","433","Razor (Frag)","III","Guille Alles Museum, Guernsey,Gaudion Collection","Channel Islands, Alderney","Alderney, Guernsey","-2.1974","49.715","","None","None","None","31","12","","","Pale grey green patina","Shiny in parts, but mostly crusted and rough. A little mud adheres.","4","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26535842346","https://farm2.staticflickr.com/1509/26535842346_acd8dbec1a_m.jpg","superuser","BitandBobsA15"
"61486","433","Terret Ring","","Guille Alles Museum, Guernsey,Gaudrion Collection","Channel Islands,Alderney,Longy Common,1832","Longis Common, Guernsey","-2.1701","49.7207","","None","None","1832","50","46","","","Dark green brown patina dark yellow metal shows where rubbed. Inside are patches of deep blue green.","A little rough in parts.","38, 12","","","","The loop over the top is hollow.","T.D. Kendrick, Arch. of the Channel Islands, Vol. I, p. 64, Pl. VIII","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26469516522","https://farm2.staticflickr.com/1704/26469516522_eeef224ca0_m.jpg","superuser","BitandBobsA15"
"61487","433","?","","","Scotland,Angus,Found in a barrow, 1810","Angus, UK","-2.9124","56.698","","None","None","1810","","","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26495775281","https://farm2.staticflickr.com/1654/26495775281_269a91238d_m.jpg","superuser","BitandBobsA15"
"61488","433","Flat Axe","","Fleming, Mrs. Ian - private (1976), no. 6","Ireland, Co. Antrim","Antrim, Antrim, Antrim BT41, UK","-6.2072","54.7195","","None","None","None","93","57","","","","bronze/brown, v. worn + pitted","","","","","Exremely worn, misshapen","","PI, DF (BM)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/25958921123","https://farm2.staticflickr.com/1692/25958921123_ccf206285f_m.jpg","superuser","BitandBobsA15"
"61489","580","Scabbard Chape","","Sold at Sotheby's 19/11/24,Collection of W.J. Knowles, M.R.I.A. of Flixton Place, Ballymena (from the Buick Collection)","Ireland,Antrim,Lisnacroghera Crannog","Broughshane, Ballymena, Ballymena, Royaume-Uni","-6.2103","54.8925","","None","None","None","96.5","socket 34; Ball 26","","","thick patina, dark brown.","smooth.","Ball 25.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25958920793","https://farm2.staticflickr.com/1701/25958920793_9d112e1ef0_m.jpg","superuser","BitandBobsA15"
"61490","580","Cast Fragment, Large","","Shrewsbury Museum,donor Mr. T. Beacall.","England,Shropshire,Battlefield,hoard found near a hedge when ploughing.","Battlefield, Shrewsbury, Shropshire SY1, Royaume-Uni","-2.7187","52.7411","","None","None","None","150","47; 38","","368.55","","covered with patches of iron stains, & very rough.","11","","","One of 5 objects, 3 were exhibited to S of A, 16 Apl. 1863, by Saml. Wood FSA, & stated to have been found with a large number of bronze objects, most of these were melted. The 5 were No. J40 in the Exhibn. of Shrops. Ant. 1898, & described as ""possibly grappling instruments affixed to scaling ladders"".","This is twisted.","Figd. in Proc. Soc. Ant. II (2nd S), p. 252.,S.A.T. X (2nd S), p. 108, & III (3rd S), p. xxii.,Evans B. Impts.p. 43, suggests no purpose for these 5 objects, but calls them ""sickle like"" p. 43, 405.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26495775551","https://farm2.staticflickr.com/1545/26495775551_27ac7829e5_m.jpg","superuser","BitandBobsA15"
"61491","580","Cast Fragment. Large with Tang.","","Shrewsbury Museum,donor Mr. T. Beacall.","England,Shropshire,Battlefield,hoard found near a hedge when ploughing.","Battlefield, Shrewsbury, Shropshire SY1, Royaume-Uni","-2.7187","52.7411","","None","None","None","140","36; 33; 40, 45","","595.35","greenish grey patina, gold bronze shows.","several thick iron-like stains. Very rough uneven work.","9; 2","","Copper 68.4; Tin 6.8; Iron 0.2; Lead 24.2; Silver 0.06 = 98.22,Analysis by Prof. C.O. Bannister, University of Liverpool.","One of 5 objects. 3 were exhibited to S of A, 16 Apl. 1863, by Saml. Wood Esq, FSA, & stated to have been found with a large number of bronze objects - most of these were melted. The 5 were No. J.40 in the Exhibn. of Shrops. Ants. 1898 & described as ""Possibly grappling instruments affixed to scaling ladders.""","On the back are a few bright red patches as of enamel.","Figured in Proc. Soc. Ant. II (2nd S), p. 252; V(2), 431-2.,S.A.T. X (2nd S), p. 108, & III (3rd S), p. xxii.,Evans, B. I. p. 43, suggests no purpose for these 5 objects,but calls them ""sickle like"" p. 43, 405.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26469515922","https://farm2.staticflickr.com/1691/26469515922_410e19d52a_m.jpg","superuser","BitandBobsA15"
"61492","580","Cast Fragment. ?Tang.","","Shrewsbury Museum,donor Mr. T. Beacall.","England,Shropshire,Battlefield,hoard found near a hedge when ploughing.","Battlefield, Shrewsbury, Shropshire SY1, Royaume-Uni","-2.7187","52.7411","","None","None","None","93","56; 65","","212.65","","very rough & iron stained.","10; 8","","","One of 5 objects. 3 were exhibited to S of A, 16 Apl. 1863, by Saml. Wood Esq, FSA, & stated to have been found with a large number of bronze objects - most of these were melted. The 5 were No. J.40 in the Exhibn. of Shrops. Ants. 1898 & described as ""Possibly grappling instruments affixed to scaling ladders.""","","Figured in Proc. Soc. Ant. II (2nd S), p. 252,S.A.T. X (2nd S), p. 108, & III (3rd S), p. xxii.,Evans, B. I. p. 43, suggests no purpose for these 5 objects,but calls them ""sickle like"" p. 43, 405.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26469515792","https://farm2.staticflickr.com/1446/26469515792_6c2dc54c80_m.jpg","superuser","BitandBobsA15"
"61493","580","Cast Fragment. Large, with Tang.","","Shrewsbury Museum,donor Mr. T. Beacall.","England,Shropshire,Battlefield,hoard found near a hedge when ploughing.","Battlefield, Shrewsbury, Shropshire SY1, Royaume-Uni","-2.7187","52.7411","","None","None","None","126","81","","382.72","","very rough & iron stained.","10","","","One of 5 objects. 3 were exhibited to S of A, 16 Apl. 1863, by Saml. Wood Esq, FSA, & stated to have been found with a large number of bronze objects - most of these were melted. The 5 were No. J.40 in the Exhibn. of Shrops. Ants. 1898 & described as ""Possibly grappling instruments affixed to scaling ladders.""","","Figured in Proc. Soc. Ant. II (2nd S), p. 252,S.A.T. X (2nd S), p. 108, & III (3rd S), p. xxii.,Evans, B. Imps. p. 43, 405, suggests no purpose for these 5 objects,but calls them ""sickle like"".","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25958921073","https://farm2.staticflickr.com/1608/25958921073_f1f9c02457_m.jpg","superuser","BitandBobsA15"
"61494","580","Cast Fragment. ?Large with Tang.","","Shrewsbury Museum,donor Mr. T. Beacall., ,","England,Shropshire,Battlefield,hoard found near a hedge when ploughing.","Battlefield, Shrewsbury, Shropshire SY1, Royaume-Uni","-2.7187","52.7411","","None","None","None","90","98","","261.4","","all very rough, heavy iron stains covering most of face not shown.","6","","","One of 5 objects. 3 were exhibited to S of A, 16 Apl. 1863, by Saml. Wood Esq, FSA, & stated to have been found with a large number of bronze objects - most of these were melted. The 5 were No. J.40 in the Exhibn. of Shrops. Ants. 1898 & described as ""Possibly grappling instruments affixed to scaling ladders.""","","Figured in Proc. Soc. Ant. II (2nd S), p. 252,S.A.T. X (2nd S), p. 108, & III (3rd S), p. xxii.,Evans, B. I. p. 43, suggests no purpose for these 5 objects,but calls them ""sickle like"" p. 43, 405.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26535841416","https://farm2.staticflickr.com/1654/26535841416_b3a19c8432_m.jpg","superuser","BitandBobsA15"
"61495","580","Spearhead","","","Berks,Newbury","Newbury, West Berkshire, Royaume-Uni","-1.3231","51.4014","","None","None","None","","","","","","","","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26469515342","https://farm2.staticflickr.com/1700/26469515342_bb599bc566_m.jpg","superuser","BitandBobsA15"
"61496","580","Spearhead","","","Oxfords (Berks),Abingdon","Abingdon-on-Thames, Abingdon, Oxfordshire OX14, Royaume-Uni","-1.288","51.6708","","None","None","None","","","","","","","","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26469515112","https://farm2.staticflickr.com/1574/26469515112_cbe700b0af_m.jpg","superuser","BitandBobsA15"
"61497","580","Palstave, Looped","II1C","Bodmin Museum, Cornwall","England,Cornwall,Bodmin,Deens Garden in Fore St.,7th Nov. 1849","Bodmin, Bodmin, Cornouailles, Royaume-Uni","-4.7189","50.4715","","7","11","1849","146","edge 55; butt 22","","394","Dark coloured patina with traces of green carbonate","","28","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26469516182","https://farm2.staticflickr.com/1657/26469516182_b632721991_m.jpg","superuser","BitandBobsA15"
