"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"59100","580","Socketed Axe Frag.","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.323","51.4784","","None","None","None","","","","","","","","","","","Blade fragment.","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25071106045","https://farm2.staticflickr.com/1489/25071106045_d406c29c1a_m.jpg","superuser","BitsandBobsPt2"
"59101","580","Socketed Axe frag.","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.323","51.4784","","None","None","None","","","","","","","","","","","Blade fragment.","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24952977232","https://farm2.staticflickr.com/1514/24952977232_2fd6a66d75_m.jpg","superuser","BitsandBobsPt2"
"59102","580","Socketed Axe frag.","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.323","51.4784","","None","None","None","","","","","","","","","","","Mouth/Socket fragment","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25044762296","https://farm2.staticflickr.com/1504/25044762296_64e152e740_m.jpg","superuser","BitsandBobsPt2"
"59103","580","Socketed Axe frag.","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.323","51.4784","","None","None","None","","","","","","","","","","","Mouth/Socket fragment.","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25044762206","https://farm2.staticflickr.com/1588/25044762206_28ca65363f_m.jpg","superuser","BitsandBobsPt2"
"59104","580","Socketed Axe","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.323","51.4784","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25071105465","https://farm2.staticflickr.com/1710/25071105465_bb9f19b9ce_m.jpg","superuser","BitsandBobsPt2"
"59105","580","Socketed Axe","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.323","51.4784","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24952976752","https://farm2.staticflickr.com/1570/24952976752_6bf8b78650_m.jpg","superuser","BitsandBobsPt2"
"59106","580","Socketed Axe frag.","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.323","51.4784","","None","None","None","","","","","","","","","","","Blade fragment.","","JW - Unidentified cards from BA Index drawer","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24775496250","https://farm2.staticflickr.com/1712/24775496250_94a20e1003_m.jpg","superuser","BitsandBobsPt2"
"59107","580","Socketed Axe","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.323","51.4784","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24703461159","https://farm2.staticflickr.com/1643/24703461159_45773cb522_m.jpg","superuser","BitsandBobsPt2"
"59108","580","Socketed Axe","","","Martin's Farm,Gt. Dunmow,Essex.","Great Dunmow, Dunmow, Essex CM6, Royaume-Uni","0.3579","51.8731","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25044761336","https://farm2.staticflickr.com/1528/25044761336_36accfb24d_m.jpg","superuser","BitsandBobsPt2"
"59109","580","Socketed Axe","","","Romford,Havering,","Romford, Grand Londres, Royaume-Uni","0.1783","51.5771","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24952976052","https://farm2.staticflickr.com/1533/24952976052_72fdda2263_m.jpg","superuser","BitsandBobsPt2"
"59110","580","Socketed Axe","","","Romford,Havering,Essex.","Romford, Grand Londres, Royaume-Uni","0.1783","51.5771","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25044760996","https://farm2.staticflickr.com/1546/25044760996_35d7e800b8_m.jpg","superuser","BitsandBobsPt2"
"59111","580","Sockted Axe","","","Romford,Havering,Essex","Romford, Grand Londres, Royaume-Uni","0.1783","51.5771","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24952975652","https://farm2.staticflickr.com/1617/24952975652_2bb016c718_m.jpg","superuser","BitsandBobsPt2"
"59112","580","Winged Axe","","","Romford,Havering,Essex","Romford, Grand Londres, Royaume-Uni","0.1783","51.5771","","None","None","None","","","","","","","","","","","","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25044760546","https://farm2.staticflickr.com/1603/25044760546_fc808cfaf9_m.jpg","superuser","BitsandBobsPt2"
