"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"11816","243","Socketed Axe","MII2,{Red Dot}","British Museum, W.G. 2145.,Given by J. Pierpoint Morgans, Esq. 1909.,Greenwell Collection.","England,HUMBERSIDE (Yorkes),Sproatley,1852","Sproatley, Hull, East Riding of Yorkshire HU11, UK","-0.1916","53.7944","TA 19 34","None","None","1852","88","","47","204","Metallic dark green","","39","3 cross section drawings of socketed axe on reverse, listed as inaccurate.","","Hoard of 9 socketed axes.","cracked across one face; loop waisted form through flaws in casting.","","Inacc,CI","Jeff Okazaki","https://farm4.staticflickr.com/3918/14961623468_2d6d73599a_b.jpg","https://www.flickr.com/photos/MicroPasts/14961623468","superuser","DrawerA16"
"11817",,"Socketed Axe","K IIz","British Museum W.G. 2146, , Given by J. Pierrepoint Morgan, Esq., 1909, , Greenwell Collection","England, Humberside (Yorks), Sproatley","Sproatley",,,"TA19 34","None","None","1852","81.5","48","","197","Brown & green","Pitted","40","","","Hoard of 9 socketed axes","socket broken","","A OK?","Anon.","https://farm4.staticflickr.com/3858/14961623538_4cf25a8f9f_b.jpg","https://www.flickr.com/photos/MicroPasts/14961623538","most detailed record","DrawerA16"
"11818","482","Socketed Axe","N II 2","British Museum WG 2147, , Given by J Pierpoint Morgan Esq.,1909, , Greenwell Collection","England, Humberside (Yorks), Sproatley","Sproatley, Hull, East Riding of Yorkshire HU11, UK","-0.1916","53.7944","TA  19 34","None","None","1852","75","45","","162","Metallic brown and green patina","","40","","","Hoard of 9 socketed axes","","","","scruffyarcher","https://farm4.staticflickr.com/3850/14961525910_ce8401f2b7_b.jpg","https://www.flickr.com/photos/MicroPasts/14961525910","most detailed record","DrawerA16"
"11819","482","Socketed Axe","M II 2","British Museum WG 2148, , Given by J Pierpoint Morgan Ssq.,1909, , Greenwell Collection","England, Humberside (Yorks), Sproatley,","Sproatley, Hull, East Riding of Yorkshire HU11, UK","-0.1916","53.7944","TA 19 34","None","None","1852","65","42","","663","Brown and green","","34","","","Hoard of 9 socketed axes","Cracked down one face","","","scruffyarcher","https://farm6.staticflickr.com/5552/15148183255_a1f1c64782_b.jpg","https://www.flickr.com/photos/MicroPasts/15148183255","most detailed record","DrawerA16"
"11820","482","Socketed Celt Frag[ment]","M I 2","British Museum   WG  2168.5","England, Humberside (Yorks), Sproatley","Sproatley","-0.1916","53.7944","TA 19 34","None","None","None","61","48","61","108","Golden bronze, green patina in a few pits and on the fractured cutting edge.","Mostly smooth","19","","","Hoard","Large part of butt missing and whole of cutting edge.  Surface of metal has been drastically cleaned and three ribs running from butt to edge almost obliterated. Prominent mould marks.","","","scruffyarcher","https://farm4.staticflickr.com/3871/14961622938_c37e938478_b.jpg","https://www.flickr.com/photos/MicroPasts/14961622938","most detailed record","DrawerA16"
"11821","482","Socketed Axe","U III s","British Museum WG 2130, , Given by J Pierpoint Morgan Esq 1909, , Greenwell collection","Humberside, West Halton??","","-0.1916","53.7944","SE 90  20","None","None","1852","97","","67","177","Green and brown patina","","87","I do not think this card can be completed as it stands because the location does not make sense. I entered 'West Halton' in the geolocator and got a location near Scunthorpe in Lincolnshire NOT Humberside as stated. All the evidence (collection, date) suggest it was found in Sproatley along with the other 9 implements from the Greenwell collection! I wrote that before I noticed that the number has now risen to 18! IF we are dealing with the same hoard......","","Part of a hoard of 18 socketed axes, scrap metal or casting jet","square section with rounded angles. Socket damaged","Archeological Journal  X, 69","","scruffyarcher","https://farm4.staticflickr.com/3916/14961617737_cf7f662a1d_b.jpg","https://www.flickr.com/photos/MicroPasts/14961617737","most detailed record","DrawerA16"
"11822","482","Socketed Axe","J II 2","British Museum WG  2131, , Given by J Pierpoint Morgan, Esq.,  1909, , Greenwell Collection","Humberside, West Halton","West Halton, Scunthorpe, North Lincolnshire DN15, UK","-0.6327","53.6783","SE 90 20","None","None","1852","102","69","","177","grey and green patina","","47","Same discrepancy with earlier cards as the previous one; site in West Halton is near  Scunthorpe in Licolnshire not Humberside, Hoard is now composed of 18 artefacts instead of 9.West Halton could be described as Humberside, but it is on the opposite side of the Humber to Sproatley where the earlier cards on this location reported the site to be. The larger number of finds could be down to this being a different collection but from the same area.","","","Two parallel ribs on face","Archeological Journal","Part of a hoard of 18 socketed axes, scrap metal and casting jet","scruffyarcher","https://farm6.staticflickr.com/5574/14961525130_8d9d36e4d1_b.jpg","https://www.flickr.com/photos/MicroPasts/14961525130","most detailed record","DrawerA16"
"11823",,"Socketed Axe","red B II 3","British Museum, , 1981-10-19           1., , Purchased from G.F. Laurence, Esq., , T West Hill, Ward withe, S.W.W.","England, Bexkokixe, Bsay-on-Thames","Bsay-on-Thames",,,"SV 90,79","19","10","1981","109mm","47mm","not listed","172 grammes","not listed","bluish green","35 mm","","Faceted with circular socket","Forward with 2 oles socket-ed access, a wimped on sac, fragment of socketed, kike spear-head","not listed","none","none","Anon.","https://farm6.staticflickr.com/5559/15145198891_4e2b42bae9_b.jpg","https://www.flickr.com/photos/MicroPasts/15145198891","most detailed record","DrawerA16"
"11824","473","Socketed Axe","NII2","British Musem, 1931-10-19 2, Purchased from G.F.Lawrence Esq, y West Hill, Wandsworth, S.W.18","England, Berkshire, Bray-on-Thames.","Forest Green Road, Maidenhead, Windsor and Maidenhead SL6 2NR, UK","-0.6693","51.4679","SV 90 79","None","None","None","105","44","","288","bronze green","Brown surface corroded b.g.","43","Unsure what is written under Remarks (above 'New drawing available')","Square socket & four ribs on face three on other side","Found with 2 other socketed axes, a winged axe, fragments of socketed axe, socketed knife, spear-head and 3 coffer cakes.","","","New drawing available","Dina Fathalla","https://farm4.staticflickr.com/3861/15147786822_bae8407dc4_b.jpg","https://www.flickr.com/photos/MicroPasts/15147786822","superuser","DrawerA16"
"11825","679","Socketed Axe","VII 2","British Museum, , 1931 - 10 - 19            3, , Purchased from G.F.Lawrence Esq, ,                            7 West hill,  Wandsworth,S.W,","England, Berkshire, Bray - on- Thames","Bray on Thames",,,"SV 90  79","None","None","None","99.5","46","","231","scratched and corroded in patches","bronze and green","43.5","","heavy lip but no ornament","Found with 2 other socketed axes, one winged axe, fragments of socketed axe, spear-head and 3 copper cakes.","","","new drawing available.","Elizabeth Dale","https://farm6.staticflickr.com/5563/14961473439_871f963f92_b.jpg","https://www.flickr.com/photos/MicroPasts/14961473439","most detailed record","DrawerA16"
"11826","679","Winged Axe","","British Museum, 1931.   10-19.  4","BERKS, Bray","Bray berks",,,"","None","None","None","130","33","","","","bronze and olive green with light corroded patches","","","","Hoard of 10 pieces","","","","Elizabeth Dale","https://farm4.staticflickr.com/3898/15147786612_ef72a02e58_b.jpg","https://www.flickr.com/photos/MicroPasts/15147786612","most detailed record","DrawerA16"
"11827","482","winged axe","","BM 1931 10- 19- 9","Berks, Bray","Bray, Maidenhead, Windsor and Maidenhead SL6, UK","-0.7017","51.5077","","None","None","None","","","","","","","","No measurements, descriptions or associations and no drawing. what little there is on the card is written in pencil","","","","","","scruffyarcher","https://farm4.staticflickr.com/3855/14961473299_3fcf978cf7_b.jpg","https://www.flickr.com/photos/MicroPasts/14961473299","most detailed record","DrawerA16"
"11828","543","Winged Axe","a red dot and a tick","British Museum 1931-10-19. 4,purchased from G.F. Lawrence Esq., 7 West Hill, Wandsworth, SW","England,Berkshire,Bray","Bray, Maidenhead, Windsor and Maidenhead SL6, UK","-0.7017","51.5077","","None","None","None","130","","35","345","bronze and olive green with light corroded patches","","29,see transcriber comment","Top left corner says “SU 90” and on the next line, “79” (aligned under the “90”). Thickness recorded as 29cm (i.e. 290mm) on front of card, but diagram (and context) indicate it should be 29mm. Bottom left of card says ”inacc.” Bottom right of card says “CI” or “C1”. There is a number ""4"" next to the diagram","","Found with 3 socketed axes, fragments of socketed axe, socketed knife and spear-head, and 3 copper cakes","Cutting edge broken","","","Jane Fellows","https://farm6.staticflickr.com/5580/14961524630_98043623b7_b.jpg","https://www.flickr.com/photos/MicroPasts/14961524630","most detailed record","DrawerA16"
"11829","543","Socketed Knife frag","a red dot & ""B""","British Museum, 1931. 10-19. 6","England,Berks,Bray","Bray, Maidenhead, Windsor and Maidenhead SL6, UK","-0.7017","51.5077","","None","None","None","60","","23","","","greenish and corroded","","Bottom left of card says ""KW""","","Hoard of 10 pieces","","","","Jane Fellows","https://farm4.staticflickr.com/3872/15147786162_8b4b9c48e6_b.jpg","https://www.flickr.com/photos/MicroPasts/15147786162","most detailed record","DrawerA16"
"11830","543","3 Copper Cakes","","London, British Museum 1931-10-19. 7","England,Berks,Bray","Bray, Maidenhead, Windsor and Maidenhead SL6, UK","-0.7017","51.5077","","None","None","None","","","","","","","","","","Hoard of 10 pieces","","","","Jane Fellows","https://farm4.staticflickr.com/3883/14961621918_0fd1ed9d33_b.jpg","https://www.flickr.com/photos/MicroPasts/14961621918","most detailed record","DrawerA16"
"11831","473","Socketed Axe (frag)","II - frag","British Museum, 1931-10-19 y, Purchased from","England, Berkshire, Bray-on-Thames.","Stroud Farm Road, Holyport, Maidenhead, Windsor and Maidenhead SL6 2LJ, UK","-0.7032","51.4874","SU 90 79","None","None","None","49","34","","","","Dk grey + green + light corrosion","13","","","Found with 3 socketed axes, 1 winged axe, fragments of socketed knife, spear-head and 3 coffer cakes","","","Inace, New drawing available","Dina Fathalla","https://farm6.staticflickr.com/5574/15148182235_a4b4ea78fe_b.jpg","https://www.flickr.com/photos/MicroPasts/15148182235","superuser","DrawerA16"
"11832","694","Spearhead IV","","British Museum 1862.7.19.10","England,Berkshire,West,L Hagbourne,HagbourneHill","West Berkshire, UK","-1.2814","51.466","SUSI,87","None","None","1803","71","at mouth of [...]15,across top 12","","23","Very dark [...]; traces of golden bronze colour along ridge of midrib.","Smooth, except along edges of [...] of blade.","at mouth of [...] 16,across midrib at top 6","","","1 Spearhead IV; 1 Spearhead Fragment. Found apparently with 2 bronze bridle-bits; 3 bronze pins; 3 bronze-a-sion [...] [...], all of 1a time period. Socketed Axes, torcs, & coins are also reported.","Most of the blade is missing. The remaining edges of the [...] of blade are rough and torn. Locket becomes solid 56mm from its mouth. Well marked mid'rib.","Archaeologia. XVI: p 343-348","Seems to be from same mould as the other Spearhead IV from the site. (1861.9.20.6.)","Stephanie Choy","https://farm4.staticflickr.com/3839/15145197741_dd9df6f30f_b.jpg","https://www.flickr.com/photos/MicroPasts/15145197741","most detailed record","DrawerA16"
"11833","694","Spearhead Fragment","frag","British Museum 1862.7.19.11","England,Berkshire,West,L Hagbourne,Hagbourne Hill","","-1.2814","51.466","SU51,87","None","None","1803","62","across lowest part 25","","23","Black, Golden bronze colour at point and across base.","pitted on one side, the other smooth.","10","","","2 Spearheads IV, found apparently with 2 bronze Bridle-bits; 3 bronze pins; 3 bronze-&-iron [...] rings, all of La Time Period. Socketed Axes, torcs & coins also reported.","upper part only of spearhead, probably class IV. Strongly marked midrib; socket extends about 21 mm up from the fracture. Point broken off.","Archaeologia XVI. p 343-348","","Stephanie Choy","https://farm6.staticflickr.com/5563/15147785722_dbe6f93807_b.jpg","https://www.flickr.com/photos/MicroPasts/15147785722","most detailed record","DrawerA16"
"11834",,"Spearhead IV","[...] socket, , Side view [...], , F, , , , , ,","British Museum 1861.9.20.6","OXFORDSHIRE (Berkshire), West Hogbourne,, Hogbourne Hill","",,,"SU 51 87","None","None","None","96","[...]8","","30","Black, traces of golden bronze on one side of blade, a few patches of green","Smooth","","Thickness , , ...... at base of socket 14 mm, , ...... at widest part 7 mm","","1 Spearhead IV, 1 Spearhead fragment.  Found apparently with two bronze bridle bits, three bronze pins, three bronze and iron [...]-rings, all of La [...] Period.  Socketed axes, [...], [...] coins are also reported.","Point broken off, edges of blade slightly chipped.  Strongly [...] [...].  Socket becomes solid 53 mm from its mouth.","Archaeologia XVI. p. 343 - 348","Ok, , , , Appears to be from same mould as the other spearhead IV from the same site. (1862.7.19.10)  C1","Anon.","https://farm4.staticflickr.com/3846/14961616197_a0463d945e_b.jpg","https://www.flickr.com/photos/MicroPasts/14961616197","most detailed record","DrawerA16"
"11835","64","Bronze Palstave","I1A","British Museum,WG 1913","England,Cambridge-shire,Grantchester, Cambridge,""B""","Grantchester, Cambridge, Cambridgeshire CB3, UK","0.0931","52.1809","TL 43 55","None","None","None","188","Butt 24, Blade 72","","342","Light brown","Smooth","23","","Bronze","Found with socketed celt (marked 'A')","Strong side & stop ridges. Cutting edge damaged.","","Almost OK (too thin)","Hugh Fiske","https://farm4.staticflickr.com/3893/14961523730_fa7b95ed2b_b.jpg","https://www.flickr.com/photos/MicroPasts/14961523730","superuser","DrawerA16"
"11836","64","Bronze socketed celt with loop","UI2","British Museum WG 1912","England,Cambridgeshire,Grantchester,""A""","Grantchester, Cambridge, Cambridgeshire CB3, UK","0.0931","52.1809","TL 43 55","None","None","None","105","Butt 43,Blade 54","","272","Brown","Smooth","42","","Bronze","Found with ""B"" (A palstave)","moulded smooth, long loop","","Inacc.,""A""","Hugh Fiske","https://farm4.staticflickr.com/3880/15148181775_1048b0c21b_b.jpg","https://www.flickr.com/photos/MicroPasts/15148181775","superuser","DrawerA16"
"11837","482","Socketed Celt","N II 2","British Museum, , 80- 11- 24- 1, , Presented by AW Franks Esq,, , ( Henry Medland, Melbourn, Royston), , 24/11/1880","England, Cambridge, Meldreth, Royston","Meldreth, Royston, Cambridgeshire SG8, UK","0.0061","52.0996","TL 37 26","None","None","1880","107","","50","386","dark green","slightly corroded","39","Described under Site as ""Founder's hoard. All found together by a workman in Nov 1880 near Meldreth Station Royston, Cambs. Stated to be the whole of the find."" Under Associations described as 1-53 and listed as follows:, , 17 socketed celts, , 5 fragments "", , 2  ""     winged celts, , 1 chisel, , 1 gouge, , 1 spearhead, , 2 fragments  "", , 6 fragments swords, , 1 knife or razor, , 2 pieces of edge of vessel, , 1 rough piece from casting, , 15 copper cakes, , 9 odd fragments","","I- 53 see list under ""Transcriber's Comments""","Containing rough piece of copper. Three ribs on each side","","","scruffyarcher","https://farm4.staticflickr.com/3872/15148181595_99b5c7ec7f_b.jpg","https://www.flickr.com/photos/MicroPasts/15148181595","most detailed record","DrawerA16"
"11838","570","Socketed Celt","NI2","British Museum, , 80-11-24-2, , Presented by A. W. Franks Esq, , (Henry Medland, Melbourne, Royston), , 24/11/1880","England, Cambridgeshire, Meldreth, Founder's hoard, All found together by a workman in Nov.1880 near Meldreth station,Royston, Cambs. Stated to be the whole of the find","Meldreth, Royston, Cambridgeshire SG8, UK","0.0061","52.0996","TL37,46","None","11","1880","100","54","","310","metallic dashgreen","Non corroded","42","Length 10.0 cms - all other measurements of length no units given, therefore assumed to be cms and converted into mm above","","1-53","Three ribs","","17 Socketed Celts,5 Fragments Celts,2 Fragments Winged Celts?,1 Chisel?,1 Spearhead,2 Fragments Spearhead,6 Fragments swords,1 Knife or razor,2 Pieces edge of [...]cssel,1 Rough piece from casting,15 Copper cakes,9 odd fragments","John Marr","https://farm6.staticflickr.com/5569/14961615767_4485aa92b9_b.jpg","https://www.flickr.com/photos/MicroPasts/14961615767","most detailed record","DrawerA16"
