"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"62215","580","Bar or Handle (fragment)","","Scunthorpe Museum, Lines.","England,Rutland,Ridlington (near Uppingham),In trial hole for ironstone,,found by Mr. G. Pinder,,c.1910-12","Ridlington, Oakham, Rutland LE15, Royaume-Uni","-0.7507","52.6147","","None","None","None","","setion 11 x 6","","163.0097","Olive-green patina, chipped in places.","","","Weight: 5 3/4 oz","","","Side decorated with engraved circles, 4 mm. diameter, 5 mm. apart.","","Not an Ösenhelsring A with this section. Some Danish M III are of separated section altough not with reverted ends: Broholm: Bronze [...] I, 1943 141 (Gr. 1393) & Olde [...] Metalteknik, Del V, 25","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27007634821","https://farm8.staticflickr.com/7213/27007634821_60542e034b_m.jpg","superuser","DubiousBA"
"62216","580","Links of Chain","","Tonbridge School Museum.,Tonbridge, Kent","Unprov.","","-0.7507","52.6147","","None","None","None","","","","","","","","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26472404133","https://farm8.staticflickr.com/7195/26472404133_8b9a9b26e4_m.jpg","superuser","DubiousBA"
"62217","580","Rod","","Cyfartha Castle Museum.,Merthys Tydfil. ?91,obtained 1911.","locality unknown","","-0.7507","52.6147","","None","None","None","231","","","72","blackish green.","","9; 8","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26981637182","https://farm8.staticflickr.com/7363/26981637182_6c865428be_m.jpg","superuser","DubiousBA"
"62218","580","","","Museum of Archaeology & Ethnology, Cambridge","Unprov.","","-0.7507","52.6147","","None","None","None","127.5","21","","69","Black patina & metal showing through.","uneven, though shiny.","10","","","","Very roughly cast flat spoon-shaped object: a heavy rounded ridge starts from near the top of the head & loses itself in the pointed end. The back is flat.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27007634541","https://farm8.staticflickr.com/7027/27007634541_67af127aa9_m.jpg","superuser","DubiousBA"
"62219","433","","","Museum of Archaeology + Ethnology, Cambridge,No. 355, but this number is not in the Murray Catalogue","Unprov.","",,,"","None","None","None","59.5","13.5","","5","Green patina","Corroded","","","","","?Brooch with ornament at one end and long spur at the other. The ornament bears a beaded circle in the middle surrounded by 3 alternating bosses and 3 hollows. The whole looking rather like a flower. There is a projecting tongue at the back of this ornament to which a pin may have been attached.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26472402803","https://farm8.staticflickr.com/7323/26472402803_8eb097ef91_m.jpg","superuser","DubiousBA"
"62220","433","","","Ipswich Museum,Christchurch Mansion Collection,No. 1920.51.50","Unprov. site unknown","",,,"","None","None","None","","99 x 98","","","","","7","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26981636722","https://farm8.staticflickr.com/7223/26981636722_ebd1d2d31b_m.jpg","superuser","DubiousBA"
"62221","433","Bronze Base","","Ipswich Museum,Christchurch Mansion Collection,No. 1920 51.49","Unprov.,Site unknown","",,,"","None","None","None","","106 x 104","","","","","7","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/27007634331","https://farm8.staticflickr.com/7111/27007634331_72d239a710_m.jpg","superuser","DubiousBA"
"62222","433","","","Private Collection,E.N. Witchell, Esq., Stroud, Glos.","Unprov.","",,,"","None","None","None","175.5","24, 19, 23, 18.25","","49.61","Matte patina medium green","Slightly rough. Corroded light green in places","2, 2.5","","","","The end which measures 24mm, has evidently been a sharp edge, but is now much chipped. This specimen is much the same thickness all along, but tapers very slightly towards the ""edge"" end. The other end appears to have been snapped off. The side marked X seems to have been sharpened (from arrow to arrow) on both faces.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/27042870456","https://farm8.staticflickr.com/7708/27042870456_c5a782703f_m.jpg","superuser","DubiousBA"
"62223","433","","","Liverpool Museum, 7413M","Unprov.,Locality unknown","",,,"","None","None","None","118","","","368.55","","","22.5","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26981636982","https://farm8.staticflickr.com/7302/26981636982_1a4f85526f_m.jpg","superuser","DubiousBA"
"62224","433","","","Liverpool Museum, 7413","Unprov.,Locality unknown","",,,"","None","None","None","45","35","","74.42","Green to brown","","21","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26981636082","https://farm8.staticflickr.com/7308/26981636082_3d7b3cd68b_m.jpg","superuser","DubiousBA"
