"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"40500","433","Bracelet","","Brentford Public Library,Layton Collection, 01610","Austria,Upper Austria,Linz","Linz, Austria","14.2858","48.3069","","None","None","None","93.75","80","","","Polished patina medium + dark green.","Smooth, except where corroded.","5.5 x 11","","","","Incised ornament. The groups of 3 lines running across the outside edge, are heavily indented.","","Label: Linz, Aust.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17985538394","https://farm9.staticflickr.com/8875/17985538394_2bf7bdfc35_m.jpg","superuser","ForeignJewelery"
"40501","433","Rings","","Sold at Sotheby's, 23rd July 1926, Lot 460; owner unknown","Cyprus","Cyprus","33.4299","35.1264","","None","None","None","","A: 22 x 22; B: 24.5 x 24.5; C: 37.5 x 36.5","","","A: Rusty green + light green coloured. B: Brown rust + light green corrosive patina. Not encrusted; C: Thickly encrusted darkish green matte patina.","A: Smooth.","B: 11; C: 13.5","","","","A: Round section. B: Round in section, ends are thinner.","","In this lot there were 15 split rings + 1 plain one (+ other items).  The largest measures 45mm across.  Two items of Lot 460 were not drawn: one a bell and the other an ornament.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18581781246","https://farm1.staticflickr.com/557/18581781246_9323bdcbf7_m.jpg","superuser","ForeignJewelery"
"40502","433","Armlet","","Nationalmuseet, Copenhagen,No. B8391","Denmark,Festykke H.,Stenlose S.","3660 Stenløse, Denmark","12.1983","55.7686","","None","None","None","","Span 116; band 12.5","","Approx. 5","","","","","","","Thin bronze band with hole at one end, ornamented with small bosses. Broken in 2 places. Also 2 tiny fragments.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17987498363","https://farm9.staticflickr.com/8844/17987498363_ff73bb7a67_m.jpg","superuser","ForeignJewelery"
"40503","433","Armlet","","Nationalmuseet, Copenhagen,No. B3889","Denmark,Stovring H.,Harritsler S.","9530 Støvring, Denmark","9.83","56.8881","","None","None","None","Diameter 103","90.5; centre 32.5; near end 15.5","","839","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18420445050","https://farm9.staticflickr.com/8899/18420445050_2dd505cf9b_m.jpg","superuser","ForeignJewelery"
"40504","433","7 Large Rings","","Nationalmuseet, Copenhagen,No. 3891 (1),6 others of same No.","Denmark,Festykke H.,Stenlose S.","3660 Stenløse, Denmark","12.1983","55.7686","","None","None","None","","near end 10, centre 12","","1) 500; 2) 425; 3) 295; 4: 269; 5) 255; 6) 204; 7) 246","","","","","","","Diameter 130. One of 7 similar rings. Circular section.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18581714186","https://farm9.staticflickr.com/8883/18581714186_cf5f747458_m.jpg","superuser","ForeignJewelery"
"40505","433","8 Large Rings Armlets","","Nationalmuseet, Copenhagen,No. B. 3891 (8); 7 others of same No.","Denmark,Stovring H.,Harritsler S.","9530 Støvring, Denmark","9.83","56.8881","","None","None","None","Diameter 98","78.5; centre 18.5; end 13","","387","","","","","","","The smallest in diameter of 8. Circular section.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18420400520","https://farm1.staticflickr.com/562/18420400520_eda004f6af_m.jpg","superuser","ForeignJewelery"
"40506","433","4 Armlets (1 drawn)","","Nationalmuseet, Copenhagen,No. B6985, a, b, c, d","Denmark,Stovring H.,Harritsler S.","9530 Støvring, Denmark","9.83","56.8881","","None","None","None","","of band 6.25; Diameter 69","","a) 15; b) 19 in two pieces; c) 16; d) 13","","","average 2","","","","4 bronze circles of flat wire, almost identical. Badly corroded.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18610201861","https://farm1.staticflickr.com/302/18610201861_8a972a9f5b_m.jpg","superuser","ForeignJewelery"
"40507","433","Bracelet","","Nationalmuseet, Copenhagen,No. A 11487","Denmark,Time H.,Greve S.","2670 Greve Strand, Denmark","12.2414","55.5985","","None","None","None","Diameter 62.5","Space between ends 39; near point 4.5, near butt 9.5","","41","","","","","","","Badly corroded","","Model Boar's Tusk?,Cf. B3936 (armlet), but also Nos. B 9641 + B10209","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17987387983","https://farm1.staticflickr.com/332/17987387983_3369a29307_m.jpg","superuser","ForeignJewelery"
"40508","433","Bracelet","","Nationalmuseet, Copenhagen,No. B 9641","Denmark,Norvavg H.,G. Suede S.","Denmark","9.5018","56.2639","","None","None","None","","","","229","","","","Site: Could not locate parish or district","","","Plain, solid + tapering.","","Compared to end of armlet B3936. ?model boar's tusk. Cf. Battlefield, Shropshire (L.F.Chitty)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17987367243","https://farm1.staticflickr.com/506/17987367243_5c4b527e31_m.jpg","superuser","ForeignJewelery"
"40509","433","Bracelet","","Nationalmuseet, Copenhagen,No. B 10209","Denmark?,Provenance unknown","Denmark","9.5018","56.2639","","None","None","None","","","","1) 82; 2) 85","","","","","","","2 fragments: one illustrated. Plain and solid.","","Cf. Nos. A11487 + B9641,Suggested as ends of armlets like B3936,? model boar's tusk. Cf. Battlefield, Shropshire (L.F.C)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18610138021","https://farm1.staticflickr.com/420/18610138021_a7d0d53960_m.jpg","superuser","ForeignJewelery"
"40510","433","Armlet","","Nationalmuseet, Copenhagen,No. B 3936","Denmark,Jutland,Salling,Rodding H.,Ramsing S.","7860 Ramsing, Denmark","8.8411","56.5967","","None","None","None","","","","712","","Pale dull bronze colour.","","","Bronze","","Armlet of twisted bronze. Circular in section + solid. Beautifully engraved + perfect preservation.","Illustrated by Sophus Muller, ""Oldtidens Kunst Bronzegealderen"", p. 3, Fig. 14","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18420217868","https://farm1.staticflickr.com/485/18420217868_0286384a88_m.jpg","superuser","ForeignJewelery"
