"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"41416","433","Sickle","","British Museum,WG 1432","Denmark,near Viborg","8800 Viborg, Denmark","9.3963","56.452","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19358907311","https://farm1.staticflickr.com/435/19358907311_26479e99c9_m.jpg","superuser","ForeignSickles"
"41417","433","Sickle","","British Museum,1888.0719.22","Europe,No Provenance","Europe","15.2551","54.526","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18734262613","https://farm1.staticflickr.com/443/18734262613_32073113fb_m.jpg","superuser","ForeignSickles"
"41418","433","Sickle","","British Museum,1856.0625.2,On display in Room 1-Enlightenment, Birth of Archaeology, Wall Press 195","Europe,No Provenance","Europe","15.2551","54.526","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328789636","https://farm1.staticflickr.com/528/19328789636_9de714a47d_m.jpg","superuser","ForeignSickles"
"41419","433","Sickle Blade","","British Museum","?Europe","Europe","15.2551","54.526","","None","None","None","","","","","","","","","Copper Alloy?","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167266180","https://farm1.staticflickr.com/517/19167266180_b1231d449f_m.jpg","superuser","ForeignSickles"
"41420","433","Sickle","","British Museum,WG 143","France,Ardeche,Annonay","Annonay, France","4.6673","45.2394","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167266130","https://farm4.staticflickr.com/3674/19167266130_cbcfe40a52_m.jpg","superuser","ForeignSickles"
"41421","433","Sickle","","British Museum,WG 131","France,Dijon","Dijon, France","5.0415","47.322","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328789456","https://farm1.staticflickr.com/307/19328789456_4322721a58_m.jpg","superuser","ForeignSickles"
"41422","433","Sickle","","British Museum,88.12-18.61","?France,?Lac de Bourget","Lake Bourget, France","5.8696","45.7297","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19358907001","https://farm1.staticflickr.com/452/19358907001_9b5b294973_m.jpg","superuser","ForeignSickles"
"41423","433","Sickle","","British Museum,1868.1228.291","Germany,Saxony,Weissig,Weissig Hoard","Weißig am Raschütz, Germany","13.6564","51.3469","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18734262403","https://farm1.staticflickr.com/467/18734262403_ed7ef4bdcc_m.jpg","superuser","ForeignSickles"
"41424","433","Sickle","","British Museum,1908.0801.137","Germany,Fridingen,near Beuron","Fridingen, Germany","8.9225","48.0199","","None","None","None","","","","","","","","","Copper Alloy","","","Prat. B1, 1899, 1 pl. 1","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328789216","https://farm1.staticflickr.com/510/19328789216_fcc264439d_m.jpg","superuser","ForeignSickles"
"41425","433","Sickle","","British Museum,1868.1228.289","Germany,Prussia,near Eilenburg","Eilenburg, Germany","12.6177","51.4598","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167265890","https://farm1.staticflickr.com/452/19167265890_440980d0c1_m.jpg","superuser","ForeignSickles"
"41426","433","Sickle","","British Museum,1916.0605.173","Germany,Saxony,Camenz","Kamenz, Germany","14.1025","51.2749","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328789146","https://farm1.staticflickr.com/533/19328789146_c1e34e278d_m.jpg","superuser","ForeignSickles"
"41427","433","Sickle","","British Museum,1916.0605.170","Germany,Saxony,Camenz","Kamenz, Germany","14.1025","51.2749","","None","None","None","","","","","","","","","Copper Alloy","Hoard","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19354892575","https://farm1.staticflickr.com/308/19354892575_da6ce8bd30_m.jpg","superuser","ForeignSickles"
"41428","433","Sickle","","British Museum,1908.0801.138","Germany,Fridingen,near Beuron","Fridingen, Germany","8.9225","48.0199","","None","None","None","","","","","","","","","Copper Alloy","Hoard","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167265670","https://farm1.staticflickr.com/353/19167265670_538f44148e_m.jpg","superuser","ForeignSickles"
"41429","433","Sickle","","British Museum,1868.1228.292","Germany,Weissig,Weissig Hoard","Weißig am Raschütz, Germany","13.6564","51.3469","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18732369044","https://farm1.staticflickr.com/293/18732369044_c8d883fb39_m.jpg","superuser","ForeignSickles"
"41430","433","Sickle","","British Museum,1868.1228.293","Germany,Weissig,Weissig Hoard","Weißig am Raschütz, Germany","13.6564","51.3469","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19348799022","https://farm1.staticflickr.com/551/19348799022_10c41142cb_m.jpg","superuser","ForeignSickles"
"41431","433","Sickle","","British Museum,1868.1228.290","Germany,near Bautzen,(Lausitz)","Lausitz, Bad Liebenwerda, Germany","13.3482","51.5136","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167305288","https://farm1.staticflickr.com/482/19167305288_c56317f720_m.jpg","superuser","ForeignSickles"
"41432","433","Sickle","","British Museum,1876.0706.7","Germany,Saxony,Camenz","Kamenz, Germany","14.1025","51.2749","","None","None","None","","","","","","","","","Copper Alloy","","","PSA, III (1866), 328-336","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19348798822","https://farm1.staticflickr.com/287/19348798822_b6fcc0fa91_m.jpg","superuser","ForeignSickles"
"41433","433","Sickle","","British Museum,1867.0705.16","Germany,Saxony,?Camenz","Kamenz, Germany","14.1025","51.2749","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167305238","https://farm1.staticflickr.com/341/19167305238_55b396e0d7_m.jpg","superuser","ForeignSickles"
"41434","433","Sickle","","British Museum,1916.0605.172","Germany,Saxony,Camenz","Kamenz, Germany","14.1025","51.2749","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19348798572","https://farm1.staticflickr.com/433/19348798572_293c74677f_m.jpg","superuser","ForeignSickles"
"41435","433","Sickle","","British Museum,1916.0605.171","Germany,Saxony,Camenz","Kamenz, Germany","14.1025","51.2749","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19168730689","https://farm4.staticflickr.com/3826/19168730689_4b38147aba_m.jpg","superuser","ForeignSickles"
"41436","433","Sickle","","British Museum,WG 964","Germany,Rheinhessen,Bodenheim","Bodenheim, Germany","8.3127","49.9293","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19358906481","https://farm1.staticflickr.com/406/19358906481_cff0fe858f_m.jpg","superuser","ForeignSickles"
