"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"40572","580","Flange-hilted Dagger","","British Museum. 1964. 12-6. 115,ex Trechman collection.","Austria, NÖ.,Stockerau","Stockerau, Autriche","16.2157","48.3861","","None","None","None","216","max blade 22","","","","Varied; basis of green/grey bronze with patches of green corrosion and earth adhesions; one side of flanges and blade apparently ground with rather coarse file (? moden) at oblique angle.","4,Height of flanges 7","","","","","Harding, BMQ (1973)","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/18430182478","https://farm1.staticflickr.com/549/18430182478_0b9a43a304_m.jpg","superuser","ForeignWeapons"
"40573","580","Dagger","","Herts Cty. Mus., St. Albans","Austria","Autriche","14.5501","47.5162","","None","None","None","188","blade 29; hilt 29","","70.88","dark green in places.","somewhat encrusted","blade 5.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17997279483","https://farm9.staticflickr.com/8836/17997279483_e19f9af8a5_m.jpg","superuser","ForeignWeapons"
"40574","580","Dagger","","Herts Cty. Mus., St. Albans.","Austria","Autriche","14.5501","47.5162","","None","None","None","138.5","blade 26; 27","","63.78","dull patina greeny brown matt.","smooth","blade 4","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/18430211760","https://farm1.staticflickr.com/513/18430211760_9fe9a0551c_m.jpg","superuser","ForeignWeapons"
"40575","580","Spear-head","","Herts Cty. Mus., St. Albans.,Ball Collection","Austria","Autriche","14.5501","47.5162","","None","None","None","118","blade 27; tang 7","","21.26","dull green","rough","blade 2.5; tang 2.2","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17997237703","https://farm1.staticflickr.com/450/17997237703_9ff97515c1_m.jpg","superuser","ForeignWeapons"
"40576","580","Spear-head Class V","","Sotheby's Sale, 13. Dec. 1829. No. 27 (1),Vendor, C. Gove Jones, Esq.","Italy","Italie","12.5674","41.8719","","None","None","None","","","","","","","","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/18430109168","https://farm1.staticflickr.com/368/18430109168_7151385eab_m.jpg","superuser","ForeignWeapons"
"40577","433","","","Herts. Cty Museum, St. Albans,Ball Collection","Austria","Austria","14.5501","47.5162","","None","None","None","149","3.5, 12.5, 5.5","","35.43","Dark green matt","Smooth","4, 14.5, 2, 1.5","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18617833615","https://farm1.staticflickr.com/384/18617833615_5efe21e907_m.jpg","superuser","ForeignWeapons"
"40578","433","Spearhead","","Herts. Cty. Museum, St. Albans,Ball Collection","Austria","Austria","14.5501","47.5162","","None","None","None","190.5","blade 33; socket 24","","120.47","Dark green + bronze","Smooth","blade 13; socket 24","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18430131890","https://farm1.staticflickr.com/304/18430131890_6c6c96d36e_m.jpg","superuser","ForeignWeapons"
"40579","433","Spearhead","","Herts. Cty. Museum, St. Albans,Ball Collection","Austria","Austria","14.5501","47.5162","","None","None","None","187.5","blade 24; socket 18.5","","85.05","Brassey","Fairly smooth","blade 7","","","","The dotted line denotes the broken fragment which has become lodged inside the socket.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18619971541","https://farm1.staticflickr.com/259/18619971541_e38ba608c6_m.jpg","superuser","ForeignWeapons"
"40580","433","Spearhead","","Herts. Cty. Museum, St. Albans,Ball Collection","Austria","Austria","14.5501","47.5162","","None","None","None","132.5","blade 38.5; socket 24","","92.13","Dark green","Smooth","blade 9; socket 24","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18613175852","https://farm1.staticflickr.com/321/18613175852_49f0f81b7b_m.jpg","superuser","ForeignWeapons"
"40581","433","Spearhead","","Herts Cty. Museum, St. Albans,Ball Collection","Austria","Austria","14.5501","47.5162","","None","None","None","124.5","blade 24; socket 21.5","","77.96","green","Smooth","socket 22; blade 9.5","","","","2 Rivet holes.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18430040880","https://farm9.staticflickr.com/8839/18430040880_4ea72472c7_m.jpg","superuser","ForeignWeapons"
"40582","433","Spearhead","","Herts Cty. Museum, St. Albans,Ball Collection","Austria","Austria","14.5501","47.5162","","None","None","None","191.5","blade 32.5; socket 23.5","","148.83","bright olive green","Slightly encrusted at point of blade, otherwise smooth.","socket 23.5; blade 11","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18613133552","https://farm1.staticflickr.com/494/18613133552_aef989bff9_m.jpg","superuser","ForeignWeapons"
"40583","433","Spearhead","","Herts. Cty. Museum, St. Albans,Ball Collection","Austria","Austria","14.5501","47.5162","","None","None","None","171","blade 34, 38.5; socket 24","","120.47","patches of dark green","rather rough","blade 9; socket 24","","","","2 rivet holes","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18429935818","https://farm9.staticflickr.com/8879/18429935818_cbd5e0da0d_m.jpg","superuser","ForeignWeapons"
"40584","433","Spearhead","","Herts Cty. Museum, St. Albans,Ball Collection","Austria","Austria","14.5501","47.5162","","None","None","None","157.5","blade 31, 25.5; socket 28","","106.31","Light brown","Smooth","socket 17; blade 10","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18431497169","https://farm9.staticflickr.com/8892/18431497169_d84a17026f_m.jpg","superuser","ForeignWeapons"
"40585","433","Spearhead","","Herts County Museum, St. Albans (Herts),lent by Capt. J. H. Ball, RAF (No.   )","Austria","Austria","14.5501","47.5162","","None","None","None","91","blade 27.5; socket 23.5","","53.15","Dull patina of a browny green, with a light bluish green soft formation beneath.","Smooth","blade 11; socket 21","","","","The blade has a bead each side of socket tube, this on  both faces.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17996998483","https://farm1.staticflickr.com/380/17996998483_85e6fc9f84_m.jpg","superuser","ForeignWeapons"
