"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"63088","580","Bent-flanged Palstave","","Sotheby's Sale,14. 12. 25,Lot 273,property of Mons. Fenardent.","Ireland,Meath","Comté de Meath, Co. Meath, Irlande","-6.6564","53.6055","","None","None","None","133","edge 57; middle 28.5; butt 23.5","","","traces of very dark. Cleaned, dark golden bronze shows.","smooth, pitted","29; 11; 26.5","","","","","","painted on. Co Meath, 14931, O.X.X","Denis Antoine","https://www.flickr.com/photos/115096994@N02/28231836486","https://farm9.staticflickr.com/8860/28231836486_241e4e511e_m.jpg","superuser","IrishAxesB5"
"63089","580","Bent-flanged Palstave","","Sotheby's Sale, 19. 11. 24, 612,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Londonderry,Mana,Label","Derry, Londonderry, Royaume-Uni","-7.3086","54.9966","","None","None","None","133.5","edge 67; middle 32; butt 26.5","","","some medium brown & light green. Some has been removed showing golden bronze.","smooth","28.5; 10; 29.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650579183","https://farm8.staticflickr.com/7543/27650579183_4fbb9fa077_m.jpg","superuser","IrishAxesB5"
"63090","580","Ben-flanged Axe","","Private Collection,Professor Sir Lucas White-King, CSI; LLd, FSA, late of Roebuck Hall, Co Dublin.,Sold by Auction at Sotheby's 9. 11. 21. Lot 133","Ireland,Co Longford,Ballymena","Ballymena, Royaume-Uni","-6.2802","54.8653","","None","None","None","179","edge 75.5; butt 27","","","Traces of patina of dark brown on the septum.","smooth - dark bronze colour.","septum at stop 12","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650468874","https://farm9.staticflickr.com/8873/27650468874_797682c825_m.jpg","superuser","IrishAxesB5"
"63091","580","Bent-flanged Axe","","Sotheby's Sale, 14. 12. 25, Lot 273,Property of Mons. Fenardent.","Ireland,King's Co.","Co. Offaly, Irlande","-7.6334","53.2545","","None","None","None","141","middle 31.75; butt 28","55","","no patina","smooth, dirty golden bronze.","34; 9.5; 35","","","","","","Painted on: Hadder, Westropp, Kings Co., 14965, L.X.X.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650579153","https://farm8.staticflickr.com/7409/27650579153_ebfdd2cd26_m.jpg","superuser","IrishAxesB5"
"63092","580","Bent-flanged Palstave","","Manchester Museum,E. Collection, Dawkins. (AW Franks),P. 4355.","Ireland","Irlande","-8.2439","53.4129","","None","None","None","132","middle 31 3/4; butt 21","57","382.72","some thin blackish patina, & a good deal of golden bronze showing.","smooth","9.5; 22.5; 21.5; 24","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650468224","https://farm9.staticflickr.com/8724/27650468224_b99912c019_m.jpg","superuser","IrishAxesB5"
"63093","433","Bent flanged Palstave","","Museum, Leeds Phil. + Lit. Society","Ireland","Ireland","-8.2439","53.4129","","None","None","None","120","","45","280","","Rather rough and pitted","24","","","","High stop ridge, straight butt + slight ridge on sides immediately below wings.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/27650467904","https://farm9.staticflickr.com/8583/27650467904_29fca4cc31_m.jpg","superuser","IrishAxesB5"
"63094","433","Bent-flanged Palstave","","Museum, Leeds Phil. + Lit. Society","Ireland","Ireland","-8.2439","53.4129","","None","None","None","122","(centre) 38","59","301","Green patina in places","Metallic colour with","25.5","","","","Slight, pinched-up stop ridge, double curvature of the sides form a ridge below the wings, the wings slightly hammered over + slight mid-rib down middle of blade. Fine example.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/28162233852","https://farm8.staticflickr.com/7460/28162233852_7097120af6_m.jpg","superuser","IrishAxesB5"
"63095","433","Bent-flanged Palstave","","Museum, Leeds Phil. + Lit. Society","Ireland","Ireland","-8.2439","53.4129","","None","None","None","133","","66","476","Greenish patina","","29.5","","","","Stop ridge, the wings, which are facetted at edges, are slightly hammered over at the stop ridge and a curved band with fluted hollow below, crosses the blade midway between stop-ridge and cutting edge.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/28162234052","https://farm9.staticflickr.com/8689/28162234052_fe8a87a11c_m.jpg","superuser","IrishAxesB5"
"63096","580","Bent-flanged Palstave","","Museum, Leeds Phil. & Lit. Society.","Ireland","Irlande","-8.2439","53.4129","","None","None","None","171","neck 36","54","616","Thick green","","37","","","","Wings beaten over to form a half socket, double curvature of sides form a ridge opposite stop-ridge","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650467434","https://farm9.staticflickr.com/8669/27650467434_ea4cefcf34_m.jpg","superuser","IrishAxesB5"
"63097","580","Bent-flanged Palstave","","Alnwick Castle, 346.","Ireland","Irlande","-8.2439","53.4129","","None","None","None","152","centre 36; butt 29","68","672.6","Bronze.","Smooth","27","","","","Ornamented with seven ridges & furrows at base of wings.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/28265948495","https://farm9.staticflickr.com/8701/28265948495_6093dfe0ac_m.jpg","superuser","IrishAxesB5"
"63098","580","Bent-flanged Palstave","I4","Alnwick Castle, No. 348.","Ireland","Irlande","-8.2439","53.4129","","None","None","None","172","centre 31; butt 27","70","595","Green & bronze.","Smooth, one large pit under stop-ridge.","32","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650466334","https://farm9.staticflickr.com/8773/27650466334_05117fc4f6_m.jpg","superuser","IrishAxesB5"
"63099","580","Bent-flanged Axe","","Belfast Municipal Museum, No. 1911-78.,Donor, Mr. J. Tollerton (No. ""46"" printed figures on face).","Ireland, Co. Down, Donaghadee","Donaghadee BT21, Royaume-Uni","-5.5376","54.6426","","None","None","None","136","at shoulders 52","67","","Black patina, worn through to yellow-golden metal.","somewhat rough.","flange 25; body at stop-ridge18","","","","Curved butt, squared off at edge. Thin bar stop-ridge, slightly oblique. Pronounced shoulders. Raised V punched up by hollowing faces above edge. Edge recurved, somewhat battered. Bar stops & 16 transverse ridges on sides of wings.","","Coloration suggests burial in peat: there is a bog at Donaghadee.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/28265948385","https://farm9.staticflickr.com/8690/28265948385_dae42191b9_m.jpg","superuser","IrishAxesB5"
"63100","580","Bent-flanged Axe","","Private Collection,A.B. Cook, Esq. M.A., Curator of Fitzwilliam Museum of Classical Archaeology, Cambridge & Reader in Classical Archaeology; at his residence - 19 Cranmer Rd.","Ireland, Antrim, Carrickfergus (near), an old Rath near.,found during excavations,Purchased in London before 1900.","Carrickfergus BT38, Royaume-Uni","-5.8101","54.7262","","None","None","None","151","butt 28; middle 29","55","650","","","39; 16","","","","Indicated stop ridge. Pattern below stop ridge almost obliterated. Hammered on one side of wings. Nick on one wing filed out for analysis.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650576123","https://farm9.staticflickr.com/8639/27650576123_9ff1d9d453_m.jpg","superuser","IrishAxesB5"
"63101","580","Bent-flanged Axe","","Miss Eleanor M. Ferguson, Monkstown, Co. Cork.","Ireland, Co Antrim, Donegore, Silversrings","Donegore Hill, Muckamore, Antrim BT41 2HW, Royaume-Uni","-6.1352","54.7345","","None","None","None","152","middle 33; butt 22.5","57","481.95","","Greeny Bronze colour","7.5; 13; 33.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/28265948175","https://farm9.staticflickr.com/8588/28265948175_b78e5a3cac_m.jpg","superuser","IrishAxesB5"
