"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"44304","580","Socketed Celt","B I 3","British Museum,15.72 WG.","Ireland,Co Antrim,Ballycastle","Ballycastle, District de Moyle, Royaume-Uni","-6.2533","55.2053","","None","None","None","66","socket 33","52","141.75","black","smooth. Socket rim is notched. small hole on other side of specimen","socket 32","","","","A faint line round socket & below this it is octagonal.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20930098136","https://farm1.staticflickr.com/584/20930098136_5848152666_m.jpg","superuser","IrishAxesPt1"
"44305","433","Socketed Celt","BI3","British Museum, 90.11-13.2","Ireland,Antrim,Ballymoney,Ballyramare","Ballymoney, Ballymoney, Ballymoney BT53, UK","-6.5174","55.0705","","None","None","None","67","socket 38","65","135.15","Very slight patina greenish black.","Mostly rough","socket 30","","","","Octagonal. Small crack in top of socket at back. Edge blunt, points worn and squareish.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20930098056","https://farm1.staticflickr.com/776/20930098056_3282c8dba6_m.jpg","superuser","IrishAxesPt1"
"44306","433","Socketed Celt","BI3","Sotheby's Sale, 19.11.24,624,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Antrim,Clough,Clough Bog (1 mile from),in a bog,Label: Mr. Gordon, 1 mile from Clough Bog, ? in a bog.","Clough, Ballymena, Ballymena BT44, UK","-6.2892","54.9662","","None","None","None","56","socket 27","45","","Greenish patch on reverse with small patch of dark brown on socket.","Light brown. Marked rather  like a lizard skin.","socket 20.5","","","","Hexagonal below socket.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20333766084","https://farm6.staticflickr.com/5824/20333766084_f0b87f8c56_m.jpg","superuser","IrishAxesPt1"
"44307","433","Socketed Celt","BI3","Museum of Archaeology & Ethnology, Cambridge,Read Gift 1285","Ireland,Co. Antrim","Antrim, Antrim, UK","-6.2072","54.7195","","None","None","None","72","socket 29.5","56.5","106.31","Dull brown matt","Smooth","socket 23","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20333765964","https://farm6.staticflickr.com/5807/20333765964_147fdbdeac_m.jpg","superuser","IrishAxesPt1"
"44308","433","Socketed Celt","BII1","Sotheby's Sale, 19.11.24,619,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Antrim,Ballymoney (near),Between Ratharken + Ballymoney,Craig's","Ballymoney, Ballymoney, Ballymoney BT53, UK","-6.5174","55.0705","","None","None","None","102","socket 52","79","","A few small patches of very dark brown.","Dull bronze, very finely pitted.","socket 47","","","","Points slightly worn.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20946559842","https://farm6.staticflickr.com/5753/20946559842_d90b181900_m.jpg","superuser","IrishAxesPt1"
"44309","433","Socketed Celt","J12","Woolton Court, Warwickshire","Ireland,Antrim","Antrim, Antrim, UK","-6.2072","54.7195","","None","None","None","101","47","","no scales","Traces of black patination","","","","Bronze","","","","Very clean smooth casting. No other data. Label ""Co. Antrim, Ireland, F.B.W.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20930097726","https://farm6.staticflickr.com/5696/20930097726_2ea3a51e2a_m.jpg","superuser","IrishAxesPt1"
"44310","433","Socketed Celt","MI1","Sotheby's Sale, 19.11.24,627,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Antrim","Antrim, Antrim, UK","-6.2072","54.7195","","None","None","None","89.5","socket 38","50","","thick patina dark green","slightly pitted","socket 33","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20335318323","https://farm6.staticflickr.com/5745/20335318323_73df582d84_m.jpg","superuser","IrishAxesPt1"
"44311","433","Socketed Bronze Celt, with loop","MI2","British Museum, WG 1586","Ireland,Antrim,Connor,Crevilly Valley,32","Connor, Ballymena, Ballymena BT42, UK","-6.2099","54.8059","","None","None","None","102","Butt 44; Blade 53","","267","Green","Pitted","44","","Bronze","1 Tanged chisel;1 Socketed Gouge (WG 1587, 88)","Square section, a split by the side of the loop, edge of blade broken, three verticle ribs on butt, marks of casting.","","(2) gouge, (3) chisel found within","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20956347365","https://farm6.staticflickr.com/5629/20956347365_6c9c51bd06_m.jpg","superuser","IrishAxesPt1"
"44312","433","Socketed Celt","NI2","Sotheby's Sale, 19.11.24,628,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Antrim","Antrim, Antrim, UK","-6.2072","54.7195","","None","None","None","106","socket 43","54","","Patina is mostly matte (some is smooth at edge) medium green of various shades.","Fairly smooth, very slightly encrusted.","socket 41","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20335318103","https://farm1.staticflickr.com/610/20335318103_543f1d9556_m.jpg","superuser","IrishAxesPt1"
"44313","433","Socketed Celt","","Grosvenor Museum, Chester,Donor Capt. R. Massie Taylor","Ireland,Co. Antrim,Bushmills (near),Giants Causeway,1852","Giant's Causeway, 44 Causeway Rd, Bushmills, Antrim BT57 8SU, UK","-6.5116","55.2408","","None","None","1852","112","socket 46","61","381","Dark green patina rubbed in places.","Good condition","45","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20956347085","https://farm1.staticflickr.com/609/20956347085_36b5a1319a_m.jpg","superuser","IrishAxesPt1"
