"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"38321","433","Dagger","I","Sotheby's Sale, 19.11.24; 652,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Antrim,Label: Belfast (near); Tully, Near Portelemon","Belfast, Belfast, UK","-5.9301","54.5973","","None","None","None","68.5","blade 17; tang 18.5","","","Dull patina dark greeny brown.","Smooth","blade 2.5","","","","Sharp edges, slightly jagged.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17359186945","https://farm9.staticflickr.com/8842/17359186945_dee1b2fe4b_m.jpg","superuser","IrishDaggers"
"38322","433","Rivetted Dagger","II","Sotheby's Sale, 19.11.24; 690,Collection of W. J. Knowles MRIA,of Flixton Place, Ballymena","Ireland,Antrim,Loughguile,1870","Loughguile, Ballymena, Ballymoney BT44, UK","-6.3054","55.0619","","None","None","1870","79.5","blade 25; hilt plate 39.5","","","Mostly polished patina light green - stained.","Smooth. Traces of encrustment","blade 2","","","Found inside an urn (earthen) with bones.","2 rivets 9 to 9.5mm long. Sharp edges slightly broken. Traces of hafting between rivets.","Illustrated in Abercromby's Bronze Age Pottery, Vol. II, p. 163, fig. 47","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17359180455","https://farm9.staticflickr.com/8762/17359180455_07871ebf99_m.jpg","superuser","IrishDaggers"
"38323","433","Rivetted Dagger","Var.","Sotheby's Sale, 19.11.24; 652,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Label: Co. Antrim; Bushmills (near),1899","Bushmills, Bushmills, Moyle BT57, UK","-6.5235","55.2051","","None","None","1899","96","blade 49; 63","","","","Smooth, cleaned and polished golden bronze. Tiny pittings all over.","blade 2.5","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17172966329","https://farm9.staticflickr.com/8859/17172966329_7f9634abd9_m.jpg","superuser","IrishDaggers"
"38324","433","Dagger","Var.","Sotheby's Sale, 19.11.24,648,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Co. Antrim,Label: Carnstrone, In peat bank","Antrim, Antrim, Antrim BT41, UK","-6.2072","54.7195","","None","None","None","83","blade 19.5; hilt plate 29","","","Medium green - over golden bronze","Smooth and curiously grained like a piece of leather cloth.","blade 3","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17171375478","https://farm8.staticflickr.com/7725/17171375478_ce2b5bf626_m.jpg","superuser","IrishDaggers"
"38325","433","Dagger","Var","Royal Scottish Museum, Edinburgh,Reg. No. 1890.525","Ireland,Co. Donegal,Said to have belonged to the Sept of Doherty, called Kings of Noris, a district in the Barony of Innishowen, Donegal","Inishowen, Co. Donegal, Ireland","-7.3333","55.2","","None","None","None","192","66; centre 40","","178","Greenish patina on brown.","In fair condition.","7","","","","Dagger, bronze; leaf-shaped with three rivet holes: engraved on both sides with rows of parallel lives converging towards the point.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17359160185","https://farm9.staticflickr.com/8784/17359160185_b4bec6f10e_m.jpg","superuser","IrishDaggers"
"38326","433","Dagger/Dirk","","British Museum, W. G. 1605","Ireland,Co. Down,Garrachy","Down, UK","-5.7485","54.3413","","None","None","None","","","","","","","","","","","Small flat triangular dagger with triangular butt end 3 rivets.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17359152635","https://farm9.staticflickr.com/8765/17359152635_41034a4f19_m.jpg","superuser","IrishDaggers"
"38327","433","Razor","IB","Salisbury, S. Wilts and Blackmoore Museum,B316 (1)","Ireland,Galway,Eyre Court","Eyre Square, Galway, Ireland","-9.0487","53.2747","","None","None","None","88","tang 5; blade 21","","","","Bronze colour","","","","","Blade is flat.","","Not in PPS1946","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17172943429","https://farm8.staticflickr.com/7784/17172943429_b84a7b61de_m.jpg","superuser","IrishDaggers"
"38328","433","Dagger/Dirk","?A","British Museum, W.G.1603","Ireland,Galway","Galway, Ireland","-9.0568","53.2707","","None","None","None","","","","","","","","","","","3 rivets; 4 grooves down each side of blade","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16738883693","https://farm8.staticflickr.com/7658/16738883693_93edb25040_m.jpg","superuser","IrishDaggers"
"38329","433","Dagger Blade","III","Private Collection,W.C. Wells, Esq.,2 Maybank Avenue, Sudbury, Harrow,21.6.20","Ireland","Ireland","-8.2439","53.4129","","None","None","None","115","43 (widest part) + 19","","35.43","A little black patina.","Roughish, golden bronze visible","2.5","","","","From Sir Henry Dryden's collection.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17333185376","https://farm8.staticflickr.com/7784/17333185376_2f44a004d5_m.jpg","superuser","IrishDaggers"
"38330","433","","III","Alnwick Castle, No. 406","Ireland","Ireland","-8.2439","53.4129","","None","None","None","138","33","","48.8","Dark brown patina","Smooth","3","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17359134525","https://farm8.staticflickr.com/7675/17359134525_66f1de84ce_m.jpg","superuser","IrishDaggers"
