"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"38352","433","Rapier (2-holed elongated ogival blade)","B","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by aution at Sotheby's 9.11.21, Lot 145","Ireland,Co. Westmeath","Westmeath, Co. Westmeath, Ireland","-7.4653","53.5345","","None","None","None","341","35; 39","","","No patina.","Smooth. Brown and golden bronze colour with dark stains.","1; 1 3/4; 7; 7.5","","","","Decorate with incised lines. 2 Rivet holes. Sharp edges. Bevelled edges.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17370689895","https://farm8.staticflickr.com/7759/17370689895_be9a9a4712_m.jpg","superuser","IrishDirks"
"38353","433","Dirk","B","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by auction at Sotheby's, 9.11.21, Lot 146","Ireland,Co. Westmeath","Westmeath, Co. Westmeath, Ireland","-7.4653","53.5345","","None","None","None","294","hilt plate 58","","","No patina.","Smooth. Golden bronze colour. Much cleaned. Dark stains round hilt plate.","3.5; 4.5","","","","In good condition - sharp edges. 2 Rivet holes.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17163233297","https://farm9.staticflickr.com/8830/17163233297_674fcb0eac_m.jpg","superuser","IrishDirks"
"38354","433","Dirk","B","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by auction at Sotheby's, 9.11.21, Lot 147","Ireland,Co. Westmeath","Westmeath, Co. Westmeath, Ireland","-7.4653","53.5345","","None","None","None","204","52 (widest)","","","No patina","Smooth. Dark and golden polished bronze. Small pittings all over.","8","","","","Sharp edges. The thickest part of this blade is at section.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17163241197","https://farm8.staticflickr.com/7756/17163241197_910d2c3be6_m.jpg","superuser","IrishDirks"
"38355","433","Rapier Blade Frag.","","Salisbury, S. Wilts, and Blackmore Museum, 389 Brackstone Collection","Ireland,Waterford,Lismore","Lismore, Co. Waterford, Ireland","-7.9377","52.1358","","None","None","None","506","8; 21","","178.75","Black in places, the remainder, bronze.","","5","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17368759092","https://farm8.staticflickr.com/7677/17368759092_d15c026f61_m.jpg","superuser","IrishDirks"
"38356","433","Dirk","D","Warrington Museum, 135","Ireland,Co. Tyrone,Peat bog, exact site unknown.","Tyrone County Hall, Omagh, Omagh BT79, UK","-7.301","54.6023","","None","None","None","166","hilt 28, 21; blade 21","","53 1/2","","","blade 4","","Bronze","","","Exhibition, Soc. Antiq. 1873, p. 35","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17184504009","https://farm8.staticflickr.com/7765/17184504009_6f5c3f2b75_m.jpg","superuser","IrishDirks"
"38357","433","Dirk","B","British Museum, W.G. 1599,from Rev. Bernard Burke","Ireland,Tipperary,Fethard,1838","Fethard, Co. Tipperary, Ireland","-7.6968","52.471","","None","None","1838","292","blade 34; near hilt 57","","238.88","Stains of green on dull bronze.","Smooth","blade 6","","","","Point is blunt. 2 Rivets.","","Not quite accurate.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16748217394","https://farm8.staticflickr.com/7731/16748217394_42e60f0b1e_m.jpg","superuser","IrishDirks"
"38358","433","Dagger","","British Museum, 77.9-1.1","Ireland,Tipperary,Rash Keeland Bog,Locality unknown","Co. Tipperary, Ireland","-8.1619","52.4738","","None","None","None","225","blade 22; hilt plate 43","","65.78","Light green shoring metal with dark patches.","","blade 4","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17344792956","https://farm8.staticflickr.com/7759/17344792956_dd3d2c11fe_m.jpg","superuser","IrishDirks"
"38359","433","Dirk","D","British Museum, 77.9-1.1,ex. A. W. Franks","Ireland,Tipperary,Rath Keeland Bog","Co. Tipperary, Ireland","-8.1619","52.4738","","None","None","None","","","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17184524629","https://farm8.staticflickr.com/7789/17184524629_bc78ac2df1_m.jpg","superuser","IrishDirks"
"38360","433","Rapier","","British Museum, 63.1-22.114,From Museum Pract. Geol. /63,See BM catalogue.","Old museum label said ""Thames at Kingston""; Register says ""probably Ireland"",Locality unknown","Ireland","-8.2439","53.4129","","None","None","None","448","hilt plate 60; blade 21; tang 7","","201.69","","Smooth dull bronze.","blade 5.5","","","","Hollowed edges. Edges corrugated and much chipped. Point is blunt.","","Not quite accurate.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17184535859","https://farm8.staticflickr.com/7684/17184535859_e0c6c1e944_m.jpg","superuser","IrishDirks"
"38361","433","Rapier","A","British Museum, WG 1235","Ireland,Sligo","Sligo, Ireland","-8.4761","54.2766","","None","None","None","415","hilt plate 54; blade 31","","357.62","Dull greenish bronze.","Speckled.","blade 7","","","","3 Rivet holes. Edges damaged.","","Inacc. drawing.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17370776605","https://farm9.staticflickr.com/8859/17370776605_b41c5947aa_m.jpg","superuser","IrishDirks"
