"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"44059",,"Palstave looped","IiN","Sotheby's Sale 19.11.24 616, label Glenny Collection, Collection of W.J. Knowles M.R.I.A., of Flixton Place.  Ballymena","Ireland, Co. Antrim, Larne (near), Glenoe","Glenoe",,,"","None","None","None","117","edge 50, middle 27, butt 28.5","","","dark green mottled blackish","Smooth","28.6","","","","","","","Anon.","https://www.flickr.com/photos/115096994@N02/20355374381","https://farm1.staticflickr.com/453/20355374381_b0fea01df4_m.jpg","most detailed record","IrishPalstavesPt1"
"44060","817","Looped,Palstavc.","I2N","","Ireland.,Co Antrim.","Antrim, Antrim, UK","-6.2072","54.7195","","None","None","None","137","33.5","61.5","","remains of light green [atina on septum & traces on the blade.","a little rough from casting. Golden bronze colour.","40","Width shows ""edge 61.5mm  butt 33.5mm"". Thickness shows ""40mm  9mm"".","","","Loop is broken & very thin.","Private,Professor Sir Lucas White-King CSI. LLD. FSA.,Late of Roebuck Hall. Co Dublin.,Sold by Auction at Sotheby's 9.11.21.,Lot 134.","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20340805052","https://farm1.staticflickr.com/295/20340805052_53f6d7cb3f_m.jpg","most detailed record","IrishPalstavesPt1"
"44061","543","Palstave Looped","III1J","Herts County Museum, St. Albans,lent by Capt. J.W. Ball RAF,55","Ireland,Co. Antrim,Belfast,Cave Hill","cave Hill country park","-5.9326","54.5993","","None","None","None","143","Butt 24","40.5","396.88","thick, dark green, much chipped, lighter green shows beneath","fairly smooth. pocked.","25,10,25.25,31","Thickness says ""25 1/4"". I have transcribed it as ""25.25"". There is one further measurement on the diagram: ""13"".","","","","","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/20162642839","https://farm1.staticflickr.com/533/20162642839_160a4b571e_m.jpg","most detailed record","IrishPalstavesPt1"
"44062","817","Palstave Looped","IV3P","Sotheby’s Sale,19.11.24,615,Colln. of W.J. Knowles MRIA.,of Flixton Place.,Ballymena.","Ireland,Antrim,Carrickfergus (near),L. Mourne,in a Crannog","Carrickfergus, Carrickfergus, UK","-5.8101","54.7262","","None","None","None","143","26","37.5","","medium olive green partly cleaned & golden bronze shows.","smooth","19","Width shows ""edge 37.5  middle 26.  butt 21."" Thickness shows 19  9.5  34.5  12.25"".","","","","","Label,Mr. Mc Allister,fd. in a Crannog at L. Mourne,25 feet down","JP OConnor","https://www.flickr.com/photos/115096994@N02/20323034016","https://farm1.staticflickr.com/322/20323034016_de68afcc00_m.jpg","most detailed record","IrishPalstavesPt1"
"44063","817","Palstave","I1A","Sotheby’s Sale,14.12.25,Lot 272,property of Mons. Feuardent.","Ireland.,Antrim,Bushmills","Bushmills, Bushmills, Moyle BT57, UK","-6.5235","55.2051","","None","None","None","153","33.5","66","","very dark brown, a good deal cleaned. Golden bronze shows.","smooth.","29","Width shows ""edge 66  middle 33.5  butt 26.5"". Thickness shows ""29.  10.5  28.""","","","Facets on sides are not pronounced.","","Painted on,Bushmills,14930,S. AT. X.","JP OConnor","https://www.flickr.com/photos/115096994@N02/20161224000","https://farm1.staticflickr.com/493/20161224000_c53b27f7a8_m.jpg","most detailed record","IrishPalstavesPt1"
"44064","543","Palstave","I1I","Wootton Court, Warwickshire","Ireland,Co. Antrim,N.W.","Randalstown, Antrim, Antrim BT41, UK","-6.3203","54.7501","","None","None","None","see transcriber comment","see transcriber comment","see transcriber comment","""no scales""","Practically none","Fairly clean Bronze","see transcriber comment","Site and georef are very approximate. There are some measurements on the diagram. I think they are Length 101;Width of Butt 22; Edge 47?;Thickness? 33. Also written on diagram ""Nov. 56. E.C. Middleton. July 26th/23""","","","","","Label: ""N.W. Co. Antrim. F.A.W.""","Jane Fellows","https://www.flickr.com/photos/115096994@N02/20355374031","https://farm4.staticflickr.com/3723/20355374031_eaaf0fe0d6_m.jpg","most detailed record","IrishPalstavesPt1"
"44065","817","Palstave","I1U","Herts County Museum.,St. Albans.,lent by Capt. J.W. Ball. RAF,40.","Ireland,Co Antrim,Ballymena","Ballymena, Ballymena, Ballymena, UK","-6.2802","54.8653","","None","None","None","156","30","70","623.7","dark brown.","smooth","33.5","Width shows ""edge 70.  middle 30.  butt 26"". Thickness shows ""33.5  8  34"". Weight shows ""slightly over 623.7gms"".","","","Well preserved.,An oval hollow below stop on each side.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20161269978","https://farm1.staticflickr.com/348/20161269978_7fd795e350_m.jpg","most detailed record","IrishPalstavesPt1"
"44066","817","Palstave","I2A","Sotheby’s Sale,19.11.24,666,Colln. of W.J. Knowles MRIA.,of Flixton Place.,Ballymena","Ireland,Co Antrim,Clough,} Label","Antrim, Antrim, UK","-6.2072","54.7195","","None","None","None","129","34.5","","","very darn green","smooth, but somewhat pocked.","39.5","Width shows ""middle 34.5  butt 30."" Thickness shows ""39.5, 37, 7.5, 36.5"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20323033616","https://farm1.staticflickr.com/453/20323033616_63c9eedd2f_m.jpg","most detailed record","IrishPalstavesPt1"
"44067","817","Palstave","I4A","British Museum,51.7-17.5","Ireland.,Co. Antrim","Antrim, Antrim, UK","-6.2072","54.7195","","None","None","None","95","28","47","206.02","chestnut brown","much worn & scratched","27","Width shows ""edge 47.  middle 28  butt 27"". Thickness shows ""8.  27.""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20162642299","https://farm1.staticflickr.com/473/20162642299_3f2f5bbf04_m.jpg","most detailed record","IrishPalstavesPt1"
"44068","543","Palstave","I4A","Sotheby's Sale 19.11.24,Coll'n. of W.J.Knowles MRIA of Flixton Place, Ballymena","Ireland,Antrim,Ballymena (near),Foot of Slemish","Ballymena, Ballymena, Ballymena, UK","-6.2802","54.8653","","None","5","1894","120","middle 27.5,butt 26.5","43.5","","thick brown, chipped & powdery beneath","","30,6,31.5,Wings 32.5 (thickest)","I put the Label stuff in Remarks field as that has been the case on other cards. I also entered a date of discovery as per Label","","","Wing & butt broken","","Label,Upper side of Buckna,Foot of Slemish,May 94","Jane Fellows","https://www.flickr.com/photos/115096994@N02/20340804352","https://farm4.staticflickr.com/3741/20340804352_b12f3d5515_m.jpg","most detailed record","IrishPalstavesPt1"
"44069","543","Palstave","I4A","University Museum, Birmingham,DCCCXXXVIII","Ireland,Antrium, N.W.,Ballymoney","Ballymoney, Ballymoney, Ballymoney BT53, UK","-6.5174","55.0705","","None","None","None","123","Butt 28","54","","","","32","Width of Butt shown on diagram so I included it in the Width field","","","","cf Evans fig 100","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/20340804252","https://farm1.staticflickr.com/435/20340804252_e9cb06544a_m.jpg","most detailed record","IrishPalstavesPt1"
"44070","817","Palstave","I4 U","Belfast Municipal Museum.,No. 621-1930.,Rev. Wm. Adams Colln.","Ireland,Co. Antrim,Antrim, near","Antrim, Antrim, UK","-6.2072","54.7195","","None","None","None","127","28","54.5","","Dark brown, darker brown on one side.","Smooth.","27","Width shows ""at ridge 28mm, edge 54.5mm"". Thickness shows ""wings 27mm  ridge 24mm, butt 5mm"".","","","Butt squared, badly bent. Edge recurved, broken, blunt.,Wings much bent. Double shield on face. Lozenge pattern above stop-ridge. Marks on lower part of blade possibly decoration.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20323033396","https://farm1.staticflickr.com/266/20323033396_919a3086cc_m.jpg","most detailed record","IrishPalstavesPt1"
"44071","817","Palstave","I4U","Sotheby’s Sale,19.11.24.,667.,Colln. of W.J. Knowles MRIA,of Flixton Place.,Ballymena","Ireland.,Antrim,Glemish,}Label","","-6.2072","54.7195","","None","None","None","114","30","46","","black, golden bronze shows","Smooth. heavily pocked.","29.5","Width shows ""edge 46.  middle 30  butt 28"". Thickness shows ""29.5. 28. 8. 28.5"".","","","Filed from edge for 18mm along blade. Two holes are bored right through septum. (recent boring)","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20355373541","https://farm1.staticflickr.com/323/20355373541_fb399b4332_m.jpg","most detailed record","IrishPalstavesPt1"
"44072","817","Palstave","I2A","Herts County Museum.,St. Albans.,lent by Capt. J.W. Ball. RAF.,38.","Ireland.,Co Carlow,Carlow","Carlow, Ireland","-6.9341","52.8365","","None","None","None","121.5","31","57","340.2","brownish green, nearly all chipped off","smooth","35","Width shows ""edge 57.  middle 31.  butt 28."" Thickness shows ""35.  10.  33.""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20355373471","https://farm1.staticflickr.com/550/20355373471_c62092866a_m.jpg","most detailed record","IrishPalstavesPt1"
"44073","817","Palstave looped","I1G","Herts County Museum.,St. Albans.,lent by Capt. J.W. Ball. RAF.,50.","Ireland,Co Cavan,Cavan","Cavan, Ireland","-7.3633","53.9897","","None","None","None","145","42.5","57","411.05","no","smooth. Bright bronze. Much cleaned.","33","Width shows ""edge 57.  middle 42.5  butt 29."" Thickness shows ""33.  7. 33.5"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20161222930","https://farm1.staticflickr.com/354/20161222930_47a45aee5e_m.jpg","most detailed record","IrishPalstavesPt1"
"44074","817","Palstave","I4A","British Museum,63.1-22.30","Ireland.,Co Cavan","Cavan, Ireland","-7.3633","53.9897","","None","None","None","162","34","61","588.75","dark brown","rough","25","Width shows ""edge 61  middle 34  butt 29."" Thickness shows ""10  25"".","","","Butt burred through hammering","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20323033006","https://farm4.staticflickr.com/3712/20323033006_b2c601c839_m.jpg","most detailed record","IrishPalstavesPt1"
"44075","543","Looped Palstave","III1A","Plymouth Municipal Museum,628,Given by Rev. S. Baring Gould","Ireland,Co. Cork","Co. Cork, Ireland","-8.5892","51.9631","","None","None","None","170","butt 22","49","496","Dark colour with patches of green oxidisation; the whole surface rubbed down","","31,29,8.5","","","","","","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/19728334693","https://farm1.staticflickr.com/547/19728334693_5b1b231c73_m.jpg","most detailed record","IrishPalstavesPt1"
"44076","543","Palstave","III3A","J.G. Barnett Esq., Rednal, Bromsgrove,Acquired from Ireland 1921","Ireland,C. Cork","Co. Cork, Ireland","-8.5892","51.9631","","None","None","None","125","","47","273","dark bronze; no green patination","smooth from the mould","","On diagram says ""The shoulder is not exaggerated. See  note"" & ""No. 98; E.C Middleton, Hardwick Rd, Streetly 23.12.21""","Bronze","","This is the only cored palstave I have yet sketched in which the the [sic] hole through the centre has been drilled. I suggest the septum has been ""cored out"" in some unusual way - which may make the drilling a necessity. I do not think the palstave would ""leave"" the mould had the hole been cast.","","""Bronze Age Palstave 55 Co Cork"" inscribed on label","Jane Fellows","https://www.flickr.com/photos/115096994@N02/20161222670","https://farm1.staticflickr.com/558/20161222670_4390440a2e_m.jpg","most detailed record","IrishPalstavesPt1"
"44077","817","Palstave.","III3A","Private,Professor Sir Lucas White-King. CSI. LLD. FSA.,Late of Roebuck Hall. Co Dublin.,Sold by Auction at Sotheby's 9.11.21.,Lot 130.","Ireland.,Co Cork","Co. Cork, Ireland","-8.7644","51.9885","","None","None","None","122","25","46","","","like a brass casting from a sand mould.","9","Width shows ""edge 46mm  butt 25mm"". Thickness shows ""septum near stop} 9mm"".","","","This does not look genuine. It is in rather a rough state from casting. The sides seem to be filed. Loop hole might have been drilled.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20161269148","https://farm1.staticflickr.com/395/20161269148_f2476e4d13_m.jpg","most detailed record","IrishPalstavesPt1"
"44078","817","Palstave","I19","Norwich Castle Museum,Beloe Colln. 14.22.08.","Ireland,Cork","Cork, Ireland","-8.4863","51.8969","","None","None","None","83","25","43","146","","smooth.","5","Width shows ""edge 43.  middle 25.  butt 24."" Thickness shows ""5.  23.""","","","Condition good. Slight ornamentation below stop ridge.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20162641379","https://farm1.staticflickr.com/329/20162641379_e77fa4465d_m.jpg","most detailed record","IrishPalstavesPt1"
