"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"38668","580","Leaf shaped Sword","Frag.","1923,Sir William Ridgeway Collection, Cambridge. Museum of Archaeology and Ethnology","Ireland,Co Antrim,Belfast","Belfast, Belfast, Royaume-Uni","-5.9301","54.5973","","None","None","None","341.5","blade 38.5; 30","","297.67","black.","smooth","blade 8","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17493564860","https://farm6.staticflickr.com/5457/17493564860_b70d2f92db_m.jpg","superuser","IrishSwords"
"38669","580","Leaf shaped Sword","Frag.","Sir William Ridgeway Collection.,Cambridge, Museum of Archaeology and Ethnology.","Ireland,Co Antrim,Belfast","Belfast, Belfast, Royaume-Uni","-5.9301","54.5973","","None","None","None","430.5","blade 47","","418.14","dark brown","smooth","blade 6.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17681136895","https://farm6.staticflickr.com/5460/17681136895_796558c203_m.jpg","superuser","IrishSwords"
"38670","727","Leaf Shaped Sword","IIIC","Sotheby’s Sale 19.11.24,  657, Coll’n of W.J. Knowles MRIA of Flixton Place, Ballymena","Ireland, Co Antrim, Cross Keys","Antrim, Antrim, Antrim BT41, UK","-6.2072","54.7195","-","None","None","None","473","See description","-","-","remains of very thin black patina on hilt","a good deal pitted along middle of center, each side - much cleaned, dull golden bronze","6.5","-","-","-","""Ireland, Co Antrim, Cross Keys"" specified as Label., , Width: hilt plate 42, 18.5, blade 36., , Very sharp edges. 5 Rivet holes.  Near point is a hole, filled with bronze.","-","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17060793713","https://farm6.staticflickr.com/5339/17060793713_4cb2d75800_m.jpg","most detailed record","IrishSwords"
"38671","658","Leaf shaped sword","Va","Sotheby's Sale, 19/11/24                    656,, , Coll'n of W.J. Knowles, M.R.I.A.,, , of Flixton Place, Ballymena,, , Wilson Coll'n, B'money","Ireland,Antrim Label,, Ballytmoney","",,,"","None","None","None","481.5","blade 33; hilt plate 49, 44","","","some thin patina, blackish.","smooth, very slight pitting.","blade 6","","","","Three of the rivet holes are solid. Mended at end of blade.,Edges are fairly sharp.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17060791303","https://farm9.staticflickr.com/8896/17060791303_71f11c1340_m.jpg","most detailed record","IrishSwords"
"38672","727","Leaf Shaped Sword","IVa","Private Collection: W.C. Wells Esq Sudbury, Harrow, 21.6.20","Ireland, Co Antrim, Balleymoney","Ballymoney, Ballymoney, Ballymoney BT53, UK","-6.5174","55.0705","-","None","None","None","482","36","-","552.82","dark bluish green patina speckled with lighter colour","very smooth, golden bronze showing on hilt.","See description","-","-","-","Thickness: ""7 1/2 mm to 8 mm, , Well preserved","-","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17654798016","https://farm6.staticflickr.com/5350/17654798016_d0ac2d0dc3_m.jpg","most detailed record","IrishSwords"
"38673","817","Lead shaped sword.","IVa","Sotheby’s Sale,19.11.24,658,Colln. of W.J. Knowles MRIA.,of Flixton Place.,Ballymena","Ireland.,Antrim,Cushendall.","Cushendall, Ballymena, Moyle BT44, UK","-6.0578","55.0797","","None","None","None","377","32","","","fine green. streaked with greenish brown stains. Patina flaked off along edges.","smooth","6","Width shows ""blade 32.  26.  hilt plate 43"". Thickness shows ""blade 6.""","","","3 rivet holes,Broken through centre, & broken & unmended above.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17654796986","https://farm6.staticflickr.com/5346/17654796986_472eda0f6d_m.jpg","most detailed record","IrishSwords"
"38674","727","Leaf Shaped Sword","IVa","British Museum  WG 1232","Ireland, Co Antrim, Stranocum, 1770","Antrim, Antrim, Antrim BT41, UK","-6.2072","54.7195","-","None","None","None","506","See description","-","504.71","some dark brown with dark green spots.","dull bronze","7","Lower left corner, in a different hand: ""Drawing not quite accurate""","-","-","Width: blade 39, 35, 28, hilt 39, 15, 40., , Four of the rivet holes are indicated, but not pierced","Eogen, Catalogue (1965), 39  no. 71, fig 12.","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17493295208","https://farm8.staticflickr.com/7751/17493295208_b38389c199_m.jpg","most detailed record","IrishSwords"
"38675","727","Pommel of Sword","-","Herts. Cty. Mus.  St. Albans, Ball Coll’n.","Ireland, Co Antrim, Ballymena","Ballymena, Ballymena, Ballymena BT43, UK","-6.2802","54.8653","-","None","None","None","69","47, 37, 31","-","77.96","dull brassey","smooth","-","""brassey"" sic.","-","-","This is perfectly symmetrical - it might have been turned a lathe.","-","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17678648642","https://farm9.staticflickr.com/8757/17678648642_ce2127d2eb_m.jpg","most detailed record","IrishSwords"
"38676","727","Sword","VI","J.P. Stort. Crarjdun, Cullybackey, Co Antrim, Now in Ulster Museum, donated 1968","Ireland, Co Antrim, Thoone (near), R. Bann 1935","Antrim, Antrim, Antrim BT41, UK","-6.2072","54.7195","-","None","None","None","719","33, 60, 35","-","-","golden bronze, apparently fresh from casting","-","-","Spelling in Collection is as close as I can get it.","-","-","Perfect condition, extremely sharp-edged and ""unused""","-","Note – ""Makers Mark""","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17654793766","https://farm9.staticflickr.com/8731/17654793766_7e84ac1fa2_m.jpg","most detailed record","IrishSwords"
"38677","727","Sword","-","BM.  47.  1-13. 1.","Ireland, Co. Carlow, from R. Barnes ""with many others""","Co. Carlow, Ireland","-6.8504","52.719","-","None","None","None","-","-","-","-","-","-","-","Upper Right: Eogan 4.","-","-","2 + 2 rivets in shoulder, 1 in grip.  Broken near half-way point.","Eogan, Catalogue (1965), 45   no. 95","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17681127495","https://farm6.staticflickr.com/5465/17681127495_14cb2319f0_m.jpg","most detailed record","IrishSwords"
