"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"13964","473","SPEARHEAD","","HULL Museum, no.41","ESSEX, Chesterford","Essex, UK","0.4758","51.7668","","None","None","None","117","20","","","","matt light green; damage to mouth","","MJR (Initials at bottom of card)","","","","","","Dina Fathalla","https://farm4.staticflickr.com/3841/15003857667_45ff643a1b_b.jpg","https://www.flickr.com/photos/MicroPasts/15003857667","superuser","SpearHeadsA2"
"13965","473","Spear-head IV","F","Hull Museum. No.41","England, Essex, Chesterford","Essex, UK","0.4758","51.7668","","None","None","1891","117","20","","43","vivid green","","","","","","diameter of socket 17mm","","","Dina Fathalla","https://farm4.staticflickr.com/3897/15003646029_1af85feaca_b.jpg","https://www.flickr.com/photos/MicroPasts/15003646029","superuser","SpearHeadsA2"
"13966","610","Spearheads (parts of)","2-362.11  frag","Colchester Museum. Deposited by. W. C. Wells Esq. 1911.","England; Essex; Grays Thurrock.","",,,"","None","None","None","","","","(list of fragments:)  Blade fragment; 17; 22,14; 20,38; 17,47; 20,38; 12,4; 7,08; 10,13; A........ 50,4. Socket. part of   6,33; 15,05; B.......40,31.","","","","","","Parts of a Bronze Founder's Hoard","","","A + B possibly belong to the same spearhead.","Heidi Lund","https://farm4.staticflickr.com/3908/15190423215_7e7b4b66a1_b.jpg","https://www.flickr.com/photos/MicroPasts/15190423215","only good record","SpearHeadsA2"
"13967","433","Spearhead","C","Colchester Museum, (151.94),Presented to Essex Arch. Soc. by Lord Rookwood, 1894,(Trans. Essex Arch. Soc. N.S. VI. 172)","England,Essex,Hatfield Broad Oak","Hatfield Broad Oak, Bishop's Stortford, Essex CM22, UK","0.2461","51.8277","","None","None","None","131","26","29","83","Medium green - lighter on one side. Dark bronze shows where patina is cleaned off.","Smooth. Traces of gravel and sand. Some thin dark blue encrustment like a patina on one side.","10","Width: blade 28.5mm; socket 25.6mm,Thickness: Blade 10mm; socket 24mm,Weight: 83.28 gms","","One of a Bronze FOunder's Hoard of 16 socketed celts, 20 Lumps of Rough Metal, 14 Pieces of Socketed Celts, 14 small pieces of an earthenware pot, 4 Pieces of Rim of Burial Urn, a pair of Burial Urn Handles, 3 spear heads, 1 chape, and part of a socketed tool.","","Trans. Essex Arch. Soc. N.S., VI, 172,Proc. Soc. Antiq. xxiii (1909-11),Burgess, Coombs and Davies, 1972, 245, no. 75, 273 fig. 29","","Joellen mcGann","https://farm4.staticflickr.com/3850/15003752750_e94abf425b_b.jpg","https://www.flickr.com/photos/MicroPasts/15003752750","superuser","SpearHeadsA2"
"13968","473","Spearhead V","T","Colchester Museum (151.94), presented to Essex Arch. Soc. by Lord Rookwood 1894.","England, Essex, Hatfield Broad Oak","Hatfield Broad Oak, Bishop's Stortford, Essex CM22, UK","0.2461","51.8277","","None","None","None","182","blade 38.5, socket 23.5","","156.8","dull mottled light green. Brownish bronze shows where patina is scraped off.","smooth - a very slight encrustment of blue on both sides of blade.","Blade 14, 4. Socket 25","","","One of a Bronze Founder's Hoard of 16 socketed celts 20 Lumps of Rough Metal. 14 pieces of socketed celts. 14 small pieces of an earthenware pot. 4 pieces of Rim of Burial Urn. a pair of Burial Urn Handles. 3 Spear Heads. 1 Chape. + part of a socketed tool.","Socket decorated with incised rings. these are scarcely visible.","Trans. Essex Arch. Soc. N.S. vi. 172","","Dina Fathalla","https://farm4.staticflickr.com/3926/15003752380_6ede11b491_b.jpg","https://www.flickr.com/photos/MicroPasts/15003752380","superuser","SpearHeadsA2"
"13969","243","Spearhead V","T,{Red Dot}","Colchester Museum (151.94),presented to Essex Arch. Soc. by Lord Rookwood 1894.,(Trans. Essex Arch. Soc. N.S. VI. 172).","England,Essex,Hatfield Broad Oak","Hatfield Broad Oak, Bishop's Stortford, Essex CM22, UK","0.2461","51.8277","","None","None","None","57.5","","blade 37.5","66.76","light green, with a small patch of blue.","smooth","blade 11.5","2 cross section drawings of spearhead on reverse.,Blade is heavily damaged, top portion completely missing including tip.  Socket at top has a large, jagged, roughly circular break.,Mouth widens at bottom, possible from tear/crushing?","","One of a Bronze Founder's Hoard of 16 Socketed Celts. 20 Lumps of Rough Metal. 14 pieces of socketed celts. 14 small pieces of an earthenware pot. 4 Pieces of Rim of Burial Urn. a pair of Burial Urn Handles. 3 Spear heads. 1 Chape. & part of a socketed tool.","Socket crushed & cracked. & full of earth.","Trans. Essex Arch. Soc. N.S. vi. 172.","","Jeff Okazaki","https://farm6.staticflickr.com/5579/15187398121_4049a775cf_b.jpg","https://www.flickr.com/photos/MicroPasts/15187398121","superuser","SpearHeadsA2"
"13970","243","SPEARHEAD","","COLCHESTER Museum, 43.49","ESSEX,Kelvedon, near","Kelvedon, Colchester, Essex CO5, UK","0.7009","51.8329","","None","None","None","210","46","","","","matt black, edges damaged","","4 cross section drawings of spearhead on reverse.,Edges fairly damaged, edge slightly bent/rolled over on sides, tip likely blunted.,2 ridges on either side of blade on both faces, and central rib on socket, all running to tip.,2 very roughly diamond-shaped holes in between socket and blade at bottom of blade.,Socket widens slightly from blade to mouth, mouth is circular.","","","","","MJR","Jeff Okazaki","https://farm6.staticflickr.com/5584/15187397681_4abf3b0cd3_b.jpg","https://www.flickr.com/photos/MicroPasts/15187397681","superuser","SpearHeadsA2"
"13971","482","spearhead fragment","","Colchester Museum, , Presented to Essex Arch.Soc. by Mr WH King (1889- 94 Price catalogue)","England, Essex, Leigh","Leigh-on-Sea, Southend-on-Sea, UK","0.6473","51.5474","","None","None","None","","","","26.57","","","","No measurements(except weight) or descriptions recorded, no drawing","","4 sock. Axes, lump of metal, socketed axe fragment","","","","scruffyarcher","https://farm4.staticflickr.com/3841/15003850998_30998be12c_b.jpg","https://www.flickr.com/photos/MicroPasts/15003850998","most detailed record","SpearHeadsA2"
"13972","610","Two fragments of spearheads","frag (...)","The Priory. Prittlewell (Soutend on Sea).  296/73.","England, Essex, Leigh, Fleming Avenue, Prittle Brook, 29.1.26 (found by workman)","",,,"","None","None","None","44","40,5.     37","","53,18","Dark green.","Smooth.  Socket is full of earth.","15","","","A Bronze founder's hoard.","Two pieces of spearheads encrusted together.","","","Heidi Lund","https://farm6.staticflickr.com/5577/15003644899_78004b77d0_b.jpg","https://www.flickr.com/photos/MicroPasts/15003644899","most detailed record","SpearHeadsA2"
"13973","736","2  Fragments of Spearheads","Red Dot  frag...","The Priory.  Prittlewell (Southend on Sea), ,                           276/79        .        76.","England; Essex; Leigh; Flemming Avenue; Prittle Brook;","Prittle Brook, Southend-on-Sea, Southend-on-Sea, UK","0.6846","51.5525","2q. 1. 26.  (found by workmen).","None","None","None","55.5   A;  37.5 B","A  32;  B35;   18","","23.04","A    smooth.  green patina.  encrusted on one side.; B.  smooth. very ... green patina. dark bronze shows all over.  Heavy encrustment on both sides.; A bronze founder's hoard.","","10.5  A  13   14  B","","","","","","","William Charles Bemis","https://farm4.staticflickr.com/3923/15167396766_bd024a0a84_b.jpg","https://www.flickr.com/photos/MicroPasts/15167396766","most detailed record","SpearHeadsA2"
