"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"51183","580","Sword - C","IIc","Richmond Public Library.,Lloyd Collection,825,Presumably in London Museum, accession No. 49.107/c (1956).","England,Thames,Berkshire,Clewer,From the Thames,October 1892.","Clewer, Windsor, Windsor and Maidenhead SL4, Royaume-Uni","-0.627","51.485","","None","10","1892","222","hilt 56; blade 33","","","Bronze.","","blade 10","","","","9 rivet-holes. Hilt end only.","","Inacc.,drilled 13/2/65,JCM,New drawing needed","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24194714605","https://farm2.staticflickr.com/1506/24194714605_c3a5187528_m.jpg","superuser","ThamesSwords"
"51184","433","Sword","IIIc","Reading Museum,57:50,T.C.S. Collection","Berks,Thames,Bourne End,Dredged from the Thames","Bourne End, Hornchurch, Greater London RM11 3AH, UK","0.2416","51.5694","","None","None","None","","","","","Light green smooth patins with a few brown patches.","Very good","","","Bronze","","Condition good save for slight corrosion along the edges. All rivets except one in tact.","","J. Wymer","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23899114660","https://farm2.staticflickr.com/1679/23899114660_2898ec2a3c_m.jpg","superuser","ThamesSwords"
"51185","433","Leaf shaped Sword","IV","Reading Museum, A L I,Bequeathed by Dr. Stevens, May 1899","England,Thames,Berkshire,1 mile W. of Henley Lock,Dredged from the Thames","Henley-on-Thames, Henley-on-Thames, Oxfordshire RG9, UK","-0.9029","51.5358","","None","None","None","689","hilt 58; blade 30","","623.7","Brown patina worn away in most places, by the action of water.","","blade 7","","","","Perfect condition. Large rivet + 1 small one missing (5 rivets)","Brit. Arch. Assn. XXXVIII, 275, fig. 1; Arch. 275, fig. 1, Leeds.","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23899114060","https://farm2.staticflickr.com/1505/23899114060_ac96086735_m.jpg","superuser","ThamesSwords"
"51186","580","Sword","VI","Reading Museum,111:51,T.C.B. Collection","Thames,Berks,Headpile Eyot,Bray.,Dredged from Thames above Headpile,Eyot, Sept., 1951.","Headpile Eyot, Bray, Maidenhead, Windsor and Maidenhead SL6, Royaume-Uni","-0.695","51.5099","","None","9","1951","838.2","","","","Dark green-brown","Good.","","Length 33""","Bronze.","","Very good condition although extreme tip is broken. All rivets are in position, although half of one is broken. Edges sharp.","","J. Wymer","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24112120251","https://farm2.staticflickr.com/1608/24112120251_c9e5faa5b1_m.jpg","superuser","ThamesSwords"
"51187","580","Sword","IVa","Reading Museum,64:51,T.C.B. Collection.","Berks,Bray,Dredged from the Thames at Queen's Ait,,Bray in 1951.","Bray, Windsor and Maidenhead, Royaume-Uni","-0.7006","51.5077","","None","None","1951","","","","","Cleaned.","Excellent.","","","Bronze.","","Perfect condition.","","J. Wymer","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24168635286","https://farm2.staticflickr.com/1493/24168635286_7ca7ac1676_m.jpg","superuser","ThamesSwords"
"51188","580","Leaf-shaped Sword","IVa","Reading Museum,S253:45/1-2,Smith Collection","Berks,Bray,From the River Thames,October 14th 1912.","Bray, Windsor and Maidenhead, Royaume-Uni","-0.7006","51.5077","","14","10","1912","","","","","Varies from dark brown to light. Mainly poor.","Poor mainly, although the hilt is in better condition.","","","Bronze.","","The blade is outlined. This sword is in two pieces, the break being an ancient one. The metal is cracked on both sides of the break and the blade is bent near the tip.","","J. Wymer","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23566544254","https://farm2.staticflickr.com/1473/23566544254_3ca1234209_m.jpg","superuser","ThamesSwords"
"51189","433","Leaf shaped sword","IVa","Private Collection,G. Smith, Esq.,1923,Reading Mus. S.253.145.112","England,Berkshire,Thames,Bray,R. Thames (dredged)","Bray, Windsor and Maidenhead, UK","-0.7006","51.5077","","14","10","1912","585","blade 35; hilt 48, 40","","474.86","brown, pale green + bluish green patches.","waterworn","blade 8","","","","In two pieces. Both dredged the same day. Probably broken by dredger. Rivets all gone.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24194711975","https://farm2.staticflickr.com/1492/24194711975_86a2507370_m.jpg","superuser","ThamesSwords"
"51190","433","Leaf shaped sword; hilt frag. + 1 joining blade frag.","IVa","Private Collection,1923,G. Smith Esq.","England,Thames,Berkshire,Tilehurst,R. Thames","Tilehurst, West Berkshire, UK","-1.0561","51.4551","","None","None","None","283","blade 42; hilt 46, 37","","315.39","Pale green in places.","Much encrusted with lime.","blade 6","","","","Broken in 2 pieces. Blade is bent. Four rivets remain.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23826916589","https://farm2.staticflickr.com/1473/23826916589_5567f075de_m.jpg","superuser","ThamesSwords"
"51191","433","Sword","IVa","Private Collection,Mr. J. Kinross,Riding Court, Slough (1930)","England,Thames,Buckinghamshire,Datchet,R. Thames","Datchet, Slough, Windsor and Maidenhead SL3, UK","-0.5795","51.484","","None","None","None","576","hilt 49; blade 38","","","","","8","","","","4 small rivet holes, 2 in grip, 2 with rivets in shoulders. Tongue of midrib ascends grip. Notches on ricasso.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24112117771","https://farm2.staticflickr.com/1545/24112117771_0b99896597_m.jpg","superuser","ThamesSwords"
"51192","433","Sword","IVa","London Museum, A.17103","England,Thames,Buckinghamshire,Datchet,River Thames","Datchet, Slough, Windsor and Maidenhead SL3, UK","-0.5795","51.484","","None","None","None","550","38","","680","Light green patina","Rough","8","","","","Three rivets (thicker)","","Inacc.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23899110310","https://farm2.staticflickr.com/1514/23899110310_0222b1795a_m.jpg","superuser","ThamesSwords"
"51193","433","Sword","IIIa","Museum of Archaeology + Ethnology, Cambridge,48.314","England,Thames,near Corvay Stakes","River Thames, United Kingdom","-0.6161","51.5856","","None","None","None","609.6","","","","","","","Length: 24 ins. = 609.6mm","","","","","Partial Card","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24194709415","https://farm2.staticflickr.com/1575/24194709415_2f1c55cc5b_m.jpg","superuser","ThamesSwords"
"51194","433","Leaf shaped sword","C","Private Collection,W.C. Wells Esq., Sudbury, Harrow, 21.6.20,ex Albert Way's Coll.","England,Thames,Essex,Thames at Barking","Barking, Greater London, UK","0.0758","51.5366","","None","None","None","541","38","","396.9","Slight greenish bronze patina.","Smooth, golden bronze showing.","5","","","","","","Once thought to be Putney, but W. C. Wells subsequently deciphered the old label as BARKING (ex. Albert Way Coll.) Information obtained from W. C. Wells, May 1937.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23567915543","https://farm2.staticflickr.com/1656/23567915543_7453d18838_m.jpg","superuser","ThamesSwords"
"51195","433","Sword","C","Ashmolean Museum, Oxford,Evans Collection 1927-2525,From Hugo Collection","England,Thames,Essex,Barking,Found in R. Thames about a mile west of Barking Creek,1859","Barking, Greater London, UK","0.0758","51.5366","","None","None","1859","455","33","","321.33","unpatinated.","","6","","","","Notches in tang: but Evans says (op cit. p. 284) 4 rivet holes, broken away. Midrib continuous through tang.","Proc. Soc. Antiq., 2nd Series, I, 44.,Evans, Anc. Br. Imps., p. 284.","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23899108390","https://farm2.staticflickr.com/1594/23899108390_907800dc76_m.jpg","superuser","ThamesSwords"
"51196","433","Sword","IIc","Ashmolean Museum, Oxford,1886 No. 751,Fortnum Collection,Given by C. D. F. Fortnum","England,Thames,Kent,Erith,River Thames,1886","Erith, Greater London, UK","0.1747","51.4808","","None","None","1886","621","43","","583.28","Bronze patina.","","9.5","","","1 socketed celt (750); 1 Rapier (752)","The edge is fairly serrated for about 18mm just below handle. Very fine condition.","Proc. Soc. Ant. 2nd Ser. V. 428,R.F. Jessup, 'Kent', 105, 255","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24194707725","https://farm2.staticflickr.com/1600/24194707725_39b79271e9_m.jpg","superuser","ThamesSwords"
"51197","433","Sword","FAKE","Brentford Public Library,Layton Collection 01336,Now in London Museum","England,Kent,Greenwich,Thames","Greenwich, London SE10, UK","-0.0077","51.4826","","None","None","None","646","blade 44, 33.5, 50","","","Blackish patina (greenish in places)","Smooth","blade 5","","","","Tang broken through rivet hole. Sharp, regular edges.","Archaeologia?,Evans, B. Impls. 284,Arch. Journ. XXXIV, 301 (+ fig. 1 on prev. p.),R.F. Jessup, ""Kent"" 105, 256,V.C.H. Kent I, 337","Inacc.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24194707115","https://farm2.staticflickr.com/1441/24194707115_ce9a2c27c8_m.jpg","superuser","ThamesSwords"
"51198","433","Sword","C","London Museum, A21","England,London,Battersea","Battersea, London SW11, UK","-0.1677","51.4639","","None","None","None","426","27","","340","Brown patina","Smooth, encrusted in parts.","6","","","","","","Inacc.,Drilled 3/2/65","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23899106480","https://farm2.staticflickr.com/1460/23899106480_ec7f8d0ccc_m.jpg","superuser","ThamesSwords"
"51199","433","Sword Erbenheim","c3; Ia","London Museum, A.22","England,Thames,London,Battersea","Battersea, London SW11, UK","-0.1677","51.4639","","None","None","None","221; 452","47","","255; 538","Brown patina.","Fairly smooth.","9","","","","In two pieces. Flanged hilt. 10 rivet holes.","J.D. Cowen, P.P.S., 1987, No. 9","Inacc.,Drilled 3/2/65","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23826910999","https://farm2.staticflickr.com/1591/23826910999_703d71b0b9_m.jpg","superuser","ThamesSwords"
"51200","433","Sword","IIIc","Brentford Public Library,Layton Collection 01333,Now in The London Museum","England,Thames,Surrey/Middlesex,(between) Barnes + Chiswick,Thames ballast,1861","Chiswick, London, UK","-0.2672","51.4876","","None","None","1861","263","blade 32; hilt plate 56; hilt end 44.5","","","Medium + light brown","Smooth. Gravel encrusted on one side of hilt, encrusted with earth on other side of hilt.","bade 7.75","","","","Blade bent where broken.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23566536324","https://farm2.staticflickr.com/1644/23566536324_aaa4baf75c_m.jpg","superuser","ThamesSwords"
"51201","433","Leaf shaped sword","IIc","Private Collection,Thos. Allworthy, 14 Grays Inn Rd., W.C.,31.5.20","England,Thames,London,Battersea (from Thames)","Battersea, London SW11, UK","-0.1677","51.4639","","None","None","None","706","from 40 to 52","","1006.4","No patina","Smooth, mostly golden bronze colour, a little pocked.","8 to 10","","Bronze","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23567911003","https://farm2.staticflickr.com/1624/23567911003_e099c8db6e_m.jpg","superuser","ThamesSwords"
"51202","433","Sword","B","Brentford Public Library,Layton Collection,01339,Now in Londond Museum","England,Thames,London,Battersea,off Price's factory (in London clay),Bed of Thames,December 1864","Battersea, London SW11, UK","-0.1677","51.4639","","None","12","1864","507","blade 40; hilt 45.5","","","dirty blackish colour + dark golden bronze","slightly pitted","blade 3.5","","","","4 rivet holes - 2 rivets. Blade bent. Metal welded on hilt. A very flat blade.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24086673332","https://farm2.staticflickr.com/1452/24086673332_dc990928e3_m.jpg","superuser","ThamesSwords"
"51203","433","Sword","B","Brentford Public Library,Layton Collection,01339,Now in The London Museum","England,Thames,London,Wandsworth,Bed of Thames, off Price's factory (in London Clay),December 1844","London Borough of Wandsworth, Greater London, UK","-0.1818","51.4571","","None","12","1844","514","hilt 45; blade 40","","","Dirty blackish colour. Patina + dark g. bronze.","Slt pitted.","blade 5","","","","Rivet holes with 2 rivets. Blade bent, hilt welded. Very flat blade.","","Duplicate?","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24112109961","https://farm2.staticflickr.com/1444/24112109961_b57c46837a_m.jpg","superuser","ThamesSwords"
"51204","433","Sword ""transitional""","O","Mr. G. H. Tugwoll, Newlands, Victoria Drive, Brighton, 1926,Given to him by his uncle over 50 years ago (c. 1885), he being a doctor (Dr. J. Waiterwood) and at that time an old man (c. 70). It was given to him by a patient when he was a young man, i.e. 1845 at the latest.","England,R. Thames,Battersea,London","Battersea, London SW11, UK","-0.1677","51.4639","","None","None","None","508","47","","493","Dark, ""peaty""","Smooth","9","","","","In excellent condition, edges very sharp. Four louvre rivets in grip.","","This sword has been seen by G.F. Lawrence, who has approved of its being genuine and of a patina seen on other Thames bronzes. See R.E.M. Wheeler in Antiq. Journ. VII for type.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23567909113","https://farm2.staticflickr.com/1479/23567909113_f578dc09bf_m.jpg","superuser","ThamesSwords"
"51205","433","Leaf shaped sword","IIIa","London Museum,A24934","England,Thames,London,Battersea,dredged from R. Thames","Battersea, London SW11, UK","-0.1677","51.4639","","None","None","None","301","hilt 36, 26.5, 73; blade 49","","","Thin, very dark brown.","Very slightly pitted.","blade 9.5; hilt 9.5, 9","","","","Rivets: A. 18.5 x 4.5; B. 18 x 4.5; Well presented. Sharp edges. Broken by dredger. Decorated on hilt plate with curved incised lines + indented dots on these lines.","","Inacc.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/24168624396","https://farm2.staticflickr.com/1468/24168624396_0a141c313e_m.jpg","superuser","ThamesSwords"
