"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"28788","64","Flat Knife,Rivetted Dagger","I,red dot","Hull Museum,No. 83","England,Yorkshire,From a barrow on the Yorkshire Wolds opened by Sir Tatton Syker (Grave No. 1)","",,,"","None","None","None","72","(blade) 30","","15","","heavily corroded","","","","Found in Grave No. 1 with unburnt body; in the same grave a small bronze awl was found with cremated remains.","","","","Hugh Fiske","https://farm8.staticflickr.com/7567/15644380704_ce817299ea_b.jpg","https://www.flickr.com/photos/MicroPasts/15644380704","superuser","dirkspart2"
"28789","64","Dirk Frag.","B","Sheffield City Museum,Bateman Collection,J.93.462","England,Yorkshire,York","York, York, York, UK","-1.0873","53.96","","None","None","None","","","","25","Green/Brown","","","","","","","Catalogue of Bateman Antiquities (S.C.M.1899) p.77.","Broken in antiquity","Hugh Fiske","https://farm8.staticflickr.com/7571/16240885646_18941a9292_b.jpg","https://www.flickr.com/photos/MicroPasts/16240885646","superuser","dirkspart2"
"28790","64","DIRK","D1","Sheffield City Museum,Bateman Collection,J.93.459","England,Yorkshire,York","York, York, York, UK","-1.0873","53.96","","None","None","None","125","","","35","Thin green","","","","","","","Catalogue of Bateman Antiquities (S.C.M.1899) p.77","","Hugh Fiske","https://farm9.staticflickr.com/8568/16080937637_431fe5ccd2_b.jpg","https://www.flickr.com/photos/MicroPasts/16080937637","superuser","dirkspart2"
"28791","64","Rivetted Small Dirk","D","Sheffield Museum,Bateman Collection,G241. T93459.","England,Yorkshire,York","York, York, York, UK","-1.0873","53.96","","None","None","None","126","25, 18.5, 9","","50","green","","4 blade","","","","Very rudely made. It has been attached to haft by tying. Butt end is much thinner than blade, & edges are jagged, probably by use.","","","Hugh Fiske","https://farm8.staticflickr.com/7478/15644382154_09feeaf073_b.jpg","https://www.flickr.com/photos/MicroPasts/15644382154","superuser","dirkspart2"
"28792","64","Dagger, of Cypriote type, with hooked tang.","","Whitby Museum Acc. No. 3B,(Given by F. Elgee Esq.) [Dr Frank Elgee],1936,(Curator, Dorman Memorial Museum, Middlesbrough)","Yorkshire, NR,Whitby,Egton Moor","Egton, Whitby, North Yorkshire YO21, UK","-0.7534","54.4489","","None","None","None","368","51 at widest point","","","","","","Length 14 1/2 in., , Width 2in. at widest point","","None","","Frank Elgee, Ph.D., in the Whitby Gazette, 27 November 1936, p.12, with photograph; the article states that the dagger 'has recently been given' to Dr Elgee by Mr. H.A. Innes, of Croft, to whom, about 1928 (about 8 years ago), it had been given by one of his farm employees, named Morton, who died about 1933 or 4 (= ""2 or 3 years ago"") aged 69, and who had been a farm lad at or near Egton when 'a pal' of his, another farm lad, found the dagger when herding up sheep on the moor. (Approx. date of the claimed discovery therefore within the 1880's. C.F.C.H.),Brought by Dr Elgee to the British Museum, Nov. 1936, when this card was filled in and its drawing made, and the dagger was submitted to Dr. H.J. Plenderleith, B.M. Research Laboratory, who reported on 5.Dec.1936 that 'there is nothing distinctive about the surface corrosive or surrosive deposits' on it.","These names written here +/- 1957 by Margaret Smith; reason not recorded,C.C. Fowler,D.M. Walker,Study of this and other Cypriot type dagger finds in Ctral Europe being carried out 1965 - by Warwick Bray, Dept. of Ancient History, The University, Sheffield 10.","Hugh Fiske","https://farm8.staticflickr.com/7498/16080687669_04b020170b_b.jpg","https://www.flickr.com/photos/MicroPasts/16080687669","superuser","dirkspart2"
"28793","734","Rivetted Ogival Grooved Dagger","Ogival, , , , [noted in pencil]","Museum of the Leeds Philosophical  & Literary Society., , Presented by W. H. Bartholomew Esq. C.E., Headingby.","England, Yorkshire, Wakefield (near), Woodnook., Found while excavating a lock at a depth of 24 feet., 1842, Found in gravel bed above shale and below thick alluvial deposits","",,,"","None","None","1842","235","67","","249.9","Brown","smooth","","2-part, hand-drawn illustration with some dimensions., , , , At least 3 different handwritings and inks/pencil on card.  All 3 appear in site information.","","","The edges of the blade of slightly ogival outline; low-ridged midrib running the whole length of the blade; a hollow fluted grove runs parallel with and close to the cutting edge, behind this is a rounded ridge with V-shaped hollow beyond, defining outer edge of midrib.  Down each side of midrib are three cast or engraved parallel lines, and across bases of midrib three rows of engraved chevron ornament and one row of crossed zigzags; three large rivets at base of blade., , , , Beautiful preservation and finish.","Bowman, W. (ed.) 1855, , Reliquaiae Antiquae Eboracenses, pp 39-40","","Marilyn Kohn","https://farm8.staticflickr.com/7545/16080938967_7f006b422e_b.jpg","https://www.flickr.com/photos/MicroPasts/16080938967","most detailed record","dirkspart2"
"28794","734","RIVETTED DAGGER","94 I I","Mortimer  Archaeological Collection., , HULL Munic Mus.","Sherburn E. Yorks.","",,,"","None","None","None","123","29","","35","Deep Green & Brown","Deeply Pitted","3","3-part, hand-drawn illustrations, with dimensions., , , , Most of notations are typewritten, but there are some handwritten insertions in blue ink (including title) and pencil.","","","Dagger","Hull Museum 213.","","Marilyn Kohn","https://farm9.staticflickr.com/8648/15644383574_39ca90fdfe_b.jpg","https://www.flickr.com/photos/MicroPasts/15644383574","most detailed record","dirkspart2"
"28795","854","Rivetted,DAGGER,(PART BLADE OF)","II","THE MUSEUM, ALBION ST.,HULL.,(By purchase 1922)","ENGLAND.,YORKs. E. RIDING.,SHERBURN.","Sherburn, Malton, North Yorkshire YO17, UK","-0.5321","54.1871","","None","None","None","123","30","","28.35","","Smooth well presented.,Dull brown.","1.5","The Object Name field reads in full: 'Flint Knife - Rivetted DAGGER (PART BLADE OF)'. 'Flint knife - ' is written in pencil in a different hand to 'Rivetted,DAGGER,(PART BLADE OF)'., , , , The Thickness field reads in full: '1.5 at haft 3mm. max'.'","Edges sharp but much splintered, point,broken.","","","","","Amal Khreisheh","https://farm9.staticflickr.com/8577/16079438540_f3d37edff7_b.jpg","https://www.flickr.com/photos/MicroPasts/16079438540","most detailed record","dirkspart2"
"28796","727","Dagger","II","Sheffield City Museum, Bateman Collection, J.93. 454","England, Yorkshire, found in a barrow at Scamridge, 11 mi. E. of Pickering, 1851.","Low Scamridge Cottage, Ebberston, Scarborough, North Yorkshire YO13 9PD, UK","-0.6245","54.2588","-","None","None","None","-","-","-","-","green patina","-","-","","-","See Remarks","Pommel of bone","Ten Years’ Diggings (Bateman) pp. 225-6, Catalogue of Bateman Antiquities (S.C.M. 1899) p.  75., Evans (1881) p.  227., Piggott Culture and Environment P83 Fig 18 no 16.","Inhumation in cist, overlying tumulus almost totally destroyed by plowing.  The scraper, 2 small stone spheres (1” x 2” diam.), and “peculiarly-shaped stone”, , , , Bateman notes that possibility of recovering handle of dagger (of bone) if more care had been taken during excavation, (T.Y.D.)","MARLA WALCOTT","https://farm8.staticflickr.com/7531/15646907203_fc4c8d0be8_b.jpg","https://www.flickr.com/photos/MicroPasts/15646907203","most detailed record","dirkspart2"
"28797","727","Ogival Grooved Dagger Blade","Ogival","Museum, Leeds Phil. & Lit.: Society","England, Yorkshire, Pickering","Pickering, Pickering, North Yorkshire YO18, UK","-0.7776","54.2439","-","None","None","None","235","*","-","164","No","fairly smooth metallic color, may have been cleaned","-","-","-","-","* Width is illegible, could be 60.5, , , , With raised triangular centre developing into high angular midrib, to fluted groves with braised ribs between running parallel with midrib + raised rib between outer fluting + chamfer of cutting edge running parallel with edges of blade","-","-","MARLA WALCOTT","https://farm8.staticflickr.com/7538/16080941087_bc9a041210_b.jpg","https://www.flickr.com/photos/MicroPasts/16080941087","most detailed record","dirkspart2"
