"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"28314","243","DIRK","? B","London Museum A. 13942.","England,GREATER LONDON,Isleworth,Sion Reach.,according to Tremps list and similar card Wandle wet THAMES.","Railshead Road, Twickenham, Isleworth, Greater London TW7, UK","-0.3207","51.4645","","None","None","None","300","30","","170","grey patina green stains.","Rather rough","5","2 cross section drawings of dirk on reverse.,Rivet holes at very bottom of base, holes are intact.  Base also includes 2 protrusions (one rounded, one pointed and likely broken or worn away) before narrowing to blade.  Blade cross section is a squashed oval.,Edge appears relatively intact on one side but chipped or otherwise corroded on the other.","","Found among the Pale-dwellings, with many other objects.","Two rivets","B. Trump. P.P.S. 1962. No. 8. p.97,No 157","","Jeff Okazaki","https://farm8.staticflickr.com/7559/16050031972_7b5b400141_b.jpg","https://www.flickr.com/photos/MicroPasts/16050031972","superuser","drawA10"
"28315",,"Dirk","","London Museum A18106","England, Greater London, Islesorth, Sion Reach","",,,"","None","None","None","251","37","","155.98","","Smooth Dark brown","5","","","","","","Rapier archive with trapezoidal plate, , From the Thames","Anon.","https://farm8.staticflickr.com/7564/16048771281_c5dd6eba57_b.jpg","https://www.flickr.com/photos/MicroPasts/16048771281","only good record","drawA10"
"28316","727","Dirk  Trump’s I","B","Guildhall Museum, Catalogue p.3. no 14.","England, Greater London, Sion Reach, River Thames","London, UK","-0.1278","51.5074","-","None","None","None","207","24","-","77.96","dull brown","smooth","for","in References to Publications, ""103"" is in a different hand in pencil","-","","-","B.A.V. Trump. P.P.S. 1962. No. 5. P. 96, 103","-","MARLA WALCOTT","https://farm8.staticflickr.com/7526/15428443514_b83cca3a3d_b.jpg","https://www.flickr.com/photos/MicroPasts/15428443514","most detailed record","drawA10"
"28317","433","Rapier","B","Vize Collection, No. 47","England,Greater London,Isleworth,Sion Reach,R. Thames,17 Nov. 1902","Isleworth, Greater London, UK","-0.329","51.4671","","17","11","1902","472.5","44","23","240.97","","Good preservation, dark gold bronze colour - nearly all black stained.","5","Width: Hilt end 44mm; 65mm; blade 23mm","","","2 Rivets remain.","B.A.V. Trump, P.P.S. 1962, No. 5, p. 97, No. 131","Trumps II Wandsworth","Joellen mcGann","https://farm8.staticflickr.com/7491/16050720945_d779002bfe_b.jpg","https://www.flickr.com/photos/MicroPasts/16050720945","superuser","drawA10"
"28318","433","Dirk","B","Royal Scottish Museum, Edinburgh,Reg. No.: 1905.221","England,Greater London,Isleworth-on-Thames,Found in the River","Isleworth, Greater London, UK","-0.329","51.4671","","None","None","None","331","27","","211","Light rust colour with the original bronze colour showing through in places.","","6","","","","Dagger, of bronze, with two rivets in position. Well preserved.","","","Joellen mcGann","https://farm8.staticflickr.com/7552/15431075463_99a6ae29a7_b.jpg","https://www.flickr.com/photos/MicroPasts/15431075463","superuser","drawA10"
"28319","433","Dirk","B","London Museum, 59.47/1,Bought from finder, T. W. Yong, June 1959.","England,Greater London,Heston & Isleworth,Syon House,Thames foreshore, in bed of sandstone","Isleworth, Greater London, UK","-0.329","51.4671","","None","None","None","266","62.5","","","","","","","","","Blade has central rib (like sections rather than plan) and bevelled edges.","","OK,J.K. Macdonald","Joellen mcGann","https://farm8.staticflickr.com/7573/15863275458_28c1c7c968_b.jpg","https://www.flickr.com/photos/MicroPasts/15863275458","superuser","drawA10"
"28320","433","Dirk","B","London Museum, A.19787,Bought 1918. From Greenwell Collection,(Under ""daggers"")","England,Greater London,Brentford Ferry,Thames,Top layer of the river bed,Found by a lad diving, 1910.","Brentford, London","-0.3101","51.4861","","None","None","1910","250","60","","","","","","","","","Slight groove following outline of blade defines lower part of mid-rib, which re-expands and becomes flatter near tip. Blade has bevelled edges.","Arch. J., LXXXVI, 70, 80,B. Trumps, P.P.S., No. 5, p. 96, No. 113.","Trumps II Wandsworth,OK,J.K. Macdonald","Joellen mcGann","https://farm8.staticflickr.com/7558/15863446260_f63ba515a1_b.jpg","https://www.flickr.com/photos/MicroPasts/15863446260","superuser","drawA10"
"28321","433","Dirk","B","Brentford Public Library,Layton Collection, 0132/2,London Museum","England,Greater London,Brentford,Opposite ""Old England"",Thames ballast.,1885","Brentford, Greater London, UK","-0.3101","51.4861","","None","None","1885","334","61","25","","","Very dark bronze with black stains; some sand adheres.","4.5","","","","Rib down blade is not strongly defined. 1 rivet. Blade slightly bent.","B. Trump, P.P.S., 1962, No. 5, p. 96, No. 126","Trumps II Wandsworth,OK","Joellen mcGann","https://farm8.staticflickr.com/7501/16024953916_580a62cef6_b.jpg","https://www.flickr.com/photos/MicroPasts/16024953916","superuser","drawA10"
"28322","433","Rapier Blade Fragment","","Brentford Public Library,Layton Collection,01309,Now in The London Museum","England,Greater London,Brentford,Off Old England,Above G. W. Dock,(Bed of Thames),July 1864","Brentford, Greater London, UK","-0.3101","51.4861","","None","7","1864","135","","23","","Dull brown and dark brown. Light green shows beneath.","Smooth","6","","","","","","OK","Joellen mcGann","https://farm8.staticflickr.com/7526/15864684609_aa5139be88_b.jpg","https://www.flickr.com/photos/MicroPasts/15864684609","superuser","drawA10"
"28323","433","Dirk","B","Herts County Museum, St. Albans,Ball Collection,143","England,Greater London,Kingston-on-Thames","Kingston upon Thames, Greater London, UK","-0.3007","51.4123","","None","None","None","222.5","47","","106.31","Shiny dark brown","Smooth","6.5","Width: 47mm; 23.5mm","","","","","","Joellen mcGann","https://farm8.staticflickr.com/7512/16050032362_6e3d56558f_b.jpg","https://www.flickr.com/photos/MicroPasts/16050032362","superuser","drawA10"
