"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"3288","243","PALSTAVE","[Red Dot]","AYLESBURY, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","-0.6429","51.525","","None","None","1926","163","57","57","","","badly corroded. Cleaned down to metal.","","3 cross section drawings of palstave on reverse.,, , Surface appears to be pitted or damaged,, , Edge heavily damaged, cracked on one corner, most of blade and other corner missing.,, , Casting marks visible.,, , Slight indented decoration below stop.  Hard to make out from drawing but appears to be teardrop shape?,, , Butt damaged with v-shaped notch.","","Hoard of 18 palstaves.","","Ant. J. XIII. 55","ND 74","Jeff Okazaki","http://farm8.staticflickr.com/7208/13305092224_a59180840b_b.jpg","http://www.flickr.com/photos/MicroPasts/13305092224","superuser","drawB16"
"3289","64","PALSTAVE","","AYLESBURY, Bucks. Co. Museum (loan)","bucks (berks),, burnham,, slough trading estate,, 1926","slough","-0.6365","51.5267","","None","None","1926","160","58","","","","","","","","Hoard of 18 palstaves","","Ant. J. XIII. 55","ND 74","Hugh Fiske","http://farm8.staticflickr.com/7125/13304879533_07ae610c67_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879533","superuser","drawB16"
"3290","226","PALSTAVE","BUCKS (BERKS),, , Burnham,, , Slough Trading Estate,, , 1926","Aylesbury, Bucks. Co. Museum (loan)","","burnham, england","-3.2766","54.7024","","None","None","1907","134","56","","","","","","""ND74"" written in bottom left corner of card","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Elaine Dale","http://farm8.staticflickr.com/7179/13304879273_5e98284839_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879273","superuser","drawB16"
"3291","226","PALSTAVE","","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks),, burnham,, slough trading estate,, 1926","burnham, england","-0.6571","51.5362","","None","None","1926","154","56","","","","badly corroded, bright green","","","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Elaine Dale","http://farm8.staticflickr.com/7197/13305091724_54e613ba62_b.jpg","http://www.flickr.com/photos/MicroPasts/13305091724","superuser","drawB16"
"3292","226","PALSTAVE","a red dot is drawn on the card","Aylesbury: Bucks. Co. Museum (loan)","bucks (berks),, burnham,, slough trading estate,, midway between windsor lane and dover road: just north of railway at depth of 2'. 1926,","burnham, england","-0.6571","51.5362","","None","None","1926","165","67","","","","","","""ND74"" written in bottom left corner of card","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Elaine Dale","http://farm3.staticflickr.com/2856/13305091544_9d812f79d7_b.jpg","http://www.flickr.com/photos/MicroPasts/13305091544","superuser","drawB16"
"3293","226","Palstave","red dot drawn on card","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks),, burnham,, slough trading estate,, 1926","burnham, england","-0.6571","51.5362","","None","None","1926","146","54","","","","pitted, cleaned down to metal","","""ND74"" written on bottom left corner of card","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Elaine Dale","http://farm4.staticflickr.com/3811/13304878853_514345f3a4_b.jpg","http://www.flickr.com/photos/MicroPasts/13304878853","superuser","drawB16"
"3294","226","Palstave","red dot drawn on top right corner of card","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks),, burnham,, slough trading estate,, 1926","burnham, england","-0.6571","51.5362","","None","None","1926","166","59","","","","badly pitted. Bright green corrosion","","""ND74"" written on bottom left corner of card","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Elaine Dale","http://farm4.staticflickr.com/3776/13305091154_7d51f0e9ea_b.jpg","http://www.flickr.com/photos/MicroPasts/13305091154","superuser","drawB16"
"3295","243","PALSTAVE","[Red dot]","AYLESBURY, Bucks, Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","-0.6425","51.525","","None","None","1926","157","60","","","","fairly corroded","","3 cross section drawings of palstave on reverse.,, , Small, slight circular depression just below stop on both sides of blade.,, , Casting marks visible.","","Hoard of 18 palstaves","","Ant. J. XIII. 55","ND 74","Jeff Okazaki","http://farm3.staticflickr.com/2834/13304730605_64e8939cc6_b.jpg","http://www.flickr.com/photos/MicroPasts/13304730605","superuser","drawB16"
"3296","243","PALSTAVE","[Transcriber's Note - no text, just a small red dot]","AYLESBURY, Bucks. Co. Museum (loan)","bucks {berks}, burnham, slough trading estate, 1926","slough, burnham","-0.6506","51.5228","","None","None","1926","152","61","","","","pitted. Cleaned down to bronze","","3 cross section drawings of palstave on reverse.","","Hoard of 18 palstaves","","Ant. J. XIII, 55","ND 74","Jeff Okazaki","http://farm3.staticflickr.com/2835/13304730375_9b8018d6fa_b.jpg","http://www.flickr.com/photos/MicroPasts/13304730375","superuser","drawB16"
"3297","243","PALSTAVE","[Red dot]","AYLESBURY, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","-0.6426","51.5247","","None","None","1926","168","65","65","","","","","3 cross section drawings of palstave on reverse., Palstave is badly corroded, Edge chipped, Casting marks visible.,, , Long midrib below stop running to edge bevel.","","Hoard of 18 palstaves","","Ant. J. XIII. 55","ND 74","Jeff Okazaki","http://farm8.staticflickr.com/7329/13304730205_e930279992_b.jpg","http://www.flickr.com/photos/MicroPasts/13304730205","superuser","drawB16"
