"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"10466","64","Flat Celt","d","Private Collection,F. Ransom Esq.,Hitchin","england,berkshire","","-3.2766","54.7024","","None","None","None","115","","","","thick light brownish green patina on one side this is almost earth colour & it is chipped off at the edges.","smooth","","Weight transcribed as written","","","","","","Hugh Fiske","https://farm4.staticflickr.com/3803/13310712683_e57c29fa6e_b.jpg","https://www.flickr.com/photos/MicroPasts/13310712683","superuser","drawerA1"
"10467","64","Flat axe","d","Reading Museum 44:52,T.C.B. Coll.","berks.,bray.,dredged from the thames, 400 yards above bray. march 1952.","bray berks","-0.7063","51.5091","","None","3","1952","","","","","Cleaned.","","","","Bronze. Good Condition.","","","","J. Wymer","Hugh Fiske","https://farm4.staticflickr.com/3676/13310923184_af253d7593_b.jpg","https://www.flickr.com/photos/MicroPasts/13310923184","superuser","drawerA1"
"10468","243","Flat Celt.","d","Reading Museum A.L. XLIV.,Davies Collection (Wallingford) March 1891.","england,berkshire,cholsey,near church,found when ploughing,june 1878.","cholsey","-1.1547","51.5784","","None","6","1878","126","","77","347.28","","yellow Bronze. with black stains.","12","2 cross section drawings of celt on reverse.,Blade widens more quickly as it nears edge, tips very slightly flared.,Edge blunted.","","","Butt slightly hammered. edge dented.","","","Jeff Okazaki","https://farm8.staticflickr.com/7403/13310711953_3f8cba2448_b.jpg","https://www.flickr.com/photos/MicroPasts/13310711953","superuser","drawerA1"
"10469","161","Flat Celt","d","Reading Museum, AL. XLV,Davies Coll. (Wallingford) March 1891.","england,berks,cholsey,near church,","cholsey","-1.1585","51.579","","None","6","1878","142","","101","432.33","dark with patches of apple green","badly pitted","9","found while ploughing, June 1878,","","","Butt broken + cracked. edge dented","","","Jared Obermeyer","https://farm8.staticflickr.com/7443/13310711633_11b4a8772c_b.jpg","https://www.flickr.com/photos/MicroPasts/13310711633","most detailed record","drawerA1"
"10470","161","Flat Axe, (""Small bronze celt"")","unclassifiable","Item now untraced","berkshire, cholsey, halfpenny lane","cholsey, halfpenny lane","-1.1622","51.5566","","None","None","None","","","","","","","","remark added in pencil at some time","","","","H. Peaks ""Berkshire"" 51.,J.K. Hodges. History of Wallingford. I. 148","Is this one of those in Reading Museum? (Found near church in 1878)","Jared Obermeyer","https://farm4.staticflickr.com/3743/13310551415_1947b09c06_b.jpg","https://www.flickr.com/photos/MicroPasts/13310551415","most detailed record","drawerA1"
"10471",,"Flat. Celt.","d","Ashmolean Museum, Oxford, , 1896-1908. Pr.371, , Rev. J.C.Clutterbuck Collection, , Given by Rev. J.C.Clutterbuck. 1885.","england, berkshire, long wittenham, found near the river thames","long wittenham","-1.2098","51.6411","","None","None","None","159","","79","390.8","","","11","My first try. There are 2 stats for width. Patina is included in Description.","","","In good condition, brown patina, herring-bone ornament on lower half of edge,and across blade between A.B and X.Y. A faint ridge at A.B.","","","Anon.","https://farm8.staticflickr.com/7315/13310550985_13d005a555_b.jpg","https://www.flickr.com/photos/MicroPasts/13310550985","most detailed record","drawerA1"
"10472","541","Flat Celt","d","Eton College Museum, , pres. by Reverand E. Hale","england, berkshire, from r. thames, maidenhead (near)","maidenhead","-0.703","51.5233","","None","None","None","163.5","","101","560","","","","","Bronze","","","","Lady Willis Chitty, daughter of the donor, says that most of the implements in her father's possession (now in Eton College Museum) were dredged from the R. Thames between Maidenhead and Windsor","Tim Mudie","https://farm8.staticflickr.com/7258/13310709903_59d3bda771_b.jpg","https://www.flickr.com/photos/MicroPasts/13310709903","most detailed record","drawerA1"
"10473",,"Flat Axe","","Eton College Museum, 190","r. thames, berks, nr. maidenhead","near maidenhead","-0.7032","51.5159","","None","None","None","161","101","","","","","","Initials MJR appear below Surface.","","","","","","Anon.","https://farm4.staticflickr.com/3681/13310549945_ece68525b3_b.jpg","https://www.flickr.com/photos/MicroPasts/13310549945","most detailed record","drawerA1"
"10474",,"Hammer-Flanged (Flat) Celt","d","Borough of Newbury Museum, , I.63 (Old catalogue), , Given by Mr. J.W.Roake, , before 1854.","england, berkshire, newbury, the neighbourhood of exact site unknown","newbury, berkshire","-1.3234","51.4079","","None","None","None","170","","76","520","","","11.5","","Assay by analysis Copper 91.35, Tin 8.64, Total 99.99","","There are slight signs of flanges, but the surface is much decayed.","Victoria History of Berkshire. i.195., , Geographical Journal August and September, 1912. 185.207., , Man xiv.51.","It has been suggested by Mr. O.G.S.Crawford (Geo. Journ.) that perhaps this may be the flat celt found on a gravel heath to the north of Newbury and exhibited by Mr. John Pardue in 1846. J.B.A.A.I. (1846) 337.","Anon.","https://farm4.staticflickr.com/3691/13310549765_2a2fe4122c_b.jpg","https://www.flickr.com/photos/MicroPasts/13310549765","most detailed record","drawerA1"
"10475","541","Miniature Flat Axe","","Reading Museum A.L. XLII, , Davies Collection March 1891","england, berkshire, wallingford (?)","wallingford","-1.1252","51.5982","","None","None","None","67","","42","63.78","Dark coloured","Much worn and blistered, one side rough as if cast in an open mould","6","Question marks under ""Site"" and ""Composition"" from original index card.  Not entered by transcriber.","copper ?","","","","This is probably Irish, as the specimens in Davies Collection were often wrongly described.","Tim Mudie","https://farm8.staticflickr.com/7218/13310920264_a3dc4eed96_b.jpg","https://www.flickr.com/photos/MicroPasts/13310920264","most detailed record","drawerA1"
"10476","541","Flat Axe","","Derbyshire Museum Service, , , , x 5510/7","berkshire, windsor great park,, ex ball collection","","-76.5147","37.1474","","None","None","None","139.7","","","","Golden Brown","Smooth","15","Palstave crossed out and replaced with Flat Axe in object box","","","Fine flat palstave in perfect condition","","","Tim Mudie","https://farm4.staticflickr.com/3716/13310708853_a27864430c_b.jpg","https://www.flickr.com/photos/MicroPasts/13310708853","most detailed record","drawerA1"
"10477",,"Flat [...]","d","Private Collection 1923, P. Waterhouse Esq. Yattendon Court","england, berkshire, yattendon, yattendon court, in digging foundations of house, 1878","yattendon","-1.205","51.4667","","None","None","1878","2997","","1981","298","bright green, pale green in pit holes","badly pitted . Some rust adheres to one side. the other partly covered with yellow clay.","279","Length, width, thickness not recorded in any units. Have assumed inches & recorded accordingly","","part of a hoard of 60 pieces. including (Evans, A. B. Imps., p 169) [...], [...] gouges, socketed & tanged knives, swords, seatband [...] spearheads, & flat, conical & angular pieces [...]","Butt chipped: edge chipped & one corner missing","Proc. Soc. Ant. (2nd [...]) VII 480, V. C. H. B[...]ks i, 182-3 Evans. Anc. B. Imps. p. 169 (not in chapter on Flat [...])","","Anon.","https://farm4.staticflickr.com/3721/13310918764_3690daf36d_b.jpg","https://www.flickr.com/photos/MicroPasts/13310918764","most detailed record","drawerA1"
