"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"19318","64","Socketed Celt","I-frag","Private Collection,C.H. Grinling Esq.,17 Rectory Place, Woolwich SE18 (1920),Obtained from Mr Joseph Fels, the owner of Basildon Farm.","England,Essex,Billericay,Basildon Farm,1909","Billericay, Essex, UK","0.4184","51.6279","","None","None","1909","63","edge 43,socket end 26","","81.51","on one side there is no patina, the surface is golden bronze colour. On one side very thin light green patina golden bronze showing through encrustment on both sides.","smooth","17","","","Part of a hoard of 9 S. Celts, a spear head, 2 gouges, portions of a knife etc, & a Socketed Celt now in the Museum of the Royal Academy of Literature, History & Antiquities, Stockholm, & an equal weight of Rough Bze.","","","","Hugh Fiske","https://farm6.staticflickr.com/5613/15600519572_722027b9a1_b.jpg","https://www.flickr.com/photos/MicroPasts/15600519572","superuser","drawerA5A6"
"19319","64","Socketed Celt","II frag","Private Collection,C.H. Grinling Esq.,17 Rectory Place, Woolwich SE18 (1920),Obtained from Mr Joseph Fels, the owner of Basildon Farm.","England,Essex,Billericay,Basildon Farm,1909","Billericay, Essex, UK","0.4184","51.6279","","None","None","1909","65","edge 37,socket end 27","","127.56","light greyish green dull","smooth,Clay like earth adheres in socket.","20","","","Part of a hoard of 9 S. Celts, a spear head, 2 gouges, portions of a knife etc, & a Socketed Celt now in the Museum of the Royal Academy of Literature, History & Antiquities, Stockholm, & an equal weight of Rough Bze.","","","","Hugh Fiske","https://farm6.staticflickr.com/5607/15597024221_d3fb69eaa9_b.jpg","https://www.flickr.com/photos/MicroPasts/15597024221","superuser","drawerA5A6"
"19320","580","Fragment of Socketed Celt?","","Private collection, C.H. Grinling Esq., 17 Rectory Place. Woolwich SE.18. (1920), Obtained from Joseph Fels Esq. owner of Basildon Farm.","England, Essex, Billericay, Basildon Farm, 1909","Billericay, Essex, Royaume-Uni","0.4184","51.6279","11.","None","None","1909","48","35","","54.95","dull light + med. green","smooth. some claylike earth adheres to inside of this ring.","33","","","Part of a hoard consisting of 9 socketed celts. a spear head. 2 gouges. portion of a knife etc. + a socketed Celt now in the Museum of the Royal Academy of Literature. History + Antiquities. Stockholm. + an equal weight of rough ore.","Ring shaped object shaped to a sort of edge on one side.","","","Denis Antoine","https://farm4.staticflickr.com/3941/14978948514_86770f76df_b.jpg","https://www.flickr.com/photos/MicroPasts/14978948514","superuser","drawerA5A6"
"19321","64","SOCKETED AXE","","COLEMAN, Mr. R. - Private,72 Leasway, Wickford, Essex.","ESSEX,BILLERICAY,WICKFORD,72 LEASWAY,found in the garden of 72 Leasway, on a new estate. It fell out of a pile of upcast earth which had dried in the sun. The land was previously meadow.","Wickford, Essex, UK","0.5207","51.6113","TQ 7375 9285","None","None","None","101.5","Edge 47.8,Mouth 41.5,Depth mouth 41.5,Max Width Loop 10.0,Depth socket 78,Length ribs 24.5-25","","","milky-reed green patina; several areas esp. corners, crests and mouth flaking to v. pale green and ruddy brown; numerous scattered small pocks into patina;","edge blunt through corrosion,many traces of light brown soil adhering","","","","","double mouth-moulding fairly widely spaced; lower one in rib form with three prominent vertical ribs descending on either face; ramains of casting flash; small punch marks and hammer ripples in patina; very slight blade tip hollows; no distinct line for edge bevel; rounded 'D' loop section; v. narrow rectangular socket end.","","SH. March 78,Submitted 8.3.78 by F. Bradshaw, 2 Formosa House, Mile End Rd, London E1 (father-in-law of Mr. Coleman)","Hugh Fiske","https://farm6.staticflickr.com/5597/15413575878_365a5667b2_b.jpg","https://www.flickr.com/photos/MicroPasts/15413575878","superuser","drawerA5A6"
"19322","64","Socketed Celt","UII2","Saffron Walden Museum.,CLXV.,Given by Frederick Knight before 1845.","England,Essex,Braintree","Braintree, Essex, UK","0.5509","51.8801","","None","None","None","114","(edge) 42, (socket) 37","","245","","slightly scaled in parts","(socket) 37","","","Found with several others.","","","","Hugh Fiske","https://farm6.staticflickr.com/5600/15414083030_885ec15230_b.jpg","https://www.flickr.com/photos/MicroPasts/15414083030","superuser","drawerA5A6"
"19323","64","Socketed Celt","SII2","Albert Institute, Dundee","Scotland,Forfar (Angus) Tayside,Tealing","Tealing, Dundee, Angus DD4, UK","-2.9568","56.5337","","None","None","None","76","60","","","","","","Length 3"", , Width 2 3/8""","","","Heavily milled loop & moulded neck.","","","Hugh Fiske","https://farm6.staticflickr.com/5605/15597024091_84fcdea5a3_b.jpg","https://www.flickr.com/photos/MicroPasts/15597024091","superuser","drawerA5A6"
"19324","64","SOCKETED AXE","","BRISTOL City Museum, F3605","AVON,Barrow Gurney,Freeman's Farm","Barrow Gurney, Bristol, North Somerset BS48, UK","-2.6768","51.4065","","None","None","None","103","31,mouth square","","","","","","","","","","Ant.J.33 (1953),202-3","MJR","Hugh Fiske","https://farm4.staticflickr.com/3953/15576010246_f2f820898b_b.jpg","https://www.flickr.com/photos/MicroPasts/15576010246","superuser","drawerA5A6"
"19325","64","SOCKETED AXE","","?","ENGLAND,AVON,HAMBROOK,Circumstances: Unknown, prob found pre April 1947 (date of drawing)","Hambrook, Bristol, South Gloucestershire BS16, UK","-2.5185","51.5087","","None","None","None","91","blade 42","","","","","","Modern card, fields do not match data entry template","","Context: ?","Typology: Socketed Axe with 3 ribs - Yorkshire Type,Condition: Complete","","","Hugh Fiske","https://farm6.staticflickr.com/5603/15414083020_3fd8fdff97_b.jpg","https://www.flickr.com/photos/MicroPasts/15414083020","superuser","drawerA5A6"
"19326","64","SOCKETED AXE","","BRISTOL City Museum, F3824","AVON,Wrington,Lulsgate (West Town),ST497657","Wrington, Bristol, North Somerset BS40, UK","-2.7652","51.3643","ST 497 657","None","None","None","93","34","","","","","","","","","","","MJR","Hugh Fiske","https://farm4.staticflickr.com/3932/14978948364_2cf38ea132_b.jpg","https://www.flickr.com/photos/MicroPasts/14978948364","superuser","drawerA5A6"
"19327","433","Socketed Axe","SI3","Smith Institute, Stirling,Cat. No. AK4","Scotland,Ayrshire (Strathclyde)","Ayr, South Ayrshire, UK","-4.6292","55.4586","","None","None","None","80","45","","177","Dark brown and bronze green.","Rough and covered with 'pimples' except near cutting edge.","34","Weight: 6 oz. = 177.44 gms","Bronze","Purchased 1898 from W. Christie, Stirling, who purchased this and other bronzes from an old man who had collected them in Ayrshire.","Socketed axe with 'pimply' surface. Signs of grinding near cutting edge, which is fairly sharp.","","","Joellen mcGann","https://farm4.staticflickr.com/3943/15413067569_c4d1872493_b.jpg","https://www.flickr.com/photos/MicroPasts/15413067569","superuser","drawerA5A6"
