"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"11060","433","Flanged Axe With Stop-Ridge","","W. Gibbons, 1 boat Lane, Dunton, Biggleswade, Bedfordshire","England,Bedfordshire,Nr. Dunton,Biggleswade","Biggleswade, Central Bedfordshire, UK","-0.2642","52.0869","","None","None","None","171","73","","","","Smooth green  patina; cutting edge ground; one side unpatinated. On each face slight mouldings parallel with sides. Roughening of surface in centre of flat sides.","","","","","","","","Joellen mcGann","https://farm6.staticflickr.com/5571/14968888712_0562670ebb_b.jpg","https://www.flickr.com/photos/MicroPasts/14968888712","superuser","flangedAxesA1"
"11061","433","Winged Flanged Axe","","Private Collection,J. Graham Callander, Esq. F.S.A. Scot. C.22","Scotland,Aberdeenshire,Coull,Tomnaverie","Coull, Aboyne, Aberdeenshire AB34, UK","-2.8044","57.1124","","None","None","None","115","21","42","","","","","Width: edge 42mm; butt 21mm","","","","Archaeological Exhibition, University College, London. 1929; Catalogue p. 12.","","Joellen mcGann","https://farm4.staticflickr.com/3890/14966140231_8bb4292006_b.jpg","https://www.flickr.com/photos/MicroPasts/14966140231","superuser","flangedAxesA1"
"11062","433","Flanged Celt","","Anthropological Museum, Aberdeen University,245,Wilson Collection,Purchased 1908","Scotland,Aberdeenshire,Belhelvie","Belhelvie, Aberdeen, Aberdeenshire AB23, UK","-2.088","57.249","","None","None","None","126","27","58","355","","","24","Width: centre 27mm; edge 58mm","","","","","","Joellen mcGann","https://farm6.staticflickr.com/5594/14968888612_c9c3047340_b.jpg","https://www.flickr.com/photos/MicroPasts/14968888612","superuser","flangedAxesA1"
"11063","433","Winged Flanged Axe","","Private Collection,1923,A. Henderson Bishop,Thornton Hall, Lanarkshire,from Collection J. F. Clark","Scotland,Aberdeenshire,Cruden","Cruden Bay, Aberdeenshire, UK","-1.8508","57.4181","","None","None","None","114","25","52","252","","Dark brown patina worn away in places.","8","Width: edge 52mm; middle 28mm; butt 25mm,Thickness: 8mm; 29mm,Weight: 251.6 gms","","","Badly pitted. Especially near edge. Edge badly dented: wings partly perished.","","","Joellen mcGann","https://farm4.staticflickr.com/3919/14946259716_dca46732b5_b.jpg","https://www.flickr.com/photos/MicroPasts/14946259716","superuser","flangedAxesA1"
"11064","433","Flanged Celt","","Anthropological Museum, Aberdeen University,244","Scotland,Aberdeenshire,Insch,1881","Insch, Insch, Aberdeenshire AB52, UK","-2.6119","57.3414","","None","None","1881","124","27","60","356","","","24","Width: centre 27mm; edge 60mm","","","","","","Joellen mcGann","https://farm6.staticflickr.com/5565/14966139811_9a80da7ca0_b.jpg","https://www.flickr.com/photos/MicroPasts/14966139811","superuser","flangedAxesA1"
"11065","482","Wing- flanged Axe","","Private, , J. Graham Callender Esq,  FSA Sco[land], , C21","Scotland, Aberdeenshire, Leochly Cushnie, Balchimmy(Balhonnie)","Leochly Cushnie Aberdeenshire",,,"","None","None","None","136.5","20","46","","","","","I have added the words 'found in a cairn near Balhonnie' to associations, as I feel they belong there rather than on the site description. And there are no other associations listed. What happened to the Georeference software?","","found in a Cairn near Balhonnie","","Arhaeological Exhibition, University College London 1929; Catalogue p. 12","","scruffyarcher","https://farm6.staticflickr.com/5590/14966139941_bc57cecc65_b.jpg","https://www.flickr.com/photos/MicroPasts/14966139941","most detailed record","flangedAxesA1"
"11066","482","Wing-flanged Axe","","Private, , J Graham Callender Esq FSA Scot[land], , C23, ,","Scotland, Aberdeenshire, Moss Mand","Aberdeenshire, Scotland",,,"","None","None","None","107","20","39","","","","","","","","","Archaeological Exhibition, , University College London 1929;, , Catalogue p. 12","","scruffyarcher","https://farm4.staticflickr.com/3868/14946259166_09d5e4f642_b.jpg","https://www.flickr.com/photos/MicroPasts/14946259166","most detailed record","flangedAxesA1"
"11067","543","Half-flanged Axe","","Callander Collection, B75, The University, Glasgow","Scotland,Aberdeenshire","",,,"","None","None","None","94","middle 23,butt 21","39.5","162.5","","","25.5","","","","Good condition","","","Jane Fellows","https://farm6.staticflickr.com/5585/14969231695_4236a12509_b.jpg","https://www.flickr.com/photos/MicroPasts/14969231695","most detailed record","flangedAxesA1"
"11068","543","Cast Flanged Axe","Red dot","National Museum of Wales, 44.172/1","Wales,Anglesey,Menai Bridge","menai bridge, wales",,,"","None","None","None","157","Waist 29","91","435","Glossy, brown-green","Pitted by corrosion in places, facetting of flanges damaged. Horizontal fluting of surface between centre and base of flanges","Waist 18","","","One of a hoard of 8","","AC. 1946, pp. 117f,PW, No. 415","","Jane Fellows","https://farm6.staticflickr.com/5584/14782637198_3f5b4d763c_b.jpg","https://www.flickr.com/photos/MicroPasts/14782637198","most detailed record","flangedAxesA1"
"11069","528","Half flanged Axe","","Royal Scottish Museum, Edinburgh, Reg. No. 1890.49, , Bought: Sturrock Collection, 1890","Scotland, Forfarshire","","-4.1656","53.2226","","None","None","None","152","56 ; centre 28","","357","Original bronze colour","Excellently preserved, but pitted in places","28 ; 12","Could not be georeferenced due to undefined find site","","","Palstave, bronze, with lunate cutting edge","","","Margaret Ellen Joy","https://farm4.staticflickr.com/3845/14969231255_e083e2cc6f_b.jpg","https://www.flickr.com/photos/MicroPasts/14969231255","most detailed record","flangedAxesA1"
