"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"31158","580","Tanged Chisel","","Salisbury, S. Wilts and Blackmore Museum, 21 on face","Ireland, Co Meath","Co. Meath, Irlande","-6.6677","53.6577","","None","None","None","138","edge 38; middle 16; tang 7","","61.75","brown","","","","","","","","","Denis Antoine","https://farm9.staticflickr.com/8565/16039742464_a4236fe0ae_b.jpg","https://www.flickr.com/photos/MicroPasts/16039742464","superuser","irishB10"
"31159","580","Socketed Knife","B","Royal United Service Institution, Whitehall SW., pres. by Vicount Templetown, 582","Ireland, Co Monaghan","Co. Monaghan, Irlande","-6.9683","54.2492","","None","None","None","(over all) 235.5; socket 41","blade 30; socket 30.5; 29.5","","166.10","A very dark brown almost black patina & this is thickest at the socket. A good deal of golden bronze shows.","smooth but rather ""largely"" pitted all over. One side of blade is filed. Edge fairly sharp but jagged in places/","blade 4; 5.5","","","","A very slight beading runs round edge of socket/","","Described as late Bronze Age.","Denis Antoine","https://farm9.staticflickr.com/8660/16474473498_f69ac63f01_b.jpg","https://www.flickr.com/photos/MicroPasts/16474473498","superuser","irishB10"
"31160","580","Tanged Chisel","","Sotheby's Sale 19. 11. 24. 632, Collection of W. J. Knowles MRIA of Flixton Place, Ballymena.","Ireland, Monaghan, Ballybay (label)","Ballybay, Co. Monaghan, Irlande","-6.9028","54.1295","","None","None","None","76","edge 18; middle 7.5","","","traces of patina in the pittings - light green.","tiny pittings, golden bronze, cleaned.","3.5","","","","Tang is squarish, tapering to a sharp point. Sharp edge, but chipped.","","","Denis Antoine","https://farm9.staticflickr.com/8646/16474473418_a61834f112_b.jpg","https://www.flickr.com/photos/MicroPasts/16474473418","superuser","irishB10"
"31161","817","Armlet. (Hollow)","O","Museum of Archaeology & Ethnology,Cambridge.,No 236 Murray Colln.","Ireland,Co. Offaly,Blundell Castle","","-6.9028","54.1295","","None","None","None","113","111.5","","","dark brown with touches of green & red.","smooth","6","Width shows ""111.5mm (inside diameters -- 99mm 101mm)"".","","","Plain armlet, round section, hollow, with inner side very slightly flattened.","","","JP OConnor","https://farm9.staticflickr.com/8661/16042126033_145c80674b_b.jpg","https://www.flickr.com/photos/MicroPasts/16042126033","most detailed record","irishB10"
"31162","817","Chisel Lugged","","Sotheby’s Sale,19.11.24,632,Colln. of W.J. Knowles MRIA.,of Flixton Place.,Ballmena","Ireland,Glenish","Glenish, Co. Monaghan, Ireland","-6.9302","54.1776","","None","None","None","112","21","","","traces light green","dark golden bronze. pitted. Bubble hole just behind edge.","6.25","Width shows ""edge 21.   middle 12.5"". Thickness shows 6-1/4.  5"".","","","Tang is squarish in section.","","","JP OConnor","https://farm9.staticflickr.com/8617/16475903589_5d1190b5e4_b.jpg","https://www.flickr.com/photos/MicroPasts/16475903589","most detailed record","irishB10"
"31163","580","10 Nail headed Pins","I","Museum of Archaeology & Ethnology, Cambridge, Nos. 200 to 209, Murray Collection","Ireland, (Kings Co) = Offaly, Edenderry","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","","","","","","","","Had to put all measurements in the Description box.","","","No. 200: length 86; weight 2; Plain head, irregularly faceted. smooth even, dark brown patina, No. 201: length 82.5; weight 3; 3 incisions on head, 3 vertical lines of 5 dots on neck. corroded & uneven. patches of dark brown patina on bright metal., No. 202: length 90; weight 3; 3 incisions on head, 3 vertical lines of 5 dots on neck. smooth, very slightly corroded. dark tarnished metal., No. 203: length 87; weight 3; 3 incisions on head. no neck. slightly corroded. dark brown patina., No. 204: length 91; weight 3; corroded head. 3 vertical lines of 5 dots on neck. corroded & uneven. patches of black on bright metal., No. 205: length 77; weight 3; corroded all over & any ornamentation obliterated. Dark brown patina & metal showing through., No. 206: length 101; weight 5; 3 incisions on head, 3 vertical lines of 6 dots on neck. smooth & even. Black patina with some metal showing through., No. 207: length 87; weight 4; 3 incisions on head, 3 vertical lines of 6 dots on neck. corroded. Black patina & bright metal., No. 208: length 86; weight 4; 3 incisions on head, 3 vertical lines of 6 dots on neck. smooth. dark tarnished metal., No. 209: length 96; weight 4; 3 incisions on head, 3 vertical lines of 4 dots divised by 3 grooves. each groove terminates in a dot. smooth & even. Bright metal all over.","","","Denis Antoine","https://farm9.staticflickr.com/8584/16662050865_11e96be9ac_b.jpg","https://www.flickr.com/photos/MicroPasts/16662050865","superuser","irishB10"
"31164","580","Pin with Ring","","Museum of Archaeology & Ethnology, Cambridge, No. 245, Murray Collection","Ireland, Kings Co / Offaly, near Edenderry, Drumcooley Hill, 1854","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","1854","105","Ring 28.5","","10","","corroded deeply in places. The smooth parts are brown. the corroded green.","Ring 5","","","One of a hoard of 15 objects & a piece of sandstone, possibly belonging to a mould. 2 spearheads, 1 socketed Celt, 6 rings, 2 Pins with Rings & 4 Beads (1 large of clay, 1 of glass, yellow & purple twist, 2 of amber, a larger & a smaller, irregularly shaped).","Moveable flanged ring. round section. Pin flattened. turned upon itself to produce ring flange.","","(to be appended to the Trillick Ring card)","Denis Antoine","https://farm9.staticflickr.com/8596/16475903459_217cfa2b91_b.jpg","https://www.flickr.com/photos/MicroPasts/16475903459","superuser","irishB10"
"31165","580","Pin","K","Cambridge, Museum of Archaeology & Ethnology., Murray Collection. No. 210.","Ireland, King's Co. (= Offaly), Edenderry","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","72","","","2","","","","","","","Orange shaped head with moulding round the base. Uneven & bent. Dark tarnished metal.","","","Denis Antoine","https://farm9.staticflickr.com/8599/16661022092_38aedd4ddf_b.jpg","https://www.flickr.com/photos/MicroPasts/16661022092","superuser","irishB10"
"31166","580","2 Pins","KK","Cambridge, Museum of Archaeology & Ethnology, Murray Collection. Nos. 211, 212.","Ireland, King's Co. (Offaly), Edenderry","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","A. 75, B. 66.5","","","A. 4, B. 3","","","","","","","No. 211 A: length 75; weight 4; Head conical, ornamented with diagonal grooves which are crossed by 3 horizontal lines. The upper part of the shank is octagonal, the lower square, ornamented with zig-zag down each facet. Smooth & even - dull metal., No. 212 B: length 66.5; weight 3; Exactly the same as No. 211, except for a green patina on the upper half.","","","Denis Antoine","https://farm9.staticflickr.com/8679/16636114316_907f8abfc6_b.jpg","https://www.flickr.com/photos/MicroPasts/16636114316","superuser","irishB10"
"31167","580","Pin","N","Museum of Archaeology & Ethnology, Cambridge, No. 198, Murray Collection","Ireland, King's Co. / Offaly, Edenderry","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","of Pin 110.5","of disc 32.5","","15","","smooth & even. Bright metal all over.","","","","","Pin with head & large flat disc (set vertically to pin, which carries it on a bent neck) with rim bead. both faces decorated with 17 concentric rings, on the front a small, central rounded boss.","","","Denis Antoine","https://farm9.staticflickr.com/8572/16662050595_f59f235a87_b.jpg","https://www.flickr.com/photos/MicroPasts/16662050595","superuser","irishB10"
"31168","580","Punch-like object","","Museum of Archaeology & Ethnologyn Cambridge, No. 250 Murray Collection","Ireland, King's Co., Drumcooly Hill","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","1859","44","6","","7","","","","","","Six associated objects found at Drumcooly Hill. (No. 250 Murray Collection). Two small round cups of stone (? lamps).","This object is like a Mauser rifle bullet with rounded end. Section round. Point & base surrounded by two deep grooves.","","","Denis Antoine","https://farm9.staticflickr.com/8612/16660660681_ac05dfaf7e_b.jpg","https://www.flickr.com/photos/MicroPasts/16660660681","superuser","irishB10"
"31169","580","Ring","G","Museum of Archaeology & Ethnology, Cambridge, No. 237 Murray Collection","Ireland, King's Co. (Offaly), Edenderry","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","39.5","34; inside diameters 26 x 21","","9","","","","","","One of a hoard of 20 rings.","Oval section. irregular boss on one side.","","","Denis Antoine","https://farm9.staticflickr.com/8586/16636114006_8c5c80d032_b.jpg","https://www.flickr.com/photos/MicroPasts/16636114006","superuser","irishB10"
"31170","580","Ring with Stud","G","Museum of Archaeology & Ethnology, Cambridge, No. 237 Murray Collection","Ireland, King's Co. (Offaly), Edenderry","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","","outside siameter 50; inside diameter 39; diameter of stud head 10","","35","","","6 x 6","","","One of a hoard of 20 rings.","Semi circular section with a stout, flat, necked stud on its flat side.","","","Denis Antoine","https://farm9.staticflickr.com/8594/16475903239_8b1a375a96_b.jpg","https://www.flickr.com/photos/MicroPasts/16475903239","superuser","irishB10"
"31171","580","4 Rings","G","Museum of Archaeology & Ethnology, Cambridge, No. 245 Murray Collection","Ireland, King's Co. (Offaly), near Edenderry, Drumcooley Hill, 1854","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","1854","","(Diameters from 25 to 28)","","5; 4; 3; 2","dark brown or black.","smooth in the 3 flattened ones. corroded in the round one.","5 x 3","","","One of a hoard of 15 objects & a piece of sandstone, possibly belonging to a mould. 2 spearheads, 1 socketed Celt, 6 rings, 2 Pins with Rings & 4 Beads (1 large of clay, 1 of glass, yellow & purple twist, 2 of amber, a larger & a smaller, irregularly shaped).","3 of them flattened on the faces, one circular section. uneven.","","Two pins with Ring & beads at least are Early Christian (see pin card at [...]) with Trillick ring.","Denis Antoine","https://farm9.staticflickr.com/8580/16039741694_3013693248_b.jpg","https://www.flickr.com/photos/MicroPasts/16039741694","superuser","irishB10"
"31172","580","Ring","G","Museum of Archaeology & Ethnology, Cambridge, No. 254 Murray Collection","Ireland, King's Co. (Offaly), near Edenderry, Drumcoolay Hill, 1854","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","1854","","Diameter 35","","9","Black & whitish green","corroded","4","","","One of a hoard of 15 objects & a piece of sandstone, possibly belonging to a mould. 2 spearheads, 1 socketed Celt, 6 rings, 2 Pins with Rings & 4 Beads (1 large of clay, 1 of glass, yellow & purple twist, 2 of amber, a larger & a smaller, irregularly shaped).","Even circular section","","(see pin card at [...]) with Trillick ring.","Denis Antoine","https://farm9.staticflickr.com/8641/16474472648_6a79cb6ff9_b.jpg","https://www.flickr.com/photos/MicroPasts/16474472648","superuser","irishB10"
"31173","580","Hollow Ring perforated","I","Museum of Archaeology & Ethnology, Cambridge, No. 245 Murray Collection","Ireland, King's Co. (Offaly), near Edenderry, Drumcooley Hill, 1854","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","1854","56","43","","49","dull brown & dust colour.","smooth","13.5","","","One of a hoard of 15 objects & a piece of sandstone, possibly belonging to a mould. 2 spearheads, 1 socketed Celt, 6 rings, 2 Pins with Rings & 4 Beads (1 large of clay, 1 of glass, yellow & purple twist, 2 of amber, a larger & a smaller, irregularly shaped).","Thick hollow ring with transverse circular perforations which have projecting mouth pieces.","Evans. 497.","The pins certainly, the beads almost certainly of Early Christian Age, See Pin card appended","Denis Antoine","https://farm9.staticflickr.com/8591/16660660371_68312ba786_b.jpg","https://www.flickr.com/photos/MicroPasts/16660660371","superuser","irishB10"
"31174","580","Chisel Socketed or Tracer (Narrow)","A","Museum of Archaeology & Ethnology, Cambridge, No. 168 Murray Collection","Ireland, King's Co., Drumcooley Hill","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","90","14","","35","shades of green patina","fairly smooth","edge 3","","","","Round socket of 30mm thin & bent & broken at the mouth.","","Described in the Murray Catalogue as a ferrule","Denis Antoine","https://farm9.staticflickr.com/8638/16454742677_7836f16494_b.jpg","https://www.flickr.com/photos/MicroPasts/16454742677","superuser","irishB10"
"31175","580","Gouge Socketed","","Museum of Archaeology & Ethnology, Cambridge, No. 249 Murray Collection","Ireland, Queens Co. ?, Maryborough, 1872","Maryborough, Co. Cork, Irlande","-8.742","51.6469","","None","None","1872","68","socket 17.5","","39","dusty brown patina","corroded","socket 17","","","One of a hoard of 59, consisting of 54 rings, bracelet, pin, this gouge & 2 amber necklaces.","Cast marks down either side.","","","Denis Antoine","https://farm9.staticflickr.com/8598/16661021282_8c19093ca9_b.jpg","https://www.flickr.com/photos/MicroPasts/16661021282","superuser","irishB10"
"31176","580","Socketed Knife","B","Museum of Archaeology & Ethnology, Cambridge, No. 180 Murray Collection","Ireland, King's Co., Edenderry","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","312","blade 37.5; socket 32.5; 25.5","","217","","smooth shiny & even dark brown except for eaten-into corroded patch which is light brown on one face. The other face is more of an even dusty brown. small corroded patch same colour.","socket 19; blade 5","","","","Bevel round edge has a groove behind it. Socket is hexagonal, the 2 side faces being much the narrowest. 2 rivet holes in same plane as the blade.","","","Denis Antoine","https://farm9.staticflickr.com/8671/16474472408_befef0c8c0_b.jpg","https://www.flickr.com/photos/MicroPasts/16474472408","superuser","irishB10"
"31177","580","Socketed Knife","B","Museum of Archaeology & Ethnology, Cambridge, No. 181 Murray Collection","Ireland, King's Co., Edenderry (near), Yellow River","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","165.5","blade 19; socket 21.5","","59","light greyish green patina","smooth & dull","socket 18; blade 4","","","","Oval mouth. 2 rivet holes in same plane as blade. Shoulders marked by ridge. Cutting edge faintly bevelled & faint midrib.","","","Denis Antoine","https://farm9.staticflickr.com/8566/16660660041_639e49c32e_b.jpg","https://www.flickr.com/photos/MicroPasts/16660660041","superuser","irishB10"
"31178","580","Socketed Knife","B","Museum of Archaeology & Ethnology, Cambridge","Ireland, King's Co., near Edenderry, Yellow River","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","102","blade 20; socket 23","","28","Dark brown patina & metal showing through","fairly smooth","blade 3; socket 11","","","","2 rivet holes. Bevelled edge, also central band faintly defined. Slightly raised shoulders, where socket & blade join.","","","Denis Antoine","https://farm9.staticflickr.com/8641/16661020982_d23fd602dd_b.jpg","https://www.flickr.com/photos/MicroPasts/16661020982","superuser","irishB10"
"31179","580","Tanged Knife","D","Museum of Archaeology & Ethnology, Cambridge, No. 193 Murray Collection","Ireland, King's Co., Edenderry","Edenderry, Co. Offaly, Irlande","-7.0506","53.3433","","None","None","None","168.5","hilt plate 35; blade 26","","102","shades of dark brown patina & some green.","slightly rough. the edges are uneven.","blade 3.5; hilt plate 1 (greatest)","","","","The hilt plate, which has been broken off & recently soldered onto the blade, is thick & heavy & uneven. It has 2 rivet holes, one of which is filled with corrosion. The bevel of the cutting edge is visible in places.","In the Murray Catalogue, this is called a fragment of a leaf shaped sword, but it is much more like a dagger, or a knife.","","Denis Antoine","https://farm9.staticflickr.com/8579/16662049625_454e60ec57_b.jpg","https://www.flickr.com/photos/MicroPasts/16662049625","superuser","irishB10"
"31180","580","Bracelet","D","Museum of Archaeology & Ethnology, Cambridge, No. 249 Murray Collection","Ireland, Queens Co., Maryborough, 1872","Maryborough, Co. Cork, Irlande","-8.742","51.6469","","None","None","1872","111","inside diameters 81","","197","inside dull dusty brown - some patches of green.","flaky. Flakes are smooth shiny dark brown. - underneath dull dusty brown. -","15 x 37","","","One of a hoard of 59, consisting of 54 rings, this bracelet, a pin, gouge & 1 amber necklace","A large plain bracelet. section semicircular, but inner surface is concave.","","","Denis Antoine","https://farm9.staticflickr.com/8597/16636113086_ca934be749_b.jpg","https://www.flickr.com/photos/MicroPasts/16636113086","superuser","irishB10"
"31181","580","Currier's Knife","","British Museum. 54. 7-14. 277","Tipperary, Borrisokane, near","Borrisokane, Co. Tipperary, Irlande","-8.1273","52.9964","","None","None","None","","","","","","","","","","","Described as ""Copper Alloy Miniature socketed Axe, cast"" on Merlin / BM catalogue","","","Denis Antoine","https://farm9.staticflickr.com/8662/16660659731_5eb837f2ee_b.jpg","https://www.flickr.com/photos/MicroPasts/16660659731","superuser","irishB10"
"31182","580","Macehead","","Society of Antiquaries, Burlington House w., presented by J.W. Butterworth Esq. FSA","Ireland, Co Tipperary, In a bag","Co. Comté de Tipperary, Irlande","-8.1619","52.4738","","None","None","None","106","58.5; sockets 28; 26","","269.33","no patina","smooth but pitted all over. Dark Iron bronze colour. Traces of light coloured earth between the spikes.","","","","","End of socket is broken. One spike is broken off leaving a hole (on other side)","Proceedings V. 12.","","Denis Antoine","https://farm9.staticflickr.com/8641/16474471918_8139993ebb_b.jpg","https://www.flickr.com/photos/MicroPasts/16474471918","superuser","irishB10"
"31183","580","Stake","","Salisbury, S. Wilts and Blackmore Museum, B257 on side. 23 on face.","Ireland, Tipperary, Toomavara","Toomevara, Co. Tipperary, Irlande","-8.0351","52.8507","","None","None","None","127","edge 29; middle 38; butt 12","","110.5","brown","pitted","8","","","","","","","Denis Antoine","https://farm9.staticflickr.com/8662/16039740844_386d7e6851_b.jpg","https://www.flickr.com/photos/MicroPasts/16039740844","superuser","irishB10"
"31184","580","Socketed Sickle","Fox I., 1","B.M. 43. 12-26. 5","Ireland, Co. Tyrone, Ballygawley","Ballygawley, Dungannon, Dungannon and South Tyrone BT70, Royaume-Uni","-7.0282","54.4627","","None","None","None","","","","","","","","","","","","Fox, PPS II (1939), 245 no. 33., Arch. J. II ( ) 186","","Denis Antoine","https://farm9.staticflickr.com/8608/16662049435_91c25f0b47_b.jpg","https://www.flickr.com/photos/MicroPasts/16662049435","superuser","irishB10"
