"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL","Processing","project"
"27638","473","Socketed knife","E","Reading Museum S245:45, Smith Collection","Berks/Oxon, Tilehurst., From the Thames at Tilehurst.","Tilehurst, West Berkshire, UK","-1.0561","51.4551","","None","None","None","","","","","Green, patchy.","Slightly corroded.","","Bottom left signature: ""J. Wymer""","Bronze.","","Oval socket with two rivet holes on each side. The blade is broken near the base. The edges of the blade are undecorated.","","","Dina Fathalla","https://farm8.staticflickr.com/7524/15758754420_5df5a7228d_b.jpg","https://www.flickr.com/photos/MicroPasts/15758754420","superuser","toolsA8"
"27639","473","Socketed Knife","B","Private, 1923, P. Waterhouse, Yattendon Court.","England, Berks., Yattendon, Yattendon Court., in digging foundations of house","","-1.0561","51.4551","","None","None","1878","85","23","","28.35","pale green heavily coated with yellow clay.","","11","","","one of a hoard of 60 pieces.","socket chipped. paint missing.","Proc. Soc. Ant. (2nd ser) VII. 480, Evans. A.B. Imps., V.C.H. Berks i","","Dina Fathalla","https://farm8.staticflickr.com/7482/15944094691_ecfa992da1_b.jpg","https://www.flickr.com/photos/MicroPasts/15944094691","superuser","toolsA8"
"27640","473","Socketed Knife","F","Private, 1923, P. Waterhouse, Yattendon Court.","England, Berks., Yattendon, Yattendon Court, in digging foundations of house","Yattendon Court, Yattendon, Thatcham, West Berkshire RG18 0UT, UK","-1.1911","51.472","","None","None","1878","99","24","","31.89","green much stained with yellow clay","","10","","","one of a hoard of 60 pieces.","Much broken. especially socket + point","Proc. Soc. Ant. (2nd ser) VII. 480, Evans. A.B. Imps., V.C.H. Berks i","","Dina Fathalla","https://farm8.staticflickr.com/7547/15760312197_06fde7d54b_b.jpg","https://www.flickr.com/photos/MicroPasts/15760312197","superuser","toolsA8"
"27641","473","Knife. socketed","B","Ashmolean Museum. Oxford., Evans Collection, 1927-2708.","England, Berks., Wallingford","Wallingford, Wallingford, Oxfordshire OX10, UK","-1.1336","51.5974","","None","None","1871","137","26","","48.60.","mottled brown","","17","In Publications, 206 is underlined","","","Oval socket with rivet hole in each face., Two-edge blade, ground down.","Evans, Anc. Br. Imps., Hoard No.60. pp.128,1 67, 206, 219, 457, 462, 466., Proc. Soc. Antiq. IV (2). p.303.","","Dina Fathalla","https://farm8.staticflickr.com/7539/15760312187_75e039c768_b.jpg","https://www.flickr.com/photos/MicroPasts/15760312187","superuser","toolsA8"
"27642","473","Socketed Knife","B","Reading Museum, purchased.","England, Berkshire, Reading, Northcourt Avenue","Northcourt Avenue, Reading, Reading, West Berkshire RG2 7HG, UK","-0.9523","51.4377","","None","None","1916","119","23. 25","","35.43","pale green worn + filed in places","","12","Width refers to ""socketed hilt"" and thickness refers to ""socket""","","","edge slightly serrated. End of blade broken + mended.","","","Dina Fathalla","https://farm8.staticflickr.com/7582/15758630118_61b59171ab_b.jpg","https://www.flickr.com/photos/MicroPasts/15758630118","superuser","toolsA8"
"27643","473","Oval socketed knife","B","Reading Museum 51:32","Berks, Reading, Northcourt Avenue, Purchased in 1916 for 7/6","Northcourt Avenue, Reading, Reading, West Berkshire RG2 7HG, UK","-0.9523","51.4377","","None","None","None","102","","","","Light green","Good","","Length is written in inches: 4"", , Bottom left signature: ""J. Wymer""","","None known","Tip of blade broken and missing. Two rivet holes, on either side of socket","Berks Arch. Journal, Vol 36, 1931, p.124.","","Dina Fathalla","https://farm8.staticflickr.com/7564/15758754720_ac6b2148d4_b.jpg","https://www.flickr.com/photos/MicroPasts/15758754720","superuser","toolsA8"
"27644","473","Socketed Knife.","B","Richmond Public Library., Lloyd Collection., 852., Presumably London Museum, accession no. 49.107/852. (1956)","England., Berkshire., Old Windsor., From the Thames.","Old Windsor, Windsor and Maidenhead, UK","-0.5808","51.4621","","None","11","1898","188","(hilt) 26, (blade) 23;","","","Dirty grey-green","","4","Bottom left: ""Inacc""","","","1 rivet-hole, blade worn, jagged and bent., 2nd.rivet-hole begun but not finished.","","","Dina Fathalla","https://farm9.staticflickr.com/8585/15760015129_e4d1e007d2_b.jpg","https://www.flickr.com/photos/MicroPasts/15760015129","superuser","toolsA8"
"27645","473","Socketed Knife","B","Private, Mr. J. Kinross,, Riding Court, Slough (1930).","England, Berkshire., Datchet, R. Thames","Datchet, Slough, Windsor and Maidenhead SL3, UK","-0.5738","51.4836","","None","None","None","166","socket 26, base of blade 25","","","","","","","","","midrib., Rivet-holes in face of socket.","","","Dina Fathalla","https://farm8.staticflickr.com/7511/15326415423_30bbd397b3_b.jpg","https://www.flickr.com/photos/MicroPasts/15326415423","superuser","toolsA8"
"27646","473","Socketed Knife.","F","Richmond Public Library., Lloyd Collection., 850., Presumably in London Museum, accession no.49.107 (1956)","England. Thames., Berkshire., Bray., From the Thames.","River Thames, United Kingdom","-0.6161","51.5856","","None","None","1898","205","(hilt) 27, (blade) 31;","","","speckly bronze with a few green stains.","","5","Bottom left corner: ""OK""","","","Hlit broken.","","","Dina Fathalla","https://farm9.staticflickr.com/8637/15758630438_2c5fa18114_b.jpg","https://www.flickr.com/photos/MicroPasts/15758630438","superuser","toolsA8"
"27647","473","RAZOR","IB","Anthropological Museum, Aberdeen University., 248.","Scotland., Aberdeenshire., Tullochvenus.","Tullochvenus, Banchory, Aberdeenshire AB31, UK","-2.6843","57.1534","","None","None","None","93","33","","16","","","2","","","Found with clay urn and burnt bones in short stone cist.","Ornamented with lozenge-shaped pattern on midribs.","","","Dina Fathalla","https://farm9.staticflickr.com/8585/15760015379_48fe0fa124_b.jpg","https://www.flickr.com/photos/MicroPasts/15760015379","superuser","toolsA8"
