"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"14773","64","Tracer","","Oxford, Ashmolean Museum,Coll. A.D. Passmore","Wilts,Liddington,Near camp","Liddington, Swindon, Swindon SN4, UK","-1.7039999999999509","51.531","","None","None","None","60","4","","3.5","Bronze colour","","","Weight 1/8 oz","","","","","? bronze-age","Hugh Fiske","https://farm6.staticflickr.com/5584/15013189430_8cd0e8a812_b.jpg","https://www.flickr.com/photos/MicroPasts/15013189430"
"14773","610","Tracer","","Oxford, Ashmolean Museum., , Coll. A. D. Passmore.","Wits, Liddington. Near camp.","",,,"","None","None","None","60","4","","3,5","Bronze colour.","","","Object type: 'Tracer' has replaced 'awl'. , ,","","","","","? bronze-age.","Heidi Lund","https://farm6.staticflickr.com/5584/15013189430_8cd0e8a812_b.jpg","https://www.flickr.com/photos/MicroPasts/15013189430"
"14773","652","Tracer","","Oxford Ashmolean Museum, , Coll. A.D. Passmore","Wets, Liddington, Near camp","Liddington",,,"","None","None","None","60","4","","1/8 03","bronge colour","","","","","","","","bronge age?","Maria Christakou","https://farm6.staticflickr.com/5584/15013189430_8cd0e8a812_b.jpg","https://www.flickr.com/photos/MicroPasts/15013189430"
"14773","656","Tracer","","Oxford, Ashmolean Museum., , Coll A.D. Passmore","Wets, Liddington, Near Camp","Liddington, Swindon, Swindon SN4, UK","-1.7039999999999509","51.531","","None","None","None","60","4","","","Bronze colour.","","","Not sure if the first line of the site section actually says ""Wets"".","","","","","? bronze-age.","Christopher Wai","https://farm6.staticflickr.com/5584/15013189430_8cd0e8a812_b.jpg","https://www.flickr.com/photos/MicroPasts/15013189430"
"14773","717","Tracer","","Oxford, Ashmolean, [...], Coll. A. D. Passmore","Weks, Liddington, Near Camp","Weks, Liddington",,,"","None","None","None","60","4","","3.54","Bronze color","","","","","","","","? bronze-age","Van C. Vives","https://farm6.staticflickr.com/5584/15013189430_8cd0e8a812_b.jpg","https://www.flickr.com/photos/MicroPasts/15013189430"
"14774","64","AWL","","Salisbury Museum","Wilts,Stonehenge,From earthy layer above chalk silt in ditch","Stonehenge, Amesbury, Wiltshire SP4 7DE, UK","-1.8262154999999893","51.1788823","","None","None","None","40","","","","Shiny, thick,Dark green","Smooth","","","","","Bronze awl","See forthcoming article on awls by N. Thomas","","Hugh Fiske","https://farm6.staticflickr.com/5596/15199485202_40dd804d32_b.jpg","https://www.flickr.com/photos/MicroPasts/15199485202"
"14774","610","Awl","","Salisbury Museum","Wilts. Stonehenge. From earthly layer above chalk silt in ditch,","",,,"","None","None","None","40","","","","Shiny, thick. Dark green.","Smooth.","","","","","Bronze awl.","See forthcoming article on awls by N. Thomas.","F. de M. A.","Heidi Lund","https://farm6.staticflickr.com/5596/15199485202_40dd804d32_b.jpg","https://www.flickr.com/photos/MicroPasts/15199485202"
"14774","652","AWL","","Salisbury Museum","Witts, Stonehenge from earthy layer above [chalt] silk in ditch","Στόουνχεντζ, Amesbury, Γουιλσάιρ SP4 7DE, Ηνωμένο Βασίλειο","-1.8262154999999893","51.1788823","","None","None","None","40","","","","shiny, thick   dark green","smooth","","","","","Bronge awl","see forthcoming article  [on a ts] by N. Tho[m]as","F. d []  ] [A] [A]","Maria Christakou","https://farm6.staticflickr.com/5596/15199485202_40dd804d32_b.jpg","https://www.flickr.com/photos/MicroPasts/15199485202"
"14774","656","AWL","","Salisbury Museum","Wilts, Stonehenge, from earthy layer above chalk silt in ditch,","Stonehenge, Amesbury, Wiltshire SP4 7DE, UK","-1.8262154999999893","51.1788823","","None","None","None","40","","","","Shiny, thick Dark green","Smooth","","length of 4 cm maybe 11, looks like an H.","","","Bronze awl","","[...]","Christopher Wai","https://farm6.staticflickr.com/5596/15199485202_40dd804d32_b.jpg","https://www.flickr.com/photos/MicroPasts/15199485202"
"14775","652","AWL","","Oxford Ashmolean Museum, , Coll. A.D. Passmore","Wilts, Upper Upham, Brown Down S[l ape] close to andE. of U.U. House","Γουιλσάιρ, Ηνωμένο Βασίλειο","-1.9922126999999819","51.2462714","","None","None","None","80","4","","","dull brown, chipped off at end","","4","","","","","","","Maria Christakou","https://farm4.staticflickr.com/3922/15013284757_96533ac3aa_b.jpg","https://www.flickr.com/photos/MicroPasts/15013284757"
