"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"61484","433","Cast Fragments and lumps","","Guille-Alles Museum, Guernsey, Gaudrion Collection","Channel Islands,Alderney,Longy Common,1832","Longis Common, Guernsey","49.7206604","-2.1700596000000587","","None","None","1832","","","","","","","","","","","Weights only off odd fragments: Case I: 6 thin pieces of sword blade 73.5 gms; 1 piece of sword hilt 77.0 gms; Sword hilt 130.5 gms; 8 pieces of spearheads 118.0 gms; 12 pieces of socketed celts 279.0 gms; 1 pieces of pot 203.0 gms; 23 thin pieces of metal 154.5 gms; 4 conical lumps of metal 187.0 gms; 7 shapeless metal lumps (small) 85.0 gms; 15 fragments (unrecognizable) 661.6 gms; 3 odd metal lumps 489.0 gms; 7 pieces of amulets bits of wire etc. 160.5 gms; Case II: 41 sword blades (fragments) 1582.5 gms; Case III: 31 pieces of palstaves (edges) fragments of small spearheads 2222 gms; 1 small socketed celt (without loop) 72.5 gms","Journ. Brit. Arch. Assoc. III, 1848, 9, Trans. of Guiernisiase V 1906, 161","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26288953600","https://farm2.staticflickr.com/1460/26288953600_05f7e5a412_m.jpg"
"61484","580","Cast Fragments and Lumps","","Guille-Allès Museum, Guernsey,Gaudion Collection.","Channel Islands,Alderney,Longy Common,1832","Alderney, Guernesey","49.715004","-2.197355700000003","","None","None","1832","","","","See Description, please","","","","","","","Case I: 6 thin pieces of sword blade (73.5 gms); 1 piece of sword hilt (77.0 gms); Sword hilt (130.5 gms); 8 pieces of spearheads (118.0 gms); 12 pieces of socketed celts (279.0 gms); 1 piece of pot (203.0 gms); 23 thin pieces of metal (154.5 gms); 4 conical lumps of metal (187.0 gms); 7 shapeless metal lumps (small) (85.0 gms); 15 fragments (unrecognisable) (661.5 gms); 3 odd metal lumps (489.0 gms); 7 pieces of armlets, bit of wire, etc. (160.5 gms).,Case II: 41 Sword blades (fragments) (1582.5 gms).,Case III: 31 pieces of palstaves (edges) fragments of small spearheads (2222 gms); 1 small socketed celt (without loop) (72.5 gms).","Journ. Brit. Arch. Assoc. III. 1848. 9,Trans. of Soc. Guernesaise V, 1906, 161","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26288953600","https://farm2.staticflickr.com/1460/26288953600_05f7e5a412_m.jpg"
"61484","677","Cast Fragments and Lumps.","","Guille-Alle's Museum. Guernsey, , Gandion Colln., , Weights only of odd fragments. , , Case 1, , 6 thin pieces of sword blade. 1 piece of sword hilt. , , Sword hilt., , 8 pieces of spearheads., , 12 ""  "" Socketed celts, , 1 "" "" pot, , 23 thin "" "" metal, , 4 conical lumps of metal, , 7 shapeless metal lumps (small), , 15 fragments (unrecognisable), , 3 odd metal lumps, , 7 pieces of armulets and bits of wire etc,, , Case II, , 41 Sword blades (fragments)., , Case III, , 31 pieces of palstaves (edges) fragments of small spearheads., , 1 small socketed celt (without loop)., , , , , ,  , ,","Channel Islands, Alderney, Longy Common","Alderney, Guernsey","49.715004","-2.197355700000003","Alderney, Guernsey","None","None","1832","","","","73.5; 77.0; 130.5; 118.0; 279.0; 203.0; 154.5; 187.0; 85.0; 661.5; 489.0; 160.5; 1582.5; 2222; 72.5","","","","","","","","Journ Brit Arch Assoc. III. 18.48. 9,, , Trans 'of Soc. Guernosiase V 1906 161","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26288953600","https://farm2.staticflickr.com/1460/26288953600_05f7e5a412_m.jpg"
"61485","433","Razor (Frag)","III","Guille Alles Museum, Guernsey,Gaudion Collection","Channel Islands, Alderney","Alderney, Guernsey","49.715004","-2.197355700000003","","None","None","None","31","12","","","Pale grey green patina","Shiny in parts, but mostly crusted and rough. A little mud adheres.","4","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26535842346","https://farm2.staticflickr.com/1509/26535842346_acd8dbec1a_m.jpg"
"61485","580","Razor (Frag.)","III","","Channel Islands,Alderney","Alderney, Guernesey","49.715004","-2.197355700000003","","None","None","None","31","12","","","pale grey green","shiny in parts, but mostly crusted & rough. A little mud adheres","4","","","","","Guille Allès Museum, Guernsey.,Gaudion Collection.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26535842346","https://farm2.staticflickr.com/1509/26535842346_acd8dbec1a_m.jpg"
"61485","677","Razor. (Frag).","III","Guille Alle's Museum. Guernsey., , Gandion Collection.","Channel Islands, Alderney.","Channel Islands","49.416667","-2.3333330000000387","Channel Islands","None","None","None","31","12","","","pale grey green patina.","Shiney in parts. but mostly crusted & rough.","4","","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26535842346","https://farm2.staticflickr.com/1509/26535842346_acd8dbec1a_m.jpg"
"61486","433","Terret Ring","","Guille Alles Museum, Guernsey,Gaudrion Collection","Channel Islands,Alderney,Longy Common,1832","Longis Common, Guernsey","49.7206604","-2.1700596000000587","","None","None","1832","50","46","","","Dark green brown patina dark yellow metal shows where rubbed. Inside are patches of deep blue green.","A little rough in parts.","38, 12","","","","The loop over the top is hollow.","T.D. Kendrick, Arch. of the Channel Islands, Vol. I, p. 64, Pl. VIII","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26469516522","https://farm2.staticflickr.com/1704/26469516522_eeef224ca0_m.jpg"
"61486","580","Terret Ring","","Guille Allès Museum, Guernsey,Gaudion Collection.","Channel Islands,Alderney,Longy Common,1832.","Alderney, Guernesey","49.715004","-2.197355700000003","","None","None","1832","50","46","","","dark green brown patina, dark metal shows where rubbed. Inside are patches of deep blue green.","a little rough in parts.","38; 12","","","","The loop over the top is hollow.","T.D. Kendrick, Arch. of the Channel Islands, Vol. I, p. 64, Pl. VIII","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26469516522","https://farm2.staticflickr.com/1704/26469516522_eeef224ca0_m.jpg"
"61486","898","Terret Ring","","Guille Alles Museum. Guernsey [:] Gaudian Collection","Channel Islands [:] Alderney [:] Longy Common","",,,"","None","None","1832","50","46","","","Dark green brown dark metal shows through where rubbed. Inside are patches of blue green.","A little rough in parts","38 [:] 12","","","","The loop over the top is hollow","T.D.Kendrick. Arch. of the Channel Islands. Vol I p.64. Pl. VIII","","Graham Taylor","https://www.flickr.com/photos/115096994@N02/26469516522","https://farm2.staticflickr.com/1704/26469516522_eeef224ca0_m.jpg"
"61487","433","?","","","Scotland,Angus,Found in a barrow, 1810","Angus, UK","56.6979538","-2.912405700000022","","None","None","1810","","","","","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/26495775281","https://farm2.staticflickr.com/1654/26495775281_269a91238d_m.jpg"
"61487","580","?","","","Angus,Scotland,Found in a barrow, 1810","","49.715004","-2.197355700000003","","None","None","1810","","","","","","","","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26495775281","https://farm2.staticflickr.com/1654/26495775281_269a91238d_m.jpg"
"61487","677","?","","?","Angus, Scotland., Found in a barrow, near Fetner, Co. Angus. 1810. Lord Talbot ne Matahide.","Angus, UK","56.6979538","-2.912405700000022","Angus, UK","None","None","1810","","","","","","","","Some of the handwriting was difficult to decipher. I made my best possible judgement.","","","","","Arch. fowrn. VI. 377. Engraved.","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26495775281","https://farm2.staticflickr.com/1654/26495775281_269a91238d_m.jpg"
"61488","433","Flat Axe","","Fleming, Mrs. Ian - private (1976), no. 6","Ireland, Co. Antrim","Antrim, Antrim, Antrim BT41, UK","54.7195338","-6.2072498","","None","None","None","93","57","","","","bronze/brown, v. worn + pitted","","","","","Exremely worn, misshapen","","PI, DF (BM)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/25958921123","https://farm2.staticflickr.com/1692/25958921123_ccf206285f_m.jpg"
"61488","580","Flat Axe","","Fleming, Mrs Ian - private (1976), no. 6","Ireland,Co. Antrim","Antrim, Antrim, Antrim BT41, Royaume-Uni","54.7195338","-6.2072498","","None","None","None","93","57","","","","bronze/brown, very worn & pitted.","","","","","extremely worn, misshapen.","","PI,DF (BM)","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25958921123","https://farm2.staticflickr.com/1692/25958921123_ccf206285f_m.jpg"
"61488","677","Flat Axe.","","Fleming, Mrs Ian - private (1976), no. 6.","Co Antrim, Ireland","Ireland","53.41291","-8.243889999999965","Ireland","None","None","None","93","57","","","","Bronze/ brown V. worn & pitted.","","Some of the handwriting was difficult to decipher. I made my best possible judgement.","","","Extremely worn, misshapen.","","PI DF(BM)","Michael George Adams","https://www.flickr.com/photos/115096994@N02/25958921123","https://farm2.staticflickr.com/1692/25958921123_ccf206285f_m.jpg"
"61489","35","Scabbard Chape","","Sold at Sotheby's 19/11/24 662, , Coll of W.J. Knowles M.R.I.A., , of Huxton Place, Ballymena (from the Buick Coll)","Ireland, Antrim, Limacroghera Crannog","",,,"","None","None","None","96.5","Socket 34; Ball 26","","","thick patina, dark brown","Smooth","Ball 25.5","","","","","","","Jos Kleijne","https://www.flickr.com/photos/115096994@N02/25958920793","https://farm2.staticflickr.com/1701/25958920793_9d112e1ef0_m.jpg"
"61489","226","Scabbard Chape","","Sold at Sotheby's 19/11/24, 662, Colln. of W.J. Knowles M.R.I.A. of Flixton Place, Ballymena (from the Buick Colln.)","Ireland, Antrim, Lismaeroghera Crannog","Antrim, Antrim, Antrim BT41, UK","54.7195338","-6.2072498","","None","None","None","96.5","socket 34, Ball 26","","","thick dark brown","smooth","Ball 25.5","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/25958920793","https://farm2.staticflickr.com/1701/25958920793_9d112e1ef0_m.jpg"
"61489","580","Scabbard Chape","","Sold at Sotheby's 19/11/24,Collection of W.J. Knowles, M.R.I.A. of Flixton Place, Ballymena (from the Buick Collection)","Ireland,Antrim,Lisnacroghera Crannog","Broughshane, Ballymena, Ballymena, Royaume-Uni","54.8925367","-6.21027330000004","","None","None","None","96.5","socket 34; Ball 26","","","thick patina, dark brown.","smooth.","Ball 25.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25958920793","https://farm2.staticflickr.com/1701/25958920793_9d112e1ef0_m.jpg"
"61490","35","Cast Fragment Large","","Shrewsbury Museum, , donor Mr. T. Beacall","England, Shropshire, Battlefield, hoard found near a hedge when ploughing","",,,"","None","None","None","150","47; 38","","368.55","Covered with patches of iron stain + very rough","This is twisted","11","","","One of 5 objects, 3 were exhibited to S of A. 16 Apl. 1863. by Saml. Wood 75A + stated to have been found with a large number of strange objects, most of these were melted. The 5 were no J40 in the Exhibition of Shrops. Ands. 1898 + described as ""possibly grappling instruments affixed as scaling ladders""","","Figd. in Proc. Soc. Ant. II (2nd S) p. 252., , S.A.T. X (2nd S). p. 108 + III (3rd S). p. xxii, , Evans B. Impls. p. 43, suggests no purpose for these objects but calls them ""sickle like"" p. 43, 405","","Jos Kleijne","https://www.flickr.com/photos/115096994@N02/26495775551","https://farm2.staticflickr.com/1545/26495775551_27ac7829e5_m.jpg"
"61490","226","Cast fragment large","","Shrewsbury Museum, donor Mr. T. Beacall","England, Shropshire, Battlefield, hoard found near a hedge when ploughing","Shropshire, UK","52.7063657","-2.7417848999999705","","None","None","None","150","47, 38","","368.55","","covered with patches of iron stain & very rough","11","","","One of 5 objects, 3 were exhibited to S of A 16 April 1863 by Saml. Wood FSA, & dated to have been found with a large number of bronze objects, most of these were melted.  the 5 were No. J 40 in the Exhibitn. of Shrops. Ant. 1898 & described as ""possibly grapplings instruments affixed to scaling ladders""","This is twisted.","Fig. in Proc. Sec. Ant. II (2nd S) p. 252, S.A.T. X (2nd S) p. 108 & III (3rd S) p. xxii, Evans B. Imps. p. 43, suggests no purpose for these 5 objects, but calls them ""sickle like"" p. 43. 405","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/26495775551","https://farm2.staticflickr.com/1545/26495775551_27ac7829e5_m.jpg"
"61490","580","Cast Fragment, Large","","Shrewsbury Museum,donor Mr. T. Beacall.","England,Shropshire,Battlefield,hoard found near a hedge when ploughing.","Battlefield, Shrewsbury, Shropshire SY1, Royaume-Uni","52.741138","-2.718661999999995","","None","None","None","150","47; 38","","368.55","","covered with patches of iron stains, & very rough.","11","","","One of 5 objects, 3 were exhibited to S of A, 16 Apl. 1863, by Saml. Wood FSA, & stated to have been found with a large number of bronze objects, most of these were melted. The 5 were No. J40 in the Exhibn. of Shrops. Ant. 1898, & described as ""possibly grappling instruments affixed to scaling ladders"".","This is twisted.","Figd. in Proc. Soc. Ant. II (2nd S), p. 252.,S.A.T. X (2nd S), p. 108, & III (3rd S), p. xxii.,Evans B. Impts.p. 43, suggests no purpose for these 5 objects, but calls them ""sickle like"" p. 43, 405.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26495775551","https://farm2.staticflickr.com/1545/26495775551_27ac7829e5_m.jpg"
"61491","35","Cast Fragment Large with Tang","","Shrewsbury Museum, , donor Mr. T. Beacall","England, Shropshire, Battlefield, hoard found near a hedge when ploughing","",,,"","None","None","None","140","36; 33; 40; 45","","595.35","greenish grey, gold bronze sh...","several thick iron-like stains. Very rough uneven work","9; 2","","Copper 68.4; Tin 6.8; Iron 0.2; Lead 24.2; Silver 0.06. Analysis by prof. C.O. Bannister University of Liverpool","One of 5 objects. 3 were exhibited to S of A. 16 Apl 1863. by Samuel Wood Esq FSA + stated is have been found with a large number of bronze objects - most of these were melted. The 5 were the No J. 40. in the Exhib. of Shrop Ant 1898 + described as ""possibly grappling instruments affixed as scaling ladders""","On the back are a few bright red patches as of enamel","Figured in Proc. Soc. Ant. II (2nd S) p. 252: V(2) 431-2, , S.A.T. X (2nd S) p. 108 + III (3rd S) p. xxii, , Evans B.I. p. 43 suggests no purpose for these 5 objects, but calls them ""sickle like"" p. 43. 405.","","Jos Kleijne","https://www.flickr.com/photos/115096994@N02/26469515922","https://farm2.staticflickr.com/1691/26469515922_410e19d52a_m.jpg"
"61491","580","Cast Fragment. Large with Tang.","","Shrewsbury Museum,donor Mr. T. Beacall.","England,Shropshire,Battlefield,hoard found near a hedge when ploughing.","Battlefield, Shrewsbury, Shropshire SY1, Royaume-Uni","52.741138","-2.718661999999995","","None","None","None","140","36; 33; 40, 45","","595.35","greenish grey patina, gold bronze shows.","several thick iron-like stains. Very rough uneven work.","9; 2","","Copper 68.4; Tin 6.8; Iron 0.2; Lead 24.2; Silver 0.06 = 98.22,Analysis by Prof. C.O. Bannister, University of Liverpool.","One of 5 objects. 3 were exhibited to S of A, 16 Apl. 1863, by Saml. Wood Esq, FSA, & stated to have been found with a large number of bronze objects - most of these were melted. The 5 were No. J.40 in the Exhibn. of Shrops. Ants. 1898 & described as ""Possibly grappling instruments affixed to scaling ladders.""","On the back are a few bright red patches as of enamel.","Figured in Proc. Soc. Ant. II (2nd S), p. 252; V(2), 431-2.,S.A.T. X (2nd S), p. 108, & III (3rd S), p. xxii.,Evans, B. I. p. 43, suggests no purpose for these 5 objects,but calls them ""sickle like"" p. 43, 405.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26469515922","https://farm2.staticflickr.com/1691/26469515922_410e19d52a_m.jpg"
"61491","677","Cast Fragment Large - with Tang.","","Shrewsbury Museum, , donor Mr T. Beacall.","England., Shropshire., Battlefield., Hoard found near a hedge when ploughing.","Shropshire, UK","52.7063657","-2.7417848999999705","Shropshire, UK","None","None","None","140","36. 33. 40. 45.","","595.35","Gold bronze shows.","Several thick iron like stains. Very rough uneven work. Greenish, grey.","9. 2","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","Copper 68.4 Tin 6.8 Iron 0.2 Lead 24.2 Satum 0.06 = 98.22 Analysis by Prpf. CO. Baminister, University & Liverpool. On the back are a few bright red patches as of enamel.  r","One of 5 objects. 3 were exhibited to S of A. 16 Apt. 1863. by Saurl. Wood Esq FSA, & stated to have been found with a large numbers of bronze objects - most of these were melted . The 5 were No J.40. in the Exhibn. of Dhrops. Ants. 1898 & described as ""Possibly grappling instruments affixed to sealing ladders.""","","Figured in Proc. Soc. Ant. II (2nd S) p. 252: V (2), 431.2 - S. A. T. X (2nd S) p. 108. & III (3rd S) p. xxii. Evans. B. I. p. 43. suggests no purpose for those 5 objects, but calls them ""sickle like"". p. 43. 405.","Under side of attachment.","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26469515922","https://farm2.staticflickr.com/1691/26469515922_410e19d52a_m.jpg"
"61492","226","Cast Fragment Tang.","","Shrewsbury Museum, donor Mr. T. Beacall","England, Shropshire, Battlefield, haord fround near a hedge when ploughting","Shropshire, UK","52.7063657","-2.7417848999999705","","None","None","None","93","56, 65","","212.65","","very rough & iron stained","10, 8","","","One of objects, 3 were exhibited to S of A, 16 Apr 1863 by Saml. Wood FSA & stated to have been found with a large number of bronze objects - most of these were melted.  The 5 were No J40 in the exhibit of Shrop. Ants. 1898 & described as ""possibly grappling instruments affixed to scaling ladders.""","","Figd. in Proc. Soc. Ant. II (2nd S) p 252, S.A.T. X (2nd S) p 108 & III (3rd S) p xxii, Evans B. Imps p 43 suggests no purpose for these 5 objects but calls them ""sickle like"" p 43  405","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/26469515792","https://farm2.staticflickr.com/1446/26469515792_6c2dc54c80_m.jpg"
"61492","580","Cast Fragment. ?Tang.","","Shrewsbury Museum,donor Mr. T. Beacall.","England,Shropshire,Battlefield,hoard found near a hedge when ploughing.","Battlefield, Shrewsbury, Shropshire SY1, Royaume-Uni","52.741138","-2.718661999999995","","None","None","None","93","56; 65","","212.65","","very rough & iron stained.","10; 8","","","One of 5 objects. 3 were exhibited to S of A, 16 Apl. 1863, by Saml. Wood Esq, FSA, & stated to have been found with a large number of bronze objects - most of these were melted. The 5 were No. J.40 in the Exhibn. of Shrops. Ants. 1898 & described as ""Possibly grappling instruments affixed to scaling ladders.""","","Figured in Proc. Soc. Ant. II (2nd S), p. 252,S.A.T. X (2nd S), p. 108, & III (3rd S), p. xxii.,Evans, B. I. p. 43, suggests no purpose for these 5 objects,but calls them ""sickle like"" p. 43, 405.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26469515792","https://farm2.staticflickr.com/1446/26469515792_6c2dc54c80_m.jpg"
"61492","677","Cast Fragment ? Tang.","","Shrewsbury Museum., , Donor Mr. T. Beacall.","England., Shropshire., Battlefield., Hoard found near a hedge when ploughing.","Shropshire, UK","52.7063657","-2.7417848999999705","Shropshire, UK","None","None","None","93","56. 65.","","212.65","","Very rough & iron stained.","10 8","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","","One of 5 objects, 3 were exhibited S of A, 16 Apl. 1863. by Sanil. Wood FSA & stated to have been found with a large number of bronze objects - most of these were melted. The 5 were No J40 in the Exhibn. of Shrop. Ants. 1898. & described as ""possibly grappling instruments affixed to sealing ladders"".","","Figd. in Proc. Soc. Ant. II (2nd 5) p. 252. S.A.T. X (2nd 5) p 108. & II (3rd 5) p xxii. Evans B. lurps. p 43. Suggests no purpose for those 5 objects, but calls them ""sickle like"". p. 43. 405.","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26469515792","https://farm2.staticflickr.com/1446/26469515792_6c2dc54c80_m.jpg"
"61493","226","Cast Fragment Large with Tang.","","Shrewsbury Museum,donor Mr. T. Beacall","England, Shropshire, Battlefield, hoard found near a hedge when ploughing","Shropshire, UK","52.7063657","-2.7417848999999705","","None","None","None","126","81","","382.72","","very rough & iron stained","","","","One of 5 objects, 3 were exhibited to S of A 16 Apr. 1863 by Saml. Wood FSA & stated to have been found with a large number of bronze objects, most of these were melted.  The 5 were No. J40 in the Exhibitn. of Shrops. Ant. 1898 & described as ""possibly grappling instruments affixed to scaling ladders"".","","Fig. in Proc. Soc. Ant. III (2nd S) p 252, S.A.T. X (2nd S) p 108 & III (3rd S) p. xxii, Evans B. Imps. p43 405 suggests no purpose for these 5 objects, but calls them ""sickle like""","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/25958921073","https://farm2.staticflickr.com/1608/25958921073_f1f9c02457_m.jpg"
"61493","580","Cast Fragment. Large, with Tang.","","Shrewsbury Museum,donor Mr. T. Beacall.","England,Shropshire,Battlefield,hoard found near a hedge when ploughing.","Battlefield, Shrewsbury, Shropshire SY1, Royaume-Uni","52.741138","-2.718661999999995","","None","None","None","126","81","","382.72","","very rough & iron stained.","10","","","One of 5 objects. 3 were exhibited to S of A, 16 Apl. 1863, by Saml. Wood Esq, FSA, & stated to have been found with a large number of bronze objects - most of these were melted. The 5 were No. J.40 in the Exhibn. of Shrops. Ants. 1898 & described as ""Possibly grappling instruments affixed to scaling ladders.""","","Figured in Proc. Soc. Ant. II (2nd S), p. 252,S.A.T. X (2nd S), p. 108, & III (3rd S), p. xxii.,Evans, B. Imps. p. 43, 405, suggests no purpose for these 5 objects,but calls them ""sickle like"".","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25958921073","https://farm2.staticflickr.com/1608/25958921073_f1f9c02457_m.jpg"
"61493","677","Cast Fragment Large with Tang.","","Shrewsbury Museum., , Donor Mr T. Beacall.","England., Shropshire., Battlefield., Hoard found near a hedge when ploughing.","Shropshire, UK","52.7063657","-2.7417848999999705","Shropshire, UK","None","None","None","126","81.","","382.72","","Very rough & iron stained.","10","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","","One of 5 objects. 3 were exhibited ro S of A. 16 Apl. 1863. by Sarul. Wood. FSA, & stated to have been found with a large number of bronze objects, most of these were melted. The 5 were No J 40 in the Exhibn.of Shrops. Ants. 1898. & described as ""possibly grappling instruments affixed to sealing ladders"".","","Figd. in Proc. Soc. Ant. II (2nd 5.) p. 252. S.A.T. X (2nd 5.) p 108. & III (3rd 5) p. xxii. Evans B. Imps. p. 43. 405. Suggests no purpose for these 5 objects, but calls them ""sickle like"".","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/25958921073","https://farm2.staticflickr.com/1608/25958921073_f1f9c02457_m.jpg"
