"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"59100","1","Socketed axe fragment","","","Grays, Thurrock, Essex","Grays, Essex, UK","0.32301510000002054","51.4784037","","None","None","None","","","","","","","","","","","Blade fragment","","JW - unidentified cards from BA Index Drawer A20","Daniel Pett","https://www.flickr.com/photos/115096994@N02/25071106045","https://farm2.staticflickr.com/1489/25071106045_d406c29c1a_m.jpg"
"59100","473","Socketed Axe Frag.","","","GRAYS, Thurrock, Essex","Grays, Essex, UK","0.32301510000002054","51.4784037","","None","None","None","","","","","","","","","","","Blade Fragment","","JW-Unidentified Cards from BA Index Drawer A20","Dina Fathalla","https://www.flickr.com/photos/115096994@N02/25071106045","https://farm2.staticflickr.com/1489/25071106045_d406c29c1a_m.jpg"
"59100","580","Socketed Axe Frag.","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.32301510000002054","51.4784037","","None","None","None","","","","","","","","","","","Blade fragment.","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25071106045","https://farm2.staticflickr.com/1489/25071106045_d406c29c1a_m.jpg"
"59101","473","Socketed Axe Frag.","","","GRAYS, Thurrock, Essex","Grays, Essex, UK","0.32301510000002054","51.4784037","","None","None","None","","","","","","","","","","","Blade Fragment","","JW-Unidentified Cards from BA Index Drawer A20","Dina Fathalla","https://www.flickr.com/photos/115096994@N02/24952977232","https://farm2.staticflickr.com/1514/24952977232_2fd6a66d75_m.jpg"
"59101","580","Socketed Axe frag.","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.32301510000002054","51.4784037","","None","None","None","","","","","","","","","","","Blade fragment.","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24952977232","https://farm2.staticflickr.com/1514/24952977232_2fd6a66d75_m.jpg"
"59101","1198","Socketed Axe Frag.","","","Grays(;) Thurrock (;) Essex","Thurrock, Essex, UK","0.3529197000000295","51.4934557","","None","None","None","","","","","","","","Date, Grid, Length, Width, Weight Missing","","","Blade Fragment","","JW-Unidentified Cards from (;) BA Ind. Drawer A20","Kathryn Helleman","https://www.flickr.com/photos/115096994@N02/24952977232","https://farm2.staticflickr.com/1514/24952977232_2fd6a66d75_m.jpg"
"59102","580","Socketed Axe frag.","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.32301510000002054","51.4784037","","None","None","None","","","","","","","","","","","Mouth/Socket fragment","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25044762296","https://farm2.staticflickr.com/1504/25044762296_64e152e740_m.jpg"
"59102","1198","Socketed Axe Frag.","","","Grays(;) Thurrock (;) Essex","","0.3529197000000295","51.4934557","","None","None","None","","","","","","","","Missing Date, Grid, Length, Width, Weight","","","Mouth/Socket Fragment","","JW Unidentified Cards from (;) BA Index Drawer A20","Kathryn Helleman","https://www.flickr.com/photos/115096994@N02/25044762296","https://farm2.staticflickr.com/1504/25044762296_64e152e740_m.jpg"
"59102","1199","Socketed Axe Frag.","","","Grays; Thurrock; Essex","",,,"","None","None","None","","","","","","","","Very little information on this card. Description is possibly 'Mouth/ Socket Fragment but not clear.","","","[""...""}/ Socket Fragment","","JW -Unidentified Cards from BA Index Drawer A20.","Nadia Randle","https://www.flickr.com/photos/115096994@N02/25044762296","https://farm2.staticflickr.com/1504/25044762296_64e152e740_m.jpg"
"59103","580","Socketed Axe frag.","","","Grays,Thurrock,Essex","Grays, Essex, Royaume-Uni","0.32301510000002054","51.4784037","","None","None","None","","","","","","","","","","","Mouth/Socket fragment.","","JW - Unidentified cards from BA Index drawer A20","Denis Antoine","https://www.flickr.com/photos/115096994@N02/25044762206","https://farm2.staticflickr.com/1588/25044762206_28ca65363f_m.jpg"
