"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"13009","226","Spearhead V C","T","Royal United Services' Museum, Whitehall S.W., 7874, from Colln. of the late Field Marshall Lord Hill, G.C.B., given by Caroline, Vicountess Hill 1925","England, Shropshire, most probably from Hawkstone, Shropshire","Shropshire, UK","-2.7037500999999793","52.5864845","","None","None","None","244","blade 55.5, socket 29","","slt. over 226.8","black, cleaned off.","polished bright golden bronze","blade 16, socket 29","","","","A crack across both faces at A. & the shaft is hollow to this point.  Wings are slightly hollowed.  Sharp edges.  Socket edge a little damaged.  Has probably lain in peat.  Slight ears at base of blade.","Shrewsbury Chronicle 12th June 1925","","Elaine Dale","https://farm6.staticflickr.com/5554/15156433776_74cb5dccab_b.jpg","https://www.flickr.com/photos/MicroPasts/15156433776"
"13009",,"Spearhead V C","T","Royal United Service's Museum Whitehall. S.W.  from Coll of the Late Field Marshall Lord Hill G.C.B. 7874 given by Caroline. Viscountess Hill 1925.","England, Shropshire most probably from Hawthorne. Shropshire","",,,"","None","None","None","244","55.5","","227","black. cleaned off","polished bright golden bronze, very slightly pitted and scratched","blade 16 socket 29","","","","There is a crack across both faces at A. & the shaft is hollow to this point.  Wings are slightly hollowed.  Sharp edges.  Socket edge a little damaged.  Has probably lain in past.  Slight [...] at base of blade.","Shrews bury Chronicle 12th June 1925","","Anon.","https://farm6.staticflickr.com/5554/15156433776_74cb5dccab_b.jpg","https://www.flickr.com/photos/MicroPasts/15156433776"
"13010","226","Spearhead V","T","c/o W.V. Fletcher (Nov. 1939), The Nook Gretton, N. Kettering","England, Northants, Gretton (N of Kettering), about 1918","Gretton, England","-2.7037500999999793","52.5864845","","None","None","None","","","","105","Rim dark brown","smooth","","","","","Sharp point & edges; leaf shaped blade; base of socket broken on one side.","see also correspondence from Mr. J. Canning 29.10-1963","","Elaine Dale","https://farm6.staticflickr.com/5558/15179091072_bfe9148c28_b.jpg","https://www.flickr.com/photos/MicroPasts/15179091072"
"13010","473","Spearhead V","T","c/o W.V. Fletcher (Nw 1938), The Nook Gretton, N Kettering","England, Northants, Gretton (N Kettering)","Northampton, Northampton, UK","-0.902655999999979","52.240477","","None","None","1918","","","","105","thin dark brown","smooth","","Could someone check that the transcription is correct for the information in brackets under the Collection category please.","","","Sharp point & edges; leaf shaped blade; base of socket broken on one side.","see also correspondence from Mr. J Canning 29.10.1963","","Dina Fathalla","https://farm6.staticflickr.com/5558/15179091072_bfe9148c28_b.jpg","https://www.flickr.com/photos/MicroPasts/15179091072"
"13011","226","Spearhead (broken) III, Fragt.","frag.","Peterborough Museum","England, Northamptonshire, Castor, Dug up in Castor Field, 1848 or 1849","Castor, Peterborough, UK","-0.3240329999999858","52.5794521","","None","None","None","137","blade 38","","","brown","smooth","blade 12","","","","","","","Elaine Dale","https://farm4.staticflickr.com/3904/14992879548_d6cfe75b45_b.jpg","https://www.flickr.com/photos/MicroPasts/14992879548"
"13011","473","Spearhead (broken), Fragt.","III frag","Petersborough Museum","England, Northamptonshire, Castor, Dug up in Castor Field, 1848 or 1849.","Northamptonshire, UK","-0.8755515000000287","52.27299439999999","","None","None","1848","137","38","","","Brown","smooth","12","","","","","","","Dina Fathalla","https://farm4.staticflickr.com/3904/14992879548_d6cfe75b45_b.jpg","https://www.flickr.com/photos/MicroPasts/14992879548"
"13012","226","SPEARHEAD","","NORTHAMPTON Central Museum, Case 6a, no.172","Northants, Hackleton","Hackleton, Northampton, Northamptonshire NN7, UK","-0.8201070000000072","52.188266","","None","None","None","123","36","","","","matt dark green, undamaged","","","","","","","MJR","Elaine Dale","https://farm4.staticflickr.com/3863/14992879268_54af615d91_b.jpg","https://www.flickr.com/photos/MicroPasts/14992879268"
"13012","473","SPEARHEAD","","NORTHAMPTON Central Museum, Case 6A, no.172","NORTHANTS, Hackleton","Northamptonshire, UK","-0.8755515000000287","52.27299439999999","","None","None","None","123","36","","","","matt dark green, undamaged","","","","","","","","Dina Fathalla","https://farm4.staticflickr.com/3863/14992879268_54af615d91_b.jpg","https://www.flickr.com/photos/MicroPasts/14992879268"
"13013","226","Spearhead IV","F","Northampton Central Mus., Case No. 6A, 172, purchased","England, Northants, Hackleton","Hackleton, Northampton, Northamptonshire NN7, UK","-0.8201070000000072","52.188266","","None","None","None","120","blade 34, socket 19","","79.71","dart green - worn off in places","smooth","socket 21","","","","good condition","","","Elaine Dale","https://farm6.staticflickr.com/5589/14992880608_59a6ac476d_b.jpg","https://www.flickr.com/photos/MicroPasts/14992880608"
"13013","473","Spearhead IV","F section","Northampton Central Mus., Case No 6A - 172, purchased.","England, Northants, Hackleton","2004 Denton Road, Northampton NN7, UK","-0.842231195312479","52.19462248527684","","None","None","None","120","blade 34 socket 19","","79.71","dark green - worn off in places.","smooth","21","","","","good condition","","","Dina Fathalla","https://farm6.staticflickr.com/5589/14992880608_59a6ac476d_b.jpg","https://www.flickr.com/photos/MicroPasts/14992880608"
