"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"11816","243","Socketed Axe","MII2,{Red Dot}","British Museum, W.G. 2145.,Given by J. Pierpoint Morgans, Esq. 1909.,Greenwell Collection.","England,HUMBERSIDE (Yorkes),Sproatley,1852","Sproatley, Hull, East Riding of Yorkshire HU11, UK","53.79442","-0.19157300000006217","TA 19 34","None","None","1852","88","","47","204","Metallic dark green","","39","3 cross section drawings of socketed axe on reverse, listed as inaccurate.","","Hoard of 9 socketed axes.","cracked across one face; loop waisted form through flaws in casting.","","Inacc,CI","Jeff Okazaki","https://farm4.staticflickr.com/3918/14961623468_2d6d73599a_b.jpg","https://www.flickr.com/photos/MicroPasts/14961623468"
"11816",,"Socketed Axe","MIIze","British Museum, W.G. 2145,G, , Given by J. Pierrepoint Morgan Esq., 1909, , Greenwell Collection, ,","England, Humberside (Yorks), Sproatley","Sproatley",,,"TA19 34","None","None","1852","88","47","","204","Metallic dark green","","39","","","Hoard of 9 socketed axes","cracked across one face; loop waisted form through flaw in casting","","","Anon.","https://farm4.staticflickr.com/3918/14961623468_2d6d73599a_b.jpg","https://www.flickr.com/photos/MicroPasts/14961623468"
"11817","679","socketed axe","K II 2","British Museum, WC 2146, , Given by J Pierpoint Morgan Esq,  1909, , Greenwell Collection","England, HUMBERSIDE (YORKS), Sproatley, 1852","Sproatley, Hull, East Riding of Yorkshire HU11, UK","53.79442","-0.19157300000006216","TA 19  34","None","None","None","81.5","48","","197","brown and green","pitted","40","","socket broken","","","","","Elizabeth Dale","https://farm4.staticflickr.com/3858/14961623538_4cf25a8f9f_b.jpg","https://www.flickr.com/photos/MicroPasts/14961623538"
"11817",,"Socketed Axe","K IIz","British Museum W.G. 2146, , Given by J. Pierrepoint Morgan, Esq., 1909, , Greenwell Collection","England, Humberside (Yorks), Sproatley","Sproatley",,,"TA19 34","None","None","1852","81.5","48","","197","Brown & green","Pitted","40","","","Hoard of 9 socketed axes","socket broken","","A OK?","Anon.","https://farm4.staticflickr.com/3858/14961623538_4cf25a8f9f_b.jpg","https://www.flickr.com/photos/MicroPasts/14961623538"
"11818","482","Socketed Axe","N II 2","British Museum WG 2147, , Given by J Pierpoint Morgan Esq.,1909, , Greenwell Collection","England, Humberside (Yorks), Sproatley","Sproatley, Hull, East Riding of Yorkshire HU11, UK","53.79442","-0.19157300000006217","TA  19 34","None","None","1852","75","45","","162","Metallic brown and green patina","","40","","","Hoard of 9 socketed axes","","","","scruffyarcher","https://farm4.staticflickr.com/3850/14961525910_ce8401f2b7_b.jpg","https://www.flickr.com/photos/MicroPasts/14961525910"
"11818","680","Socketed Axe","British Museum, W.G. 2147, , Given by J. Peirpoirt Morgan. 1909., , Greenwell Collection","Greenwell Collection","Humberside(Yorks) Sproatley","Humberside Way, Barnsley, South Yorkshire S71 3RN, UK","53.5756683","-1.4487964999999576","","None","None","1852","76 mm","48 mm","","162 grams","","Metallic brown and green","40 mm","","Butt cracked","","","","","Nate","https://farm4.staticflickr.com/3850/14961525910_ce8401f2b7_b.jpg","https://www.flickr.com/photos/MicroPasts/14961525910"
"11819","482","Socketed Axe","M II 2","British Museum WG 2148, , Given by J Pierpoint Morgan Ssq.,1909, , Greenwell Collection","England, Humberside (Yorks), Sproatley,","Sproatley, Hull, East Riding of Yorkshire HU11, UK","53.79442","-0.19157300000006217","TA 19 34","None","None","1852","65","42","","663","Brown and green","","34","","","Hoard of 9 socketed axes","Cracked down one face","","","scruffyarcher","https://farm6.staticflickr.com/5552/15148183255_a1f1c64782_b.jpg","https://www.flickr.com/photos/MicroPasts/15148183255"
"11819","680","","","","","","53.5756683","-1.4487964999999576","","None","None","None","","","","","","","","","","","","","","Nate","https://farm6.staticflickr.com/5552/15148183255_a1f1c64782_b.jpg","https://www.flickr.com/photos/MicroPasts/15148183255"
"11820","482","Socketed Celt Frag[ment]","M I 2","British Museum   WG  2168.5","England, Humberside (Yorks), Sproatley","Sproatley","53.79442","-0.19157300000006217","TA 19 34","None","None","None","61","48","61","108","Golden bronze, green patina in a few pits and on the fractured cutting edge.","Mostly smooth","19","","","Hoard","Large part of butt missing and whole of cutting edge.  Surface of metal has been drastically cleaned and three ribs running from butt to edge almost obliterated. Prominent mould marks.","","","scruffyarcher","https://farm4.staticflickr.com/3871/14961622938_c37e938478_b.jpg","https://www.flickr.com/photos/MicroPasts/14961622938"
"11820","680","Socketed Celt","","British Museum","Humberside(Yorks) Sproadly","Humberside Way, Barnsley, South Yorkshire S71 3RN, UK","53.5756683","-1.4487964999999576","","None","None","None","61 mm","48 mm","62 mm","108 grams","Golden orange;green on fractured cutting edge","","29 mm","","","","Long part of butt missing and whole of cutting edge., , Surface of metal has been dramatically chewed, , And there is wearing from butt. ...., ,","","","Nate","https://farm4.staticflickr.com/3871/14961622938_c37e938478_b.jpg","https://www.flickr.com/photos/MicroPasts/14961622938"
