"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"62215","226","(fragment)  Bar or Handle","","Scunthorpe Museum, Lincs","England, Rutland, Ridlington (near Uppingham), in trial hole for ironstone, found by W.G. Pinder), c. 1910-12","Uppingham, Oakham, Rutland LE15, UK","-0.7184839999999895","52.59122499999999","","None","None","1910","","","","","olive green, chipped in places","","","Remarks are not completed","","","Section 11 x 6Side decorated with engraved circles 4mm diameter, 5mm apart","","Not an [...] with this section.  Some Danish MIII [...] are of [...] section, though not with [...] ends: [...] Bronze","Elaine Dale","https://www.flickr.com/photos/115096994@N02/27007634821","https://farm8.staticflickr.com/7213/27007634821_60542e034b_m.jpg"
"62215","580","Bar or Handle (fragment)","","Scunthorpe Museum, Lines.","England,Rutland,Ridlington (near Uppingham),In trial hole for ironstone,,found by Mr. G. Pinder,,c.1910-12","Ridlington, Oakham, Rutland LE15, Royaume-Uni","-0.7507349999999633","52.614698","","None","None","None","","setion 11 x 6","","163.0097","Olive-green patina, chipped in places.","","","Weight: 5 3/4 oz","","","Side decorated with engraved circles, 4 mm. diameter, 5 mm. apart.","","Not an Ösenhelsring A with this section. Some Danish M III are of separated section altough not with reverted ends: Broholm: Bronze [...] I, 1943 141 (Gr. 1393) & Olde [...] Metalteknik, Del V, 25","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27007634821","https://farm8.staticflickr.com/7213/27007634821_60542e034b_m.jpg"
"62215","677","Bar or handle (fragment).","","Scunthorpe Museum, Lines.","England, Rutland, Ridlington (near uppingham), In trial hole for ironstone,, found by Mr. G. Pinder., on. 1910 -12.","Ridlington, Oakham, Rutland LE15, UK",,,"Ridlington, Oakham, Rutland LE15, UK","None","None","1910","","Section 11 x 6","","5 3/4","Olive green patina, chipped in places.","","","Some of the handwriting was difficult to deciper (& very blurry). I made my best possible judgement. The map is not working. Also some information appears to be missing.","Side decorated with engraved circles, 4. diameter, 5. apart.","","","","Noran Osenlatsrrry with this section. , , Sons Danos Mth fours nth oflgrarld section, through not with encrupted ends: Broholm: Bronze coldes, I, 1943, 141(g.1393).","Michael George Adams","https://www.flickr.com/photos/115096994@N02/27007634821","https://farm8.staticflickr.com/7213/27007634821_60542e034b_m.jpg"
"62216","226","Links of chain","","Towbridge School Museum [; Towbridge, Kent","Unprov.","",,,"","None","None","None","","","","","","","","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/26472404133","https://farm8.staticflickr.com/7195/26472404133_8b9a9b26e4_m.jpg"
"62216","580","Links of Chain","","Tonbridge School Museum.,Tonbridge, Kent","Unprov.","","-0.7507349999999633","52.614698","","None","None","None","","","","","","","","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26472404133","https://farm8.staticflickr.com/7195/26472404133_8b9a9b26e4_m.jpg"
"62216","677","Links of chain","","Towbridge School Museum., , Tanbridge, Kent.","Unprov.","",,,"","None","None","None","","","","","","","","Some information appears to be missing.","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26472404133","https://farm8.staticflickr.com/7195/26472404133_8b9a9b26e4_m.jpg"
"62217","226","Rod","","Cyfarthfa Castle Museum, Merthys Tydfil, ? 91, obtained 1911","locality unknown","",,,"","None","None","None","231","","","72","blackish green","","9, 8","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/26981637182","https://farm8.staticflickr.com/7363/26981637182_6c865428be_m.jpg"
"62217","580","Rod","","Cyfartha Castle Museum.,Merthys Tydfil. ?91,obtained 1911.","locality unknown","","-0.7507349999999633","52.614698","","None","None","None","231","","","72","blackish green.","","9; 8","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26981637182","https://farm8.staticflickr.com/7363/26981637182_6c865428be_m.jpg"
"62217","677","Rod","","Cyfarthla Castle Museum., , Merthys Tydpl. ?91, , obtained 1911.","Locality unknown.","",,,"","None","None","None","231","","","72","Blackish green.","","9. 8","Some of the handwriting was difficult to deciper. I made my best possible judgement. Also some information appears to be missing.","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26981637182","https://farm8.staticflickr.com/7363/26981637182_6c865428be_m.jpg"
"62218","580","","","Museum of Archaeology & Ethnology, Cambridge","Unprov.","","-0.7507349999999633","52.614698","","None","None","None","127.5","21","","69","Black patina & metal showing through.","uneven, though shiny.","10","","","","Very roughly cast flat spoon-shaped object: a heavy rounded ridge starts from near the top of the head & loses itself in the pointed end. The back is flat.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27007634541","https://farm8.staticflickr.com/7027/27007634541_67af127aa9_m.jpg"
