"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"40500","226","Bracelet","","Brentford Public Library, Layton Colln., 01610","Austria, Upper Austria, Linz","Linz, Austria","48.30694","14.285830000000033","","None","None","None","93.75","80","","","polished medium & dark green","smooth, except where corroded.","5.5 x 11","","","","Incised ornament, the groups of 3 lines across the outside edge, are heavily indented.","","Label Linz. Aust.","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17985538394","https://farm9.staticflickr.com/8875/17985538394_2bf7bdfc35_m.jpg"
"40500","433","Bracelet","","Brentford Public Library,Layton Collection, 01610","Austria,Upper Austria,Linz","Linz, Austria","48.30694","14.285830000000033","","None","None","None","93.75","80","","","Polished patina medium + dark green.","Smooth, except where corroded.","5.5 x 11","","","","Incised ornament. The groups of 3 lines running across the outside edge, are heavily indented.","","Label: Linz, Aust.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17985538394","https://farm9.staticflickr.com/8875/17985538394_2bf7bdfc35_m.jpg"
"40500","817","Bracelt.","","Brentford Public Library,Layton Collection.,O 1610.","Austria,Upper Austria,Linz","Linz, Austria","48.30694","14.285830000000033","","None","None","None","93.75","80","","","polished medium & dark green","Smooth, except where corroded.","5.5","Thickness shows ""5.5 x 11"".","","","Incised ornament, the groups of 3 lines running across the outside edge, are heavily indented.","","Label,Linz, Aust.","JP OConnor","https://www.flickr.com/photos/115096994@N02/17985538394","https://farm9.staticflickr.com/8875/17985538394_2bf7bdfc35_m.jpg"
"40501","433","Rings","","Sold at Sotheby's, 23rd July 1926, Lot 460; owner unknown","Cyprus","Cyprus","35.126413","33.429858999999965","","None","None","None","","A: 22 x 22; B: 24.5 x 24.5; C: 37.5 x 36.5","","","A: Rusty green + light green coloured. B: Brown rust + light green corrosive patina. Not encrusted; C: Thickly encrusted darkish green matte patina.","A: Smooth.","B: 11; C: 13.5","","","","A: Round section. B: Round in section, ends are thinner.","","In this lot there were 15 split rings + 1 plain one (+ other items).  The largest measures 45mm across.  Two items of Lot 460 were not drawn: one a bell and the other an ornament.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18581781246","https://farm1.staticflickr.com/557/18581781246_9323bdcbf7_m.jpg"
"40501","658","Rings","","Sold at Sotheby's, 23rd. July, 1926, Lot. 460,, , owner unknown.","Cyprus","",,,"","None","None","None","A: 22 x 22; B; 24.5 x 24.5; C: 37.5 x 36.5","","","","","A: Round section,Smooth, rusty green,& light green coloured. B: round in section, ends are thinner,Brown rust & light green, corrosive patina. NOT encrusted. C: Thickly encrusted,darkish green,matte patina.","B: 11; C: 13.5","","","","","","In this lot there were 15 Split rings  1 plain one (& other items),The largest measures 45 mm across.,, , Two items of Lot 460 were not drawn,one a bell & the other an,ornament.","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18581781246","https://farm1.staticflickr.com/557/18581781246_9323bdcbf7_m.jpg"
"40501","817","Rings","","Sold at Sotheby's. 23rd July 1926 Lot 460,owner unknown","Cyprus","Cyprus","35.126413","33.429858999999965","","None","None","None","","","","","A rusty green & light green coloured.,B light green corrosive patina.,C matte patina.","A Smooth,BBrown rust. NOT encrusted.,C darkish green","","Width shows ""A 22 x 22"",""B 24.5 x 24.5"",""C 37.5 x 36.5"". Thickness shows ""B 11"",""C 13.5"".","","","A Round section.,B Round in section, ends are thinner.,C Thickly encrusted.","","In this lot there were 15 split rings & 1 plain one. (& other items),The largest measures 45mm across.,Two items of Lot 460 were not drawn,one a bell & the other an ornament.","JP OConnor","https://www.flickr.com/photos/115096994@N02/18581781246","https://farm1.staticflickr.com/557/18581781246_9323bdcbf7_m.jpg"
"40502","433","Armlet","","Nationalmuseet, Copenhagen,No. B8391","Denmark,Festykke H.,Stenlose S.","3660 Stenløse, Denmark","55.76861599999999","12.198309999999992","","None","None","None","","Span 116; band 12.5","","Approx. 5","","","","","","","Thin bronze band with hole at one end, ornamented with small bosses. Broken in 2 places. Also 2 tiny fragments.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17987498363","https://farm9.staticflickr.com/8844/17987498363_ff73bb7a67_m.jpg"
"40502","658","Armlet","","Nationalmuseet,Copenhagen[;[], , No. B 8391","Demark,, Festykke M,, Stenlöse S.","",,,"","None","None","None","","span 116, band 12.5","","approx. 5","","","","","","","Thin bronze band with hole at one end, ornamented with small bosses.,Broken in 2 places.,Also 2 tiny fragments.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17987498363","https://farm9.staticflickr.com/8844/17987498363_ff73bb7a67_m.jpg"
"40502","817","Armlet","","Nationalmuseet,,Copenhagen.,No. B 8391.","Denmark,Festykke H.,Stenlöse S.","3660 Stenløse, Denmark","55.76861599999999","12.198309999999992","","None","None","None","","116","","5","","","","Width shows ""Span 116mm -- band 12.5mm."" Weight shows ""Approx. 5gr.""","","","Thin bronze band with hole at one end, ornamented with small bosses.,Broken in 2 places., Also 2 tiny fragments.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17987498363","https://farm9.staticflickr.com/8844/17987498363_ff73bb7a67_m.jpg"
"40503","433","Armlet","","Nationalmuseet, Copenhagen,No. B3889","Denmark,Stovring H.,Harritsler S.","9530 Støvring, Denmark","56.8881242","9.830045400000017","","None","None","None","Diameter 103","90.5; centre 32.5; near end 15.5","","839","","","","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18420445050","https://farm9.staticflickr.com/8899/18420445050_2dd505cf9b_m.jpg"
