"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"41416","226","Sickle","","British Museum, WG 1432","Denmark, Viborg","8800 Viborg, Denmark","9.396346999999992","56.45202699999999","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19358907311","https://farm1.staticflickr.com/435/19358907311_26479e99c9_m.jpg"
"41416","433","Sickle","","British Museum,WG 1432","Denmark,near Viborg","8800 Viborg, Denmark","9.396346999999992","56.45202699999999","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19358907311","https://farm1.staticflickr.com/435/19358907311_26479e99c9_m.jpg"
"41416","652","Sickle","","British Museum, , WG 1432","Denmark, nr Viborg","8800 Βίμποργκ, Δανία","9.396346999999992","56.45202699999999","","None","None","None","","","","","","","","","Copper Alby","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19358907311","https://farm1.staticflickr.com/435/19358907311_26479e99c9_m.jpg"
"41417","226","Sickle","","British Museum, 1888.0719.22","No Prov., Europe","Europe","15.255118700000025","54.5259614","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/18734262613","https://farm1.staticflickr.com/443/18734262613_32073113fb_m.jpg"
"41417","433","Sickle","","British Museum,1888.0719.22","Europe,No Provenance","Europe","15.255118700000025","54.5259614","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18734262613","https://farm1.staticflickr.com/443/18734262613_32073113fb_m.jpg"
"41417","652","Sckle","","British Museum, , 1888. 0719.22","Eurpa, no prov.","","9.396346999999992","56.45202699999999","","None","None","None","","","","","","","","","Copper [A  ly]","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/18734262613","https://farm1.staticflickr.com/443/18734262613_32073113fb_m.jpg"
"41418","226","Sickle","","British Museum, 1856.0625.2, On display in Room 1 - Enlightenment, Birth of Archaeology, Wall Press /95","No Prov., Europe","Europe","15.255118700000025","54.5259614","","None","None","None","","","","","","","","","Copper Alloy","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19328789636","https://farm1.staticflickr.com/528/19328789636_9de714a47d_m.jpg"
"41418","433","Sickle","","British Museum,1856.0625.2,On display in Room 1-Enlightenment, Birth of Archaeology, Wall Press 195","Europe,No Provenance","Europe","15.255118700000025","54.5259614","","None","None","None","","","","","","","","","Copper Alloy","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19328789636","https://farm1.staticflickr.com/528/19328789636_9de714a47d_m.jpg"
"41418","652","Sickle","","British Museum, , 1856.0625.2, , , , On display in Room 1 Enlighte[   a  t] , Birth of Archaeology Wall Bress  195","Europe, no prov.","","9.396346999999992","56.45202699999999","","None","None","None","","","","","","","","","Copper Alley","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19328789636","https://farm1.staticflickr.com/528/19328789636_9de714a47d_m.jpg"
"41419","226","Sickle Blade","","British Museum","? Europe","","15.255118700000025","54.5259614","","None","None","None","","","","","","","","","Copper Alloy?","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19167266180","https://farm1.staticflickr.com/517/19167266180_b1231d449f_m.jpg"
"41419","433","Sickle Blade","","British Museum","?Europe","Europe","15.255118700000025","54.5259614","","None","None","None","","","","","","","","","Copper Alloy?","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19167266180","https://farm1.staticflickr.com/517/19167266180_b1231d449f_m.jpg"
