"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"41334","226","Scabbard End - fragment of sword","","Herts. Cty. Mus., St. Albans, Ball Colln.","Austria","Austria",,,"","None","None","None","Ferrule 63, blade 56,","12, 37.5, 23.5","","21.26","F. some dark green, none","F. Rough, B. rough green encrusted","Ferrule 12, blade 8","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/19008657050","https://farm4.staticflickr.com/3799/19008657050_f059747f2d_m.jpg"
"41334","433","Scabord end & Fragment of sword","","Herts Cty Museum, St. Albans,Ball Collection","Austria","Austria","14.550072","47.516231","","None","None","None","Ferrule: 63; blade 56","Ferrule 12, 37.5; Blade 23.5","","Ferrule 21.26 ; blade 21.26","Ferrule: some dark green; Blade: none","Ferrule: Rough; Blade: rough, green encrusted.","Ferrule 12; blade 8","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19008657050","https://farm4.staticflickr.com/3799/19008657050_f059747f2d_m.jpg"
"41334","580","Scabbard End & fragment of sword","","Herts Cty. Mus., St. Albans.,Ball Collection","Austria","Autriche","14.550072","47.516231","","None","None","None","Ferrule 63; blade 56","Ferrule 12; 37.5,blade 23.5","","Ferrule 21.26; blade 21.26","Ferrule: some dark green.,Blade: none.","Ferrule: rough,Blade: rough. green encrusted.","Ferrule 12; blade 8","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/19008657050","https://farm4.staticflickr.com/3799/19008657050_f059747f2d_m.jpg"
"41335","433","Sword","","London School of Economics,Houghton Street, WI 2,The property of Professor C. G. Seligman","China","China","104.19539699999996","35.86166","","None","None","None","483","blade 48, 43","","595.9","Dark jade green, mottled black, golden bronze shows, patina seems to have been cleaned all over.","Very slight patches of what appears to be thin copper, on the blade. Smooth","20, 7","","","","The hilt is round & hollow like a tube","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19190463122","https://farm1.staticflickr.com/422/19190463122_f2fbe1e73a_m.jpg"
"41335","580","Sword","","at London School of Economics, Houghton Street, W.C. 2.,the propserty of Prof. C.G. Seligman.","China","Chine","104.19539699999996","35.86166","","None","None","None","483","blade 48; 43","","595.9","dark jade green, mottled black. golden bronze shows. patina seems to have been cleaned all over.","very slt. patches of what appears to be thin copper, on the blade. Smooth.","20; 7","","","","The hilt is round & hollow like a tube.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/19190463122","https://farm1.staticflickr.com/422/19190463122_f2fbe1e73a_m.jpg"
"41335","1032","Sword","","London School of Economics, , Houghton Street, , WI 2, , the property of Prof. C. G. Seligman","China","",,,"","None","None","None","483","blade 48","","595.9","dark jade green. mottled black. golden bronze shows. patina suggests have been cleaned all over.","very [..] patches of what appears to be copper. on the blade. Smooth","20.","","","","The hilt is round & hollow like a tube., ,","","","Christina Donald","https://www.flickr.com/photos/115096994@N02/19190463122","https://farm1.staticflickr.com/422/19190463122_f2fbe1e73a_m.jpg"
"41336","433","Sword","","Private Collection,11.4.24 (at S of A),Capt. W. H. Murray","China","China","104.19539699999996","35.86166","","None","None","None","533","blade 44 hilt 48.5, 13, 25.5, 25, 11, 36","","850.48","A rich marble like patina of jade green, medium shade & slightly mottled.","Smooth,  hilt rather pitted, very slight encrustment on one side of blade near hilt.","blade 10, 3; hilt 35, 36","","","","Cast marks show on sides of hilt. The hilt top is hollowed & has a central hole, but the top is nearly filled with encrustment.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19008589960","https://farm1.staticflickr.com/357/19008589960_cd991ec2e4_m.jpg"
"41336","580","Sword","","Private Collection.,11. 4. 24. (at S of A),Capt. W.H. Murray","China","Chine","104.19539699999996","35.86166","","None","None","None","533","blade 44,hilt 48.5; 13; 25.5; 25; 11; 36","","850.48","a rich marble like patina of jade green. medium shade, slightly mottled.","smooth. hilt rather pitted. very slight encrustment on one side of blade near hilt.","blade 10; 3,hilt 25; 36","","","","Cast marks show on sides of hilt. The hilt top is hollowed & has a central hole, but the top is nearly filled with encrustment.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/19008589960","https://farm1.staticflickr.com/357/19008589960_cd991ec2e4_m.jpg"
"41336","652","Sword","","Private , , 11.4.24 [(at    ], , , , [Cap]  W.H. Museum","China","Κίνα","104.19539699999996","35.86166","","None","None","None","833","blade 44 hilt 48.8 13 305 35  11 26","","850.48","a rich marble [  ]  of fade green  medium shade, slightly [m   led]","smooth hilt rather pitted very slight encrustment  on one side of blade near hilt,","blade 10  3  hilt 35  36","","Cast members show on sides of hilt. The hilt is [  ] hallowed + has a central hole but the [  ] is nearly filled with encrustment","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/19008589960","https://farm1.staticflickr.com/357/19008589960_cd991ec2e4_m.jpg"
"41337","433","Leaf Shaped Sword","","Private Collection,Professor Patrick Geddes","Cyprus,Exact site unknkown","Cyprus","33.429858999999965","35.126413","","None","None","None","278","hilt 42; blade 36","","265.78","","Rough, as though water worn. Yellow metal stained black.","blade 5","","","","Broken across blade - tang broken through rivet holes.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/19010117749","https://farm1.staticflickr.com/377/19010117749_17d5ee6b73_m.jpg"
