"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"40087","433","Socketed Chisel","","Herts Cty. Museum, St. Albans,Ball Collection","Austria","Austria","14.550072","47.516231","","None","None","None","102","socket 19","8","63.78","patches of bronzey patina","smooth, slight encrustation","socket 17","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18154782720","https://farm8.staticflickr.com/7755/18154782720_ca3213d477_m.jpg"
"40087","658","Socketed Chisel","","Herts. Cty. Mus., St. Albans,, , Ball Coll'n.","Austria","",,,"","None","None","None","102","edge 8, socket 19","","63.78","patches of bronzey patina.","smooth, slight encrustation.","socket 17","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18154782720","https://farm8.staticflickr.com/7755/18154782720_ca3213d477_m.jpg"
"40087","817","Socketed Chisel","","Herts Cty. Mus.,St. Albans.,Ball Colln.","Austria","",,,"","None","None","None","102","19","8","63.78","patches of bronzey patina","smooth, slight encrustation","17","Width shows ""edge 8.  socket 19."" Thickness shows ""socket 17.""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18154782720","https://farm8.staticflickr.com/7755/18154782720_ca3213d477_m.jpg"
"40088","433","Sickle","","Herts. Cty. Mus., St. Albans,Ball Collection","Austria","Austria","14.550072","47.516231","","None","None","None","170","135.5; blade 42.5, 23.5, 44","","205.52","Dull green matt","Smooth","blade 8, 6, 6.5","","","","At X the blade curves so that this point is 10mm above plane.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18342527265","https://farm8.staticflickr.com/7745/18342527265_6e3002684f_m.jpg"
"40088","658","Sickle","","Herts. Cty. Mus., St. Albans.,, , Ball Coll'n.","Austria","",,,"","None","None","None","170","135.5, blade 42.5, 23.5, 44","","205.52","dull green matt.","smooth.","blade 8, 6, 6.5","","","","At X the blade curves so that this point is 10 mm above plane.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18342527265","https://farm8.staticflickr.com/7745/18342527265_6e3002684f_m.jpg"
"40088","817","Sickle","","Herts Cty. Mus.,St. Albans.,Ball Colln.","Austria","",,,"","None","None","None","170","135.5","","205.52","dull green matt","smooth","8","Width shows 135.5.   blade 42.5.  23.53  44"". Thickness shows ""blade 8.  6.  6.5"".","","","At X the blade curves so that this point is 10mm above plane.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18342527265","https://farm8.staticflickr.com/7745/18342527265_6e3002684f_m.jpg"
"40089","433","Sickle","","Herts. Cty. Museum, St. Albans,Ball Collection","Austria","Austria","14.550072","47.516231","","None","None","None","173.5","113; blade 32, 37, 21","","134.65","dull green matt","encrusted","3.5, 3","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18343977661","https://farm8.staticflickr.com/7751/18343977661_43686097d7_m.jpg"
"40089","658","Sickle","","erts. Cty. Mus., St. Albans,, , Ball Coll'n.","Austria","",,,"","None","None","None","173.5","113; blade 32, 37, 21","","134.65","dull green matt.","encrusted.","3.5, 3","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18343977661","https://farm8.staticflickr.com/7751/18343977661_43686097d7_m.jpg"
"40089","817","Sickle","","Herts Cty. Mus.,St. Albans.,Ball Colln.","Austria","",,,"","None","None","None","173.5","113","","134.65","dull green matt","encrusted.","3.5","Width shows ""113.   blade 32.  37.  -- 21."" Thickness shows ""3.5mm  3"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18343977661","https://farm8.staticflickr.com/7751/18343977661_43686097d7_m.jpg"
"40090","433","Sickle","","Herts. Cty. Mus., St. Albans,Ball Collection","Austria","Austria","14.550072","47.516231","","None","None","None","155","100.5; blade 33, 23","","141.75","Dull green matt","Smooth","blade 6.5, 4; tang 5, 3","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/18156321479","https://farm9.staticflickr.com/8803/18156321479_1e7cd51389_m.jpg"
"40090","658","Sickle","","Herts. Cty. Mus., St. Albans,, , Ball Coll'n.","Austria","",,,"","None","None","None","155","100.5; blade 33, 23,","","141.75","dull green matt.","smooth.","6.5, 4 blade; 5, 3, 6 tang","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/18156321479","https://farm9.staticflickr.com/8803/18156321479_1e7cd51389_m.jpg"
"40090","817","Sickle","","Herts Cty. Mus.,St. Albans.,Ball Colln.","Austria","",,,"","None","None","None","155","100.5","","141.75","dull green matt","smooth","6.5","Width shows ""100.5   blade 33.  23."" Thickness shows ""6.5.  4.  blade.   5.  3.  6. tang""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/18156321479","https://farm9.staticflickr.com/8803/18156321479_1e7cd51389_m.jpg"
