"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"38988","226","Adze","","Herts. County Museum, St. Alban's, lent by Capt. J.H. Ball RAF, (from Canon Greenwell's Colln.)","site unknown","",,,"","None","None","None","269","across socket 56, blade at butt 45","72.5","1091.46","traces of medium green","smooth.  reddy brown copper.   Rougher on the underside (in hollow of blade etc.) from casting.  Traces of patina over this roughness.","socket 26","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17314225383","https://farm6.staticflickr.com/5444/17314225383_bbb7056bd7_m.jpg"
"38988","580","Adze","","Herts County Museum, St. Albans,lent by Capt. J.H. Ball, RAF,(from Canon Greenwell's Collection)","Site unknown","",,,"","None","None","None","269","edge 72.25; across socket 56; blade at butt 45","","1091.46","traces of patina medium green.","smooth. reddy brown copper. Rougher on the underside (in hollow of blade etc) from casting. Traces of patina over this roughness.","socket 26","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17314225383","https://farm6.staticflickr.com/5444/17314225383_bbb7056bd7_m.jpg"
"38988","658","Adze","","Herts. County Museum, St. Albans,, , lent by Capt. J.H. Ball, R.A.F.,, , (from Canon Greenwell's Coll'n)","","",,,"Site unknown","None","None","None","269","edge 72.14, across socket 56, blade at butt 45","","1091.46","traces of patina medium green.","smooth, reddy brown copper. Rougher on the underside (in hollow of blade etc.) from,casting. Tracers of patina over this roughness.","socket 26","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17314225383","https://farm6.staticflickr.com/5444/17314225383_bbb7056bd7_m.jpg"
"38989","226","Adze","","Private, 1923, Lord Howard de Walden, Belgrave Square SW, 328","","",,,"","None","None","None","155","butt 69","166","1800.22","polished dark green, mottled black","smooth","middle 18, butt 37","","","","This tapers from thick butt to the edge.","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17747960968","https://farm6.staticflickr.com/5441/17747960968_bf664faf06_m.jpg"
"38989","580","Adze","","Private Collection,1923,Lord Howard de Walden, Belgrave Square SW.,328.","","",,,"","None","None","None","155","edge 166; butt 69","","1800.22","polished dark green. mottled black.","smooth","middle 18; butt 37","","","","This tapers from thick butt to the edge.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17747960968","https://farm6.staticflickr.com/5441/17747960968_bf664faf06_m.jpg"
"38989","658","Adze","","Private Collection,1923,, , Lord Howard de Walden,, , Belgrave Square SW,, , 328","","",,,"","None","None","None","155","edge 166, butt 69","","1800.22","polished dark green, mottled black.","smooth","middle 18, butt 37","","","","This tapers from thick butt to the edge.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17747960968","https://farm6.staticflickr.com/5441/17747960968_bf664faf06_m.jpg"
"38990","226","Adze","","Private, E.N. Witchell Esq., Stroud, Glos.","","",,,"","None","None","None","189.5","butt 21, 36","59","425.25","of rough green, which practically covers the specimen.","rough.  Dark red copperish metal shows in places & traces of light earth encrusted.","blade 6.5, 8.5, near the edge 8, butt end 10","","","","The butt is flat & thick.  The sides from butt to edge are rounded off, but get flatter towards the edge.  Edge is bevelled & sharpened on one side only.","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17932735672","https://farm6.staticflickr.com/5321/17932735672_0906231624_m.jpg"
"38990","580","Adze","","Private Collection,E.N. Witchell Esq., Strand, Glos.","","",,,"","None","None","None","189.5","edge 59,butt 21; 36","","425.25","encristed patina of rough green, which practically covers the specimen.","rough. Dark red copperish metal shows in places, & traces of light earth.","blade 6.5; 8.5,near the edge 8,butt end 10","","","","The butt is flat & thick. The sides from butt to edge are rounded off, but get flatter towards the edge. Edge is bevelled & sharpened on one side only.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17932735672","https://farm6.staticflickr.com/5321/17932735672_0906231624_m.jpg"
"38990","658","","","","","",,,"","None","None","None","","","","","","","","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17932735672","https://farm6.staticflickr.com/5321/17932735672_0906231624_m.jpg"
"38991","226","Axe Hammer","","Charterhouse Museum, No. 86/4","","",,,"","None","None","None","157","butt 17, hole 24","31","604","patches of green","in rough condition, dark rich brown","46.5","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17747585218","https://farm9.staticflickr.com/8805/17747585218_c3b2830906_m.jpg"
"38991","580","Axe Hammer","","Charterhouse Museum. No. 86/4.","","",,,"","None","None","None","157","edge 31; butt 17; hole 24 (diam)","","604","patches of green patina","in rough condition. dark rich brown","46.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17747585218","https://farm9.staticflickr.com/8805/17747585218_c3b2830906_m.jpg"
