"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"40572","226","FLANGE-HILTED DAGGER","","British Museum, 1964. 12-6. 115, ex Trechman collection","Austria, NO, Stockereau","Stockerau, Austria","16.2156966","48.3861094","","None","None","None","216","(max. blade) 22","","","","Varied; basis of green/grey bronze with patches of green corrosion and earth adhesions. One side of flange and blade apparently ground with rather coarse file (? modern) at oblique angle.","4, height of flantes 7","","","","","Harding, BMQ (1973)","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/18430182478","https://farm1.staticflickr.com/549/18430182478_0b9a43a304_m.jpg"
"40572","580","Flange-hilted Dagger","","British Museum. 1964. 12-6. 115,ex Trechman collection.","Austria, NÖ.,Stockerau","Stockerau, Autriche","16.2156966","48.3861094","","None","None","None","216","max blade 22","","","","Varied; basis of green/grey bronze with patches of green corrosion and earth adhesions; one side of flanges and blade apparently ground with rather coarse file (? moden) at oblique angle.","4,Height of flanges 7","","","","","Harding, BMQ (1973)","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/18430182478","https://farm1.staticflickr.com/549/18430182478_0b9a43a304_m.jpg"
"40572","973","FLANGE-HILTED DAGGER","-","British Museum. 1964. 12-6. 115,ex Trechman collection.","Austria, NO.,Stockerau","Stockerau, Austria","16.2156966","48.3861094","-","None","None","None","216","22","","","","Varied; basis of green/grey bronze with patches of green corrosion and earth adhesions;,one side of flanges and blade apparently ground with rather coarse file (? modern) at,oblique angle.","4","Width information preceded by (max. blade)","-","","Height of flanges 7.","Harding, BMQ (1973)","","Alexandra Hayes","https://www.flickr.com/photos/115096994@N02/18430182478","https://farm1.staticflickr.com/549/18430182478_0b9a43a304_m.jpg"
"40573","226","Dagger","","Herts. Cty. Mus., St. Albans","Austria","Austria","14.550072","47.516231","","None","None","None","188","blade 29, hilt 29","","70.88","dark green in places","somewhat encrusted","blade 5.5","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17997279483","https://farm9.staticflickr.com/8836/17997279483_e19f9af8a5_m.jpg"
"40573","580","Dagger","","Herts Cty. Mus., St. Albans","Austria","Autriche","14.550072","47.516231","","None","None","None","188","blade 29; hilt 29","","70.88","dark green in places.","somewhat encrusted","blade 5.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17997279483","https://farm9.staticflickr.com/8836/17997279483_e19f9af8a5_m.jpg"
"40573","652","Dagger","","Herts Cty. Mus. St. Albans","Austria","Αυστρία","14.550072","47.516231","","None","None","None","188","blade 29  lilt 29","","7-.88","dark green in places","somewhat encrusted","blade 5.5","","","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/17997279483","https://farm9.staticflickr.com/8836/17997279483_e19f9af8a5_m.jpg"
"40574","226","Dagger","","Herts. Cty. Mus., St. Albans","Austria","Austria","14.550072","47.516231","","None","None","None","138.5","blade 26, 27","","63.78","dull greeny brown matt","smooth","blade 4","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/18430211760","https://farm1.staticflickr.com/513/18430211760_9fe9a0551c_m.jpg"
"40574","580","Dagger","","Herts Cty. Mus., St. Albans.","Austria","Autriche","14.550072","47.516231","","None","None","None","138.5","blade 26; 27","","63.78","dull patina greeny brown matt.","smooth","blade 4","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/18430211760","https://farm1.staticflickr.com/513/18430211760_9fe9a0551c_m.jpg"
"40574","652","Dagger","","Herts, Cty. Mus. St. Albans","Austria","Αυστρία","14.550072","47.516231","","None","None","None","138.5","blade 26.   27.","","63.78","dull greeny brown matt","smooth","blade 4","","","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/18430211760","https://farm1.staticflickr.com/513/18430211760_9fe9a0551c_m.jpg"
"40575","226","Spear-head","","Herts. Cty. Mus., St. Albans, Ball Colln.","Austria","Austria","14.550072","47.516231","","None","None","None","118","blade 27, tang 7","","21.26","dull green","rough","blade 2.5, tang 2.2","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17997237703","https://farm1.staticflickr.com/450/17997237703_9ff97515c1_m.jpg"
"40575","580","Spear-head","","Herts Cty. Mus., St. Albans.,Ball Collection","Austria","Autriche","14.550072","47.516231","","None","None","None","118","blade 27; tang 7","","21.26","dull green","rough","blade 2.5; tang 2.2","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17997237703","https://farm1.staticflickr.com/450/17997237703_9ff97515c1_m.jpg"
"40575","652","Spear head","","Herts, Cty. Mus. St. Albans, , Ball Colln","Austria","Αυστρία","14.550072","47.516231","","None","None","None","118","blade 27   tang 7","","21.26","dull green","rough","blade 2.5   tabg 2.2","","","","","","","Maria Christakou","https://www.flickr.com/photos/115096994@N02/17997237703","https://farm1.staticflickr.com/450/17997237703_9ff97515c1_m.jpg"
