"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"63088","226","Bent-flanged Palstave","","Sotheby's Sale, 14.12.25, property of Mons. Feuardent","Ireland, Meath","Meath, Co. Meath, Ireland","53.60554800000001","-6.6564169000000675","","None","None","None","133","middle 28.5, butt 23.5","57","","traces of very dark green.  Cleaned, dark golden bronze shows","smooth, pitted","2.9, 11, 26.5","","","","","","panted on, Co. Meath, 14931, o.x.x","Elaine Dale","https://www.flickr.com/photos/115096994@N02/28231836486","https://farm9.staticflickr.com/8860/28231836486_241e4e511e_m.jpg"
"63088","580","Bent-flanged Palstave","","Sotheby's Sale,14. 12. 25,Lot 273,property of Mons. Fenardent.","Ireland,Meath","Comté de Meath, Co. Meath, Irlande","53.60554800000001","-6.6564169000000675","","None","None","None","133","edge 57; middle 28.5; butt 23.5","","","traces of very dark. Cleaned, dark golden bronze shows.","smooth, pitted","29; 11; 26.5","","","","","","painted on. Co Meath, 14931, O.X.X","Denis Antoine","https://www.flickr.com/photos/115096994@N02/28231836486","https://farm9.staticflickr.com/8860/28231836486_241e4e511e_m.jpg"
"63088","677","Bent Hanged Palstave","","Sotheby's Sale 14.12.25 Lot 273, , property of Mous Feuardent.","Ireland, Meath.","Meath, Co. Meath, Ireland",,,"Meath, Co. Meath, Ireland","None","None","None","133","edge 57 middle 28.5 butt 23.5","","","Traces of very dark green. Cleaned, dark golden bronze shows.","Smooth. pitted.","29. 11 26.5","The map is not working. Some information appears to be missing.","","","","","Painted on. Co Meath. 14931. O.X.X","Michael George Adams","https://www.flickr.com/photos/115096994@N02/28231836486","https://farm9.staticflickr.com/8860/28231836486_241e4e511e_m.jpg"
"63089","226","Bent-flanged Palstave","","Sotheby's Sale, 19.11.24, 612, Colln. of W. Knowles MRIA of Flixton Place, Ballymena","Ireland, Londonderry, Mana, label","Londonderry, UK","54.9966124","-7.308574799999974","","None","None","None","133.5","middle 32, butt 26.5","67","","some medium brown & light green.  Some has been removed showing golden bronze.","smooth","28.5, 10, 29.5","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/27650579183","https://farm8.staticflickr.com/7543/27650579183_4fbb9fa077_m.jpg"
"63089","580","Bent-flanged Palstave","","Sotheby's Sale, 19. 11. 24, 612,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Londonderry,Mana,Label","Derry, Londonderry, Royaume-Uni","54.9966124","-7.308574799999974","","None","None","None","133.5","edge 67; middle 32; butt 26.5","","","some medium brown & light green. Some has been removed showing golden bronze.","smooth","28.5; 10; 29.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650579183","https://farm8.staticflickr.com/7543/27650579183_4fbb9fa077_m.jpg"
"63089","677","Bent-Hanged Palstave","","Sotheby's Sale 19.11.24 612, , Colln. of W. I. Knowles MRIA, , of Flixton Place. Ballymena","Ireland, Londonderry, Mana. Label","Londonderry, UK","54.9966124","-7.308574799999974","Londonderry, UK","None","None","None","133.5","edge 67 middle 32 butt 26.5","","","Some medium brown & light green. Some has been removed showing golden bronze.","Smooth.","28.5 10 29.5","Some information appears to be missing.","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/27650579183","https://farm8.staticflickr.com/7543/27650579183_4fbb9fa077_m.jpg"
"63090","226","Bent-flanged Axe","","Private, Professor Sir Lucas White-King, CSI, LLD. FSA, late of Roebuck Hall, Co. Dublin, sold auction at Sotheby's, 9.11.21, Lot 133","Ireland, Co. Longford, Ballymahon","Ballymahon, Co. Longford, Ireland","53.5643632","-7.764596399999959","","None","None","None","179","butt 27","75.5","","traces of dark brown at the septum","smooth - dark bronze colour","septum at stop 12","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/27650468874","https://farm9.staticflickr.com/8873/27650468874_797682c825_m.jpg"
"63090","580","Ben-flanged Axe","","Private Collection,Professor Sir Lucas White-King, CSI; LLd, FSA, late of Roebuck Hall, Co Dublin.,Sold by Auction at Sotheby's 9. 11. 21. Lot 133","Ireland,Co Longford,Ballymena","Ballymena, Royaume-Uni","54.8652935","-6.280221299999994","","None","None","None","179","edge 75.5; butt 27","","","Traces of patina of dark brown on the septum.","smooth - dark bronze colour.","septum at stop 12","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650468874","https://farm9.staticflickr.com/8873/27650468874_797682c825_m.jpg"
"63090","677","Bent-Hanged Axe.","","Private collection, , Professor Sir Lueas White-King CSI. LLD. FSA., , late of Rocbuck Hall. Co Dublin., , Sold by auction at Sotheby's 9.11.21. Lot 133.","Ireland, Co Longford., Ballymahon.","Co Lonford, Ireland","54.9966124","-7.308574799999974","Co Longford, Ireland","None","None","None","179","edge 75.5 butt 27","","","Traces of patina of dark brown on the septrum.","Smooth - dark brown bronze colour.","Septrum at stop} 12","The map is not working. Some of the handwriting was difficult to decipher. I made my best possible judgement. Some information appears to be missing.","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/27650468874","https://farm9.staticflickr.com/8873/27650468874_797682c825_m.jpg"
"63091","226","Bent-flanged Axe","","Sotheby's Sale 14.12.25, Lot 273, property of Mons. Feuardent","Ireland, King's Co.","King's County, Ireland","53.5643632","-7.764596399999959","","None","None","None","141","middle 31.75, butt 28","55","","no","smooth, dirty golden bronze","24, 9.5, 35","","","","","","painted on, Hodder, Westropp, King's Co., 14965, L.X.X","Elaine Dale","https://www.flickr.com/photos/115096994@N02/27650579153","https://farm8.staticflickr.com/7409/27650579153_ebfdd2cd26_m.jpg"
"63091","580","Bent-flanged Axe","","Sotheby's Sale, 14. 12. 25, Lot 273,Property of Mons. Fenardent.","Ireland,King's Co.","Co. Offaly, Irlande","53.25451899999999","-7.633362499999976","","None","None","None","141","middle 31.75; butt 28","55","","no patina","smooth, dirty golden bronze.","34; 9.5; 35","","","","","","Painted on: Hadder, Westropp, Kings Co., 14965, L.X.X.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/27650579153","https://farm8.staticflickr.com/7409/27650579153_ebfdd2cd26_m.jpg"
"63091","677","Bent-Hanged Axe.","","Sotheby's Sale 14.12.25. Lot 273, , property of Maus. Fenardent.","Ireland, Kings Co.","Ireland","54.9966124","-7.308574799999974","Ireland","None","None","None","141","edge 55 middle 31.75. butt 28","","","No patina.","Smooth. Dirty golden bronze.","34 9.5 35","The map is not working. Some of the handwriting was difficult to decipher. I made my best possible judgement. Some information appears to be missing.","","","","","Painted on. Hodden. Westropp. Kings Co. 14965. L.X.X.","Michael George Adams","https://www.flickr.com/photos/115096994@N02/27650579153","https://farm8.staticflickr.com/7409/27650579153_ebfdd2cd26_m.jpg"
