"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"44304","580","Socketed Celt","B I 3","British Museum,15.72 WG.","Ireland,Co Antrim,Ballycastle","Ballycastle, District de Moyle, Royaume-Uni","55.2052888","-6.2532946999999695","","None","None","None","66","socket 33","52","141.75","black","smooth. Socket rim is notched. small hole on other side of specimen","socket 32","","","","A faint line round socket & below this it is octagonal.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20930098136","https://farm1.staticflickr.com/584/20930098136_5848152666_m.jpg"
"44304","677","Socketed Celt","BI3","British Museum 15.72 WG.","Ireland, Co Antrim, Bally castle","Ireland","53.41291","-8.243889999999964","Ireland","None","None","None","66.","edge 52. socket 33.","","141.75","black","smooth.","socket 32.","At times the handwriting was difficult to decipher. I made my best possible judgement. Also some information does appear to be missing.","A paint line round socket & below this it is octagand. socket rim is notched. small hole on the other side of specimen.","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20930098136","https://farm1.staticflickr.com/584/20930098136_5848152666_m.jpg"
"44304","1064","","BI3","British Museum 15.72 WG.","Ireland,[...], Ballycastle","ballycastle, Ireland",,,"","None","None","None","66","","52","141.75","","smooth","32","there is another measure called ""socket"" with the value of 33.","","","A point [...] round socket + [...] this is octogonal., sochet [...] is notched. Small hole on other side of specimen hack, ,","","","Aitziber Eizaguirre","https://www.flickr.com/photos/115096994@N02/20930098136","https://farm1.staticflickr.com/584/20930098136_5848152666_m.jpg"
"44305","433","Socketed Celt","BI3","British Museum, 90.11-13.2","Ireland,Antrim,Ballymoney,Ballyramare","Ballymoney, Ballymoney, Ballymoney BT53, UK","55.0704888","-6.517370799999981","","None","None","None","67","socket 38","65","135.15","Very slight patina greenish black.","Mostly rough","socket 30","","","","Octagonal. Small crack in top of socket at back. Edge blunt, points worn and squareish.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20930098056","https://farm1.staticflickr.com/776/20930098056_3282c8dba6_m.jpg"
"44305","580","Socketed Celt","B I 3","British Museum,90 11 13 2","Ireland,Antrim,Ballymoney,Ballyramare","Ballymoney, Ballymoney, Ballymoney BT53, Royaume-Uni","55.0704888","-6.517370799999981","","None","None","None","67","socket 38","65","135.15","very slt. patina greenish black.","mostly rough","socket 30","","","","Octagonal. Small crack in top of socket at back. Edge blunt. points worn & squareish.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20930098056","https://farm1.staticflickr.com/776/20930098056_3282c8dba6_m.jpg"
"44305","677","Socketed Celt.","BI3","British Museum 11 90. 13. 2., ,","Ireland, Antrim, Ballymoney, Ballyramaie.","Ireland","53.41291","-8.243889999999964","Ireland","None","None","None","67","edge 65 socket 38","","135.15","very slt. patina greenish black.","mostly rough","socket 30.","Some of the handwriting was difficult to decipher/ follow. I made my best possible judgement. Also some information appears to be missing.","Octaganal. Small crack in top of socket at back. Edge blunt. points worn & squareish.","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20930098056","https://farm1.staticflickr.com/776/20930098056_3282c8dba6_m.jpg"
"44306","433","Socketed Celt","BI3","Sotheby's Sale, 19.11.24,624,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Antrim,Clough,Clough Bog (1 mile from),in a bog,Label: Mr. Gordon, 1 mile from Clough Bog, ? in a bog.","Clough, Ballymena, Ballymena BT44, UK","54.96622","-6.289160000000038","","None","None","None","56","socket 27","45","","Greenish patch on reverse with small patch of dark brown on socket.","Light brown. Marked rather  like a lizard skin.","socket 20.5","","","","Hexagonal below socket.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20333766084","https://farm6.staticflickr.com/5824/20333766084_f0b87f8c56_m.jpg"
"44306","580","Socketed Celt","B I 3","Sotheby's Sale, 19. 11. 24. 624,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Antrim,Clough,Clough bog (1 mile from),in a bog,Label ""Mr. Gordon,1 mile from Clough Bog,? in a bog""","Clough, Ballymena, Ballymena BT44, Royaume-Uni","54.96622","-6.289160000000038","","None","None","None","56","socket 27","45","","greenish patch on reverse with small patch of dark brown on socket.","light brown. Marked rather like a lizard skin.","socket 20.5","","","","Hexagonal below socket.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20333766084","https://farm6.staticflickr.com/5824/20333766084_f0b87f8c56_m.jpg"
"44306","677","Socketed Celt.","BI3","Sotheby's Sale 19.11.24 624., , Colln. of W.I Knowles MRIA., , of Flixton Place. Bally mena.","Ireland, Antrim, Clough, Clough Bog (1 mile from), in a bog., Label, Mr. Gorden, 1 mile from Clough Bog., ? in a bag","Ireland",,,"Ireland","None","None","None","56","edge 45 socket 27.","","","greenish patch on reverse with small patch of dark brown on socket","light brown. Marked rather like a lizard skin.","socket 20.5","There does appear to be some information missing.","Hexaganal below socket.","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20333766084","https://farm6.staticflickr.com/5824/20333766084_f0b87f8c56_m.jpg"
"44307","433","Socketed Celt","BI3","Museum of Archaeology & Ethnology, Cambridge,Read Gift 1285","Ireland,Co. Antrim","Antrim, Antrim, UK","54.7195338","-6.2072498","","None","None","None","72","socket 29.5","56.5","106.31","Dull brown matt","Smooth","socket 23","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20333765964","https://farm6.staticflickr.com/5807/20333765964_147fdbdeac_m.jpg"
"44307","580","Socketed Celt","B I 3","Museum of Archaeology & Ethnology, Cambridge,Read Gift,1285.","Ireland,Co Antrim","Antrim, Royaume-Uni","54.666248","-6.286465899999939","","None","None","None","72","socket 29.5","56.5","106.31","dull brown. matt.","smooth","socket 23","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20333765964","https://farm6.staticflickr.com/5807/20333765964_147fdbdeac_m.jpg"
"44307","677","Socketed Celt","BI3.","Museum of Archaeology & Ethnology, , Cambridge, , Read Gift 1285.","Ireland, Co Antrim","Ireland","53.41291","-8.243889999999964","Ireland","None","None","None","72","edge 56.5 socket 29.5","","106.31","dull brown. matt.","smooth","socket 23.","There does appear to be some information missing.","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20333765964","https://farm6.staticflickr.com/5807/20333765964_147fdbdeac_m.jpg"
"44308","433","Socketed Celt","BII1","Sotheby's Sale, 19.11.24,619,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Antrim,Ballymoney (near),Between Ratharken + Ballymoney,Craig's","Ballymoney, Ballymoney, Ballymoney BT53, UK","55.0704888","-6.517370799999981","","None","None","None","102","socket 52","79","","A few small patches of very dark brown.","Dull bronze, very finely pitted.","socket 47","","","","Points slightly worn.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/20946559842","https://farm6.staticflickr.com/5753/20946559842_d90b181900_m.jpg"
"44308","580","Socketed Celt","B II 1","Sotheby's Sale, 19. 11. 24. 619,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Ballymoney (near),between Ratharken & Ballymoney,Craig's","Ballymoney, Ballymoney, Ballymoney BT53, Royaume-Uni","55.0704888","-6.517370799999981","","None","None","None","102","socket 52","79","","a few small patches of very dark brown.","dull bronze. very finely pitted.","socket 47","","","","Points slightly worn.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20946559842","https://farm6.staticflickr.com/5753/20946559842_d90b181900_m.jpg"
