"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"38321","433","Dagger","I","Sotheby's Sale, 19.11.24; 652,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Antrim,Label: Belfast (near); Tully, Near Portelemon","Belfast, Belfast, UK","54.59728500000001","-5.930119999999988","","None","None","None","68.5","blade 17; tang 18.5","","","Dull patina dark greeny brown.","Smooth","blade 2.5","","","","Sharp edges, slightly jagged.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17359186945","https://farm9.staticflickr.com/8842/17359186945_dee1b2fe4b_m.jpg"
"38321","580","Dagger","I","Sotheby's Sale, 19. 11. 24. 652.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Label: ""Belfast (near),Tully, near Portelemon""","Tully, Enniskillen, Fermanagh BT93, Royaume-Uni","54.440224","-7.809483999999998","","None","None","None","68.5","blade17; tang 18.5","","","dull patina dark greeny brown.","smooth","blade 2.5","","","","Sharp edges, slightly jagged.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17359186945","https://farm9.staticflickr.com/8842/17359186945_dee1b2fe4b_m.jpg"
"38321","677","Dagger.","I","Sotheby's Sale 19.11.24. 652., , Colln. of W. ]. Knowles. .MRIA., , of Flixton Place. Ballymena.","Ireland., Belfast (near)., Tully. Near Postelman } label","Belfast, Belfast, UK","54.59728500000001","-5.930119999999988","Belfast, Belfast, UK","None","None","None","68.5","blade 17. tang 18.5","","","dark greeny brown.","Smooth dull","blade 2.5","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","Sharp edges. slightly jagged.","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/17359186945","https://farm9.staticflickr.com/8842/17359186945_dee1b2fe4b_m.jpg"
"38322","433","Rivetted Dagger","II","Sotheby's Sale, 19.11.24; 690,Collection of W. J. Knowles MRIA,of Flixton Place, Ballymena","Ireland,Antrim,Loughguile,1870","Loughguile, Ballymena, Ballymoney BT44, UK","55.0619265","-6.30543119999993","","None","None","1870","79.5","blade 25; hilt plate 39.5","","","Mostly polished patina light green - stained.","Smooth. Traces of encrustment","blade 2","","","Found inside an urn (earthen) with bones.","2 rivets 9 to 9.5mm long. Sharp edges slightly broken. Traces of hafting between rivets.","Illustrated in Abercromby's Bronze Age Pottery, Vol. II, p. 163, fig. 47","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17359180455","https://farm9.staticflickr.com/8762/17359180455_07871ebf99_m.jpg"
"38322","580","Rivetted Dagger","II","Sotheby's Sale, 19. 11. 24. 690.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Antrim,Loughguile,1870","Loughguile, Ballymena, Ballymoney BT44, Royaume-Uni","55.0619265","-6.30543119999993","","None","None","1870","79.5","blade 25; hilt plate 39.5","","","mostly polished patina, light green. stained.","smooth. traces of slight encrustement.","blade 2","","","found inside an urn (earthen) with bones.","2 rivets, 9 to 9.5 long. Sharp edges slightly broken. Traces of hafting between rivets.","Illusd. in Abercromby's Bronze Age Pottery, Vol. II, p. 163, fig. 47.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17359180455","https://farm9.staticflickr.com/8762/17359180455_07871ebf99_m.jpg"
"38322","677","Rivetted. Dagger","II","Sotheby's Sale 19.11.24. 690., , Colln. of W. I. Knowles MRIA., , of Flixton Place. Ballymena","Ireland., Autriun, Liughguile, 1870","Ireland","53.41291","-8.243889999999965","Ireland","None","None","1870","79.5","blade 25 hilt plate 39.5","","","light green - stained.","smooth. traces of slight enerustiment. mostly polished","blade 2.","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","2 rivets - 9. to 9.5 long. Sharp edges slightly broken. Traces of hafting between rivets.","found inside an win (earthen) with bones.","","Illis.d. in Abereromby's Bronze Age Pottery, Vol II, p163. fig 47.","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/17359180455","https://farm9.staticflickr.com/8762/17359180455_07871ebf99_m.jpg"
"38323","433","Rivetted Dagger","Var.","Sotheby's Sale, 19.11.24; 652,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Label: Co. Antrim; Bushmills (near),1899","Bushmills, Bushmills, Moyle BT57, UK","55.20506","-6.52346","","None","None","1899","96","blade 49; 63","","","","Smooth, cleaned and polished golden bronze. Tiny pittings all over.","blade 2.5","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17172966329","https://farm9.staticflickr.com/8859/17172966329_7f9634abd9_m.jpg"
"38323","580","Rivetted Dagger","Var.","Sotheby's Sale, 19. 11. 24. 652.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,label: ""Co Antrim,Bushmills near.,1899""","Bushmills, Bushmills, District de Moyle BT57, Royaume-Uni","55.20506","-6.52346","","None","None","1899","96","blade 49; 63","","","no patina","smooth. Cleaned & polished golden bronze. Tiny pittings all over.","blade 2.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17172966329","https://farm9.staticflickr.com/8859/17172966329_7f9634abd9_m.jpg"
"38323","727","Riveted Dagger","Var","Sotheby’s Sale 19.11.24,  652, Coll’n of W.J. Knowles MRIA of Flixton Place, Ballymena","Ireland, Co Antrim, Bushmills near., 1899 (Label)","Bushmills, Bushmills, Moyle BT57, UK","55.20506","-6.52346","-","None","None","None","96","49.63","-","-","no patina","smooth, cleaned + polished golden bronze.  Tiny pittings all over","2.5","-","-","-","-","-","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17172966329","https://farm9.staticflickr.com/8859/17172966329_7f9634abd9_m.jpg"
"38324","433","Dagger","Var.","Sotheby's Sale, 19.11.24,648,Collection of W. J. Knowles, MRIA of Flixton Place, Ballymena","Ireland,Co. Antrim,Label: Carnstrone, In peat bank","Antrim, Antrim, Antrim BT41, UK","54.7195338","-6.2072498","","None","None","None","83","blade 19.5; hilt plate 29","","","Medium green - over golden bronze","Smooth and curiously grained like a piece of leather cloth.","blade 3","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17171375478","https://farm8.staticflickr.com/7725/17171375478_ce2b5bf626_m.jpg"
