"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"38352","433","Rapier (2-holed elongated ogival blade)","B","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by aution at Sotheby's 9.11.21, Lot 145","Ireland,Co. Westmeath","Westmeath, Co. Westmeath, Ireland","53.5345308","-7.465321700000004","","None","None","None","341","35; 39","","","No patina.","Smooth. Brown and golden bronze colour with dark stains.","1; 1 3/4; 7; 7.5","","","","Decorate with incised lines. 2 Rivet holes. Sharp edges. Bevelled edges.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17370689895","https://farm8.staticflickr.com/7759/17370689895_be9a9a4712_m.jpg"
"38352","580","Rapier (2-holes) (elongated ogival blade)","B","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,late of Roebuck Hall, Co Dublin.,Sold by Auction at Sotheby's. 9. 11. 21. Lot 145.","Ireland,Co Westmeath","Comté de Westmeath, Co. Westmeath, Irlande","53.5345308","-7.465321700000004","","None","None","None","341","35; 39","","","no patina","smooth, brown & golden bronze colour with dark stains.","1.75; 7; 7.5","","","","Decorated with incised lines. 2 Rivet holes. Sharp edges. Bevelled edges.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17370689895","https://farm8.staticflickr.com/7759/17370689895_be9a9a4712_m.jpg"
"38352","677","Rapier (2-bilnd) (elongator ogival blade)","B","Private Collection, , Professor Sir Lucas White - King, CSI. LLD. FSA. late of Rocbuale Hall. Co Dublin. Sold by Auction at Sotheby's 9.11.21. Lot 145.","Ireland., Co Westmeath.","Westmeath, Co. Westmeath, Ireland","53.5345308","-7.465321700000004","Westmeath, Co. Westmeath, Ireland","None","None","None","341","35 39","","","No Patina","smooth, brown & golden bronze colour with dark stains.","1 1 3/4 7 7.5","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","Decorated with incised lines. 2 Rivet holes. Sharp edges. Bevelled edges.","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/17370689895","https://farm8.staticflickr.com/7759/17370689895_be9a9a4712_m.jpg"
"38353","433","Dirk","B","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by auction at Sotheby's, 9.11.21, Lot 146","Ireland,Co. Westmeath","Westmeath, Co. Westmeath, Ireland","53.5345308","-7.465321700000004","","None","None","None","294","hilt plate 58","","","No patina.","Smooth. Golden bronze colour. Much cleaned. Dark stains round hilt plate.","3.5; 4.5","","","","In good condition - sharp edges. 2 Rivet holes.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17163233297","https://farm9.staticflickr.com/8830/17163233297_674fcb0eac_m.jpg"
"38353","580","Dirk","B","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,late of Roebuck Hall, Co Dublin.,Sold by Auction at Sotheby's. 9. 11. 21. Lot 146.","Ireland,Co Westmeath","Comté de Westmeath, Co. Westmeath, Irlande","53.5345308","-7.465321700000004","","None","None","None","294","hilt plate 58","","","no patina","smooth. golden bronze colour. Much cleaned. Dark stains round hilt plate.","3.5; 4.5","","","","In good condition. sharp edges. 2 rivet holes.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17163233297","https://farm9.staticflickr.com/8830/17163233297_674fcb0eac_m.jpg"
"38353","677","Dirk","B","Private Collection, , Professor Sir Lucas White-King CSI. LLD. FSA., , late of Rocbucle Hall. Co Dublin. , , Sold by Auction at Sotheby's 9.11.24., , Lot 146.","Ireland, Co Westmeath","Westmeath, Co. Westmeath, Ireland","53.5345308","-7.465321700000004","Westmeath, Co. Westmeath, Ireland","None","None","None","294","hilt plate 58","","","no Patina","smooth.golden bronze colour. Much cleaned. Dark stain round hilt plate.","3.5, 4.5","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","In good condition - sharp edges. 2 Rivet holes.","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/17163233297","https://farm9.staticflickr.com/8830/17163233297_674fcb0eac_m.jpg"
"38354","433","Dirk","B","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,Late of Roebuck Hall, Co. Dublin,Sold by auction at Sotheby's, 9.11.21, Lot 147","Ireland,Co. Westmeath","Westmeath, Co. Westmeath, Ireland","53.5345308","-7.465321700000004","","None","None","None","204","52 (widest)","","","No patina","Smooth. Dark and golden polished bronze. Small pittings all over.","8","","","","Sharp edges. The thickest part of this blade is at section.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17163241197","https://farm8.staticflickr.com/7756/17163241197_910d2c3be6_m.jpg"
"38354","580","Dirk","B","Private Collection,Professor Sir Lucas White-King, CSI, LLD, FSA,late of Roebuck Hall, Co Dublin.,Sold by Auction at Sotheby's. 9. 11. 21. Lot 147.","Ireland,Co Westmeath.","Comté de Westmeath, Co. Westmeath, Irlande","53.5345308","-7.465321700000004","","None","None","None","204","52 (widest)","","","no patina","smooth. dark & golden polished bronze. Small pittings all over.","8","","","","Sharp edges. The thickest part of this blade is at section.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17163241197","https://farm8.staticflickr.com/7756/17163241197_910d2c3be6_m.jpg"
"38354","727","Dirk","B","Private Collection.  Professor Sir Lucas White-King C51 LLD. FSA, late of Roebuck Hall. Co. Dublin, Sold by auction at Sothby’s. 9.11.21, Lot 147.","Ireland, Co. Westmeath","Westmeath, Co. Westmeath, Ireland","53.5345308","-7.465321700000004","-","None","None","None","204","52","-","-","No","Smooth.  Dark + golden polished bronze. Small pittings all over.","8","-","-","-","Width is described as ""widest"", , sharp edges.  The thickest part of this blade is at section.","-","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17163241197","https://farm8.staticflickr.com/7756/17163241197_910d2c3be6_m.jpg"
"38355","433","Rapier Blade Frag.","","Salisbury, S. Wilts, and Blackmore Museum, 389 Brackstone Collection","Ireland,Waterford,Lismore","Lismore, Co. Waterford, Ireland","52.13581840000001","-7.937680300000011","","None","None","None","506","8; 21","","178.75","Black in places, the remainder, bronze.","","5","","","","","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/17368759092","https://farm8.staticflickr.com/7677/17368759092_d15c026f61_m.jpg"
