"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"44059","677","Palstave looped.","IiN","Sotheby's Sale. 19.11.24 616., , label Glenny Colln, , Colln of W.I. Knowles M.R.I.A., , of Flixton Place. Ballymena","Ireland, Co Antrim, Larne (near), Glance","Larne, Larne, UK (near)","54.8578003","-5.8236223999999765","Larne, Larne, UK (near)","None","None","None","117","edge 50 middle 27 butt 28.5","","","dark green mottled blackish.","smooth","28.6","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20355374381","https://farm1.staticflickr.com/453/20355374381_b0fea01df4_m.jpg"
"44059","1056","Palstave","I1N","...","...","",,,"...","None","None","None","117","","50","","dark green...","smooth","28.6","","","","","","","Liu Wenjie","https://www.flickr.com/photos/115096994@N02/20355374381","https://farm1.staticflickr.com/453/20355374381_b0fea01df4_m.jpg"
"44059",,"Palstave looped","IiN","Sotheby's Sale 19.11.24 616, label Glenny Collection, Collection of W.J. Knowles M.R.I.A., of Flixton Place.  Ballymena","Ireland, Co. Antrim, Larne (near), Glenoe","Glenoe",,,"","None","None","None","117","edge 50, middle 27, butt 28.5","","","dark green mottled blackish","Smooth","28.6","","","","","","","Anon.","https://www.flickr.com/photos/115096994@N02/20355374381","https://farm1.staticflickr.com/453/20355374381_b0fea01df4_m.jpg"
"44060","543","Looped Palstave","I2N","Private,Professor Sir Lucas White-King C.S.I. LLD. FSA,late of Roebuck Hall, Co Dublin.,Sold by auction at Sotheby's 9.11.21; Lot 134","Ireland,Co. Antrim","Irish Tourist Office, 53 Castle Street, Belfast, Belfast, County Antrim BT1 1GH, UK","54.59927740000001","-5.932590600000026","","None","None","None","137","Butt 33.5","61.5","","remains of light green patina on septum & traces on the blade.","a little rough from casting. Golden bronze colour.","40,9","Site is very impecise","","","Loop is broken and very thin","","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/20340805052","https://farm1.staticflickr.com/295/20340805052_53f6d7cb3f_m.jpg"
"44060","677","looped Palstave.","I2N","Private Collection, , Professor Sir Lucas White-King CSI.LLD.FSA, , late of Rocbuck Hall. Co Dublin., , Sold by Auction at Sotheby's 9.11.21., , Lot 134.","Ireland., Co Antrim.","Ireland","53.41291","-8.243889999999964","Ireland","None","None","None","137","edge 61.5 butt 33.5","","","remains of light green patina on septuin & traces on the blade.","a little rough from casting. Golden bronze colour.","40 9","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","Loop is broken & very thin.","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20340805052","https://farm1.staticflickr.com/295/20340805052_53f6d7cb3f_m.jpg"
"44060","817","Looped,Palstavc.","I2N","","Ireland.,Co Antrim.","Antrim, Antrim, UK","54.7195338","-6.2072498","","None","None","None","137","33.5","61.5","","remains of light green [atina on septum & traces on the blade.","a little rough from casting. Golden bronze colour.","40","Width shows ""edge 61.5mm  butt 33.5mm"". Thickness shows ""40mm  9mm"".","","","Loop is broken & very thin.","Private,Professor Sir Lucas White-King CSI. LLD. FSA.,Late of Roebuck Hall. Co Dublin.,Sold by Auction at Sotheby's 9.11.21.,Lot 134.","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20340805052","https://farm1.staticflickr.com/295/20340805052_53f6d7cb3f_m.jpg"
"44061","543","Palstave Looped","III1J","Herts County Museum, St. Albans,lent by Capt. J.W. Ball RAF,55","Ireland,Co. Antrim,Belfast,Cave Hill","cave Hill country park","54.59927740000001","-5.932590600000026","","None","None","None","143","Butt 24","40.5","396.88","thick, dark green, much chipped, lighter green shows beneath","fairly smooth. pocked.","25,10,25.25,31","Thickness says ""25 1/4"". I have transcribed it as ""25.25"". There is one further measurement on the diagram: ""13"".","","","","","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/20162642839","https://farm1.staticflickr.com/533/20162642839_160a4b571e_m.jpg"
"44061","677","Palstave looped","IIIiJ","Herts County Museum. St Albans, , lent by Capt I.W. Ball RAF 55.","Ireland, Co Antrim, Belfast, Cave Hilt.","Belfast, Belfast, UK","54.59728500000001","-5.930119999999988","Belfast, Belfast, UK","None","None","None","143","edge 40.5 butt 24","","396.88","dark green. much chipped. lighter green shows beneath.","fairly smooth. pocked. thick","25. 10. 25 1/4. 31.","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20162642839","https://farm1.staticflickr.com/533/20162642839_160a4b571e_m.jpg"
"44061","817","Palstave Looped","III1J","Herts County Museum.,St. Albans,lent by Capt. J.W. Ball RAF","Ireland,Co Antrim,Belfast,Cave Hill.","Belfast, Belfast, UK","54.59728500000001","-5.930119999999988","","None","None","None","143","24","40.5","396.88","thick dark green, much chipped, lighter green shows beneath.","fairly smooth.,pocked.","25","Width shows ""edge 40.5  butt 24"". Thickness shows 25. 10. 25¼. 31.""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20162642839","https://farm1.staticflickr.com/533/20162642839_160a4b571e_m.jpg"
"44062","543","Palstave Looped","IV3P","Sotheby's Sale 19.11.24,615,Coll'n. of W.J. Knowles MRIA, of Hixton Place, Ballymena","Ireland,Antrim,Carrickfergus (near),L. Mourne,in a Crannog,Label: Mr. McAllister fd. in a Crannog at L. Mourne 25 feet [7.6m] down","St Nicholas' Church of Ireland Church, 3 Market Place, Carrickfergus, County Antrim BT38 7AW, UK","54.71500289999999","-5.808473800000002","","None","None","None","143","middle 26,butt21","37.5","","medium olive green partly cleaned & golden bronze shows","smooth","19,9.5,34.5,12.25","","","","","","","Jane Fellows","https://www.flickr.com/photos/115096994@N02/20323034016","https://farm1.staticflickr.com/322/20323034016_de68afcc00_m.jpg"
