"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"44207","580","Palstave","Fragment","Sotherby's Sale, 19. 11 .24. 666.,Collection of W.J. Knowles, MRIA, of Flixton Place, Ballymena.","Ireland,Antrim,Toome","Toome, Antrim, Antrim BT41, Royaume-Uni","-6.461310000000026","54.754","","None","None","None","97","butt 30","47","","medium green, thin. over the golden bronze.","Smooth. The edge is polished golden bronze.","22","","","","The septum has been cut & hacked out. The end of butt has been cut or filed.","","Fragment","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20842456336","https://farm1.staticflickr.com/625/20842456336_8cdff345be_m.jpg"
"44207","677","Palstave","Fragment","Sotheby's Sale 19.11.24 666., , Colln. of W. I. Knowles MRIA, , of Flixton Place. Ballymena.","Ireland, Antrim, Toome","Ireland","-8.243889999999964","53.41291","Ireland","None","None","None","97","edge 47. butt 30.","","","medium green, thin. - over the golden bronze.","smooth. The edge is polished golden bronze.","22","There does appear to be some information missing.","The septurn has been cut & hacked out. The End of Butt has been cut or filed.","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20842456336","https://farm1.staticflickr.com/625/20842456336_8cdff345be_m.jpg"
"44207","817","Palstave","Fragment","Sotheby’s Sale,19.11.24,666.,Colln. of W.J. Knowles MRIA.,of Flixton Place.,Ballymena.","Ireland,Antrim,Toome","Toome, Antrim, Antrim BT41, UK","-6.461310000000026","54.754","","None","None","None","97","30","47","","medium green, thin. -- over the golden bronze.","Smooth. The edge is polished golden bronze.","22","Width shows ""edge 47.  butt 30.""","","","The septum has been cut & hacked out.,The End of Butt has been but or filed.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20842456336","https://farm1.staticflickr.com/625/20842456336_8cdff345be_m.jpg"
"44208","580","Palstave","I 5 A","Taunton Castle Museum,Lord Avebury Collection,presented 1916.","Ireland,Co Antrim,Belfast,1859","Belfast, Belfast, Royaume-Uni","-5.930119999999988","54.59728500000001","","None","None","1859","121","middle 35; butt 34","49","437","","","7; 35","","","","Butt is damaged. part missing","Proc. Som. A & N. H. S. Vol. LXII, p. lxiii","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20680675640","https://farm6.staticflickr.com/5630/20680675640_6a79bcb3ed_m.jpg"
"44208","677","Palstave","I5A","Taunton Castle Museum., , Lord Avebury Colln., , presd. 1916.","Ireland., Co Antrim, Belfast., 1859.","Belfast, Belfast, UK","-5.930119999999988","54.59728500000001","Belfast, Belfast, UK","None","None","1859","121.","edge 49. middle 35 butt 34.","","437","","","7, 35","There does appear to be some information missing.","Butt is damaged - part missing","","","Proc. Som. A & N. Id. S. Vol LXII. p. Ixiii","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20680675640","https://farm6.staticflickr.com/5630/20680675640_6a79bcb3ed_m.jpg"
"44208","817","Palstave","I5A","Taunton Castle Museum.,Lord Avebury Colln.,presd. 1916.","Ireland.,Co Antrim,Belfast.","Belfast, Belfast, UK","-5.930119999999988","54.59728500000001","","None","None","1859","121","35","49","437","","","35","Width shows ""edge 49.  middle 35  butt 34."" Thickens shows ""7, 35"".","","","Butt is damaged -- part missing","Proc. [...] A & N. H.S. Vol LXII. p.lxiii","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20680675640","https://farm6.staticflickr.com/5630/20680675640_6a79bcb3ed_m.jpg"
"44209","226","Palstave","I5A","Sotheby's Sale 19-11.24, 613, Colln. of W. J. Knowles MRIA, of Flixton Place, Ballymena","Ireland,Antrim, Lishburn (near)","Lisburn, Lisburn, Lisburn, UK","-6.058010599999989","54.516246","","None","None","None","154","middle 35, butt 29, 25","61","","dark green with lighter spots & patches, bronze showing on reverse","smooth","40, 7, 38","","","","Edge & wings are chipped.  Wings are notched.","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/20875947751","https://farm1.staticflickr.com/736/20875947751_87f14960df_m.jpg"
"44209","580","Palstave","I 5 A","Sotheby's Sale, 19. 11. 24.,613,Collection of W.J. Knowles, MRIA., of Flixton Place, Ballymena.","Ireland,Antrim,Lisburn (near)","Lisburn, Lisburn, Lisburn, Royaume-Uni","-6.058010599999989","54.516246","","None","None","None","154","middle 35,butt 29; 25","40; 7; 38","","dark green, with lighter spots & patches, bronze shows on reverse.","smooth","","","","","Edge & wings are chipped. Wings are notched.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20875947751","https://farm1.staticflickr.com/736/20875947751_87f14960df_m.jpg"
"44209","677","Palstave","I5A","Sotheby's Sale. 19.11.24. 613, , Colln. of W.I. Knowles MRIA, , of Flixton Place. Ballymana.","Ireland, Antrim, Lisburn (near).","Ireland","-8.243889999999964","53.41291","Ireland","None","None","None","154","edge 61 middle 35 butt 29. 25","","","dark green. with lighter spots & patches, bronze shows on reverse.","smooth","40 7 38.","There does appear to be some information missing.","Edge & wings are chipped. Wings are notched.","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20875947751","https://farm1.staticflickr.com/736/20875947751_87f14960df_m.jpg"
"44209","817","Palstave","I5A","Sotheby’s Sale,19.11.24,613,Colln. of W.J. Knowles MRIA.,of Flixton Place.,Ballymena","Ireland,Antrim.,Lisburn (near).","Lisburn, Lisburn, Lisburn, UK","-6.058010599999989","54.516246","","None","None","None","154","35","61","","dark green, with lighter spots & patches, bronze shows on reverse.","Smooth","40","Width shows ""edge 61  middle 35  butt 29.  25"". Thickness shows ""40.  7  38.""","","","Edges &wings are chipped. Wings are notched.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20875947751","https://farm1.staticflickr.com/736/20875947751_87f14960df_m.jpg"
"44210","226","Palstve","I5H","Herts. County Museum, St. Albans, lent by Capt. J.H. Ball RAF, 39","Ireland, Co. Antrim, Antrim","Antrim, Antrim, UK","-6.2072498","54.7195338","","None","None","None","131","middle 35, butt 28","56","513.84","no patina, much cleaned","smooth, dark & golden bronze","40, 8, 39.5","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/20875947551","https://farm6.staticflickr.com/5662/20875947551_6e89ccab0c_m.jpg"
"44210","580","Palstave","I 5 H","Herts County Museum, St. Albans,39,lent by Capt. J.H. Ball, RAF.","Ireland,Co Antrim,Antrim","Antrim, Antrim, Royaume-Uni","-6.2072498","54.7195338","","None","None","None","131","middle 35; butt 28","56","513.84","no patina, much cleaned.","smooth. dark & golden bronze.","40; 8; 39.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20875947551","https://farm6.staticflickr.com/5662/20875947551_6e89ccab0c_m.jpg"
"44210","677","Palstave","I5H","Herts County Museum St.Albans., , lent by Capt I. H. Ball. RAF 39","Ireland, Co Antrim, Antrim","Ireland","-8.243889999999964","53.41291","Ireland","None","None","None","131","edge 56 middle 35 butt 28","","513.84","no patina, much cleaned.","smooth. dark & golden bronze.","40. 8. 39.5","There does appear to be some information missing.","","","","","A raised centre , , other side only., , Raised each side","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20875947551","https://farm6.staticflickr.com/5662/20875947551_6e89ccab0c_m.jpg"
"44211","580","Palstave","III 1 I","Peabody Museum, Harvard University, Cambridge, Mass.,48364,Received 1890,Presented by F.W. Putnam.","Ireland,Armagh","Armagh, Armagh, Armagh, Royaume-Uni","-6.652791999999977","54.3502798","","None","None","None","137","middle 22; butt 16","50","","slight patina, dark.","","22; 10 (approx)","","","","Roughly cast.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20246131124","https://farm1.staticflickr.com/590/20246131124_4486f765dd_m.jpg"
"44211","677","Palstave","III. I. I.","Pealody Museum 48364 , , Harvard University, , Cambridge. Mass., , Received 1890, , Presd. by F.W. Putuaur.","Ireland, Armagh","Ireland","-8.243889999999964","53.41291","Ireland","None","None","None","137","edge 50 middle 22 butt 16.","","","slight patina - dark.","","22 10 (approx)","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","Roughly cast","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20246131124","https://farm1.staticflickr.com/590/20246131124_4486f765dd_m.jpg"
"44211","817","Palstave","III1.I","Peabody Museum,48364,Harvard University,Cambridge Mass.,Received 1890,Presd. by F.W. Putnam.","Ireland,Armagh","Armagh, Armagh, Armagh, UK","-6.652791999999977","54.3502798","","None","None","None","137","22","50","","slight patina -- dark.","","22","Width shows ""edge 50  middle 22  butt 16."" Thickness shows ""22  10....(approx).""","","","Roughly cast.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20246131124","https://farm1.staticflickr.com/590/20246131124_4486f765dd_m.jpg"
"44212","580","Double Lopped Palstave","II 3 C (?)","Ashmolean Mus., Oxford,Evans Collection 1927-1795,ex Hys Collection","Ireland,Cork,Ballincollig, 1854","Ballincollig, Co. Cork, Irlande","-8.594904100000008","51.888026","","None","None","1854","165","42 across loops","44","475.9","","","30 at stop","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20868734855","https://farm1.staticflickr.com/595/20868734855_e2377b62a0_m.jpg"
"44212","677","Palstave - Double looped","IT3C","Oxford, , Ashmolean Mus:, , Evan Colln. 1927 - 2795, , ex Hyo Cown.","Ireland, Cork, Ballincolly, 1854.","Ballincolly, Cork, Ireland","-8.464024600000016","51.9244646","Ballincolly, Cork, Ireland","None","None","1854","165","44 at edge 42 accross loops","","475.9","","","30 at stip.","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/20868734855","https://farm1.staticflickr.com/595/20868734855_e2377b62a0_m.jpg"
"44212","817","Double Looped,Palstave","","Oxford,Ashmolean Museum,Evans Colln. 1927-2795,ex Hugo Colln.","Ireland,Cork,Ballincollig","Ballincollig, Co. Cork, Ireland","-8.594904100000008","51.888026","","None","None","1854","165","42","44","675.9","","","30","Width shows ""44mm at edge  42mm across loops"". Thickness shows ""30mm at stop.""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20868734855","https://farm1.staticflickr.com/595/20868734855_e2377b62a0_m.jpg"
"44213","226","Palstave Frag","IV-C","Plymouth Municipal Museum, 625, Given by Rev. S. Baring Gould, formerly in the possession of Mr. R. Westrop, Ravenswood, Co. Cork","Ireland, Cork","Cork, Ireland","-8.486315699999977","51.8968917","","None","None","None","115","butt 38","39","165","","","29,","","","","Dirty dull copper colour","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/20680675180","https://farm6.staticflickr.com/5778/20680675180_d08b1c34a6_m.jpg"
"44213","580","Palstave","Frag. IV-C","Plymouth Municipal Museum,625,Given by Rev. S. Baring Gould.,Formerly in the possession of Mr. R. Westrop, Ravenswood, Co. Cork.","Ireland,Cork","Cork, Irlande","-8.486315699999977","51.8968917","","None","None","None","115","butt 38","39","165","","Dirty dull copper colour.","29; 3","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20680675180","https://farm6.staticflickr.com/5778/20680675180_d08b1c34a6_m.jpg"
"44213","817","Palstave.","Frag IV-C","Plymouth Municipal Museum.,625.,Given by Rev. S. Baring Gould.,Formerly in the possession of,Mr. R. Westrop, Ravenswood, Co. Cork.","Ireland,Cork","Co. Cork, Ireland","-8.764363099999969","51.9884699","","None","None","None","115","38","39","165","","","29","Width shows ""(butt) 38mm, (edge) 39mm"". Thickness shows ""29mm, 3mm"".","","","Dirty dull copper colour.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20680675180","https://farm6.staticflickr.com/5778/20680675180_d08b1c34a6_m.jpg"
"44214","226","Palstave","I5A","Sunderland Museum","Ireland, Co. Cork","Co. Cork, Ireland","-8.764363099999969","51.9884699","","None","None","None","112","","64","244.5","very dull green","smooth","","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/20247719323","https://farm6.staticflickr.com/5836/20247719323_4f6cd1476b_m.jpg"
"44214","580","Palstave","I 5 A","Sunderland Museum","Ireland,Co Cork","Co. Cork, Irlande","-8.764363099999969","51.9884699","","None","None","None","112","","44","244.5","very dark green","smooth","","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/20247719323","https://farm6.staticflickr.com/5836/20247719323_4f6cd1476b_m.jpg"
"44214","817","Palstave","I5A","Sunderland Museum","Ireland,Co. Cork.","Co. Cork, Ireland","-8.764363099999969","51.9884699","","None","None","None","112","","44","244.5","very dark green","Smooth.","","","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/20247719323","https://farm6.staticflickr.com/5836/20247719323_4f6cd1476b_m.jpg"
