"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"38668","580","Leaf shaped Sword","Frag.","1923,Sir William Ridgeway Collection, Cambridge. Museum of Archaeology and Ethnology","Ireland,Co Antrim,Belfast","Belfast, Belfast, Royaume-Uni","-5.930119999999988","54.59728500000001","","None","None","None","341.5","blade 38.5; 30","","297.67","black.","smooth","blade 8","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17493564860","https://farm6.staticflickr.com/5457/17493564860_b70d2f92db_m.jpg"
"38668","727","Leaf Shaped Sword","Frag","Museum of Archaeology Ethnology, Cambridge, 1927, Sir William Ridgeway Collection","Ireland, Co Antrim, Belfast","Belfast, Belfast, UK","-5.930119999999988","54.59728500000001","-","None","None","None","341.5","38.5, 30","-","297.67","black","smooth","8","-","-","-","Width and Thickness both described as blade.","-","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17493564860","https://farm6.staticflickr.com/5457/17493564860_b70d2f92db_m.jpg"
"38668","817","Leaf Shaped Sword","Frag","1927,Sir William Ridgeway Coll,Cambridge. Museum of Archaeology & Ethnology.","Ireland,Co Antrim,Belfast","Belfast, Belfast, UK","-5.930119999999988","54.59728500000001","","None","None","None","341.5","38.5","","297.67","black.","smooth","8","Width shows ""blade 38.5  30.""","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17493564860","https://farm6.staticflickr.com/5457/17493564860_b70d2f92db_m.jpg"
"38669","580","Leaf shaped Sword","Frag.","Sir William Ridgeway Collection.,Cambridge, Museum of Archaeology and Ethnology.","Ireland,Co Antrim,Belfast","Belfast, Belfast, Royaume-Uni","-5.930119999999988","54.59728500000001","","None","None","None","430.5","blade 47","","418.14","dark brown","smooth","blade 6.5","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17681136895","https://farm6.staticflickr.com/5460/17681136895_796558c203_m.jpg"
"38669","727","Leaf Shaped Sword","Frag","Sir William Bridgeway Collection, Museum of Archaeology Ethnology, Cambridge","Ireland, Co Antrim, Belfast","Belfast, Belfast, UK","-5.930119999999988","54.59728500000001","-","None","None","None","430.5","47","-","418.14","dark brown","smooth",".5","-","-","-","Width and thickness both described as blade","-","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17681136895","https://farm6.staticflickr.com/5460/17681136895_796558c203_m.jpg"
"38669","817","Leaf shaped sword.","Frag.","Sir William Ridgeway Coll.,Cambridge. Museum of Archaeology & Ethnology.","Ireland,Co Antrim,Belfast","Belfast, Belfast, UK","-5.930119999999988","54.59728500000001","","None","None","None","430.5","47","","418.14","dark brown","smooth.","6.5","","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17681136895","https://farm6.staticflickr.com/5460/17681136895_796558c203_m.jpg"
"38670","658","Leaf shaped sword","IIIc","Sotheby's Sale, 19/11/24,    657,, , Coll'n of W.J. Knowles, M.R.I.A.,, , of Flixton Place, Ballymena.","Ireland,Co. Antrim,Cross Keys,Label","",,,"","None","None","None","473","hilt plate: 42, 18.5; blade: 36","","","remains of very thin patina; black, on hilt.","a good deal pitted along middle of centre; each side - much cleaned, dull golden bronze.","blade 6.5","","","","Very sharp edges.,, , 5 rivet holes. Near point is a hole, filled with bronze.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17060793713","https://farm6.staticflickr.com/5339/17060793713_4cb2d75800_m.jpg"
"38670","727","Leaf Shaped Sword","IIIC","Sotheby’s Sale 19.11.24,  657, Coll’n of W.J. Knowles MRIA of Flixton Place, Ballymena","Ireland, Co Antrim, Cross Keys","Antrim, Antrim, Antrim BT41, UK","-6.2072498","54.7195338","-","None","None","None","473","See description","-","-","remains of very thin black patina on hilt","a good deal pitted along middle of center, each side - much cleaned, dull golden bronze","6.5","-","-","-","""Ireland, Co Antrim, Cross Keys"" specified as Label., , Width: hilt plate 42, 18.5, blade 36., , Very sharp edges. 5 Rivet holes.  Near point is a hole, filled with bronze.","-","-","MARLA WALCOTT","https://www.flickr.com/photos/115096994@N02/17060793713","https://farm6.staticflickr.com/5339/17060793713_4cb2d75800_m.jpg"
"38670","817","Leaf shaped sword","IIIc","Sotheby’s Sale,19.11.24,657.,Colln. of W.J. Knowles MRIA.,of Flixton Place.,Ballymena","Ireland,Co Antrim,Cross Keys,}Label","Antrim, Antrim, Antrim BT41, UK","-6.2072498","54.7195338","","None","None","None","473","36","","","remains of very thin patina, black, on hilt","a good deal pitted along middle of centre, each side -- much cleaned, dull golden bronze.","6.5","Width shows ""hilt plate 42.  18.5  blade 36."" Thickness shows ""blade 6.5"".","","","Very sharp edges,5 Rivet holes.,Near point is a hole, filled with bronze.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17060793713","https://farm6.staticflickr.com/5339/17060793713_4cb2d75800_m.jpg"
"38671","658","Leaf shaped sword","Va","Sotheby's Sale, 19/11/24                    656,, , Coll'n of W.J. Knowles, M.R.I.A.,, , of Flixton Place, Ballymena,, , Wilson Coll'n, B'money","Ireland,Antrim Label,, Ballytmoney","",,,"","None","None","None","481.5","blade 33; hilt plate 49, 44","","","some thin patina, blackish.","smooth, very slight pitting.","blade 6","","","","Three of the rivet holes are solid. Mended at end of blade.,Edges are fairly sharp.","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17060791303","https://farm9.staticflickr.com/8896/17060791303_71f11c1340_m.jpg"
