"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"62682","226","Bracelet fragment","Y","Moyses Hall Museum, Bury St. Edmunds, Acc. No. 7.120","Cambs,, Isleham, found in ploughing 1959","Isleham, Cambridgeshire, UK","52.340264","0.4110170000000153","52/635728","None","None","1959","","","","","","","","","","The Isleham hoard","","Antiquity 34 (1960), 279-282","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/26682227124","https://farm8.staticflickr.com/7446/26682227124_18ddd2e3e9_m.jpg"
"62682","580","Bracelet Fragment","Y","Moyses Hall Museum, Bury St. Edmunds,Acc. No. 7.120.","Cambs,Isleham,52/635728,Found in ploughing","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","None","1959","","","","","","","","","","The Isleham hoard","","Antiquity 34 (1960) 279-282","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26682227124","https://farm8.staticflickr.com/7446/26682227124_18ddd2e3e9_m.jpg"
"62682","677","Bracelet fragment","Y","Moyses Hall Museum, , Bury St. Edmunds, , Acc. No 7. 120.","Cambs, Isleham, Grid Ref. 52/ 635728, Found in ploughing. 1959.","Isleham, Cambridgeshire, UK",,,"52/ 635728","None","None","1959","","","","","","","","The map is not working. There appears to be some information missing.","","The Isleham hoard","","Antiquity 34 (1960), , 279-282","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26682227124","https://farm8.staticflickr.com/7446/26682227124_18ddd2e3e9_m.jpg"
"62683","226","Decorated spearhead frags.","","Moyses Hall Museum, Bury St. Edmunds","Cambs., Isleham, found in ploughing 1959","Isleham, Cambridgeshire, UK","52.340264","0.4110170000000153","52/635728","None","None","1959","","","","","","Good","","","","The Isleham hoard","","Antiquity 34 (1960), 279-282","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/26683333703","https://farm8.staticflickr.com/7020/26683333703_cfd05ba3b6_m.jpg"
"62683","580","Decorated Spearhead Frags.","","Moyses Hall Museum, Bury St. Edmunds.","Cambs,Isleham,52/635728,Found in ploughing","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","None","1959","","","","","","Good","","","","The Isleham hoard","","Antiquity 34 (1960) 279-282","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26683333703","https://farm8.staticflickr.com/7020/26683333703_cfd05ba3b6_m.jpg"
"62683","677","Decorated Spearhead frags.","","Moyses Hall Museum, , Bury St. Edmunds.","Cambs., Isleham, Grid Ref. 52/ 635728, Found in ploughing 1959","Isleham, Cambridgeshire, UK",,,"52/ 635728","None","None","1959","","","","","","Good.","","The map is not working. There appears to be some information missing.","","The Isleham hoard","","Antiquity 34 (1960), , 279-282","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26683333703","https://farm8.staticflickr.com/7020/26683333703_cfd05ba3b6_m.jpg"
"62684","226","Fragments of hollow cast Spearheads","","Moyses Hall Museum, Bury St. Edmunds, Acc No F.120","Isleham Hoard, Dec 1959","Isleham, Cambridgeshire, UK","52.340264","0.4110170000000153","Map Ref 52/635728","None","12","1959","","","","","","good","","","","","fourteen fragments of hollow cast spearheads","","[...] Edwards, Curator","Elaine Dale","https://www.flickr.com/photos/115096994@N02/26683333633","https://farm8.staticflickr.com/7737/26683333633_648ee3a978_m.jpg"
"62684","580","Fragments of Hollow Cast Spearheads","","Moyses Hall Museum, Bury St. Edmunds,Acc No F.120","Isleham Hoard,Map Ref 52/635728,Dec 1959","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","12","1959","","","","","","good","","","","","Fourteen fragments of hollow cast spearheads","","Edwardson, curator","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26683333633","https://farm8.staticflickr.com/7737/26683333633_648ee3a978_m.jpg"
"62684","677","Fragments of hollow cast Spearheads","","Moyses Hall Museum, , Bury St Edmunds, , Acc No F.120","Isleham Hoard., Map Ref 52/ 635728, Dec 1959","Isleham, Cambridgeshire, UK",,,"Map Ref 52/ 635728","None","12","1959","","","","","","Good","","The map is not working. There appears to be some information missing. Some of the handwriting was difficult to decipher. I made my best possible judgement.","","","Fourteen fragments of hollow cast spearheads","","Edworldsorl. Curator","Michael George Adams","https://www.flickr.com/photos/115096994@N02/26683333633","https://farm8.staticflickr.com/7737/26683333633_648ee3a978_m.jpg"
"62685","226","Fragments of hollow cast Spearheads","","Moyses Hall Museum, Bury St. Edmunds, Acc. nmber F.120","Isleham Hoard","Isleham, Cambridgeshire, UK","52.340264","0.4110170000000153","52/635728","None","12","1959","","","","","","good","","Note the same signature was in the Remarks section of the previous card I completed but was not as legible.  It should have read A.R. Edwardson Curator as this individual was a Curator at the Moyes Hall Museum and wrote the booklet ""Moyse's Hall Museum : And Short Guide to Places of Interest, With Dates of Historical and Interesting Events""","","","Eighteen fragments of hollow case spearheads","","A.R. Edwardson, Curator","Elaine Dale","https://www.flickr.com/photos/115096994@N02/26683333493","https://farm8.staticflickr.com/7251/26683333493_7cb42f877b_m.jpg"
"62685","580","Fragments of Hollow Cast Spearheads","","Moyses Hall Museum, Bury St. Edmunds,Acc number F.120","Isleham Hoard,Map Ref 52/635728,Dec 1959","Isleham, Cambridgeshire, Royaume-Uni","52.340264","0.4110170000000153","52/635728","None","12","1959","","","","","","good","","","","","Eighteen fragments of hollow cast spearheads","","Edwardson, curator","Denis Antoine","https://www.flickr.com/photos/115096994@N02/26683333493","https://farm8.staticflickr.com/7251/26683333493_7cb42f877b_m.jpg"
