"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"11807","433","Slide Fastener","3","British Museum, 93.4-26.134,Presented by A. W. Ranks, Esq.,26/4/1893","England,Kent,Isle of Thanet,Minster,Ebbs Fleet 1893,Founder's Hoard","Ebbsfleet Cottage, Ebbsfleet Lane, Ramsgate, Kent CT12 5DJ, UK","51.3144303","1.3506575999999768","","None","None","1893","6","2","","26","Dark green","Corroded","1","","","Hoard consisting of 1 palstave, 2 winged celts, 13 socketed celts, 3 spear-heads, fragment of sickle, triangular knife, socketed knife, socketed hammer, fragment of implement, flanged ring, 3 pieces of [karaen?]; and 2 jets.,9-151","Tube with narrow loop. Oval opening on other side.","V.C.H., Kent, I, 322, 335.,Proc. S.A. 2d. S. Vol XIV, p. 309; XV, 138,R.F. Jessup, 'Kent' 110, 259, Pl VI","Almost ok,see new index","Joellen mcGann","https://farm4.staticflickr.com/3924/15135347421_ca7f0cf915_b.jpg","https://www.flickr.com/photos/MicroPasts/15135347421"
"11807","679","SLIDE - FASTENER","3","British museum, , 93 . 4 .26 . 134, , Presented by A.W.Ranks Esq, , 26/4/1893","England Kent, Isle of Thanet, Minster (Ebbs Fleet 1893), Founder's hoard.","",,,"","26","4","1893","150","56","","26","","corroded      dark green","35.5","""R.F.Jessup.."" appears to the right of Publications, in a different hand., ,  To the left of Publications is:, , V.C.H. Kent 1. 322. 335.","","9 - 151","Tube with narrow loop.  Oval opening on other side., , hoard consisting of 1 palstave, 2 winged cells,, , triangular knife, socketed knife, socketed hammer and 2 jets.","Proc.S.A.  2 -3   S, , vol XIV  p.309, ,       XV      138 , , R.F.Jessup  'Kent'  110 . 259 . Pl.  VI.","13 socketed cells, 3 spear heads, fragment of sickle, fragment of implement, flanged ring, 3 pieces of  har""...."".","Elizabeth Dale","https://farm4.staticflickr.com/3924/15135347421_ca7f0cf915_b.jpg","https://www.flickr.com/photos/MicroPasts/15135347421"
"11808","433","Slide Fastener","3","London, British Museum 2226","England,Shropshire,Slungunford,Broadward Hall","Clungunford, Craven Arms, Shropshire SY7, UK","52.4036029","-2.884545000000003","","None","None","None","","","","","","","","","","","","","See new index","Joellen mcGann","https://farm6.staticflickr.com/5551/14951666410_f7de69ed37_b.jpg","https://www.flickr.com/photos/MicroPasts/14951666410"
"11808","679","SLIDE FASTENER","3","LONDON  British museum 2226","SALOP, Clungunford, Broadward Hall","",,,"","None","None","None","","","","","","","","","","","","","See new index","Elizabeth Dale","https://farm6.staticflickr.com/5551/14951666410_f7de69ed37_b.jpg","https://www.flickr.com/photos/MicroPasts/14951666410"
"11809","433","Slide Fastener","3","London British Museum,1902.5-15.11","England,Shropshire,Clungunford,Broadward Hall","Clungunford, Craven Arms, Shropshire SY7, UK","52.4036029","-2.884545000000003","","None","None","None","","","","","","","","","","","","","See new index,CI","Joellen mcGann","https://farm4.staticflickr.com/3865/14951775728_cf91eac3e4_b.jpg","https://www.flickr.com/photos/MicroPasts/14951775728"
"11809","679","SLIDE FASTENER","3","London  British Museum, , 1902 . 5. 15 . 11","SALOP Clungunford, Broadward Hall","",,,"","None","None","None","","","","","","","","","","","","","See new index","Elizabeth Dale","https://farm4.staticflickr.com/3865/14951775728_cf91eac3e4_b.jpg","https://www.flickr.com/photos/MicroPasts/14951775728"
"11810","433","2 Rings","G","British Museum, WG 1780, 1781","England,Greater London,River Thames,Hammersmith","Hammersmith, London W6, UK","51.4911875","-0.22373149999998532","TQ 22 78","None","None","None","","","","","","","","","","","","","CI","Joellen mcGann","https://farm4.staticflickr.com/3850/15115320296_f416300bb9_b.jpg","https://www.flickr.com/photos/MicroPasts/15115320296"
"11810","679","2 rings","G","B.M.          WG  1780,  1781","Greater London, River Thames, Hammersmith","",,,"TQ 22   78","None","None","None","","","","","","","","","","","","","","Elizabeth Dale","https://farm4.staticflickr.com/3850/15115320296_f416300bb9_b.jpg","https://www.flickr.com/photos/MicroPasts/15115320296"
"11811","433","Slide Fastener","","London, British Museum, 93.4-26.132,Presented by A. W. Franks,26/4/93","England,Kent,Minster,Ebbsfleet,1893","Minster, Ramsgate, Kent CT12, UK","51.336651","1.3144360000000006","","None","None","1893","60","43","","","","","","","","Founder's hoard, 93.4-26.9-151","","Proc. Soc. Ant. 2nd ser. XIV, 309; XV 138,VCH Kent, I, 322,R.F. Jessup, 'Kent' 110.","ND75","Joellen mcGann","https://farm6.staticflickr.com/5563/14951774397_c02c8af3d9_b.jpg","https://www.flickr.com/photos/MicroPasts/14951774397"
"11811","543","SLIDE-FASTENER","a red dot","London, British Museum, 93 4-26 132,presented by A. W. Franks 26/4/93","England,Kent,Minster,Ebbsfleet,1893","Ebbsfleet Cottage, Ebbsfleet Lane, Ramsgate, Kent CT12 5DJ, UK","51.3144303","1.3506575999999768","","None","None","1893","60","43","","","","","","I included “England” in Site address to be consistent with other cards. Publications: VCH stands for ""Victoria (sic) County History"". Bottom left of card: ""ND 75"". Bottom right of card:  ""CI"" or ""C1""?. Diagram -  British Museum ref. no. (93.4-26.132) is repeated but now includes "".""s","","founder's hoard,93 4-26 9-151","","Proc. Soc. Ant. 2nd ser. XIV, 309; XV, 138,VCH Kent, I, 322,R.F. Jessup, 'Kent', 110","","Jane Fellows","https://farm6.staticflickr.com/5563/14951774397_c02c8af3d9_b.jpg","https://www.flickr.com/photos/MicroPasts/14951774397"
"11812","433","Slide Fastener","","London, British Museum, 93.4-26.133,Presented by A.W. Franks,26/4/93","England,Kent,Minster,Ebbsfleet,1893","Minster, Ramsgate, Kent CT12, UK","51.336651","1.3144360000000006","","None","None","1893","69","22","","","","","","","","Founder's Hoard, 93.4-26.9-151","","Proc. Soc. Ant. 2nd Ser. XIV, 309; XV, 138,VCH, Kent, I 322,R.F. Jessup, 'Kent', 110","ND75","Joellen mcGann","https://farm4.staticflickr.com/3856/15115320016_9772db71cc_b.jpg","https://www.flickr.com/photos/MicroPasts/15115320016"
