"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"13964","473","SPEARHEAD","","HULL Museum, no.41","ESSEX, Chesterford","Essex, UK","0.47577620000004117","51.76683689999999","","None","None","None","117","20","","","","matt light green; damage to mouth","","MJR (Initials at bottom of card)","","","","","","Dina Fathalla","https://farm4.staticflickr.com/3841/15003857667_45ff643a1b_b.jpg","https://www.flickr.com/photos/MicroPasts/15003857667"
"13964","610","Spearhead","","Hull Museum, no. 41.","Essex, Chesterford.","",,,"","None","None","None","117","20","","","","Matt light green; damage to mouth.","","","","","","","","Heidi Lund","https://farm4.staticflickr.com/3841/15003857667_45ff643a1b_b.jpg","https://www.flickr.com/photos/MicroPasts/15003857667"
"13964","652","SPEARHEAD","","HULL Museum, no.41","ESSEX, Chesterford","Έσεξ, Ηνωμένο Βασίλειο","0.47577620000004117","51.76683689999999","","None","None","None","117","20","","","","matt light green;  damage to mouth","","","","","","","MJR","Maria Christakou","https://farm4.staticflickr.com/3841/15003857667_45ff643a1b_b.jpg","https://www.flickr.com/photos/MicroPasts/15003857667"
"13964","656","SPEARHEAD","","Hul Museum, no. 41","ESSEX, Chesterford","Great Chesterford, Saffron Walden, Essex CB10, UK","0.19682000000000244","52.062757","","None","None","None","117","20","","","","matt light green; damage to mouth","","For georeferencing, not sure if it's Great Chesterford or Little Chesterford.","","","","","MJR","Christopher Wai","https://farm4.staticflickr.com/3841/15003857667_45ff643a1b_b.jpg","https://www.flickr.com/photos/MicroPasts/15003857667"
"13964",,"SPEARHEAD","","HULL Museum, no. 41","ESSEX;Chesterford","Essex, UK","0.47577620000004117","51.76683689999999","","None","None","None","117","20","","","","matt light green; damage to mouth","","","","","","","","Anon.","https://farm4.staticflickr.com/3841/15003857667_45ff643a1b_b.jpg","https://www.flickr.com/photos/MicroPasts/15003857667"
"13965","473","Spear-head IV","F","Hull Museum. No.41","England, Essex, Chesterford","Essex, UK","0.47577620000004117","51.76683689999999","","None","None","1891","117","20","","43","vivid green","","","","","","diameter of socket 17mm","","","Dina Fathalla","https://farm4.staticflickr.com/3897/15003646029_1af85feaca_b.jpg","https://www.flickr.com/photos/MicroPasts/15003646029"
"13965","610","Spearhead IV","F","Hull Museum. No. 41.","England, Essex, Chesterford (1891)","",,,"","None","None","1891","117","(blade) 20","","43","Vivid green","","","","Bronze","","Diameter of socket 17 mm.","","","Heidi Lund","https://farm4.staticflickr.com/3897/15003646029_1af85feaca_b.jpg","https://www.flickr.com/photos/MicroPasts/15003646029"
"13965","652","sPEARHEAD iv","","Hull Museum No. 41","England, Essex, Chesterford","Chesterford Gardens, Μπέιζιλντον, Μπάσιλντον, Έσεξ SS14, Ηνωμένο Βασίλειο","0.49045909999995274","51.5792846","F","None","None","1891","119","20","","43","Vivid green","","","","Bronge","","diameter of socket 17","","","Maria Christakou","https://farm4.staticflickr.com/3897/15003646029_1af85feaca_b.jpg","https://www.flickr.com/photos/MicroPasts/15003646029"
"13965","656","Spear-head IV","","Hull Museum no. 41","England, Essex, Chesterford (1891)","Great Chesterford, Great Chesterford, Saffron Walden, Essex CB10, UK","0.19354899999996178","52.0598201","","None","None","1891","117","(blade) 20,diameter of socket 17","","43","Vivid green.","","","Not sure if ""Chesterford"" refers to Great or Little Chesterford.","","","","","","Christopher Wai","https://farm4.staticflickr.com/3897/15003646029_1af85feaca_b.jpg","https://www.flickr.com/photos/MicroPasts/15003646029"
"13966","610","Spearheads (parts of)","2-362.11  frag","Colchester Museum. Deposited by. W. C. Wells Esq. 1911.","England; Essex; Grays Thurrock.","",,,"","None","None","None","","","","(list of fragments:)  Blade fragment; 17; 22,14; 20,38; 17,47; 20,38; 12,4; 7,08; 10,13; A........ 50,4. Socket. part of   6,33; 15,05; B.......40,31.","","","","","","Parts of a Bronze Founder's Hoard","","","A + B possibly belong to the same spearhead.","Heidi Lund","https://farm4.staticflickr.com/3908/15190423215_7e7b4b66a1_b.jpg","https://www.flickr.com/photos/MicroPasts/15190423215"
