"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"50037","226","Leaf shaped sword","IVa","Museum of the Royal Institution, Swansea, 25","Wales, Glamorganshire","Glamorganshire Canal, Cardiff, Cardiff, Cardiff CF14, UK","51.5201498","-3.241842399999996","","None","None","None","602","blade 44.5, hilt 47, 33","","652.05","","","blade 6","","","","","Arch. Journal 1846 p. 67 illus. says ""discovered in Glamorganshire""","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/22522745233","https://farm1.staticflickr.com/632/22522745233_af7d46a1cd_m.jpg"
"50037","433","Leaf shaped sword","IVa","Museum of the Royal Institution, Swansea,25","Wales,Glamorganshire","Glamorganshire Canal, Cardiff, Cardiff, Cardiff CF14, UK","51.5201498","-3.241842399999996","","None","None","None","602","blade 44.5; hilt 47, 33","","652.05","","","blade 6","","","","","Arch. Journal, 1846, p. 67 illud. says ""discovered in Glamorganshire"",Camdens Brittania, Vol. III, plate 34","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/22522745233","https://farm1.staticflickr.com/632/22522745233_af7d46a1cd_m.jpg"
"50037","580","Leaf Shaped Sword","IVa","Museum of the Royal Institution, Swansea,25","Wales,Glamorganshire","Pays de Galles, Royaume-Uni","52.1306607","-3.783711700000026","","None","None","None","602","blade 44.5,hilt 47; 33","","652.05","","","blade 6","","","","","Arch. Journal, 1846 p. 67, illus. says ""discovered in Glamorganshire"".,Camdens Brittania, Vol. III, plate","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/22522745233","https://farm1.staticflickr.com/632/22522745233_af7d46a1cd_m.jpg"
"50038","226","Socketed sword","IVd","British Museum, 78, 11, 1, 206, presd. by Maj. Gen. Meyrick 1878, formerly in Meyrick Colln.","Wales, Glamorganshire, Llansannor (3.21 m N. of Cowbridge), ""New Forest"" (New Forest is now represented by ""New Forest House"" at Mynydd y Forest)","Glamorganshire Canal, Cardiff, Cardiff, Cardiff CF14, UK","51.5201498","-3.241842399999996","","None","None","None","368","hilt 43, 22, blade 29","","354.37","dark green","smooth","hilt 16, blade 6","the 3.21 km in the Site section was originally recorded as 2 miles","Double grooved blade.  To of socket broken off.  2 rivet holes, bottom one on front broken","","","Evans' p.205, ""Meyricks Anc. Armour"" pl XLVII fig II, ""Prehist. & Roman Wales"", p.160, fig. 51, II, Arch. Ael. 4 Ser XII (1935) p. 280, Pl. XXVII.3, P.P.S. XIII (1967) p. 175","Inacc.","Elaine Dale","https://www.flickr.com/photos/115096994@N02/22522744853","https://farm1.staticflickr.com/750/22522744853_ee2e1d4f87_m.jpg"
"50038","580","Socketed Sword","IVd","British Museum,78 11 1 206,presented by Maj. Gen. Meyrick, 1878,formerly in Meyrick Collection.","Wales,Glamorganshire,Llansannor (2 miles N. of Cowbridge).,""NewForest"" (New Forest is now represented by 'New Forest House' & Mynydd y Forest)","Llansannor, Cowbridge, Vale of Glamorgan CF71, Royaume-Uni","51.488487","-3.44829100000004","","None","None","None","368","hilt 43; 22,blade 29","","354.37","dark green","smooth","hilt 16; blade 6","","","","double grooved blade. Top of socket broken off. 2 rivets hiles, bottom one on front, broken.","Evan's p.205,""Meyrick's"" Anc. Armour"" pl. XLVII, fig. 11.,""Prehist. & Roman Wales"", p. 160, fig. 51, ii,Arch. Ael. 4 Ser. XI (1935) p. 280, pl. XXVII, 3,P.P.S. XIII (1947) p.175","Inacc.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/22522744853","https://farm1.staticflickr.com/750/22522744853_ee2e1d4f87_m.jpg"
"50038","817","Socketed,Sword?","C,IVd","British Museum,78.11-1.206,presd. by Maj. Gen. Meyrick 1878,formerly in Meyrick Colln.","Wales,Glamorganshire,Llansannor (2 miles N. of Cowbridge).,""New Forest"" (New Forest is now represented by 'New Forest House's Mynyddy Forest)","Llansannor, Cowbridge, Vale of Glamorgan CF71, UK","51.488487","-3.44829100000004","","None","None","None","368","29","","354.37","dark green","Smooth","6","Width shows ""hilt 43  22  blade 29"". Thickness shows ""hilt 16.  blade 6.""","","","Double grooved blade.,Top of socket broken off. 2 rivet holes, bottom one in front, brokem","Evans' p. 205,""Meyrick's Anc. Armour"" pl. XLVII fig 11.,""Prehist. & Roman Wales"", p.160, fig.51, II,Arch. Ael. 4 Ser. XII (1935) p.280ff. Pl XXVII, 3,P.P.S. XIII (1967) p.175","Inacc.","JP OConnor","https://www.flickr.com/photos/115096994@N02/22522744853","https://farm1.staticflickr.com/750/22522744853_ee2e1d4f87_m.jpg"
"50039","226","2 sword Fragments","Frags.","National Museum of Wales, 15. 277/3, donor Miss Emily Talbot","Wales, Glamorgan, Penard, Langrove","Langrove, Southgate, Swansea, Swansea SA3, UK","51.5902699","-4.07338900000002","","None","None","None","about 329","29, 31, 30, 16.5","","240.97","dark green polished patina & a few spots of light green corrosion & some rusty green colour.","smooth","5","","","One of a hoard.","The bevel on the edges is very slight.  The point end is rather bent & the widest part of the other piece is slightly bent.","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/22725579358","https://farm1.staticflickr.com/691/22725579358_c801b8f3ec_m.jpg"
"50039","580","2 Sword Fragments","Frags.","National Museum of Wales. 15.277/3,donor Miss Emily Talbot","Wales,Glamorgan,Penard,Langrove","Langrove, Southgate, Swansea, Swansea SA3, Royaume-Uni","51.5902699","-4.07338900000002","","None","None","None","about 329","29; 31; 30; 16.5","","240.97","darkish green polished patina & a few spots of light green corrosion & some a rusty green colour.","smooth","5","","","One of a hoard.","The bevel on the edges is very slight. the point end is rather bent & the widest part of the other piece is slightly bent.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/22725579358","https://farm1.staticflickr.com/691/22725579358_c801b8f3ec_m.jpg"
"50039","817","2 Sword Fragments","Frags","National Museum of Wales.,15.277/3,donor Miss Emily Talbot","Wales,Glamorgan,Penard,Langrove","Langrove, Southgate, Swansea, Swansea SA3, UK","51.5902699","-4.07338900000002","","None","None","None","229","29","","240.97","darkish green polished & a few spots of light green corrosion & some a rusty green colour","Smooth","5","Length shows ""about 229mm"". Width shows ""29mm  31mm  30mm  16.5mm""","","One of a hoard.","The bevel on the edges is very slight.,the point end is rather bent & the widest part of the other piece is slightly bent.","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/22725579358","https://farm1.staticflickr.com/691/22725579358_c801b8f3ec_m.jpg"
"50040","226","2 Leaf shaped sword fragments, hilt frag + ? joining blade frag.","C","National Museum of Wales, 15.277/4 ;] donor Miss Emily Talbot","Wales, Glamorgan, Penard, Langrove","Langrove, Southgate, Swansea, Swansea SA3, UK","51.5902699","-4.07338900000002","","None","None","None","144, 139","hilt 20, 46, blade 33, blade 42.5","","141.75, 120.9","medium green polished","smooth, slightly pitted all over, with a little earth corroded on.","Blade 7.25, 7.5","","","one of a hoard","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/22522744333","https://farm6.staticflickr.com/5748/22522744333_aa542f2a50_m.jpg"
