"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"50266","433","Sword","","Private - Roger Mintey","England,Surrey,Blechingley,Found by Roger Mintey with a metal detector","Bletchingley, Surrey, UK","-0.09916199999997843","51.240586","TQ 330 523","None","None","None","","","","","","","","","","Single Find","Typology: Sword blade fragment","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23031975733","https://farm6.staticflickr.com/5725/23031975733_5555e438d3_m.jpg"
"50266","580","Sword","","Private Collection - Roger Mintey","England,Surrey,Blechingley,Found by Roger Mintey while searching with a metal detector.","Bletchingley, Surrey, Royaume-Uni","-0.09916199999997843","51.240586","TQ 330 523","None","None","None","","","","","","","","","","Single find","Sword blade fragment","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23031975733","https://farm6.staticflickr.com/5725/23031975733_5555e438d3_m.jpg"
"50266","677","TQ 330 523 SWORD","","PRIVATE - Roger Mintey","England, Surrey, Blechingley","Blechingley, Surrey, UK",,,"Blechingley, Surrey, UK","None","None","None","","","","","","","","The map is not working. Also some information appears to be missing. It is a different layout and it has different categories.","Sword blade fragment","","","","Found by Roger Mintey while searching with a metal detector. , , Single Find.","Michael George Adams","https://www.flickr.com/photos/115096994@N02/23031975733","https://farm6.staticflickr.com/5725/23031975733_5555e438d3_m.jpg"
"50267","433","Sword","","Private - Mike Smith","England,Surrey,Betchworth,Found by Mike Smith while searching with a metal-detector","Betchworth, Surrey, UK","-0.26736400000004323","51.240523","TQ 209 502","None","None","None","","","","","","","","","","Single Find","Typology: Sword blade fragment","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23550482002","https://farm1.staticflickr.com/634/23550482002_90b1d1f3b2_m.jpg"
"50267","580","Sword","","Private Collection - Mike Smith","England,Surrey,Betchworth,found by Mike Smith while searching with a metal-detector","Betchworth, Surrey, Royaume-Uni","-0.26736400000004323","51.240523","TQ 209 502","None","None","None","","","","","","","","","","Single find","Sword blade fragment","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23550482002","https://farm1.staticflickr.com/634/23550482002_90b1d1f3b2_m.jpg"
"50267","677","TQ 209 502 SWORD","","PRIVATE - Mike Smith","England, Surrey, Betchworth","Betchworth, Surrey, UK",,,"Betchworth, Surrey, UK","None","None","None","","","","","","","","The map is not working. Also some information appears to be missing. It is a different layout and it has different categories.","Sword blade fragment","","","","found by Mike Smith while searching with a metal-detector. , , Single Find.","Michael George Adams","https://www.flickr.com/photos/115096994@N02/23550482002","https://farm1.staticflickr.com/634/23550482002_90b1d1f3b2_m.jpg"
"50268","433","Sword; Ballintober type","","Chertsey Museum,from S.A. Oliver Esq.","England,Surrey,Egham,Mixnams Farm","Egham, Surrey, UK","-0.5478759999999738","51.428825","","None","None","None","507","46","","","","","","","","","","","For type, see G. Eogan, Catalogue of Irish Bronze Swords (1965), figs. 3 + 4, & p. 5 A. For list of similar swords from Thames, B.A.V. Trump. P.P.S. XXVIII (1962), p. 98,Dating 1000 - 900 B.C.","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23363366890","https://farm6.staticflickr.com/5783/23363366890_ec8ffb9493_m.jpg"
"50268","580","Sword,Ballintober type","","Chertsey Museum,from S.A. Oliver Esq.","Mixnams Farm, Egham Surrey","Egham, Surrey, Royaume-Uni","-0.5478759999999738","51.428825","","None","None","None","507","46","","","","","","","","","For type see G. Eogan, Catalogue of Irish Bronze Swords (1965), figs. 3 & 4 & p. 5 st. For list of similar swords from Thames, B.A.V. Trump.,PPS XXVIII (1962) p. 98. Dating 2000-900 BC.","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23363366890","https://farm6.staticflickr.com/5783/23363366890_ec8ffb9493_m.jpg"
"50268","817","SWORD.,Ballintober type.","","CHERTSEY MUSEUM,from S.A. Oliver Esq.","MIKNAMS FARM, EGHAM, SURREY","Egham, Surrey, UK","-0.5478759999999738","51.428825","","None","None","None","507","46","","","","","","Length shows ""50.7cms"". Width shows ""4.6 cms"".","","","Dating 1000-900 BC.","For type see G. Eogan, Catalogue of Irish Bronze Swords (1965), figs 3 & 4 & p.5A. For list of similar swords from Thames, B.A.V. Trump, PPS XXVIII (1962) p.98.","","JP OConnor","https://www.flickr.com/photos/115096994@N02/23363366890","https://farm6.staticflickr.com/5783/23363366890_ec8ffb9493_m.jpg"
"50269","433","Sword","IIb","Society of Antiquaries,Burlington House,Roots Collection","England,Surrey,Kingston,found in Blue Clay under 9 ft. of gravel,1852","Kingston upon Thames, Greater London, UK","-0.30068900000003396","51.41233","","None","None","1852","687","blade 42.5, 42; hilt 61, 25.5, 38","","642.6","Blackish grey patina golden bronze showing through.","Smooth. Sandy earth adheres to hilt.","Blade 5 & 9","","Bronze","","Well preserved. Blade slightly bent towards the point.","","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23659035055","https://farm1.staticflickr.com/601/23659035055_209e4ecb22_m.jpg"
