"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"51183","580","Sword - C","IIc","Richmond Public Library.,Lloyd Collection,825,Presumably in London Museum, accession No. 49.107/c (1956).","England,Thames,Berkshire,Clewer,From the Thames,October 1892.","Clewer, Windsor, Windsor and Maidenhead SL4, Royaume-Uni","51.485","-0.6269999999999527","","None","10","1892","222","hilt 56; blade 33","","","Bronze.","","blade 10","","","","9 rivet-holes. Hilt end only.","","Inacc.,drilled 13/2/65,JCM,New drawing needed","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24194714605","https://farm2.staticflickr.com/1506/24194714605_c3a5187528_m.jpg"
"51183","817","Sword.,C","C,IIc","Richmond Public Library.,Lloyd Collection.,49.107/825.,Presumably in London Museum, accession no.,(1956)","England.,Thames.,Berkshire,Clewer.,From the Thames.","",,,"","None","10","1892","222","33","","","Bronze","worn.","10","Width shows ""(hilt) 56mm, (blade) 33mm;"". Thickness shows ""(blade 10mm);"".","","","9 rivet-holes. Hilt end only.,bent.","","Inacc,dulled 13/2/65","JP OConnor","https://www.flickr.com/photos/115096994@N02/24194714605","https://farm2.staticflickr.com/1506/24194714605_c3a5187528_m.jpg"
"51183","1168","Sword C","IIc","Richmond Public Library, , Lloyd Collection, , 49.107/825, , Presumably in London Museum, accession no. (1956)","Clewer, Berkshire","Clewer, Windsor and Maidenhead, UK","51.485","-0.6269999999999527","","None","10","1892","222","hilt 56; blade 33","","","Bronze","worn","blade 10","only hilt was drawn","9 rivet holes. Hilt end only. bent.","","","","drilled 13/2/65, , new drawing needed","icemaiden1964","https://www.flickr.com/photos/115096994@N02/24194714605","https://farm2.staticflickr.com/1506/24194714605_c3a5187528_m.jpg"
"51184","433","Sword","IIIc","Reading Museum,57:50,T.C.S. Collection","Berks,Thames,Bourne End,Dredged from the Thames","Bourne End, Hornchurch, Greater London RM11 3AH, UK","51.5693884","0.241608000000042","","None","None","None","","","","","Light green smooth patins with a few brown patches.","Very good","","","Bronze","","Condition good save for slight corrosion along the edges. All rivets except one in tact.","","J. Wymer","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23899114660","https://farm2.staticflickr.com/1679/23899114660_2898ec2a3c_m.jpg"
"51184","580","Sword","IIIc","Reading Museum 57:50,T.C.B. Collection.","Berks.,Thames,Bourne End,Dredged from the Thames","Bourne End, Wooburn Green, Bourne End, Buckinghamshire SL8, Royaume-Uni","51.5765108","-0.7100694000000658","","None","None","None","","","","","Light gren smooth patina with a few brown patches.","Very good.","","","Bronze.","","Condition good save for slight corrosion  along the edges. All rivets except one intact.","","J. Wymer.","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23899114660","https://farm2.staticflickr.com/1679/23899114660_2898ec2a3c_m.jpg"
"51184","817","Sword","IIIc","Reading Museum 57:30,T.C.S. Collection.","Berks,THAMES,Bourse End.,Dredged from the Thames","",,,"","None","None","None","","","","","Light green smooth patina with a few brown patches.","Very good.","","","Bronze.","","Condition good save for slight corrosion along the edges.,All rivets except one intact.","","J. Wymer","JP OConnor","https://www.flickr.com/photos/115096994@N02/23899114660","https://farm2.staticflickr.com/1679/23899114660_2898ec2a3c_m.jpg"
"51185","433","Leaf shaped Sword","IV","Reading Museum, A L I,Bequeathed by Dr. Stevens, May 1899","England,Thames,Berkshire,1 mile W. of Henley Lock,Dredged from the Thames","Henley-on-Thames, Henley-on-Thames, Oxfordshire RG9, UK","51.535764","-0.9028940000000603","","None","None","None","689","hilt 58; blade 30","","623.7","Brown patina worn away in most places, by the action of water.","","blade 7","","","","Perfect condition. Large rivet + 1 small one missing (5 rivets)","Brit. Arch. Assn. XXXVIII, 275, fig. 1; Arch. 275, fig. 1, Leeds.","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/23899114060","https://farm2.staticflickr.com/1505/23899114060_ac96086735_m.jpg"
"51185","580","Leaf Shaped Sword","VI","Reading Museum,A L I,bequeathed by Dr. Stevens, May 1899.","England,Thames,Berkshire,1 mile W. of Henley Lock,dredged from the Thames","Henley-on-Thames, Henley-on-Thames, Oxfordshire RG9, Royaume-Uni","51.535764","-0.9028940000000603","","None","None","None","689","hilt 58; blade 30.","","623.7","Brown patina worn away in most  places, by the action of water.","","blade 7","","","","Perfect condition. Large rivet & 1 small one missing (5 rivets)","Brit. Arch. Assn. XXXVIII, 275, fig. 1,Arch. Leeds.","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/23899114060","https://farm2.staticflickr.com/1505/23899114060_ac96086735_m.jpg"
"51185","817","Leaf shaped sword","VI","Reading Museum,A L 1,bequesthed by Dr Stevens May 1894","England,THAMES.,Berskshire,1 mile west of Henley Lock,dredged from the Thames","",,,"","None","None","None","689","30","","623.7","Brown patina worn away in most places by the action of water.","","7","Width shows ""hilt 58  blade 30."" Thickness shows ""blade 7"".","","","Perfect condition.,Large rivet & 1 small one remaining (5 rivets)","Brit. Arch. Assn. XXXVIIII 275 fig 1,Arch,Leeds","","JP OConnor","https://www.flickr.com/photos/115096994@N02/23899114060","https://farm2.staticflickr.com/1505/23899114060_ac96086735_m.jpg"
"51186","580","Sword","VI","Reading Museum,111:51,T.C.B. Collection","Thames,Berks,Headpile Eyot,Bray.,Dredged from Thames above Headpile,Eyot, Sept., 1951.","Headpile Eyot, Bray, Maidenhead, Windsor and Maidenhead SL6, Royaume-Uni","51.5099155","-0.6949952999999596","","None","9","1951","838.2","","","","Dark green-brown","Good.","","Length 33""","Bronze.","","Very good condition although extreme tip is broken. All rivets are in position, although half of one is broken. Edges sharp.","","J. Wymer","Denis Antoine","https://www.flickr.com/photos/115096994@N02/24112120251","https://farm2.staticflickr.com/1608/24112120251_c9e5faa5b1_m.jpg"
