"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"7998","13","Tanged ""chisel""","","Carisbrooke Museums., Presented by Sir L. Holmes.","england, (isle of wight), arreton or, arreton down or shalcombe down, found by mr. dennett in 1816","arreton","-1.232210","50.68026","","None","None","None","60","","","","","","4.5","Second number in 'weight' is written in pencil - clarification of the pen written first number.","","","","Hillier, History of the Isle of Wight. Pt i. p. 6, Journ. Brit. arch. ass. Winchester. (1846) p. 151., Dennett MS. No 2. fig. iii.","It seems uncertain whether this is ""the small bronze instrument"" said to have been found in a barrow on Shalcombe Down, in 1816, or whether it was found about the same time on arreton Down. Mr Crawford is inclined to the latter view.","Lucy Ellis","http://farm6.staticflickr.com/5595/14118602147_c1feaa2487_b.jpg","http://www.flickr.com/photos/MicroPasts/14118602147"
"7998","243","Tanged ""Chisel""","","Carisbrooke Museum., Presented by Sir L. Holmes.","england, (isle of wight), arreton or arreton down or shaleombe down, found by mr. dennett in 1816","arreton","-1.244398","50.68211","","None","None","1816","60","","19","15","","","4.5","2 cross section drawings of chisel on reverse., edge is somewhat chipped and damged.","","","","Hillies History of the Isle of Wight. Pt. i. p.6.,, , Journ. Brit. Arch. Ass. Winchester. (1846) p. 151.,, , Dennett MS. No 2. fig. iii.","It seems uncertain whether this is ""the small bronze instrument"" said to have been found in a barrow on Shalecombe Down in 1816, or whether it was found about the same time on Arreton Down.  Mr. Crawford is inclined to the latter view.","Jeff Okazaki","http://farm6.staticflickr.com/5595/14118602147_c1feaa2487_b.jpg","http://www.flickr.com/photos/MicroPasts/14118602147"
"7998","445","Tanged ""Chisel""","","Caris brooke Museum;, , Presented by Sir L. Holmes","england; (isle of wight); arreton or arreton down or shalcombe down","arreton","-1.239935","50.67569","","None","None","1816","60","19","19","15","","","4.5","unsure of first word under publications, and very first word in item description","","","","Hilliei     History of the Isle of Wight. Pr. i. h. 6, , Journ. Brit. Arch. Ass. Winchester (1846) p. 151, , Dennett MS. No 2. fig. iii.","It seems uncertain whether this is ""the small bronze instrument"" said to have been found in a barrow on Shalcombe Down in 1816, or whether it was found about the same time on Arreton Down. Mr. Crawford is inclined to the latter view.","Kaitlin Wells","http://farm6.staticflickr.com/5595/14118602147_c1feaa2487_b.jpg","http://www.flickr.com/photos/MicroPasts/14118602147"
"7999","13","Flanged Celt (2 co[...s f...])","","British Museum, Sloane Colln. 743.","england, isle of wight,, south arreton, arreton down, 1735/7, found by mr. cook","arreton","-1.232854","50.67901","","None","None","None","202","","","","green","","","","","found with a dagger. 1 flanged celt + 3 spearheads","","archaeologia V 113., XXXVI 329., Evan's Bronze. fig 8.","","Lucy Ellis","http://farm4.staticflickr.com/3800/14118602187_730050a6ab_b.jpg","http://www.flickr.com/photos/MicroPasts/14118602187"
"7999","181","Flanged Celt,(2 copies giv.)","","British Museum,Sloane Coll. 743.","england,isle of wight, south arreton,arreton down,1735/7 found by mr. coole","arreton down, isle of wight","-1.217957","50.70192","","None","None","None","202","","107","","green","","","","","found with a dagger, 1 flanged celt & 3 spearheads.","","Archaeologia V 113. XXXVI 329.,Evan's Bronze. fig 8.","","Cheryl Ellsworth","http://farm4.staticflickr.com/3800/14118602187_730050a6ab_b.jpg","http://www.flickr.com/photos/MicroPasts/14118602187"
"7999","243","Flanged Celt.","[Red Dot]","British Museum, Stoane Coll. 743.","england, isle of wight, south arreton, arreton down, 1735/7, found by mr. coole","arreton","-1.248432","50.67425","","None","7","1735","202","","107","","","green","","3 cross section drawings of celt on reverse., 2 parallel lines on center","","found with a dagger. 1 flanged celt & 3 spearheads.","","Archaeologica V 113. XXXVI 329, Evans Bronze. fig 8.","(2cor.us.g.v.) [Transcriber's comment - 2 cards?]","Jeff Okazaki","http://farm4.staticflickr.com/3800/14118602187_730050a6ab_b.jpg","http://www.flickr.com/photos/MicroPasts/14118602187"
"8000","13","Flanged Celt (2 copies of V.","","British Museum., S. L. 744.","england, isle of wight,, south arreton,, arreton down","arreton","-1.226202","50.68004","52, 54, 86","None","None","None","112","","","196.11","bright green. bronze shows on reverse.","corroded.","","Not certain about 1) words beneath object type or 2) second component of reference. Apologies.","","Part of hoard.","No stop ridge.","archaeologia 113. XXXVI., 329., Kemble + Franks, House Finales, pl. VI. figs 24 + 25","On display","Lucy Ellis","http://farm3.staticflickr.com/2899/14281998356_0bfb65a5f1_b.jpg","http://www.flickr.com/photos/MicroPasts/14281998356"
"8000","181","Flanged Celt,(2 copies JV.","","British Museum S.L. 744.","england,isle of wight,,south arreton,,arreton down","arreton down, isle of wight","-1.217957","50.70192","S2 64/86","None","None","None","112","","63","196.11","bright green. bronze shows on reverse.","corroded.","","","","Part of hoard","No stop ridge.","Archaeologia 113. XXXVI. 329.,Kemble & Frank's Horae Ferales pl. VI. figs 24 & 25","On display","Cheryl Ellsworth","http://farm3.staticflickr.com/2899/14281998356_0bfb65a5f1_b.jpg","http://www.flickr.com/photos/MicroPasts/14281998356"
"8000","243","Flanged Celt","[Red Dot]","British Museum S.L. 744","england, isle of wight, south arreton, arreton down","arreton","-1.235085","50.67961","SZ 54 86","None","None","None","112","","63","196.11","bright green.  bronze shows on reverse.","corroded","","3 cross section drawings of palstave attached to reverse (over top of 2 cross section drawings) with text ""SL 794 F of. Wight."",, , Edge is crescent shaped, very flared at sides, one corner missing.","","Part of hoard","No Stop ridge.","Archaeologica 113. XXXVI. 329., Kemble & Franks Horde Ferales pl. vi. pgs 24 & 25","On display, CI, (2 conves qv.)","Jeff Okazaki","http://farm3.staticflickr.com/2899/14281998356_0bfb65a5f1_b.jpg","http://www.flickr.com/photos/MicroPasts/14281998356"
"8001","13","Flanged Celt (2 copies [...])","","British Museum., Sloane Colln. 744","england, isle of wight, arreton down, 1735/7.","arreton","-1.230107","50.68034","","None","None","None","113","","","","","","","Having difficulty in reading the words in brackets under 'Object type' - sorry.","","found with a dagger. 1 flanged celt + 3 spearheads","","archaeologia V 113. XXXVI 329.","","Lucy Ellis","http://farm4.staticflickr.com/3679/14118458189_ed7269c776_b.jpg","http://www.flickr.com/photos/MicroPasts/14118458189"
"8001","181","Flanged Celt,(2 copies gv)","","British Museum.,Sloane Coll. 744","england,isle of wight,arreton down,1735/7","arreton down, isle of wight","-1.217957","50.70192","","None","None","None","113","","66","","","","","","","found with a dagger, 1 flanged celt & 3 spearheads.","","Archaeologia V 113. XXXVI 32q.","","Cheryl Ellsworth","http://farm4.staticflickr.com/3679/14118458189_ed7269c776_b.jpg","http://www.flickr.com/photos/MicroPasts/14118458189"
"8001","243","Flanged Celt","[Red Dot]","British Museum, Sloane Coll 744","england, isle of wight, arreton down, 1735/7.","arreton","-1.235257","50.67966","","None","7","1735","113","","66","","","","","3 cross section drawings of palstave on reverse., Edge is crescent shaped, very flared. One corner missing.","","found with a dagger. 1 flanged celt & 3 spearheads","","Archaeologia V 113 XXXVI 329.","","Jeff Okazaki","http://farm4.staticflickr.com/3679/14118458189_ed7269c776_b.jpg","http://www.flickr.com/photos/MicroPasts/14118458189"
"8002","13","Ogival, Incised, Dagger. Riveted","Ogival","British Museum., Sloane Colln., 745.","isle of wight,, south arreton,, arreton down, 1735/7","arreton","-1.228863","50.67999","52, 54, 86","None","None","None","230","","","144.45","","smooth","","Multiple object types listed - have broken up as I feel it can be views - 1) Ogival, 2) 'Incised' in pencil, then Dagger. Riveted below Ogival.","","found with 2 flanged celts + 3 spearheads.","1 rivet hole + 1 broken. ;] hilt plate chipped + dented.","archaeologia V 113, XXXVI 329, Hor. Fer. VII 18","","Lucy Ellis","http://farm4.staticflickr.com/3738/14118458279_8562bb16da_b.jpg","http://www.flickr.com/photos/MicroPasts/14118458279"
"8002","181","Ogival,Incised Dagger. Riveted.","Ogival","British Museum.,Sloane Coll. 745.","isle of wight,,south arreton,,arreton down,1735/7","arreton down, isle of wight","-1.217957","50.70192","SZ 54/86","None","None","None","230","","","444.25","","smooth","","It looks like water was spilled over the ""weight"", making the ink fuzzy. I took my best guess at what it said.","","found with 2 flanged celts & 3 spearheads","1 rivet hole & 1 broken.,hilt plate chipped & dented.","Archaeologia V 113 XXXVI 329,Hor. Fer. VII 18","","Cheryl Ellsworth","http://farm4.staticflickr.com/3738/14118458279_8562bb16da_b.jpg","http://www.flickr.com/photos/MicroPasts/14118458279"
"8002","243","Ogival Incised Dagger Rivetted","Ogival [Red Dot]","British Museum Sloane Coll. 745.","isle of wight, south arreton, arreton down","arreton","-1.234828","50.67972","SZ 54 86","None","7","1735","230","","","644.25","","smooth","","Weight is very difficult to make out on card, may be 444.25 or something else entirely, 2 cross section drawings of dagger attached to reverse on top of drawing on card.  Text ""SL. 745 F. of Wight. e"", Portion of blade near hilt plate missing, long v-shaped ornamentation on face of blade with rounded end close to hilt plate.","","found with 2 flanged celts & 3 spearheads","1 rivet hole & 1 broken., hilt plate chipped & dented.","Archaeologia V 113 XXXVI 329, Hor. Fer. VII 18","CI","Jeff Okazaki","http://farm4.staticflickr.com/3738/14118458279_8562bb16da_b.jpg","http://www.flickr.com/photos/MicroPasts/14118458279"
"8003","13","Spearhead. I","A","British Museum., S. L. 746.","england., isle of wight,, south arreton,, arreton down","arreton","-1.227146","50.68021","NI, 52, 54, 86","None","None","None","262","","","248.81","deep green. golden bronze shows.","rather rough., corroded on tang.","","","","Part of a hoard","High mid rib. with 4 ribs on right + 3 on left.","archaeologia 113. XXXVI. 329., Kemble + Franks' House Ferales pl. VI. figs 24 + 25.","","Lucy Ellis","http://farm4.staticflickr.com/3770/14325322713_d6192aa7bc_b.jpg","http://www.flickr.com/photos/MicroPasts/14325322713"
"8003","181","Spearhead. I.","A","British Museum S.L. 746.","england,isle of wight,south arreton,,arreton down","arreton down, isle of wight","-1.217957","50.70192","N1,SZ 54/86","None","None","None","262","","","248.81","deep green. golden bronze shows.","rather rough. corroded on tary.","","","","Part of a hoard","High mid rib with 4 ribs on right & 3 on left.","Archaeologia 113. XXXVI. 329.,Kemble & Frank's Horae Ferales pl. VI. figs 24 & 25.","","Cheryl Ellsworth","http://farm4.staticflickr.com/3770/14325322713_d6192aa7bc_b.jpg","http://www.flickr.com/photos/MicroPasts/14325322713"
"8003","243","Spearhead. I","[Red Dot] A","British Museum, S.L. 746","england, isle of wight, south arreton, arreton down","arreton","-1.234742","50.67996","N1, SZ 54 86","None","None","None","262","","","248.81","deep green. golden bronze shows.","rather rough.  corroded on tang.","","2 cross section drawings of palstave taped to reverse., butt notched., Association, part of a hoard of 2 flanged axes, 1 dagger, and 2 other spearheads.","","Part of a hoard.","High mid rib. with 4 ribs on right & 3 on left.","Archaeologia 113. XXXVI. 329,, , Kemble & Frankes Horae Ferales pl. VI. pgs 24 & 25.","CI","Jeff Okazaki","http://farm4.staticflickr.com/3770/14325322713_d6192aa7bc_b.jpg","http://www.flickr.com/photos/MicroPasts/14325322713"
"8004","1","Spearhead","","London, British Museum, SL 746","isle of wight, south arreton, arreton down","arreton isle of wight","-1.239935","50.67569","SZ5486","None","None","None","262","49","","","","Green with golden bronze showing through; rather rough with corrosion on tang","","","","Hoard of 8 objects","","","","Daniel Pett","http://farm4.staticflickr.com/3779/14118457839_1f7995b6ea_b.jpg","http://www.flickr.com/photos/MicroPasts/14118457839"
"8004","13","Spearhead","","LONDON, British Museum, SL 746","isle of wight, south arreton, arreton down","arreton","-1.226974","50.67993","52, 54, 86","None","None","None","262","49","","","","green with golden bronze showing through; rather rough with corrosion on tang","","","","Hoard of 8 objects","","","","Lucy Ellis","http://farm4.staticflickr.com/3779/14118457839_1f7995b6ea_b.jpg","http://www.flickr.com/photos/MicroPasts/14118457839"
"8004","243","SPEARHEAD","[Red Dot]","LONDON, British Museum, SL 746","isle of wight, south arreton, arreton down","arreton","-1.239935","50.67569","SZ 54 86","None","None","None","262","49","","","","green with golden bronze showing through; rather rough with corrosion on tang","","4 cross section drawings of spearhead on reverse with text ""SL. 746 F. of Wight""., 3 ribs running down face of blade on one side, 4 on the other., Rivet hole is broken in half and missing at bottom of tang.","","Hoard of 8 objects","","","","Jeff Okazaki","http://farm4.staticflickr.com/3779/14118457839_1f7995b6ea_b.jpg","http://www.flickr.com/photos/MicroPasts/14118457839"
"8005","13","Spearhead. Cl I","A","British Museum, S.L. 747.","england., isle of wight,, south arreton,, arreton down","arreton","-1.226803","50.67928","NI, 52, 54, 86","None","None","None","206.","","","158.42","blue green.","much corroded","10.","I should say I've been moving the findspot from Arreton village to Arreton Down (based on local knowledge).","","Part of a hoard.","Two small notches on tang - one side only.","archaeologia 113. XXXVI. 329, Kemble + Franks' House Ferales pl. VI. figs 24 + 25.","","Lucy Ellis","http://farm4.staticflickr.com/3748/14118601647_b5c2470145_b.jpg","http://www.flickr.com/photos/MicroPasts/14118601647"
