"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"11011","473","ARROWHEAD","","PRIVATE - Mr Edward C. Parry-Jones, The Mause, Trelogan, nr Holywell, Clwyd, CH8 9BY","england, yorkshire, york, found in a field near york","york","-1.081536","53.95906","","None","None","None","40","","","","","","","I put the 'Typology' and 'Condition' information in the 'Description' box. And I put the 'Circumstances' information in the 'Site' box","","SINGLE FIND","Socketed Arrowhead, Complete","","","Dina Fathalla","https://farm4.staticflickr.com/3863/14739481249_2ff9bb1238_b.jpg","https://www.flickr.com/photos/MicroPasts/14739481249"
"11011","541","Arrowhead","","Private - Mr Edward C. Parry-Jones,The Manor, Trelogan, nr Holywell, [...] CH8 9BY","england,yorkshire,york,found in a field near york","york","-1.081536","53.95906","","None","None","None","40","","","","","","","","","","Socketed arrowhead.  Complete","","","Tim Mudie","https://farm4.staticflickr.com/3863/14739481249_2ff9bb1238_b.jpg","https://www.flickr.com/photos/MicroPasts/14739481249"
"11012","1","","","","","","-3.276575","54.70235","","None","None","None","","","","","","","","","","","","","","Daniel Pett","https://farm4.staticflickr.com/3860/14903141726_4306e56568_b.jpg","https://www.flickr.com/photos/MicroPasts/14903141726"
"11012","243","ARROWHEAD, BARBED AND TANGED","","Biss, Mr. T. - private (1993),12 Upton, East Knoyle, Salisbury, Wilts.","wiltshire,eastknoyle,found sept 1992 by mr. biss metal-detecting in a ploughed field. the object was 3-6"" deep","east knoyle","-2.173337","51.07460","ST 8788 3332","None","9","1992","61.2","31.5","","","dark green","dark green p. intact; possible waxy coating","3.2,MaxT e.bev. 2.0","6 cross section drawings of arrowhead on reverse with text, ""Submitted Object ""Eastknoyle"" Wilts (Mr. T Biss) S. Needham."" and ""drawn:- Scale 1:1 SPC 29/1/93"",Tang appears to have an avulsion on one side separating the metal from the bottom portion of the tang.","","","TYPOLOGY: good loz. section with neat e. bevels; barbs; taper to inner edges as well, but more blunt than outer; tang flat with crudely chambered sides,MANUFACTURE: Grinding marks along e. bevels - localised secondary bevel; bifacial grinding out of notches under barbs; tiny lip of metal where ridge on spur flattened against tang face.,CONDITION: edges pretty sharp with only minor damage","","PIF,Rec.: Sn. Jan 93,Source: Sb. A.,Add.: (Receipt no. 725)","Jeff Okazaki","https://farm4.staticflickr.com/3860/14903141726_4306e56568_b.jpg","https://www.flickr.com/photos/MicroPasts/14903141726"
"11013","243","Arrowhead","","Liverpool Museum,7225","locality unknown","liverpool","-2.980539","53.40547","35 gms","None","None","None","30","","blade 16","","brown to black","","blade 2.75","No accuracy on geolocation reference.,2 cross section drawings of arrowhead on reverse.,Arrowhead appears to be barbed and tanged.,Fairly wide edge bevel, edge fairly worn and chipped.,Tip rounded.,Base of tang slightly wider.","","","","","","Jeff Okazaki","https://farm6.staticflickr.com/5592/14739469549_c190dfb39d_b.jpg","https://www.flickr.com/photos/MicroPasts/14739469549"
"11013","411","Arrowhead","","Liverpool Museum  7225","locality unknown","","-3.276575","54.70235","","None","None","None","30","Blade 16","","35","brown to black","","blade 2.75","the weight is given at top left of card:, , 35 gms","","","","","","Terry Jackson-Baker","https://farm6.staticflickr.com/5592/14739469549_c190dfb39d_b.jpg","https://www.flickr.com/photos/MicroPasts/14739469549"
"11014","243","Arrowhead.","","Farnham Museum,Dorset.","locality unknown.","dorset","-2.333333","50.75000","","None","None","None","60","7 tang","13 blade","14-17 gms","","smooth dark bronze","4 blade.","2 cross section drawings of arrowhead on reverse.,Arrowhead is leaf shaped?,Tang extends below blade and connects to blade in a ""V"" shape.","","","","","","Jeff Okazaki","https://farm6.staticflickr.com/5587/14739469869_20e86028f6_b.jpg","https://www.flickr.com/photos/MicroPasts/14739469869"
"11014","411","Arrowhead.","","Farnham Museum, , Dorset","locality unknown","","-3.276575","54.70235","","None","None","None","60","13 blade  7 tang","","14.17","","smooth dark bronze","4 blade","","","","","","","Terry Jackson-Baker","https://farm6.staticflickr.com/5587/14739469869_20e86028f6_b.jpg","https://www.flickr.com/photos/MicroPasts/14739469869"
"11015","243","Arrowhead.","","Farnham Museum,Dorset.","locality unknown.","dorset","-2.333333","50.75000","","None","None","None","60.","tang 8","blade 12","14-17 gms","","Smooth. dark bronze","3.5 blade","No accuracy on geolocation reference.,2 cross section drawings of arrowhead on reverse.,Arrowhead is tanged and barbed.,Barbs very short on tang side.,Tang appears slightly damaged, or notches roughly formed.,Possible midrib running down centre of blade?,Blade long and somewhat leaf shaped, edge tip rounded.","","","","","","Jeff Okazaki","https://farm4.staticflickr.com/3879/14739521798_5b07ced07a_b.jpg","https://www.flickr.com/photos/MicroPasts/14739521798"
"11015","411","Arrowhead.","","Farnham Museum, , Dorset.","locality unknown","","-3.276575","54.70235","","None","None","None","60.","Blade 12   tang 8","","","","smooth. dark bronze","3.5 blade","","","","","","","Terry Jackson-Baker","https://farm4.staticflickr.com/3879/14739521798_5b07ced07a_b.jpg","https://www.flickr.com/photos/MicroPasts/14739521798"
