"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"30249","610","Sword","I c","BM, unregistered.","? Britain, no provenance.","",,,"","None","None","None","","","","","","","","","3 + 3 rivets in shoulder,  3 + rivets in grip.","","","","","Heidi Lund","https://farm8.staticflickr.com/7433/16263331920_e9e18a8cb9_b.jpg","https://www.flickr.com/photos/MicroPasts/16263331920"
"30249","656","Sword","Ic","BM, unregistered.","? BRITAIN, no provenance.","",,,"","None","None","None","","","","","","","","","3+3 rivets in shoulder, 3+ rivets in grip.","","","","","Christopher Wai","https://farm8.staticflickr.com/7433/16263331920_e9e18a8cb9_b.jpg","https://www.flickr.com/photos/MicroPasts/16263331920"
"30249","734","sword","I c","BM  unregistered","? BRITAIN no provenance","",,,"","None","None","None","","","","","","","","No illustration.  Very sparse notations.","3  +  3  rivets in shoulder, 3 + rivets in grip","","","","","Marilyn Kohn","https://farm8.staticflickr.com/7433/16263331920_e9e18a8cb9_b.jpg","https://www.flickr.com/photos/MicroPasts/16263331920"
"30250","580","Sword","prob. II d.","BM, unregistered.","? Britain, unknown provenance.","",,,"","None","None","None","","","","","","","","","","","4 rivets (2 + 2) in shoulder, 2 in grip. 2 ribs down web of grip.","","CI","Denis Antoine","https://farm8.staticflickr.com/7433/16263060728_59d748e80d_b.jpg","https://www.flickr.com/photos/MicroPasts/16263060728"
"30250","610","Sword","prob. II d.","BM, unregistered.","? Britain, unknown provenance.","",,,"","None","None","None","","","","","","","","","","","","4 rivets (2 + 2) n shoulder, 2 in grip. 2 ribs Down web of grip.","","Heidi Lund","https://farm8.staticflickr.com/7433/16263060728_59d748e80d_b.jpg","https://www.flickr.com/photos/MicroPasts/16263060728"
"30250","656","SWORD","pros IId","BM, unregistered.","?BRITAIN. unknown provenance.","",,,"","None","None","None","","","","","","","","","4 rivets (2+2) in shoulder, 2 in grip. 2 ribs down web of grip.","","","","","Christopher Wai","https://farm8.staticflickr.com/7433/16263060728_59d748e80d_b.jpg","https://www.flickr.com/photos/MicroPasts/16263060728"
"30251","580","Leaf Shaped Sword","II d","British Museum. 66 6 27 114, Christy Collection (lot 132)","Locality unknown","",,,"","None","None","None","467","blade 32.5; 23; hilt 44; 19; 15; 27.5","","368.55","","rather rough, dull bronze","blade 7","","","","6 rivet holes, 1 rivet & part of 2 others in holes.","","Drawing somewhat inaccurate., CI","Denis Antoine","https://farm8.staticflickr.com/7408/16263060788_28a3aa7885_b.jpg","https://www.flickr.com/photos/MicroPasts/16263060788"
"30251","677","Leaf shaped sword","IId","British Museum. 66, , Christy Coll.u 6 27, , 114, , (lot 13.2)","Locality unknown","",,,"","None","None","None","467","blade 32.5, 23 hilt 44. 19. 15. 27.5","","368.55","","rather rough. dull bronze","blade 7","A lot of information appears to be missing.","6 rivet holes. 1 rivet & part of 2 others in holes.","","","","drawing somewhat inaccurate., , C1","Michael George Adams","https://farm8.staticflickr.com/7408/16263060788_28a3aa7885_b.jpg","https://www.flickr.com/photos/MicroPasts/16263060788"
"30251","873","Leaf shaped sword","IId","British Museum,Christy colln, 66  6  27  114,(Lot 132)","locality unknown","",,,"","None","None","None","467","","","368.55","","rather rough.  dull bronze","7","Collection: the four numbers in a group; if arranged like the cardinal points of a compass NESW they would read 66 27 114 6, , Width entry reads: blade 32.5.  23  hilt 44. 19.15.27.5; the points at which these were measured are shown on the card drawing, , Thickness entry reads: blade 7","6 rivet holes.  1 rivet + part of 2 others in holes","","","","Drawing somewhat inaccurate","Jane Williams","https://farm8.staticflickr.com/7408/16263060788_28a3aa7885_b.jpg","https://www.flickr.com/photos/MicroPasts/16263060788"
"30252","243","Leaf shaped sword","IVa","British Museum,Christy Colln.,66.6-27.113,Iol 73.","? Britain,Locality unknown","Great Britain, United Kingdom","-2.0727838999999904","53.7190281","","None","None","None","429","hilt 43 22 20 15 28","blade 24 32 27 35","361.46","slight patina dark brown","pitted & rather rusty","blade 7","2 cross section drawings of sword on reverse.,Blade in drawing does not appear particularly leaf shaped, tapers slightly from hilt about 1/4 way down blade, then widens slightly the next 2/4, then tapers again to tip.,2 rivet holes horizontally on hilt directly below blade, then two more in line vertically on grip portion.","","","4 rivet holes,Blade broken across & mended","","Drawing inaccurate (somewhat),CI","Jeff Okazaki","https://farm9.staticflickr.com/8661/16449801482_1714de8628_b.jpg","https://www.flickr.com/photos/MicroPasts/16449801482"
"30252","677","Leaf shaped sword","IVa","66., , British Museum 6 - 27., , Christy Coll.u 113., , Lot 73., ,","? Britain, Locality unknown","Britain",,,"Britain","None","None","None","429","blade 24 32 27 35 hilt 43 22 20 15 28","","361.46","dark brown","pitted & rather rusty slight.","blade 7","Some information appears to be missing.","4 rivet holes. Blade broken across & mended.","","","","Drawing inaccurate (somewhat), , C1","Michael George Adams","https://farm9.staticflickr.com/8661/16449801482_1714de8628_b.jpg","https://www.flickr.com/photos/MicroPasts/16449801482"
"30252","873","Leaf shaped sword","IVa","British Museum,Christy Colln,Lot 73, 66. 6-27. 113","? Britain,locality unknown","",,,"","None","None","None","429","","","361.46","slight   dark brown","pitted + rather rusty","7","Collection Struggled deciding how to transcribe numbers.  They are arranged on top of each other., , Width entry reads: blade 24 32 27 35  hilt 43 22 20 15 28; some of these values are annotated on accompanying drawing, , Thickness entry reads: blade 7, , Patina: not sure where ""slight"" belongs; could be part of Surface entry, but neither place makes sense to me","","","4 rivet holes,Blade broken across + mended.","","Drawing inaccurate (somewhat)","Jane Williams","https://farm9.staticflickr.com/8661/16449801482_1714de8628_b.jpg","https://www.flickr.com/photos/MicroPasts/16449801482"
"30253","677","Leaf shaped sword","VI","British Museum WG 2271.","NZ 64 24, England., Tyne & Wear,, Below Newcastle,, R.Tyne","Newcastle upon Tyne, Tyne and Wear, UK","-1.6177800000000389","54.978252","Newcastle upon Tyne, Tyne and Wear, UK","None","None","None","688","blade 27 31.5 25.5. 29.43. hilt 56.27.34.18.31.","","661.88","","clean bronze with remains of irridescence along the grooves. Smooth except for very slight pits on hilt.","blade 7","There is some information that appears to be missing.","8 rivet holes.","","","","Hilt section., , C1","Michael George Adams","https://farm9.staticflickr.com/8582/16264843797_dcafeb60b9_b.jpg","https://www.flickr.com/photos/MicroPasts/16264843797"
