"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"34224","433","Crotal","","British Museum Collection, 1854.0714.13,See catalogue entry,Purchased from T. L. Cooke","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","1820","","","","","","","","","Bronze  (Copper Alloy)","Dowris Hoard","Bronze Crotal:  Hollow-base spherical pendant enclosing a small metal lump to serve as a rattle; initially cast with side perforations to allow extraction of clay core and insertion of rattle; cast ring for suspension.","See catalogue","Late Bronze Age (950 BC - 250 BC)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16803338765","https://farm8.staticflickr.com/7594/16803338765_05933a64d7_m.jpg"
"34224","580","Crotal","","B.M. Collection 1854. O714. 13, see catalogue entry, purchased from T.L. Cooke","Ireland, County Offaly, Dowris - Dowris Hoard, Found in a bag during the 1820s","Doorosheath, Co. Offaly, Irlande","-7.841282099999944","53.1520072","","None","None","None","","","","","","","","","Bronze (Copper Alloy)","Dowris Hoard","Bronze Crotam: hollow-cast spherical pendant enclosing a small metal lump to serve as a rattle; initially cast with side perforations to allow extraction of clay core & insertion of rattle; cast ring for suspension.","See catalogue","Late Bronze Age (950 BC - 750 BC)","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16803338765","https://farm8.staticflickr.com/7594/16803338765_05933a64d7_m.jpg"
"34224","734","Crotal","","B.M. Coollection   1854.0714.13, ,   -> see catalogue entry, ,       Purchased from T. L. Cooke","Ireland, County Offaly, Dexoris - Dowris Hoard, Found in a bog during the 1820s,","",,,"","None","None","1820","","","","Bronze (Copper Alloy)","","","","2-part, hand-drawn, much shaded illustration.","","Dowris Hoard","Bronze Crotal:  hollow-cast spherical pendant enclosing a small metal lump to serve as a rattle:  , , initially cast with side perforations to allow extraction of clay core & la[??] section of rattle; cast ring for suspension.","See catalogue [sic]","Late Bronze Age, , (950 BC - 750 BC)","Marilyn Kohn","https://www.flickr.com/photos/115096994@N02/16803338765","https://farm8.staticflickr.com/7594/16803338765_05933a64d7_m.jpg"
"34225","433","Crotal","","British Museum Collection, 1883.0218.5,See catalogue entry,Purchased from Rev. Earl of Mulgrave.","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard","","See BM Catalogue","","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16802252982","https://farm8.staticflickr.com/7620/16802252982_60c626fa30_m.jpg"
"34225","580","Crotal","","B.M. Collection 1883. 0218. 5, see catalogue entry, Purchased from Rev. Earl of Mulgrave","Ireland, County Offaly, Dowris, Dowris Hoard, Found in a bag during the 1820s","Doorosheath, Co. Offaly, Irlande","-7.841282099999944","53.1520072","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard","","See BM catalogue","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16802252982","https://farm8.staticflickr.com/7620/16802252982_60c626fa30_m.jpg"
"34225","734","Crotal","","B.M. Collection  1883.0218.5, ,  -> see catalogue entry, ,     Purchased from Rev. Earl of Mulgrave","Ireland, County of Offaly, Davis, Davris Hoard, Found in a bog during the 1820s","Daoris, county Offaly, Ireland",,,"","None","None","1820","","","","","","","","Date is given as ""during the 1820s"", , , , 2-part, much-shaded illlustration.","Copper Alloy","Davris Hoard","","See BM Catalogue.","","Marilyn Kohn","https://www.flickr.com/photos/115096994@N02/16802252982","https://farm8.staticflickr.com/7620/16802252982_60c626fa30_m.jpg"
"34226","433","Crotal","","British Museum Collection, 1854.0714.9,See Catalogue,Purchased by T. L. Cooke","Ireland,County of Offaly,Dowris,Dowris Hoard,Part of a hoard found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: Hollow cast spherical pendant enclosing a small metal lump to serve as a rattle; initially cast with side perforations to allow extraction of clay core and insertion of rattle; cast ring for suspension.","see B.M. catalogue","Late Bronze Age (950-750 B.C.)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16802234101","https://farm8.staticflickr.com/7589/16802234101_b479b1850b_m.jpg"
"34226","580","Crotal","","B.M. Collection 1854. 0714. 9, See catalogue, Purchased by T.L. Cooke","Ireland, County Offaly, Dowris, Dowris Hoard, Part of a hoard found in a bag during the 1820s.","Doorosheath, Co. Offaly, Irlande","-7.841282099999944","53.1520072","","None","None","None","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: hollow cast spherival pendant enclosing a small metal lump to serve as a rattle; initially cast with side perforations to allow extraction of clay core and insertion of rattle; cast ring for sspension.","See B.M. Catalogue","Late Bronze Age (950 - 750 B.C.)","Denis Antoine","https://www.flickr.com/photos/115096994@N02/16802234101","https://farm8.staticflickr.com/7589/16802234101_b479b1850b_m.jpg"
"34226","734","Crotal","","B.M. Collection  1854.0714.9, ,  -> see catalogue, ,     Purchased by T. L. Cooke","Ireland, County Offaly, Davris, Davris Hoard, Part of a hoard found in a bog during the 1820s.,","",,,"","None","None","1820","","","","","","","","Date of discovery is actually given as ""during the 1820's."", , , , Large, detailed and much-shaded illustration.","Copper Alloy","Davris Hoard","Bronze Crotal:  hollow cast spherical pendant enclosing a small metal lump to serve as a rattle;, , initially cast with side perforations to allow extraction of clay core and insertion of rattle;, , cast ring for suspension.","See B. M. Catalogue","Late Bronze Age, ,   (950 - 750 B.C.)","Marilyn Kohn","https://www.flickr.com/photos/115096994@N02/16802234101","https://farm8.staticflickr.com/7589/16802234101_b479b1850b_m.jpg"
"34227","433","Crotal","","British Museum Catalogue, 1883.0218.4,See catalogue,Purchased from Rev. Earl of Mulgrave","Ireland,County Offaly,Dowris,Dowris Hoard,Found in a bog during the 1820s.","Offaly, Co. Offaly, Ireland","-7.712222900000029","53.2356871","","None","None","1820","","","","","","","","","Copper Alloy","Dowris Hoard","Bronze Crotal: Hollow cast spherical pendant enclosing a small metal lump to serve as a rattle; [...rably] cast with side perforations to allow extraction of clay core and insertion of rattle; cast ring for suspension.","See B.M. catalogue","Late Bronze Age (950 BC - 750 BC)","Joellen mcGann","https://www.flickr.com/photos/115096994@N02/16802252612","https://farm8.staticflickr.com/7647/16802252612_79e9834bdd_m.jpg"
