"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"29118","64","Tanged dagger (rivetted,Razor accg to GC","","Devizes,Stourhead 29a,DM1090 GC 333","S. of Robin Hood's Ball, barrow 4 or 5","Unnamed Road, Shrewton, Salisbury, Wiltshire SP3, UK","-1.8648040903319725","51.20830586891648","","None","None","None","","","","","","","","","","","","","Seen","Hugh Fiske","https://farm9.staticflickr.com/8568/16267656576_f83de06f9c_b.jpg","https://www.flickr.com/photos/MicroPasts/16267656576"
"29118","677","Tanged dagger (iwetted)","Razor acc g to GC","Diwes Stourhead 29 or DM 1090 GC 333","S. of Robin Hood's Bay, barrow 4 or 5","Robin Hood's Bay, Whitby, North Yorkshire YO22, UK","-0.5353509999999915","54.434419","Robin Hood's Bay, Whitby, North Yorkshire YO22, UK","None","None","None","","","","","","","","A lot of information appears to be missing. The handwriting was difficult to decipher/ follow. I made my best possible judgement.","","","","","Seaw","Michael George Adams","https://farm9.staticflickr.com/8568/16267656576_f83de06f9c_b.jpg","https://www.flickr.com/photos/MicroPasts/16267656576"
"29119","64","Dagger?,With [....] [....]","C","Devizes Museum,Stourhead Coll. 319","Unknown","","-1.8648040903319725","51.20830586891648","","None","None","None","139","42","","88","","","","","","","of unusual swan-bill shape, quite plain, strongly made. 2 rivet holes.","Devizes Museum Cat. 319.,DM 1147","Seen,No Mus. card","Hugh Fiske","https://farm9.staticflickr.com/8671/16106053948_60e7dc2d8f_b.jpg","https://www.flickr.com/photos/MicroPasts/16106053948"
"29119","677","Dagger? with Arojegordsl pearts","C","Deriezes Museum, , Stoierhead Coll = 319","Unknown","","-0.5353509999999915","54.434419","","None","None","None","139","42","","2 13/16 oz = 88 gm","","","","The handwriting was difficult to decipher/ follow. I made my best possible judgement. Also there does appear to be information missing.","","","Of unusual swan - lill shape, quite plain, strongly made. 2 rivet holes.","Deriezes Museum Cat = 319., , DM 1147","Seen, , No Mus. card","Michael George Adams","https://farm9.staticflickr.com/8671/16106053948_60e7dc2d8f_b.jpg","https://www.flickr.com/photos/MicroPasts/16106053948"
"29120","64","Flat Rivetted Knife - Dagger","III,red dot","Devizes Museum,Stourhead Coll. 184","England,Dorset,Woodyates,Barrow 9 (Hoare)","Woodyates, Salisbury, Dorset SP5, UK","-1.9656509999999798","50.968245","","None","None","None","225","60","","164","","","","","","Unburnt burial in barrow 9 (Hoare),awl GC78","flat plain blade","Evans PBI p236 Fig.294,An. Wilts I.239. Pl. XXXIV,Evans 'Bronze' fig. 294,Devizes Museum Catalogue Pt. I.184,DM 1070 on obj; GC77","Seen","Hugh Fiske","https://farm8.staticflickr.com/7577/15671179934_64a8a59c73_b.jpg","https://www.flickr.com/photos/MicroPasts/15671179934"
"29120","243","Flat Rivetted Knife. - Dagger","III,{Red Dot}","Devizes Museum,Stourkead Colln 184","England,Dorset.,Woodyates,,Barrow 9. (Hoare)","Woodyates, Salisbury, Dorset SP5, UK","-1.9656509999999798","50.968245","","None","None","None","225","60","","164","","","","Original writing on card appears to be old, probably 1800 or earlier.,1 side profile drawing on reverse.,4 rivet holes in what appears to be a separate u-shaped riveted neck in which the blade fits.  Blade is long and wide with a gentle curve at top instead of tip.","","Unburnt buried in barrow 9 (hoare),awl GC 78","flat plain blade","Evans P.B.I. P136 Fig. 294.,An=Wilts, 1.239. Pl=XXXIV.,Evans' 'Bronze' fig=294,Derizes Museum Catalogue Pt=1.184.,DM 1010 or obj; GC 77","Seen","Jeff Okazaki","https://farm8.staticflickr.com/7577/15671179934_64a8a59c73_b.jpg","https://www.flickr.com/photos/MicroPasts/15671179934"
"29121","64","Bush Barrow.,Rivetted Dagger,[....]","BB,red dot","Devizes Museum,Stourhead Coll. 23","England,Wilts,Winterbourne Stoke,Barrow 16 (Hoare)","Winterbourne Stoke, Salisbury, Wiltshire SP3, UK","-1.8911127000000079","51.16898639999999","","None","None","None","215","66","","141","","","","","","Unburny burial in barrow 16 (Hoare),Another rivetted dagger","Remains of wooden sheath adhering. 4 rivets, 2 intact.","An. Wilts, I.123. Pl. XV 2.,Evans Anc. Br. Impl. 241.,Devizes Museum Cat. Pt. I. 23,DM 932 GC266","Seen","Hugh Fiske","https://farm8.staticflickr.com/7556/16106054288_66cb3c4f18_b.jpg","https://www.flickr.com/photos/MicroPasts/16106054288"
"29121","433","Rivetted Incised (?) Bush Barrow Dagger","BB","Devizes Museum,Stourhead Collection 23","England,Wiltshire,Winterbourne Stoke,Barrow 16 (Hoare)","Winterbourne Stoke, Salisbury, Wiltshire SP3, UK","-1.8911127000000079","51.16898639999999","","None","None","None","215","66","","141","","","","Weight: 4 1/2 oz.=141 [? 4.5 oz. comes to 127.57 gms]","","Unburnt burial in barrow 16 (Hoare); Another Rivetted Dagger","Remains of wooden sheath adhering. 4 rivets, 2 intact.","Ans. Wilts. I, 123, Pl. XV, 2,Evans, Ancient Bronze Implements, 241,Devizes Museum Pat. Pt. I, 23,DM 932, GC 266","Seen","Joellen mcGann","https://farm8.staticflickr.com/7556/16106054288_66cb3c4f18_b.jpg","https://www.flickr.com/photos/MicroPasts/16106054288"
"29122","64","Bush Barrow,[....(?)] Dagger Rivetted","B.B.,red dot","Devizes Museum,Stourhead Coll. 24","England,Wilts,Winterbourne Stoke,Barrow 16 (Hoare)","Winterbourne Stoke, Salisbury, Wiltshire SP3, UK","-1.8911127000000079","51.16898639999999","","None","None","None","205","49","","123","","","","","","Unburnt burial in barrow 16 (Hoare),Another rivetted dagger","4 rivet holes broken away, bevelled edge, two lines following contour.","An. Wilts I.123. Pl. XV.2,Devizes Museum Cat. Pt. I.24,DM929 GC263","Seen","Hugh Fiske","https://farm8.staticflickr.com/7520/15673718973_f10872721e_b.jpg","https://www.flickr.com/photos/MicroPasts/15673718973"
"29122","433","Incised (?) Bush Barrow Dagger Rivetted","B.B.","Devizes Museum,Stowhead Collection 24","England,S. Wiltshire,Winterbourne Stoke,Barrow 1b (Hoare)","Winterbourne Stoke, Salisbury, Wiltshire SP3, UK","-1.8911127000000079","51.16898639999999","","None","None","None","205","49","","111.63","","","","Weight: 3 15/16 oz. = .723 [Uncertain what this means - but 3 15/16 oz. = 111.63 gms]","","Unburnt burial in barrow 1b (Hoare). Another Rivetted Dagger.","4 rivet holes broken away, bevelled edges, two lines following contour.","An. Wilts. I, 123, Pl. XV.2.,Devizes Museum Cat. Pt I,24,DM 929;GC 263","","Joellen mcGann","https://farm8.staticflickr.com/7520/15673718973_f10872721e_b.jpg","https://www.flickr.com/photos/MicroPasts/15673718973"
