"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"28788","64","Flat Knife,Rivetted Dagger","I,red dot","Hull Museum,No. 83","England,Yorkshire,From a barrow on the Yorkshire Wolds opened by Sir Tatton Syker (Grave No. 1)","",,,"","None","None","None","72","(blade) 30","","15","","heavily corroded","","","","Found in Grave No. 1 with unburnt body; in the same grave a small bronze awl was found with cremated remains.","","","","Hugh Fiske","https://farm8.staticflickr.com/7567/15644380704_ce817299ea_b.jpg","https://www.flickr.com/photos/MicroPasts/15644380704"
"28788","226","Riveted Flat Knife Dagger","I and a red dot sticker","Hull Museum, No. 83","England, Yorkshire, From a barrow on the Yorkshire wolds opened by Sir Tatton Sykes (Grave No. 1)","",,,"","None","None","None","72","(blade) 80","","15","","heavily corroded","","","","Found in grave No. 1 with un burnt body; in the same grave a small bronze owl was found with cremated remains.","","","","Elaine Dale","https://farm8.staticflickr.com/7567/15644380704_ce817299ea_b.jpg","https://www.flickr.com/photos/MicroPasts/15644380704"
"28788","727","Riveted Flat Knife-Dagger","I","Hull Museum, No. 83.","England, Yorkshire, from a barrel on the Yorkshire wolds opened by Sir Tatton Sykes (Grave No. 1.)","The Wolds, Cottingham, Cottingham, East Riding of Yorkshire HU16, UK","-0.43393330000003516","53.7803553","-","None","None","None","72","30","-","15","-","heavily corroded","-","-","-","found in grave No. 1. with unburnt body;in the same grade as a small bronze awl and was found with cremated remains.","Width as ""blade""","-","-","MARLA WALCOTT","https://farm8.staticflickr.com/7567/15644380704_ce817299ea_b.jpg","https://www.flickr.com/photos/MicroPasts/15644380704"
"28789","64","Dirk Frag.","B","Sheffield City Museum,Bateman Collection,J.93.462","England,Yorkshire,York","York, York, York, UK","-1.0872979000000669","53.95996510000001","","None","None","None","","","","25","Green/Brown","","","","","","","Catalogue of Bateman Antiquities (S.C.M.1899) p.77.","Broken in antiquity","Hugh Fiske","https://farm8.staticflickr.com/7571/16240885646_18941a9292_b.jpg","https://www.flickr.com/photos/MicroPasts/16240885646"
"28789","727","Dirk Frag.","B","Sheffield City Museum, Bateman Collection, J.93.462, ,","England, Yorkshire, York","York, York, York, UK","-1.0872979000000669","53.95996510000001","-","None","None","None","-","-","-","25","green/brown patina","-","-","-","-","-","-","Catalogue of Bateman Antiquities (S.C.M. 1899) p. 77.","Broken in antiquity","MARLA WALCOTT","https://farm8.staticflickr.com/7571/16240885646_18941a9292_b.jpg","https://www.flickr.com/photos/MicroPasts/16240885646"
"28790","64","DIRK","D1","Sheffield City Museum,Bateman Collection,J.93.459","England,Yorkshire,York","York, York, York, UK","-1.0872979000000669","53.95996510000001","","None","None","None","125","","","35","Thin green","","","","","","","Catalogue of Bateman Antiquities (S.C.M.1899) p.77","","Hugh Fiske","https://farm9.staticflickr.com/8568/16080937637_431fe5ccd2_b.jpg","https://www.flickr.com/photos/MicroPasts/16080937637"
"28790","727","Dirk","D1","Sheffield City Museum, Bateman Collection, J.93.459.","England, Yorkshire, York","York, York, York, UK","-1.0872979000000669","53.95996510000001","-","None","None","None","125","-","-","35","thin green patina","-","-","-","-","","-","Catalogue of Bateman Antiquities (S.C.M. 1899) p. 77.","-","MARLA WALCOTT","https://farm9.staticflickr.com/8568/16080937637_431fe5ccd2_b.jpg","https://www.flickr.com/photos/MicroPasts/16080937637"
"28791","64","Rivetted Small Dirk","D","Sheffield Museum,Bateman Collection,G241. T93459.","England,Yorkshire,York","York, York, York, UK","-1.0872979000000669","53.95996510000001","","None","None","None","126","25, 18.5, 9","","50","green","","4 blade","","","","Very rudely made. It has been attached to haft by tying. Butt end is much thinner than blade, & edges are jagged, probably by use.","","","Hugh Fiske","https://farm8.staticflickr.com/7478/15644382154_09feeaf073_b.jpg","https://www.flickr.com/photos/MicroPasts/15644382154"
"28791","727","Riveted Small Dirk","D","Sheffield City Museum, Bateman Collection, G 241. T93459.","England, Yorkshire, York","York, York, York, UK","-1.0872979000000669","53.95996510000001","-","None","None","None","126","See Description","-","50","Green","-","4","-","Bronze","-","Width as: ""25   18.5   9""  Thickness: ""blade"", , Very rudely made.  It has been attached to haft by tying.  Butt end is much thinner than blade + edges are jagged, probably by use.","-","-","MARLA WALCOTT","https://farm8.staticflickr.com/7478/15644382154_09feeaf073_b.jpg","https://www.flickr.com/photos/MicroPasts/15644382154"
"28792","64","Dagger, of Cypriote type, with hooked tang.","","Whitby Museum Acc. No. 3B,(Given by F. Elgee Esq.) [Dr Frank Elgee],1936,(Curator, Dorman Memorial Museum, Middlesbrough)","Yorkshire, NR,Whitby,Egton Moor","Egton, Whitby, North Yorkshire YO21, UK","-0.7534080000000358","54.44888899999999","","None","None","None","368","51 at widest point","","","","","","Length 14 1/2 in., , Width 2in. at widest point","","None","","Frank Elgee, Ph.D., in the Whitby Gazette, 27 November 1936, p.12, with photograph; the article states that the dagger 'has recently been given' to Dr Elgee by Mr. H.A. Innes, of Croft, to whom, about 1928 (about 8 years ago), it had been given by one of his farm employees, named Morton, who died about 1933 or 4 (= ""2 or 3 years ago"") aged 69, and who had been a farm lad at or near Egton when 'a pal' of his, another farm lad, found the dagger when herding up sheep on the moor. (Approx. date of the claimed discovery therefore within the 1880's. C.F.C.H.),Brought by Dr Elgee to the British Museum, Nov. 1936, when this card was filled in and its drawing made, and the dagger was submitted to Dr. H.J. Plenderleith, B.M. Research Laboratory, who reported on 5.Dec.1936 that 'there is nothing distinctive about the surface corrosive or surrosive deposits' on it.","These names written here +/- 1957 by Margaret Smith; reason not recorded,C.C. Fowler,D.M. Walker,Study of this and other Cypriot type dagger finds in Ctral Europe being carried out 1965 - by Warwick Bray, Dept. of Ancient History, The University, Sheffield 10.","Hugh Fiske","https://farm8.staticflickr.com/7498/16080687669_04b020170b_b.jpg","https://www.flickr.com/photos/MicroPasts/16080687669"
"28792","727","Dagger of Cybriote type with hooked tang","-","Whitby Museum  Acc. No. 3B, (Given by R, Elgee Esq)  [Dr. Frank Elgee, 1936], (Curator Dorman Memorial Museum, Middlesbrough)","Yorkshire, N.R., Whitby, Egton Moor","Whitby, North Yorkshire, UK","-0.6133469999999761","54.486335","-","None","None","None","368","51","-","-","-","-","-","Converted measurements from inches to millimeters.","-","None","Length as: 14 1/2 in. converted; Width as: 2 in. at widest point, converted., , , , Brought by Dr. Elgee to the British Museum, November 1936, when this card was filled in and it’s [backup?]  made, and the dagger was submitted to Dr. H.J. Plenderleith, B.M. Research Laboratory, who reported on 5.Dec.1936 that there is nothing distinctive about the surface corrosive or surrosive deposits on it.","Frank Elgee, Ph.D. in the Whitby Gazette, 27 November 1936, p. 12, with photograph; the article states that the dagger “has recently been given to Dr. Elgee by Mr. U.A. Innes, of Croft, to whom, about 1928 (“about 8 years ago”), it had been given by one of his farm employees, named Morton, who died about 1933 or 4 (=""2 or 3 years ago”) aged 69, and who had been a farm lad at or near Egton when “a pal” of his, another farm lad, found the dagger when herding up sheep on the moor.”  (Approx. date of the claim discovery therefore within the 1880s C.F.C.H.)","“These names written here +- 1957 by Margaret Smith: reason not recorded.  C.C. Fowler, D.M. Walker.”, , , , Study of this and other Cybriote type  dagger finds being carried out, 1965 - Warwick Bray, Dept of Ancient History, The University of Sheffield 10., ,","MARLA WALCOTT","https://farm8.staticflickr.com/7498/16080687669_04b020170b_b.jpg","https://www.flickr.com/photos/MicroPasts/16080687669"
"28793","727","Riveted Ogival Grooved Dagger","Ogival","Museum of the Leeds Philosophical & Literary Society, presented by W.H. Bartholomew by C.E., Headingley.","England, Yorkshire, Wakefield (near), Woodnook., Found while excavating a lock at a depth of 24 feet, 1842. Found in gravel bed above shale and in thick alluvial deposits","Wakefield, West Yorkshire, UK","-1.50592400000005","53.683298","-","None","None","None","235","67","-","249","Wrong","Smooth","-","-","-","-","The edges of the blade of slightly ogival outline; low-ridged midrib running the whole length of the blade; a hollow fluted groove runs parallel with and close to the cutting edge; behind this is a rounded ridge with V-shaped hollow beyond, defining outer edge of midrib.  Down each side of midrib are three cast or engraved parallel lines, and across the base of midrib three rows of engraved chevron ornament and one row of crossed zigzags; three large rivets at base of blade.  Beautiful preservation and finish.","Bowman, W. (ed.) 1855, Reliquiae Antiquae Eboracenses, pp 39-40","-","MARLA WALCOTT","https://farm8.staticflickr.com/7545/16080938967_7f006b422e_b.jpg","https://www.flickr.com/photos/MicroPasts/16080938967"
