"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"28314","243","DIRK","? B","London Museum A. 13942.","England,GREATER LONDON,Isleworth,Sion Reach.,according to Tremps list and similar card Wandle wet THAMES.","Railshead Road, Twickenham, Isleworth, Greater London TW7, UK","-0.32067742321783044","51.46450092430828","","None","None","None","300","30","","170","grey patina green stains.","Rather rough","5","2 cross section drawings of dirk on reverse.,Rivet holes at very bottom of base, holes are intact.  Base also includes 2 protrusions (one rounded, one pointed and likely broken or worn away) before narrowing to blade.  Blade cross section is a squashed oval.,Edge appears relatively intact on one side but chipped or otherwise corroded on the other.","","Found among the Pale-dwellings, with many other objects.","Two rivets","B. Trump. P.P.S. 1962. No. 8. p.97,No 157","","Jeff Okazaki","https://farm8.staticflickr.com/7559/16050031972_7b5b400141_b.jpg","https://www.flickr.com/photos/MicroPasts/16050031972"
"28314","677","Dirk","B","London Museum A.13942.","England, Greater London, Trumps III Barthes, Isleworth, Siou Reach, According to Trumps list and similar card., Wandle not THAMES.","Isleworth, Greater London, UK","-0.329003000000057","51.467121","Isleworth, Greater London, UK","None","None","None","300","30","","170","Green stains","Rather rough grey","5","Some information appears to be missing and sometimes difficult to follow. I made my best possible judgement.","Two rivets","Found among the Pile - dwellings, with many other objects.","","B. Trump. P.P.S. 1962. No. 5. p. 97 No 157","","Michael George Adams","https://farm8.staticflickr.com/7559/16050031972_7b5b400141_b.jpg","https://www.flickr.com/photos/MicroPasts/16050031972"
"28314",,"Dirk","","British Museum A 13942","England, Greater London, Isleworth, Sion Reach","",,,"","None","None","None","300","30","","170","Grey green stains","Rather rough","5","","Two rivets","","","B. Trump PPS 1962 No 5 p97 No 157","According to Trumps list and similar card Wandle not THAMES, , Trump's 111 Barnes, , Found smong the Pile-dwellings, with many other objects","Anon.","https://farm8.staticflickr.com/7559/16050031972_7b5b400141_b.jpg","https://www.flickr.com/photos/MicroPasts/16050031972"
"28315","677","Dirk - Raprer orchirk with trapgordal plate","B","London Museum. A. 18106.","England, Greater London, Isleworth, Sion Reach, From the Thames.","Isleworth, Greater London, UK","-0.329003000000057","51.467121","Isleworth, Greater London, UK","None","None","None","251","37","","155.98","","Smooth dark brown","5","Sometimes the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","2 riveti","","","","","Michael George Adams","https://farm8.staticflickr.com/7564/16048771281_c5dd6eba57_b.jpg","https://www.flickr.com/photos/MicroPasts/16048771281"
"28315",,"Dirk","","London Museum A18106","England, Greater London, Islesorth, Sion Reach","",,,"","None","None","None","251","37","","155.98","","Smooth Dark brown","5","","","","","","Rapier archive with trapezoidal plate, , From the Thames","Anon.","https://farm8.staticflickr.com/7564/16048771281_c5dd6eba57_b.jpg","https://www.flickr.com/photos/MicroPasts/16048771281"
"28316","727","Dirk  Trump’s I","B","Guildhall Museum, Catalogue p.3. no 14.","England, Greater London, Sion Reach, River Thames","London, UK","-0.12775829999998223","51.5073509","-","None","None","None","207","24","-","77.96","dull brown","smooth","for","in References to Publications, ""103"" is in a different hand in pencil","-","","-","B.A.V. Trump. P.P.S. 1962. No. 5. P. 96, 103","-","MARLA WALCOTT","https://farm8.staticflickr.com/7526/15428443514_b83cca3a3d_b.jpg","https://www.flickr.com/photos/MicroPasts/15428443514"
"28316",,"Dirk with trapezoidal plate","","Guildhall Museum,catalogue p3 no14","England, GREATER LONDON, Isleworth, Sion Reach, River Thames","",,,"","None","None","None","207","24","","77.96","","Smooth, dull brown","4","","","","","B.A.V. Trump P.P.S. 1962 No. 5 P.96","","Anon.","https://farm8.staticflickr.com/7526/15428443514_b83cca3a3d_b.jpg","https://www.flickr.com/photos/MicroPasts/15428443514"
"28317","433","Rapier","B","Vize Collection, No. 47","England,Greater London,Isleworth,Sion Reach,R. Thames,17 Nov. 1902","Isleworth, Greater London, UK","-0.329003000000057","51.467121","","17","11","1902","472.5","44","23","240.97","","Good preservation, dark gold bronze colour - nearly all black stained.","5","Width: Hilt end 44mm; 65mm; blade 23mm","","","2 Rivets remain.","B.A.V. Trump, P.P.S. 1962, No. 5, p. 97, No. 131","Trumps II Wandsworth","Joellen mcGann","https://farm8.staticflickr.com/7491/16050720945_d779002bfe_b.jpg","https://www.flickr.com/photos/MicroPasts/16050720945"
"28317","727","Rapier  Trump’s II Wandsworth","B","Vize Collection   No 47","England, Greater London, Isleworth, Sion reach. R. Thames, 17 Nov. 1902","London, UK","-0.12775829999998223","51.5073509","-","None","None","None","472.5","See Description","-","240.97","then","good preservation, dark gold bronze colour - nearly all black stained","See Description","In References to Publications, ""No 131"" is written in another hand in pencil.","-","-","Width as: hilt end 44 mm, 65 mm, blade 83 mm; Thickness as: blade 5 mm, , , , 2 rivets remain","B.A.V. Trump. P.P.S. 1962. No. 5. P. 97, No 131","-","MARLA WALCOTT","https://farm8.staticflickr.com/7491/16050720945_d779002bfe_b.jpg","https://www.flickr.com/photos/MicroPasts/16050720945"
"28318","433","Dirk","B","Royal Scottish Museum, Edinburgh,Reg. No.: 1905.221","England,Greater London,Isleworth-on-Thames,Found in the River","Isleworth, Greater London, UK","-0.329003000000057","51.467121","","None","None","None","331","27","","211","Light rust colour with the original bronze colour showing through in places.","","6","","","","Dagger, of bronze, with two rivets in position. Well preserved.","","","Joellen mcGann","https://farm8.staticflickr.com/7552/15431075463_99a6ae29a7_b.jpg","https://www.flickr.com/photos/MicroPasts/15431075463"
