"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"5161","181","Palstave","I4F","Cartwright Memorial Hall,,Bradford,  Yorks.","england,yorkshire,apperly bridge (near)","yorkshire england","53.77864","-1.528635e+00","","None","None","None","160","","53","427","Green - metal showing through in places.","","35.5","","","","Thin, narrow stop-ridge, semi-elliptical ornament below stop-ridge, edges of wings faceted by hammering.","","","Cheryl Ellsworth","http://farm3.staticflickr.com/2844/12673962625_88ae4842c3_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962625"
"5161","193","Palstave","I4F","Cartwright Memorial Hall;Bradford;Yorkshire","england;yorkshire;apperly bridge(nr)","apperley bridge, yorkshire","53.83582","-1.705070e+00","","None","None","None","160","","","427","green patina-metal showing through in places","","","Misspelling on card: should be ""Apperley"" Bridge","","","Thin, narrow stop-ridge, semi-eliptical ornament below stop-ridge;edges of wings facetted by hammering.","","","Peter Helliwell","http://farm3.staticflickr.com/2844/12673962625_88ae4842c3_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962625"
"5161","226","Palstave","I4F","Cartwright Memorial Hall,,, , Bradford Yorks.","england,, yorkshire,, apperly bridge (near),","","54.70235","-3.276575e+00","","None","None","None","160","","","427","Green  - metal showing through in places","","35.5","","Thin, narrow stop-ridge, semi-eliptical ornament below stop-ridge, edges of wings facetted by hammering.","","","","","Elaine Dale","http://farm3.staticflickr.com/2844/12673962625_88ae4842c3_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962625"
"5161",,"Palstave","I4F","Cartwright memorial hall,, , Bradford, Yorks.","england, yorkshire, apperley bridge (new)","apperley bridge","53.83559","-1.703611e+00","","None","None","None","160","53","28.5","429","metal showing through in places","Green","35.5","","Thin, narrow slope-ridge, semi-elliptical ornament below stop-ridge of wings facetted by hammering.","","","","","Anon.","http://farm3.staticflickr.com/2844/12673962625_88ae4842c3_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962625"
"5162","9","Palstave","I1D","Cartwright Memorial Hall,, Bradford, York.","england, yorkshire,, baildon green, near bradford","baildon green, yorkshire","53.84336","-1.778815e+00","","None","None","None","152","18","57","390","dark green","pitted in places","32","","High midrib of semi circular form, splayed sides to blade.","","","","Measurements indicated as:  Width 57m (edge), 18m (batt)","Adi Keinan-Schoonbaert","http://farm4.staticflickr.com/3817/12673962315_8bda2d918b_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962315"
"5162","36","Palstave","I1D","Cartwright Memorial Hall, Bradford, Yorks.","england, yorkshire, baildon green, near bradford","baildon green, bradford","53.84336","-1.778815e+00","","None","None","None","152","18","57","390","dark green","pitted in places","32","","High midrib of semicircular form, splayed sides to blade.","","","","","exiledfrommaine","http://farm4.staticflickr.com/3817/12673962315_8bda2d918b_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962315"
"5162","37","Palstave","","Cartwright Memorial Hall, Bradford, Yorkshire","baildon green, bradford, yorkshire","baildon green","53.84336","-1.778815e+00","","None","None","None","152","63","18","390","Dark green","Pitted in places","32","","High midrib of semicircular form, splayed sides to blade","","","","","vtri","http://farm4.staticflickr.com/3817/12673962315_8bda2d918b_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962315"
"5162","181","Palstave","I1D","Cartwright Memorial Hall,,Bradford, York.","england,yorkshire,baildon green, near bradford.","baildon green, yorkshire","53.84336","-1.778815e+00","","None","None","None","152","","57","390","dark green","pitted in places.","32","","","","High midrib of semi circular form, splayed sides to blade.","","","Cheryl Ellsworth","http://farm4.staticflickr.com/3817/12673962315_8bda2d918b_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962315"
"5162","226","Palstave","I1D","Cartwright Memorial Hall,,, , Bradford, Yorks.","england,, yorkshire,, baildon green, near bradford","baildon green, england","53.84336","-1.778815e+00","","None","None","None","152","","","390","dark green","pitted in places","32","","High midrib of semi circular form, splayed sides to blade.","","","","","Elaine Dale","http://farm4.staticflickr.com/3817/12673962315_8bda2d918b_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962315"
"5162",,"Palstave","IiD","Memorial Hall, Bradford, Yorks.","england, yorkshire, baildon green, near bradford","baildon green","53.84336","-1.778815e+00","","None","None","None","152","59","18","390","Dark green","Pitted in place","32","","high of semicircular form","","","","","Anon.","http://farm4.staticflickr.com/3817/12673962315_8bda2d918b_b.jpg","http://www.flickr.com/photos/MicroPasts/12673962315"
