"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"3288","243","PALSTAVE","[Red Dot]","AYLESBURY, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","51.52502","-6.429398e-01","","None","None","1926","163","57","57","","","badly corroded. Cleaned down to metal.","","3 cross section drawings of palstave on reverse.,, , Surface appears to be pitted or damaged,, , Edge heavily damaged, cracked on one corner, most of blade and other corner missing.,, , Casting marks visible.,, , Slight indented decoration below stop.  Hard to make out from drawing but appears to be teardrop shape?,, , Butt damaged with v-shaped notch.","","Hoard of 18 palstaves.","","Ant. J. XIII. 55","ND 74","Jeff Okazaki","http://farm8.staticflickr.com/7208/13305092224_a59180840b_b.jpg","http://www.flickr.com/photos/MicroPasts/13305092224"
"3288","441","Palstave","","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate","burnham, slough","51.52328","-6.465615e-01","","None","None","1926","163","57","","","","Badly corroded. Cleaned down to metal.","","","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Holden","http://farm8.staticflickr.com/7208/13305092224_a59180840b_b.jpg","http://www.flickr.com/photos/MicroPasts/13305092224"
"3288",,"Palstave","","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","burnham","51.52215","-6.269604e-01","","None","None","1926","163","57","","","","Badly corroded. Cleaned down to metal.","","","","Hoard of 18 palstaves","","","","Anon.","http://farm8.staticflickr.com/7208/13305092224_a59180840b_b.jpg","http://www.flickr.com/photos/MicroPasts/13305092224"
"3288",,"PALSTAVE","","AYLESBURY, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","51.52217","-6.268894e-01","","None","None","None","163","57","","","","badly corroded. Cleaned down to metal.","","","","Hoard of 18 palstaves.","","Ant. J. XIII. 55","","Anon.","http://farm8.staticflickr.com/7208/13305092224_a59180840b_b.jpg","http://www.flickr.com/photos/MicroPasts/13305092224"
"3289","64","PALSTAVE","","AYLESBURY, Bucks. Co. Museum (loan)","bucks (berks),, burnham,, slough trading estate,, 1926","slough","51.52670","-6.364686e-01","","None","None","1926","160","58","","","","","","","","Hoard of 18 palstaves","","Ant. J. XIII. 55","ND 74","Hugh Fiske","http://farm8.staticflickr.com/7125/13304879533_07ae610c67_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879533"
"3289","243","PALSTAVE","[RED DOT]","AYLESBURY, Bucks. Co. Musuem (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","51.52494","-6.428110e-01","","None","None","1926","160","58","","","","","","3 cross section drawings of palstave on reverse.,, , Blade is heavily pitted.,, , Strong side ridges below stop,, , Midrib a starting a little below stop and tapering off toward edge.,, , Edge is chipped,","","Hoard of 18 palstaves","","Ant. J. XIII. 55","ND 74","Jeff Okazaki","http://farm8.staticflickr.com/7125/13304879533_07ae610c67_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879533"
"3289","441","Palstave","","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate","burnham slough","51.52328","-6.465615e-01","","None","None","1926","160","58","","","","","","","","Hoard of 18 palstaves","","Ant. J. XIII 55","","Holden","http://farm8.staticflickr.com/7125/13304879533_07ae610c67_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879533"
"3289",,"Palstave","","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate","","51.52196","-6.269390e-01","","None","None","1926","160","58","","","","","","","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Anon.","http://farm8.staticflickr.com/7125/13304879533_07ae610c67_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879533"
"3290","226","PALSTAVE","BUCKS (BERKS),, , Burnham,, , Slough Trading Estate,, , 1926","Aylesbury, Bucks. Co. Museum (loan)","","burnham, england","54.70235","-3.276575e+00","","None","None","1907","134","56","","","","","","""ND74"" written in bottom left corner of card","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Elaine Dale","http://farm8.staticflickr.com/7179/13304879273_5e98284839_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879273"
"3290","243","PALSTAVE","[Red Dot]","AYLESBURY, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","51.52492","-6.428110e-01","","None","None","1926","134","56","","","","","","3 cross section drawings of palstave on reverse.,, , Strong side ridges below stop, tapering off at edge bevel,, , Midrib just below stop, Slight short midrib inside septum just above stop,, , Palstave is slightly encrusted, Casting marks visible","","Hoard of 18 palstaves","","Ant. J. XIII. 55","ND 74","Jeff Okazaki","http://farm8.staticflickr.com/7179/13304879273_5e98284839_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879273"
"3290","427","Palstave","","Aylesbury, Bucks Co, Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","51.51530","-6.253874e-01","","None","None","None","134","56","","","","","","","","Hoard of 18 palstaves","","Ant. J. XIII. 55","ND 74","Valeska Becker","http://farm8.staticflickr.com/7179/13304879273_5e98284839_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879273"
"3290","440","PALSTAVE","","AYLESBURY, Bucks. Co. Museum","bucks (berks), burnham, slough trading estate","","51.53923","-6.614859e-01","","None","None","1926","134","56","","","","","","","","Hoard of 18 palstaves","","Ant. J. XIII.55","","Anne-Marie Davies","http://farm8.staticflickr.com/7179/13304879273_5e98284839_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879273"
"3290",,"Palstave","","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","","51.52198","-6.270249e-01","","None","None","1926","134","56","","","","","","","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Anon.","http://farm8.staticflickr.com/7179/13304879273_5e98284839_b.jpg","http://www.flickr.com/photos/MicroPasts/13304879273"
"3291","226","PALSTAVE","","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks),, burnham,, slough trading estate,, 1926","burnham, england","51.53621","-6.571411e-01","","None","None","1926","154","56","","","","badly corroded, bright green","","","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Elaine Dale","http://farm8.staticflickr.com/7197/13305091724_54e613ba62_b.jpg","http://www.flickr.com/photos/MicroPasts/13305091724"
"3291","243","PALSTAVE","[Red Dot]","AYLESBURY, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","51.52454","-6.424248e-01","","None","None","1926","154","56","56","","","badly corroded, bright green","","3 cross section drawings of palstave on reverse.,, , Palstave is heavily damaged and encrusted.,, , One corner of blade and most of edge missing,, , Casting marks visible on top, very wavy,, , Inset shield decoration? just below stop with 3? ribs inside.","","Hoard of 18 palstaves","","Ant. J. XIII. 55","ND 74","Jeff Okazaki","http://farm8.staticflickr.com/7197/13305091724_54e613ba62_b.jpg","http://www.flickr.com/photos/MicroPasts/13305091724"
"3291","427","Palstave","","Aylesbury, Bucks. Co. Museum (loan)","bucks (berks), burnham, slough trading estate, 1926","slough trading estate","51.51530","-6.253874e-01","","None","None","None","154","56","","","","badly corroded, bright green","","","","Hoard of 18 palstaves","","Ant. J. XIII. 55","","Valeska Becker","http://farm8.staticflickr.com/7197/13305091724_54e613ba62_b.jpg","http://www.flickr.com/photos/MicroPasts/13305091724"
