"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"4256","13","Battle axe","","Private, 1923, Lord Howard de Walden, Belgrave Square Sw","albania, ioannina, 1819","","20.85227840","39.66398","","None","None","None","180","","","907.2","dark blackish green, with golden bronze showing","smooth","","","","","","","Labelled: -, Bipennis, or double headed Macedonian Battle axe. discovered near Ioannina in, albania in 1819., The only known specimen.","Lucy Ellis","http://farm4.staticflickr.com/3723/13306383743_9867ef6027_b.jpg","http://www.flickr.com/photos/MicroPasts/13306383743"
"4256","196","Battle Axe","","Private, 1923,  Lord Howard de Walden, Belgrave Square SW","albania, joannina, 1019","","9.19061660","45.46662","","None","None","None","180","40","72","907.2","dark blackish green with golden bronze showing","smooth","26.5","Width given as: edges 72, 71 centre 40, , Thickness: 26.5 middle","","","","","Labelled:- Bipennis or double headed Macedonian Battle Axe discovered near Joannina in Albania in 1819. The only known specimen.","Mary Thomson","http://farm4.staticflickr.com/3723/13306383743_9867ef6027_b.jpg","http://www.flickr.com/photos/MicroPasts/13306383743"
"4256","226","Battle Axe","","Private, 1923, Lord Howard de Walden, Belgrave Square SW","albania, joannina, 1819","","9.19061660","45.46662","","None","None","1819","180","","","907.2","dark blackish green, with golden bronze showing","smooth","","","","","","","Labelled:-, Bipennis, or double headed Macedonian Battle Axe.  Discovered near Joannina in Albania in 1819.  The only known specimen.","Elaine Dale","http://farm4.staticflickr.com/3723/13306383743_9867ef6027_b.jpg","http://www.flickr.com/photos/MicroPasts/13306383743"
"4256","433","Battle Axe","","Private collection, Lord Howard de Walden, 1923, Belgrave Square SW","albania, ioannina 1819","albania","19.99996190","41.00003","","None","None","1819","180","40","73","907","dark blackish green, with golden bronze showing","smooth","27","Site - Ioannina is a city in modern Greece - although Janina was a subregion of the Ottoman Empire that encompassed most of Albania., , Width: edges 72.71; centre 40, , Thickness: 26.5 middle, , Weight: 907.2 gms","","","","","Labelled: Bipennis, or double headed Macedonian Battle Axe, discovered near Ioannina in Albania in 1819. The only known specimen.","Joellen mcGann","http://farm4.staticflickr.com/3723/13306383743_9867ef6027_b.jpg","http://www.flickr.com/photos/MicroPasts/13306383743"
"4256",,"Battle axe","","Private collection, , , , Lord Howard de Walden, , Belgrade Square SW","albania ioannina 1819","ioannina","18.87473934","41.85229","","None","None","1819","180","40","","907.2","dark blackish green, with golden hinge showing","Smooth","26.5","","","","","","Labelled: -, , , , Bipennis, a double headed Macedonian battle axe. Discovered near Ioannina in Albania in 1819. The only known specimen.","Anon.","http://farm4.staticflickr.com/3723/13306383743_9867ef6027_b.jpg","http://www.flickr.com/photos/MicroPasts/13306383743"
"4257","13","Flanged Celt.","","Herts County Museum., St albans, lent by Capt. J. H. Ball. RAF","? austria, huthanger, kirchaham","","9.19061660","45.46662","","None","None","None","144","","","226.8","dark green. polished","smooth., Clay adheres to septum.","","Had real difficulty in locating the potential sites as I could transcribe them - Huthanger and Kirchaham do not seem to exist, though it might relate to Kirchheim? Also, in 'Collection' it might read Capt. I. H. Ball. but I took the section of the first initial below the lines on the card to mean a J.","","","","","","Lucy Ellis","http://farm3.staticflickr.com/2889/13306592564_711e132f4a_b.jpg","http://www.flickr.com/photos/MicroPasts/13306592564"
"4257","181","Flanged Celt","","Herts County Museum. St. Albans,lent by Capt. J.H. Ball RAF","?austria,huthanger,kirchahorn","kirchahorn","11.40224850","49.83480","","None","None","None","144","","28","226.8","dark green. polished","smooth","","","","","Clay adheres to septum.","","","Cheryl Ellsworth","http://farm3.staticflickr.com/2889/13306592564_711e132f4a_b.jpg","http://www.flickr.com/photos/MicroPasts/13306592564"
"4257","433","Flanged Celt","","Herts County Museum, St. Albans, lent by Capt. J.H. Ball, RAF","austria?, huthanger, kirchahorn","","14.37616347","48.40618","","None","None","None","144","24","28","227","dark green. polished","smooth. clay adheres to septum","8","Site: names under site do not appear to be geographic locations, , Width: edge 28; middle 24; butt 23.5, , Thickness: 7.5; 23.5, , Weight: 226.8 gms","","","","","","Joellen mcGann","http://farm3.staticflickr.com/2889/13306592564_711e132f4a_b.jpg","http://www.flickr.com/photos/MicroPasts/13306592564"
"4257",,"Hinged celt","","Hert. county museum. St. Albans, , , , lent by capt. J. H. Ball. RAF","? austria, huthanger, [...]","","14.11249160","48.34780","","None","None","None","144","24","28","226.8","Clay adheres in septum. Dark green. Polished","smooth","","","","","","","","Anon.","http://farm3.staticflickr.com/2889/13306592564_711e132f4a_b.jpg","http://www.flickr.com/photos/MicroPasts/13306592564"
"4258","181","Flanged Celt","","Herts County Museum. St. Albans.,lent by Capt. I.H. Ball RAF","austria","austria","13.19995900","47.20003","","None","None","None","103","","28","127.56","","pocked & rather rough. dark bronze colour. The pits are rust colour & a good deal of mud covers the surface.","","","","","Faceted sides","","","Cheryl Ellsworth","http://farm3.staticflickr.com/2852/13306592384_fe309559a3_b.jpg","http://www.flickr.com/photos/MicroPasts/13306592384"
