"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"10466","1","Flat celt","d","Private, F Ransom Esq, Hitchin","england, berkshire","berkshire","-1.03187293","51.45349","","None","None","None","115","","","279.95","Thick light brownish green. On one side this is almost earth colour and it is chipped off at the edges.","Smooth","","","","","","","","Daniel Pett","https://farm4.staticflickr.com/3803/13310712683_e57c29fa6e_b.jpg","https://www.flickr.com/photos/MicroPasts/13310712683"
"10466","64","Flat Celt","d","Private Collection,F. Ransom Esq.,Hitchin","england,berkshire","","-3.27657530","54.70235","","None","None","None","115","","","","thick light brownish green patina on one side this is almost earth colour & it is chipped off at the edges.","smooth","","Weight transcribed as written","","","","","","Hugh Fiske","https://farm4.staticflickr.com/3803/13310712683_e57c29fa6e_b.jpg","https://www.flickr.com/photos/MicroPasts/13310712683"
"10467","64","Flat axe","d","Reading Museum 44:52,T.C.B. Coll.","berks.,bray.,dredged from the thames, 400 yards above bray. march 1952.","bray berks","-0.70626143","51.50912","","None","3","1952","","","","","Cleaned.","","","","Bronze. Good Condition.","","","","J. Wymer","Hugh Fiske","https://farm4.staticflickr.com/3676/13310923184_af253d7593_b.jpg","https://www.flickr.com/photos/MicroPasts/13310923184"
"10467",,"Flat Axe","d","","berks., bray., dredged from the thames, 400 yards above bray.","bray on thames","-0.70036511","51.51129","","None","3","1952","","","","","Cleaned","","","There is a lot of information missing from this card. There are no measurements listed, weight etc so I have entered what I can see. There is no grid reference on the card so I have found the nearest point on the map that I can deduce from the description. The only letter in the top right corner is a letter d. Underneath that is:, ,    Reading Museum 44:52 T.C.B. Coll. , , The only other information is the signature J.Wymer.","","","","","","Anon.","https://farm4.staticflickr.com/3676/13310923184_af253d7593_b.jpg","https://www.flickr.com/photos/MicroPasts/13310923184"
"10468","243","Flat Celt.","d","Reading Museum A.L. XLIV.,Davies Collection (Wallingford) March 1891.","england,berkshire,cholsey,near church,found when ploughing,june 1878.","cholsey","-1.15471973","51.57844","","None","6","1878","126","","77","347.28","","yellow Bronze. with black stains.","12","2 cross section drawings of celt on reverse.,Blade widens more quickly as it nears edge, tips very slightly flared.,Edge blunted.","","","Butt slightly hammered. edge dented.","","","Jeff Okazaki","https://farm8.staticflickr.com/7403/13310711953_3f8cba2448_b.jpg","https://www.flickr.com/photos/MicroPasts/13310711953"
"10468","482","Flat Celt","d","","england, berkshire, cholsey","cholsey berkshire","-1.24194140","51.40222","","None","6","1878","126","27","77","347.288","","yellow Bronze with black stains","12","","Butt slightly hammered.edge dented","","","Reading Museum   A.L. XLIV, , Davies collection (Wallingford)  March 1891","found when ploughing","scruffyarcher","https://farm8.staticflickr.com/7403/13310711953_3f8cba2448_b.jpg","https://www.flickr.com/photos/MicroPasts/13310711953"
"10469","161","Flat Celt","d","Reading Museum, AL. XLV,Davies Coll. (Wallingford) March 1891.","england,berks,cholsey,near church,","cholsey","-1.15854992","51.57903","","None","6","1878","142","","101","432.33","dark with patches of apple green","badly pitted","9","found while ploughing, June 1878,","","","Butt broken + cracked. edge dented","","","Jared Obermeyer","https://farm8.staticflickr.com/7443/13310711633_11b4a8772c_b.jpg","https://www.flickr.com/photos/MicroPasts/13310711633"
"10469","482","Flat Celt","d","Reading Museum  A L  XLV, , Davies Coll[ection} (Wallingford) March 1891","england, berks, cholsey","cholsey berkshire","-1.24194140","51.40222","","None","6","1878","142","38","101","432.33","","badly pitted- dark with patches of apple green","9","","Butt broken and cracked, Edge dented","","","","found when ploughing","scruffyarcher","https://farm8.staticflickr.com/7443/13310711633_11b4a8772c_b.jpg","https://www.flickr.com/photos/MicroPasts/13310711633"
"10470","161","Flat Axe, (""Small bronze celt"")","unclassifiable","Item now untraced","berkshire, cholsey, halfpenny lane","cholsey, halfpenny lane","-1.16216200","51.55658","","None","None","None","","","","","","","","remark added in pencil at some time","","","","H. Peaks ""Berkshire"" 51.,J.K. Hodges. History of Wallingford. I. 148","Is this one of those in Reading Museum? (Found near church in 1878)","Jared Obermeyer","https://farm4.staticflickr.com/3743/13310551415_1947b09c06_b.jpg","https://www.flickr.com/photos/MicroPasts/13310551415"
"10470","482","Flat Axe (""small bronze celt"")","unidentifiable","Item now untraced","berkshire, cholsey, halfpenny lane","cholsey berkshire","-1.24194140","51.40222","","None","None","None","","","","","","","","","","","","H Peaks ""Berkshire""51, , JR Hedges History of Wallingford I 148","Is this one of those in Reading Museum? (found near church in 1878)","scruffyarcher","https://farm4.staticflickr.com/3743/13310551415_1947b09c06_b.jpg","https://www.flickr.com/photos/MicroPasts/13310551415"
"10471","535","Flat Celt","Ashmolean Museums, Oxford, , 1896-1908. Pr 371, , Rev J.C Clutterbuck Collection., , Given by Rev. J.C. Clutterbuck 1885","Rev. J.C. Clutterbuck Collection, , Ashmolean Museums Oxford","england, berkshire, long wittenham, found on the river thames","long wittenham, berkshire, england","-1.05249040","51.45698","","None","None","None","159","","79","390","brown patina","","11","","","","In good condition, brown patina, herring-bone ornament on lower half of edge, and across blade between A.B and X.Y","","","Nina Sharman","https://farm8.staticflickr.com/7315/13310550985_13d005a555_b.jpg","https://www.flickr.com/photos/MicroPasts/13310550985"
"10471",,"Flat. Celt.","d","Ashmolean Museum, Oxford, , 1896-1908. Pr.371, , Rev. J.C.Clutterbuck Collection, , Given by Rev. J.C.Clutterbuck. 1885.","england, berkshire, long wittenham, found near the river thames","long wittenham","-1.20979040","51.64110","","None","None","None","159","","79","390.8","","","11","My first try. There are 2 stats for width. Patina is included in Description.","","","In good condition, brown patina, herring-bone ornament on lower half of edge,and across blade between A.B and X.Y. A faint ridge at A.B.","","","Anon.","https://farm8.staticflickr.com/7315/13310550985_13d005a555_b.jpg","https://www.flickr.com/photos/MicroPasts/13310550985"
"10472","541","Flat Celt","d","Eton College Museum, , pres. by Reverand E. Hale","england, berkshire, from r. thames, maidenhead (near)","maidenhead","-0.70302539","51.52331","","None","None","None","163.5","","101","560","","","","","Bronze","","","","Lady Willis Chitty, daughter of the donor, says that most of the implements in her father's possession (now in Eton College Museum) were dredged from the R. Thames between Maidenhead and Windsor","Tim Mudie","https://farm8.staticflickr.com/7258/13310709903_59d3bda771_b.jpg","https://www.flickr.com/photos/MicroPasts/13310709903"
"10472",,"Flat Celt","","Eton College Museum, , pres. by Rev. E. Hale","england, berkshire, from r. thames, maidenhead (near)","maidenhead","-0.69221073","51.51247","","None","None","None","163.5","","101","560","","","","","Bronze","","","","Lady Willis Chitty, daughter of the donor, says that most of the implements in her father's possession (now in Eton College Museum) were dredged from the R. Thames between Maidenhead and Windsor.","Anon.","https://farm8.staticflickr.com/7258/13310709903_59d3bda771_b.jpg","https://www.flickr.com/photos/MicroPasts/13310709903"
"10473","541","Flat Axe","","Eton College Museum 190","berkshire, maidenhead (near)","maidenhead","-0.70126586","51.52537","","None","None","None","161","101","","","","","","","","","","","","Tim Mudie","https://farm4.staticflickr.com/3681/13310549945_ece68525b3_b.jpg","https://www.flickr.com/photos/MicroPasts/13310549945"
"10473",,"Flat Axe","","Eton College Museum, 190","r. thames, berks, nr. maidenhead","near maidenhead","-0.70319705","51.51589","","None","None","None","161","101","","","","","","Initials MJR appear below Surface.","","","","","","Anon.","https://farm4.staticflickr.com/3681/13310549945_ece68525b3_b.jpg","https://www.flickr.com/photos/MicroPasts/13310549945"
"10474","541","Flat Celt, Hammer - Flanged","d, , , ,","Borough of Newbury Museum, , I.63 (Old catalogue), , Given by Mr. J.W. Roake before 1854","england, berkshire, newbury (in the neighbourhood of), exact site unknown","newbury","-1.32364250","51.40201","","None","None","None","170","","76","520","","","115","","Assay by analysis: Copper 91.35, Tin 8.64","","There are slight signs of flanges, but the surface is much decayed","","It has been suggested by Mr. O.G.S. Crawford (Geog, Journ.) that perhaps this may be the flat celt found on a gravel heath to the north of Newbury and exhibited by Mr John Pardue in 1846 [...] B.A.A.I. (1846) 337","Tim Mudie","https://farm4.staticflickr.com/3691/13310549765_2a2fe4122c_b.jpg","https://www.flickr.com/photos/MicroPasts/13310549765"
