"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"11060","6","Flanged Axe","","W. Gibbons, Dunton, Biggleswade, Beds.","England,Beds.,Nr. Dunton, Biggleswade","Dunton, Biggleswade, Central Bedfordshire SG18, UK","52.0828","-0.19510000000002492","","None","None","None","171","73","","","Smooth green patina","","","""with stop ridge"" under type., , Personal address of collector omitted.","","","cutting edge ground; one side unpatinated. On each face slight mouldings parallel with sides. Roughening of surface in centre of flat sides.","","","Andrew Bevan","https://farm6.staticflickr.com/5571/14968888712_0562670ebb_b.jpg","https://www.flickr.com/photos/MicroPasts/14968888712"
"11060","433","Flanged Axe With Stop-Ridge","","W. Gibbons, 1 boat Lane, Dunton, Biggleswade, Bedfordshire","England,Bedfordshire,Nr. Dunton,Biggleswade","Biggleswade, Central Bedfordshire, UK","52.086938","-0.264220000000023","","None","None","None","171","73","","","","Smooth green  patina; cutting edge ground; one side unpatinated. On each face slight mouldings parallel with sides. Roughening of surface in centre of flat sides.","","","","","","","","Joellen mcGann","https://farm6.staticflickr.com/5571/14968888712_0562670ebb_b.jpg","https://www.flickr.com/photos/MicroPasts/14968888712"
"11061","226","Winged Flanged Axe","","Private, J. Graham Callander, Esq. F.S.A. Scot., C.22","Scotland, Aberdeenshire, Coull, Tomnaverie","Coull, Scotland","57.112367","-2.8044150000000627","","None","None","None","115","butt 21","42","","","","","","","","","Archaeological Exhibition, University College, London 1929; Catalogue, p. 12","","Elaine Dale","https://farm4.staticflickr.com/3890/14966140231_8bb4292006_b.jpg","https://www.flickr.com/photos/MicroPasts/14966140231"
"11061","433","Winged Flanged Axe","","Private Collection,J. Graham Callander, Esq. F.S.A. Scot. C.22","Scotland,Aberdeenshire,Coull,Tomnaverie","Coull, Aboyne, Aberdeenshire AB34, UK","57.112367","-2.8044150000000627","","None","None","None","115","21","42","","","","","Width: edge 42mm; butt 21mm","","","","Archaeological Exhibition, University College, London. 1929; Catalogue p. 12.","","Joellen mcGann","https://farm4.staticflickr.com/3890/14966140231_8bb4292006_b.jpg","https://www.flickr.com/photos/MicroPasts/14966140231"
"11062","226","Flanged Celt","","Anthropological Museum, Aberdeen University, 245, Wilson Collection, Purchased 1908","Scotland, Aberdeenshire, Belhearie","Belhelvie, Aberdeen, Aberdeenshire AB23, UK","57.249","-2.0879999999999654","","None","None","None","126","(centre) 27","58","355","","","24","","","","","","","Elaine Dale","https://farm6.staticflickr.com/5594/14968888612_c9c3047340_b.jpg","https://www.flickr.com/photos/MicroPasts/14968888612"
"11062","433","Flanged Celt","","Anthropological Museum, Aberdeen University,245,Wilson Collection,Purchased 1908","Scotland,Aberdeenshire,Belhelvie","Belhelvie, Aberdeen, Aberdeenshire AB23, UK","57.249","-2.0879999999999654","","None","None","None","126","27","58","355","","","24","Width: centre 27mm; edge 58mm","","","","","","Joellen mcGann","https://farm6.staticflickr.com/5594/14968888612_c9c3047340_b.jpg","https://www.flickr.com/photos/MicroPasts/14968888612"
"11063","226","Winged Flanged Axe","","Private, 1923, A. Henderson Bishop, Thornton Hall, Lanarkshire, from Coll. J. F. Clark, 24","Scotland, Aberdeenshire, Cruden","Cruden, Scotland",,,"","None","None","None","114","middle 28, butt 25","52","251.6","dark brown worn away in places","","8, 29","","","","Badly pitted, especially near edge.  Edge badly dented: wings partly perished.","","","Elaine Dale","https://farm4.staticflickr.com/3919/14946259716_dca46732b5_b.jpg","https://www.flickr.com/photos/MicroPasts/14946259716"
"11063","433","Winged Flanged Axe","","Private Collection,1923,A. Henderson Bishop,Thornton Hall, Lanarkshire,from Collection J. F. Clark","Scotland,Aberdeenshire,Cruden","Cruden Bay, Aberdeenshire, UK","57.41809499999999","-1.8508460000000468","","None","None","None","114","25","52","252","","Dark brown patina worn away in places.","8","Width: edge 52mm; middle 28mm; butt 25mm,Thickness: 8mm; 29mm,Weight: 251.6 gms","","","Badly pitted. Especially near edge. Edge badly dented: wings partly perished.","","","Joellen mcGann","https://farm4.staticflickr.com/3919/14946259716_dca46732b5_b.jpg","https://www.flickr.com/photos/MicroPasts/14946259716"
"11064","433","Flanged Celt","","Anthropological Museum, Aberdeen University,244","Scotland,Aberdeenshire,Insch,1881","Insch, Insch, Aberdeenshire AB52, UK","57.34140499999999","-2.611882000000037","","None","None","1881","124","27","60","356","","","24","Width: centre 27mm; edge 60mm","","","","","","Joellen mcGann","https://farm6.staticflickr.com/5565/14966139811_9a80da7ca0_b.jpg","https://www.flickr.com/photos/MicroPasts/14966139811"
"11064","543","Flanged celt","","Anthropological Museum, Aberdeen University,244","Scotland,Aberdeenshire,Insch","insch, aberdeenshire",,,"","None","None","1881","124","Centre 27","60","356","","","24","Georeference is not working for me - no search button and no pointer displayed; instead, when I enter text in the Georeference field, I get a suggested address on the line below. Clicking on that address doesn't seem to do anything.","","","","","","Jane Fellows","https://farm6.staticflickr.com/5565/14966139811_9a80da7ca0_b.jpg","https://www.flickr.com/photos/MicroPasts/14966139811"
