"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"11040","6","Palstave-Chisel","A3","Reynolds, Mr. ~private,'Six Acres',Ivinghoe Aston. Bucks","Buckinghamshire,Ivinghoe,Ivinghoe Aston,'Six Acres'","Ivinghoe, Buckinghamshire, UK","-0.6151554000000488","51.8453859","SP95351805","None","8","1976","","","","","","","","Context: '8. Single', , Rec.: '??. 26 Oct 78', , Sub.Inf.: Mike Farley, Bucks Co. Mus 20.10.78, , DF: S, , SI: tick, , CI: tick, , Source: Sb.1., , Metallurgy: Craddock - B.M. Res.Lab.","Cu 86, Pb 0.3, Sn 12.4, Ag 0.025, Fe 0.04, Sb 0.005, Ni 0.18, AS 0.2, Bi 0.01, Co. 0.01, Au, Cd, Mr, Zn - nd.","","","Farley, 1978, 675 fig.1 left","Found July/August 1976 by Mr Reynolds in topsoil removed to make the front drive of 'Six Acres' bungalow - adjacent to Beacon Farm;","Andrew Bevan","https://farm6.staticflickr.com/5586/14884612989_6c821e2da8_b.jpg","https://www.flickr.com/photos/MicroPasts/14884612989"
"11040","64","PALSTAVE - CHISEL","A3","REYNOLDS, Mr. - private,'Six Acres', Ivinghoe Aston, Bucks","BUCKINGHAMSHIRE,IVINGHOE,IVINGHOE ASTON,'SIX ACRES',Circumstances: found July/Aug 1976 by Mr. Reynolds in topsoil removed to make the front drive of 'Six Acres' bungalow - adjacent to Beacon Farm;","2 Ashbys Villas, Ivinghoe Aston, Leighton Buzzard, Buckinghamshire LU7 9DH, UK","-0.6166860263672334","51.85277182785752","SP 9535 1805","None","None","1976","","","","","","","","Modern card, fields do not match data entry template., ,","Cu 86, Pb 0.3, Su 12.4, Ag 0.025, Fe 0.04, Sb 0.005, Ni 0.18, As 0.2, Bi 0.01, Co 0.01, Au, Cd, Mr, Zn - nd.","Context: 8. SINGLE","","Bibliog: Farley, 1978, 675 fig. 1 left","Metallurgy Analyst: Craddock - B.M. Res. Lab.,Sub. Inf. Mike Farley, Bucks Co. Mus. 20.10.78","Hugh Fiske","https://farm6.staticflickr.com/5586/14884612989_6c821e2da8_b.jpg","https://www.flickr.com/photos/MicroPasts/14884612989"
"11041","64","Bronze Palstave Chicel,Axe-like","A3","British Museum 65.4-18.3","CAMBRIDGESHIRE,,Burwell Fen","Reach Road, Cambridge, Cambridgeshire CB25 0GH, UK","0.3144065495605446","52.26946803252533","TL 58 66","None","None","None","122","Butt 20, Blade 32","","140","black","Rough. Incrusted.","19","","Bronze","","much corroded. butt, blade & one side much broken","","","Hugh Fiske","https://farm6.staticflickr.com/5564/15071316355_a5b6146384_b.jpg","https://www.flickr.com/photos/MicroPasts/15071316355"
"11041","528","Bronze Palstave Chisel Axe-like","A3","British Museum 65 4-18 8","Cambridgeshire,, Burwell Fen","burwell cambridge",,,"TL58 66","None","None","None","122","Butt 20 ; blade 32","","140","Black","Rough, incrusted","19","","","","Much corroded, butt, blade and one side much broken","","","Margaret Ellen Joy","https://farm6.staticflickr.com/5564/15071316355_a5b6146384_b.jpg","https://www.flickr.com/photos/MicroPasts/15071316355"
"11042","528","Palsave Chisel axe-like","A3","Ashmolean Museum, Oxford, Evans Collection, 1927.2381","England, Cambridge, Burwell, Burwell Fen","burwell cambridge",,,"","None","None","1871","144","edge 34, centre 19, butt 18","","172.480","Iron brown","","centre 7.20","","","","Shield on faces.  Slight transverse ridge on sides well below stop ridge.  The flanges at the sides of the recess have some notches running diagonally into them so as to form a kind of barb, such as would prevent the blade from being drawn away from the handle when bound to it by a cord.  (Evans, p. 83), , [In pencil] These are omitted in drawing made for this index.","Evans, Anc. Br. Imps. p. 83, fig. 67","","Margaret Ellen Joy","https://farm4.staticflickr.com/3856/15068288681_3f4351c964_b.jpg","https://www.flickr.com/photos/MicroPasts/15068288681"
"11042","543","Palstave Chisel,Axe-like","A3","Ashmolean Museum, Oxford.,Evans Coll’n 1927-2381","England,Cambs.,Burwell,Burwell Fen,1871","",,,"","None","None","1871","144","centre 19, butt 18","34","172.48","Iron brown","","centre 7-20","Georef not working for me. Publications - full title is ""The Ancient Stone Implements, Weapons and Ornaments of Great Britain (1872)"".","","","Shield on faces. Slight transverse ridge on sides well below stop-ridge. ""The flanges at the sides of the recess have some notches running diagonally into them, so as to form a kind of barb such as would prevent the blade from being drawn away from the handle when bound to it by a cord."" (Evans, p83). These are omitted from drawing made for this index","Evans, Anc. Br. Imps., p.83, fig. 67.","","Jane Fellows","https://farm4.staticflickr.com/3856/15068288681_3f4351c964_b.jpg","https://www.flickr.com/photos/MicroPasts/15068288681"
"11043","528","Palstave chisel Axe like","A3","Museum of Archaeology, Cambridge","England, Cambridgeshire, Cambridge Fens","Cambridge, Cambridge, UK","0.12181699999996454","52.205337","","None","None","None","137","Edge 32, middle 20, butt 19","","168","","Very rough and corroded, a few patches not corroded, shows bright golden yellow, otherwise dark green, dark brown","17 ; 6","Georeferenced to Cambridge","","","A very narrow palstave with semi-elliptical ornament below the stop ridge.","Mentioned by Evans, ?page 83","","Margaret Ellen Joy","https://farm6.staticflickr.com/5594/15068288641_651481af34_b.jpg","https://www.flickr.com/photos/MicroPasts/15068288641"
"11043","543","Palstave Chisel,Axe-like","A3","Museum of Archaeology, Cambridge","England,Cambridgeshire,Cambridge Fens","",,,"","None","None","None","137","middle 20,butt 19","32","168","","very rough & corroded, a few patches not corroded show bright golden yellow, otherwise dark green, dark brown.","17,6","Georef not working for me. Publications - previous cards referred to a specific work by Evans, also p.83 I think - the full title was ""The Ancient Stone Implements, Weapons and Ornaments of Great Britain (1872)"".","","","A very narrow palstave with semi-elliptical ornament below the stop ridge","Mentioned by Evans ? page 83","","Jane Fellows","https://farm6.staticflickr.com/5594/15068288641_651481af34_b.jpg","https://www.flickr.com/photos/MicroPasts/15068288641"
"11044","528","Bronze Palatave Chisel","A3 , , IV 3 G","British Museum WG 1982","England, Cambridge, Quy Fen","quy","0.12181699999996454","52.205337","","None","None","None","102","Butt 22 ; blade 31","","112","Brown","Broken and corroded","14","","Bronze","","Broken in half. Slight stop ridges.  Broad side flanges.  Loop rib below stop ridges.  Marks of casting","","","Margaret Ellen Joy","https://farm4.staticflickr.com/3922/15048311786_b8cd50ffb1_b.jpg","https://www.flickr.com/photos/MicroPasts/15048311786"
"11044","543","Bronze Palstave Chisel","A3,IV3G","British Museum, W.G. 1882","England,Cambridgeshire];]Quy Fen","",,,"","None","None","None","102","butt 22","31","112","brown","broken and corroded","14","Georef - not working for me. Collection: Can’t format this as per the card. Description - not certain it says ""broad"" side flanges. Says ""C1"" at bottom right","Bronze","","Broken in half, slight stop ridges, broad side flanges.  loop rib below stop ridges. marks of casting","","","Jane Fellows","https://farm4.staticflickr.com/3922/15048311786_b8cd50ffb1_b.jpg","https://www.flickr.com/photos/MicroPasts/15048311786"
