"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lat","Lon","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"31158","580","Tanged Chisel","","Salisbury, S. Wilts and Blackmore Museum, 21 on face","Ireland, Co Meath","Co. Meath, Irlande","53.6576901","-6.667706800000019","","None","None","None","138","edge 38; middle 16; tang 7","","61.75","brown","","","","","","","","","Denis Antoine","https://farm9.staticflickr.com/8565/16039742464_a4236fe0ae_b.jpg","https://www.flickr.com/photos/MicroPasts/16039742464"
"31158","658","Tanged,Chisel","","Salisbury, S. Wilts.,and Blackmore Museum,, , 21 on face.","Ireland,Co. Meath","",,,"","None","None","None","138","edge 38, middle 16; tang 7","","61.75","brown","","","","","","","","","Susan Magyarody","https://farm9.staticflickr.com/8565/16039742464_a4236fe0ae_b.jpg","https://www.flickr.com/photos/MicroPasts/16039742464"
"31158","817","Tanged Chisel","","Salisbury, S. Wilts.,and Blackmoor Museum,21 on face","Ireland,Co Meath","",,,"","None","None","None","138","38","","61.75","brown","","","Width shows ""edge 38   middle 16   tang 7.""","","","","","","JP OConnor","https://farm9.staticflickr.com/8565/16039742464_a4236fe0ae_b.jpg","https://www.flickr.com/photos/MicroPasts/16039742464"
"31159","580","Socketed Knife","B","Royal United Service Institution, Whitehall SW., pres. by Vicount Templetown, 582","Ireland, Co Monaghan","Co. Monaghan, Irlande","54.2492046","-6.968313200000011","","None","None","None","(over all) 235.5; socket 41","blade 30; socket 30.5; 29.5","","166.10","A very dark brown almost black patina & this is thickest at the socket. A good deal of golden bronze shows.","smooth but rather ""largely"" pitted all over. One side of blade is filed. Edge fairly sharp but jagged in places/","blade 4; 5.5","","","","A very slight beading runs round edge of socket/","","Described as late Bronze Age.","Denis Antoine","https://farm9.staticflickr.com/8660/16474473498_f69ac63f01_b.jpg","https://www.flickr.com/photos/MicroPasts/16474473498"
"31159","658","Socketed Knife","B","Royal United Service Institution, Whitehall SW,, , pres. bu Viscount Templetown.   582., ,","Ireland,Co. Monagham","",,,"","None","None","None","(overall) 235.5","blade 30, socket 30.5,   29.5","","166.1","A very dark brown almost black patina & this is thickest at the socket.","Smooth but rather ""largely"" pitted all over, one side of blade is filed. Edge fairly sharp but jagged in places.","blade 4,  5.5","","","","A very slight beading runs round edge of socket.","","Described as late Bronze Age.","Susan Magyarody","https://farm9.staticflickr.com/8660/16474473498_f69ac63f01_b.jpg","https://www.flickr.com/photos/MicroPasts/16474473498"
"31159","817","Socketed Knife.","B","Royal United Service Institution. Whitehall SW.,pre. By Vicount Templetown.,582.","Ireland,Co Monaghan","",,,"","None","None","None","235.5","30","","166.10","A very dark brown almost black patina & this is thickest at the socket. A good deal of golden bronze shows.","Smooth but rather ""largely"" pitted all over. One side of blade is filed. Edge farily sharp but jagged in places.","4","Length shows ""(over all) 235.5mm Socket 41mm"". Width shows ""blade 30mm, socket 30.5mm  29.5mm"". Thickness shows ""blade 4mm  5.5mm"".","","","A very slight beading runs round edge of socket.","","Described as late Bronze Age.","JP OConnor","https://farm9.staticflickr.com/8660/16474473498_f69ac63f01_b.jpg","https://www.flickr.com/photos/MicroPasts/16474473498"
"31160","580","Tanged Chisel","","Sotheby's Sale 19. 11. 24. 632, Collection of W. J. Knowles MRIA of Flixton Place, Ballymena.","Ireland, Monaghan, Ballybay (label)","Ballybay, Co. Monaghan, Irlande","54.1294617","-6.902786399999968","","None","None","None","76","edge 18; middle 7.5","","","traces of patina in the pittings - light green.","tiny pittings, golden bronze, cleaned.","3.5","","","","Tang is squarish, tapering to a sharp point. Sharp edge, but chipped.","","","Denis Antoine","https://farm9.staticflickr.com/8646/16474473418_a61834f112_b.jpg","https://www.flickr.com/photos/MicroPasts/16474473418"
"31160","658","Tanged Chisel","","Sotheby's Sale, 19/11/24,     632,, , Coll'n. of W.J. Knowles, M.R.I.A.,, , of Flixton Place, Ballymena","Ireland,Monaghan,Ballybay (Label)","Ballybay, Co. Monaghan, Ireland",,,"","None","None","None","76","edge 18, middle 7.5","","","traces of patina in the pittings - light green.","tiny pittings, golden bronze, cleaned.","3.5","","","","Tang is squarish, tapering to a sharp point.,, , Sharp edge, but chipped.","","","Susan Magyarody","https://farm9.staticflickr.com/8646/16474473418_a61834f112_b.jpg","https://www.flickr.com/photos/MicroPasts/16474473418"
"31160","817","Tanged,Chisel","","Sotheby's Sale,19.11.24.,632,Colln. of W.J. Knowles MRIA,of Flixton Place Ballymena.","Ireland,Monaghan,Ballybay","Ballybay, Co. Monaghan, Ireland","54.1294617","-6.902786399999968","","None","None","None","76","18","","","traces of patina in the pittings -- light green","tiny pittings. golden bronze. cleaned.","3.5","Width shows ""edge 18   middle 7.5"".","","","Tang is squarish, tapering to a sharp point.,Sharp edge, but chipped.","","","JP OConnor","https://farm9.staticflickr.com/8646/16474473418_a61834f112_b.jpg","https://www.flickr.com/photos/MicroPasts/16474473418"
"31161","610","Armlet (hollow)","O","Museum of Archaeology, Etnology., , Cambridge., , No. 236 Murray Coll.","Ireland,, Co. Offaly, Blundell Castle","",,,"","None","None","None","113","111,5 (inside diameter 99 mm 101 mm)","","","dark brown with touches of green and red.","Smooth.","6","","","","Plain armlet, round section, hollow, with inner side very slightly flattened.","","","Heidi Lund","https://farm9.staticflickr.com/8661/16042126033_145c80674b_b.jpg","https://www.flickr.com/photos/MicroPasts/16042126033"
"31161","658","Armlet (HOLLOW)","O","Museum of Archaeology & Ethnology,, , Cambridge,, , No.. 236, Murray Coll'n., ,","Ireland,Co. Offaly,Blundell Castle.","Blundell Castle, Co. Offaly, Ireland",,,"","None","None","None","113","111.5 (inside diameters 99, 101)","","","dark brown with touches of green & red.","smooth.","6","","","","Plain armlet, round section, hollow, with inner side very slightly flattened.","","","Susan Magyarody","https://farm9.staticflickr.com/8661/16042126033_145c80674b_b.jpg","https://www.flickr.com/photos/MicroPasts/16042126033"
"31161","817","Armlet. (Hollow)","O","Museum of Archaeology & Ethnology,Cambridge.,No 236 Murray Colln.","Ireland,Co. Offaly,Blundell Castle","","54.1294617","-6.902786399999968","","None","None","None","113","111.5","","","dark brown with touches of green & red.","smooth","6","Width shows ""111.5mm (inside diameters -- 99mm 101mm)"".","","","Plain armlet, round section, hollow, with inner side very slightly flattened.","","","JP OConnor","https://farm9.staticflickr.com/8661/16042126033_145c80674b_b.jpg","https://www.flickr.com/photos/MicroPasts/16042126033"
"31162","610","Chisel Lugged","","Sotheby's Sale 19. 11. 24     632, , Coll. of W. J. Knowles  MRIA, , of Flixton Place    Ballymena","Ireland,, Glenish.","",,,"","None","None","None","112","edge 21, middel 12,5","","","Traces. Light green.","dark golden bronze. Pitted. Bubble hole just behind edge.","6,25.   5","","Tong is squarish in section.","","","","","Heidi Lund","https://farm9.staticflickr.com/8617/16475903589_5d1190b5e4_b.jpg","https://www.flickr.com/photos/MicroPasts/16475903589"
"31162","658","Chisel, Lugged","","Sotheby's Sale, 19/11/24.     632,, , Coll'n of W.J. Knowles, M.R.I.A.,, , of Flixton Place, Ballymena","Ireland,Glenish","Glenish, Co. Monaghan, Ireland",,,"","None","None","None","112","edge 21, middle 12.5","","","traces patina light green.","dark golden bronze, pitted. Bubble hole just behind edge.","6.25, 5","","","","Tang is squarish in section.","","","Susan Magyarody","https://farm9.staticflickr.com/8617/16475903589_5d1190b5e4_b.jpg","https://www.flickr.com/photos/MicroPasts/16475903589"
"31162","817","Chisel Lugged","","Sotheby’s Sale,19.11.24,632,Colln. of W.J. Knowles MRIA.,of Flixton Place.,Ballmena","Ireland,Glenish","Glenish, Co. Monaghan, Ireland","54.1775587","-6.930198300000029","","None","None","None","112","21","","","traces light green","dark golden bronze. pitted. Bubble hole just behind edge.","6.25","Width shows ""edge 21.   middle 12.5"". Thickness shows 6-1/4.  5"".","","","Tang is squarish in section.","","","JP OConnor","https://farm9.staticflickr.com/8617/16475903589_5d1190b5e4_b.jpg","https://www.flickr.com/photos/MicroPasts/16475903589"
"31163","580","10 Nail headed Pins","I","Museum of Archaeology & Ethnology, Cambridge, Nos. 200 to 209, Murray Collection","Ireland, (Kings Co) = Offaly, Edenderry","Edenderry, Co. Offaly, Irlande","53.34328430000001","-7.0505832000000055","","None","None","None","","","","","","","","Had to put all measurements in the Description box.","","","No. 200: length 86; weight 2; Plain head, irregularly faceted. smooth even, dark brown patina, No. 201: length 82.5; weight 3; 3 incisions on head, 3 vertical lines of 5 dots on neck. corroded & uneven. patches of dark brown patina on bright metal., No. 202: length 90; weight 3; 3 incisions on head, 3 vertical lines of 5 dots on neck. smooth, very slightly corroded. dark tarnished metal., No. 203: length 87; weight 3; 3 incisions on head. no neck. slightly corroded. dark brown patina., No. 204: length 91; weight 3; corroded head. 3 vertical lines of 5 dots on neck. corroded & uneven. patches of black on bright metal., No. 205: length 77; weight 3; corroded all over & any ornamentation obliterated. Dark brown patina & metal showing through., No. 206: length 101; weight 5; 3 incisions on head, 3 vertical lines of 6 dots on neck. smooth & even. Black patina with some metal showing through., No. 207: length 87; weight 4; 3 incisions on head, 3 vertical lines of 6 dots on neck. corroded. Black patina & bright metal., No. 208: length 86; weight 4; 3 incisions on head, 3 vertical lines of 6 dots on neck. smooth. dark tarnished metal., No. 209: length 96; weight 4; 3 incisions on head, 3 vertical lines of 4 dots divised by 3 grooves. each groove terminates in a dot. smooth & even. Bright metal all over.","","","Denis Antoine","https://farm9.staticflickr.com/8584/16662050865_11e96be9ac_b.jpg","https://www.flickr.com/photos/MicroPasts/16662050865"
"31163","658","10 Nail headed Pins","I","Museum of Archaeology & Ethnology, Cambridge,, , Nos. 200 to 209, Murray Coll'n.","Ireland,(Kings Co.) = OFFALY,Edenderry","Edenderry, Co. Offaly, ireland",,,"","None","None","None","No. 200: 86; No. 201: 82.5; No. 202: 90; No. 203: 87; No. 204: 91; No.. 205: 77; No. 206: 101; No. 207: 87; No. 208: 86; No. 209: 96","","","No. 200: 3; No. 201: 3; No. 202: 3; No. 204: 3; No. 205: 3; No. 206: 5; No. 207: 4; No. 208: 4; No. 209 4","No. 200: smooth, even, dark brown patina. No. 201: patches of dark brown patina on bright metal. No. 202: dark tarnished metal. No. 203: dark brown patina. No. 204: patches of black on bright metal. No. 205: Dark brown patina & metal showing through. No. 206: Black patina with some metal showing through. No. 207: Black patina & bright metal. No. 208: dark tarnished metal.","No. 201: corroded & uneven.No. 202: smooth, very slightly corroded. No. 203: slightly corroded. o. 204: corroded &,uneven. No. 206: Smooth & even. No. 207: corroded. No. 208: smooth. No. 209: smooth & even. Bright metal all over.","","","","","No. 200: Plain head, irregularly faceted., , No. 201: 3 incisions on head. 3 vertical lines of 5 dots on neck., , No. 202:   ditto                    ditto, , No. 203:   ditto                     no neck., , No. 204: corroded head. 3 vertical lines of 5 dots on neck. , , No. 205: corroded all over & any ornamentation obliterated., , No. 206: 3 incisions on head. 3 vertical lines of 6 dots on neck., , No. 207:      ditto               ditto, , No. 208:       ditto             ditto, , No. 209:       ditto      3 vertical lines of 4 dots divided by 3 grooves,,each groove terminates in a dot.","","","Susan Magyarody","https://farm9.staticflickr.com/8584/16662050865_11e96be9ac_b.jpg","https://www.flickr.com/photos/MicroPasts/16662050865"
"31163","817","10 Nail headed Pins.","I","Museum of Archaeology & Ethnology, Cambridge,Nos 200 to 209,Murray Colln.","Ireland.,(Kings Co)= OFFALY.,Edenderry.","Edenderry, Co. Offaly, Ireland","53.34328430000001","-7.0505832000000055","","None","None","None","","","","","","","","Note that 10 items are list on this card. Transcriptions of dimensions, weights, and descriptions are included in the Description field.","","","200,86mm,3grs,Plain head. irregularly faceted. Smooth even, dark brown patina,201,82.5mm,3grs,3 incisions on head. 3 vertical lines of 5 dots on neck. corroded & uneven. patches of dark brown on bright metal.,202,90mm,3grs,ditto   ditto   smooth. very slightly corroded. dark tarnished metal.,203,87mm,3grs,ditto   ditto   slightly corroded   dark brown patina,204,91mm,3grs,corroded head.  3 vertical lines of 5 dots on neck. uneven. patches of black on bright metal.,205,77mm,3grs,corroded all over & any ornamentation obliterated. Dark brown patina & metal showing through.,206,101mm,5grs,3 incisions on head. 3 vertical lines of 6 dots on neck.  Smooth & even. Black patina with some metal showing through.,207,87mm,4grs,ditto   ditto   corroded. Black patina & bright metal.,208,86mm,4grs,ditto   ditto   smooth. dark tarnished metal.,209,96mm,4grs,ditto   3 vertical lines of 4 dots divided by 3 grooves, each groove terminates in a dot. Smooth & even. Bright metal all over.","","","JP OConnor","https://farm9.staticflickr.com/8584/16662050865_11e96be9ac_b.jpg","https://www.flickr.com/photos/MicroPasts/16662050865"
"31164","580","Pin with Ring","","Museum of Archaeology & Ethnology, Cambridge, No. 245, Murray Collection","Ireland, Kings Co / Offaly, near Edenderry, Drumcooley Hill, 1854","Edenderry, Co. Offaly, Irlande","53.34328430000001","-7.0505832000000055","","None","None","1854","105","Ring 28.5","","10","","corroded deeply in places. The smooth parts are brown. the corroded green.","Ring 5","","","One of a hoard of 15 objects & a piece of sandstone, possibly belonging to a mould. 2 spearheads, 1 socketed Celt, 6 rings, 2 Pins with Rings & 4 Beads (1 large of clay, 1 of glass, yellow & purple twist, 2 of amber, a larger & a smaller, irregularly shaped).","Moveable flanged ring. round section. Pin flattened. turned upon itself to produce ring flange.","","(to be appended to the Trillick Ring card)","Denis Antoine","https://farm9.staticflickr.com/8596/16475903459_217cfa2b91_b.jpg","https://www.flickr.com/photos/MicroPasts/16475903459"
"31164","727","Pin with Ring","-","Museum of Archaeology + Ethnology Cambridge, No 245  Murray Collection","Ireland, Kerrys Co/Offaly, near Edenderry, Drumcooley Hill, 1854","Kerry, Co. Kerry, Ireland","52.15446069999999","-9.566863199999943","-","None","None","None","105","28.5","-","10","-","Corroded deeply in places.  The smooth parts are brown, the corroded green.","5","(To be appended to the Trillick Ring card) is in a different hand","-","See Remarks","Width and thickness specified as ""of Ring"", , Movable flanged ring, round section.  Pin flattened, turned upon itself to produce ring flange.","-","One of a horde of 15 objects + a piece of sandstone, possibly belonging to a mould.  2 spearheads, 1 Socketed Celt, 6 Rings, 2 Pins with Rings + 4 Beads (1 large of Clay, 1 of glass, yellow + purple twist, 2 of Amber, a larger + a smaller,  irregularly shaped), , (To be appended to the Trillick Ring card), , , ,","MARLA WALCOTT","https://farm9.staticflickr.com/8596/16475903459_217cfa2b91_b.jpg","https://www.flickr.com/photos/MicroPasts/16475903459"
"31164","817","Pin with Ring","","Museum of Archaeology & Ethnology, Cambridge,No 245 Murray Colln.","Ireland,Kings Co / Offaly,Drumcooley Hill","","53.34328430000001","-7.0505832000000055","","None","None","1854","105","28.5","","10","","corrided deeply in places. The smooth parts are brown, the corroded, green.","5","Width shows ""of Ring 28.5mm"". Thickness shows ""of Ring 5mm"".","","One of a hoard of 15 objects & a piece of sandstone, possibly belonging to a mould. 2 Spearheads. 1 Socketed Celt. 6 Rings. 2 Pins with Rings. & 4 Beads (1 large of clay, 1 glass, yellow & purple twist, 2 of amber. A larger & a smaller. Irregularly shaped.)","Moveable flanged ring. round section. Pin flattened, turned upon itself to produce ring flange.","","(to be appended to the Trillick Ring card)","JP OConnor","https://farm9.staticflickr.com/8596/16475903459_217cfa2b91_b.jpg","https://www.flickr.com/photos/MicroPasts/16475903459"
"31165","580","Pin","K","Cambridge, Museum of Archaeology & Ethnology., Murray Collection. No. 210.","Ireland, King's Co. (= Offaly), Edenderry","Edenderry, Co. Offaly, Irlande","53.34328430000001","-7.0505832000000055","","None","None","None","72","","","2","","","","","","","Orange shaped head with moulding round the base. Uneven & bent. Dark tarnished metal.","","","Denis Antoine","https://farm9.staticflickr.com/8599/16661022092_38aedd4ddf_b.jpg","https://www.flickr.com/photos/MicroPasts/16661022092"
"31165","727","PIN","K","CAMBRIDGE, Museum of Archaeology + Ethnology, No. 210  Murray Coll’n.","IRELAND, King’s Co. (= OFFALY), Edenderry","Edenderry, Co. Offaly, Ireland","53.34328430000001","-7.0505832000000055","-","None","None","None","72","-","-","2","-","-","-","There is what appears to be several layers of aged tape over the Description section making it difficult to read.  There is an additional number, 210, written before a reiteration of 72 mm and 2 grs","-","-","Bronze shaped head with molding round the base.  Uneven + bent.  Dark finished metal.","-","-","MARLA WALCOTT","https://farm9.staticflickr.com/8599/16661022092_38aedd4ddf_b.jpg","https://www.flickr.com/photos/MicroPasts/16661022092"
"31165","817","PIN","K","CAMBRIDGE, Museum of Archaeology & Ethnology.,Murray Coll'n. No. 210.","Ireland,Kings Co (= Offaly),Edenderry","Edenderry, Co. Offaly, Ireland","53.34328430000001","-7.0505832000000055","","None","None","None","72","","","2","","","","","","","Orange shaped head with moulding round the base.,Uneven & bent. dark tarnished metal.","","","JP OConnor","https://farm9.staticflickr.com/8599/16661022092_38aedd4ddf_b.jpg","https://www.flickr.com/photos/MicroPasts/16661022092"
"31166","580","2 Pins","KK","Cambridge, Museum of Archaeology & Ethnology, Murray Collection. Nos. 211, 212.","Ireland, King's Co. (Offaly), Edenderry","Edenderry, Co. Offaly, Irlande","53.34328430000001","-7.0505832000000055","","None","None","None","A. 75, B. 66.5","","","A. 4, B. 3","","","","","","","No. 211 A: length 75; weight 4; Head conical, ornamented with diagonal grooves which are crossed by 3 horizontal lines. The upper part of the shank is octagonal, the lower square, ornamented with zig-zag down each facet. Smooth & even - dull metal., No. 212 B: length 66.5; weight 3; Exactly the same as No. 211, except for a green patina on the upper half.","","","Denis Antoine","https://farm9.staticflickr.com/8679/16636114316_907f8abfc6_b.jpg","https://www.flickr.com/photos/MicroPasts/16636114316"
"31166","727","2 PINS","KK (could be KJK)","CAMBRIDGE, Museum of Archaeology + Ethnology,Murray Coll’n, Nos. 211, 212.","Ireland, King’s Co. (OFFALY), Edenderry","Offaly, Co. Offaly, Ireland","53.2356871","-7.712222900000029","-","None","None","None","See description","-","-","See description","-","-","-","Description is written in a grid fashion, which includes a drawing.  It is taped onto the original card.","-","-","Width as: “A. 75, B. 66.5 “  Weight as: ""A. 4, B. 3"", , , , A. Head conical.  Ornamented with diagonal groups which are crossed by three horizontal lines.  The upper part of the shank is octagonal, the lower square, ornamented with zig-zag down each facet.  Smooth + even-dull metal.  B. Exactly the same as No. 211, except for a green patina on the upper half, ,","-","-","MARLA WALCOTT","https://farm9.staticflickr.com/8679/16636114316_907f8abfc6_b.jpg","https://www.flickr.com/photos/MicroPasts/16636114316"
"31166","817","2 PINS","KK","CAMBRIDGE, Museum of Archaeology & Ethnology.,Murray Collection. Nos. 211, 212.","Ireland,King’s Co (OFFALY),Edenderry.","Edenderry, Co. Offaly, Ireland","53.34328430000001","-7.0505832000000055","","None","None","None","","","","","","","","Length shows ""A. 75mm  B. 66.5mm"". Weight shows ""A. 4grs B. 3grs"". Description includes a drawing of one pin (A) but not the other (b).","","","A. Head conical. ornamented with diagonal grooves which are crossed by 3 horizontal lines. The upper part of the shank is octagonal, the lower square, ornamented with zig-zag down each facet. Smooth & even -- dull metal.,B. Exactly the same as No 211, except for a green patina on the upper half.","","","JP OConnor","https://farm9.staticflickr.com/8679/16636114316_907f8abfc6_b.jpg","https://www.flickr.com/photos/MicroPasts/16636114316"
"31167","580","Pin","N","Museum of Archaeology & Ethnology, Cambridge, No. 198, Murray Collection","Ireland, King's Co. / Offaly, Edenderry","Edenderry, Co. Offaly, Irlande","53.34328430000001","-7.0505832000000055","","None","None","None","of Pin 110.5","of disc 32.5","","15","","smooth & even. Bright metal all over.","","","","","Pin with head & large flat disc (set vertically to pin, which carries it on a bent neck) with rim bead. both faces decorated with 17 concentric rings, on the front a small, central rounded boss.","","","Denis Antoine","https://farm9.staticflickr.com/8572/16662050595_f59f235a87_b.jpg","https://www.flickr.com/photos/MicroPasts/16662050595"
