"taskID","userID","objectType","rightCorner","collection","site","toSearch","Lon","Lat","gridRef","dateDiscoveryDay","dateDiscoveryMonth","dateDiscoveryYear","length","width","edge","weight","patina","surface","thickness","other","composition","associations","description","publications","remarks","inputBy","imageURL","flickrURL"
"37731","226","Spearhead IV","E","Herts. Cty. Mus., St. Albans, Ball Colln.","Ireland, Co. Antrim, Ballymena","Ballymena, Ballymena, Ballymena BT43, UK","-6.2803800000000365","54.86537999999999","","None","None","None","142","blade 32.5, socket 18.5","","99.22smoo","dark brown matt","smooth","blade 10, socket 18","","","","","","","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17140339436","https://farm8.staticflickr.com/7636/17140339436_a33e8c4dc7_m.jpg"
"37731","580","Spearhead IV","E","Herts Cty. Mus., St Albans.,Ball Collection","Ireland,Co Antrim,Ballymena","Ballymena, Ballymena, Ballymena BT43, Royaume-Uni","-6.2803800000000365","54.86537999999999","","None","None","None","142","blade 32.5; socket 18.5","","99.22","dark brown matt.","smooth","blade 10; socket 18","","","","","","","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17140339436","https://farm8.staticflickr.com/7636/17140339436_a33e8c4dc7_m.jpg"
"37731","658","Spearhead IV","E","Herts. City Mus., St. Albans,, , Ball Coll'n.","Ireland,Co. Antrim,Ballymena","Ballymena, Ballymena, Ballymena",,,"","None","None","None","142","blade 32.5; socket 18.5","","99.22","dark brown matt.","smooth","blade 10; socket 18","","","","","","","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17140339436","https://farm8.staticflickr.com/7636/17140339436_a33e8c4dc7_m.jpg"
"37731","677","Spearhead. IV","E","Herts Cty. Mus. St. Albans, , Ball Coll n.","Ireland., Co Antrim, Ballymena.","Ireland","-8.243889999999965","53.41291","Ireland","None","None","None","142","blade 32.5 / socket 18.5","","99.22","dark brown matt.","smooth","blade 10. socket 18","Some information was difficult to decipher. I made my best possible judgement. Also there appears to be some information missing.","","","","","","Michael George Adams","https://www.flickr.com/photos/115096994@N02/17140339436","https://farm8.staticflickr.com/7636/17140339436_a33e8c4dc7_m.jpg"
"37731","817","Spearhead. IV","E","Herts. Cty. Mus.,St. Albans.,Ball Colln.","Ireland,Co Antrim,Ballymena","Ballymena, Ballymena, Ballymena BT43, UK","-6.2803800000000365","54.86537999999999","","None","None","None","142","32.5","","99.22","dark brown matt.","Smooth","10","Width shows ""blade 32.5 | socket 18.5"". Thickness shows ""blade 10. socket 18"".","","","","","","JP OConnor","https://www.flickr.com/photos/115096994@N02/17140339436","https://farm8.staticflickr.com/7636/17140339436_a33e8c4dc7_m.jpg"
"37732","226","Spear-head III","E","Cheltenham Museum, Bushnell Colln.","Ireland, Antrim, Larne (near) ? Label - One of ""Three bronze spearheads found in Ireland, the smaller ones near Larne"" This is the longest ne.","Larne, Larne, Larne BT40, UK","-5.809859999999958","54.85749999999999","","None","None","None","110","47","","71","no (Patina)","Plain bronze sand smooth","","","bronze","","","","Nothing more known","Elaine Dale","https://www.flickr.com/photos/115096994@N02/17140339356","https://farm8.staticflickr.com/7678/17140339356_9f2f6553cb_m.jpg"
"37732","580","Spear-head III","III","Cheltenham Museum,Bushnell Collection","Ireladn,Antrim,Larne (near)?,Label: One of ""Three bronze spearheads found in Ireland, the smalle ones near Larne"",This is the largest one.","Antrim, Antrim, District d'Antrim BT41, Royaume-Uni","-6.2072498","54.7195338","","None","None","None","110","47","","71","no patina","Plain bronze sand smooth","","","Bronze","","","","Nothing more known","Denis Antoine","https://www.flickr.com/photos/115096994@N02/17140339356","https://farm8.staticflickr.com/7678/17140339356_9f2f6553cb_m.jpg"
"37732","658","Spear-head III","E","Cheltenham Museum,, , Bushnell Coll'n.","Ireland,Antrim,Larne (near)?","",,,"","None","None","None","110","47","","71","No patina.","Plain bronze [...] smooth.","","","","","","One of - ""Three bronze spearheads found in,Ireland, the smaller ones near Larne."",, , This is the largest one.","Nothing more known.","Susan Magyarody","https://www.flickr.com/photos/115096994@N02/17140339356","https://farm8.staticflickr.com/7678/17140339356_9f2f6553cb_m.jpg"
"37732","677","Spear - head III","E","Chellucham Museum , , Bushnell Colln.","Ireland., Antrisn, Larne (near) ?","Ireland","-8.243889999999965","53.41291","Ireland","None","None","None","110","47","","71","No patina","Plain bronze land smooth.","","Some of the handwriting was difficult to decipher. I made my best possible judgement. Also some information appears to be missing.","Bronze","","","label -, , One of - ""Three bronze spearheads found in"", , ""Ireland, the smaller ones near Larne)"", , This is the largest me.","Nothing more known, , May 12th 1922, , G.C. Meiddlelon, , Sno128","Michael George Adams","https://www.flickr.com/photos/115096994@N02/17140339356","https://farm8.staticflickr.com/7678/17140339356_9f2f6553cb_m.jpg"
"37732","817","Spear-head III","E","Cheltenham Museum,Bushnell Colln.","Ireland.,Antrim,Larne (near) ?","","-6.2803800000000365","54.86537999999999","","None","None","None","110","47","","71","no","Plain Bronze [...] smooth.","","","Bronze","","","","Label-,One of - ""Three bronze spearheads found in"",""Ireland, the smaller ones near Larne"",This is the largest one.,Nothing more known","JP OConnor","https://www.flickr.com/photos/115096994@N02/17140339356","https://farm8.staticflickr.com/7678/17140339356_9f2f6553cb_m.jpg"
